Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
AHMEDABAD SCHOOL OF EDUCATION CAMPUS,09537404655,https://lh5.googleusercontent.com/p/AF1QipNlw2TF0yTHTt4DUSXd3vr1ecFgQz094GUuPxP3=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ka1Zazmxml45MbQ5U8swW8vL&daddr=25,+Afreen+villa,+ASE+School+campus,+opposite+Ahad+sports+club,+Ahmedabad,+Gujarat+380055&ved=2ahUKEwjr0OfGqrmEAxUt3YQAHQhXBhsQ48ADegQIABAr","25, Afreen villa, ASE School campus, opposite Ahad sports club, Ahmedabad, Gujarat 380055",22.98459,72.526803333,4.9,05:00 PM
Education,07926426826,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8QQON5uMwjarxkSbshl9og&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=7.6926875&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaeGRKgdg145MT9kOa_WhH9W&daddr=L,+9,+Karmchari+Nagar,+Ahmedabad,+Gujarat+380061&ved=2ahUKEwjr0OfGqrmEAxUt3YQAHQhXBhsQ48ADegQIABAy","L, 9, Karmchari Nagar, Ahmedabad, Gujarat 380061",23.066009982985,72.545949999497,4.7,6:30 PM
Ahmedabad Education Society,09033620039,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yHIIS146N9Af6PZ3UObA6w&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=162.75293&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KfGL1WiNhF45MWgIYQ4vmT9I&daddr=2HQ4%2BRPW,+University+Rd,+Near+Commerce+Six+Roads,+Swastik+Society,+Navrangpura,+Ahmedabad,+Gujarat+380009&ved=2ahUKEwjr0OfGqrmEAxUt3YQAHQhXBhsQ48ADegQIABA5","2HQ4+RPW, University Rd, Near Commerce Six Roads, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009",23.034789992047,72.539559971792,5.0,06:00 PM
Maria Institute for Education and Development-Ahmedabad,09998433334,https://lh5.googleusercontent.com/p/AF1QipO0UbOEsvUqz5ulIvY_Tp6yHrq2UZOvUyg6QYYX=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQEAAABfj145MRJdwzu3XTbx&daddr=1,+Radha+Krishna+Society,+Bhairavnath+-+Isanpur+Rd,+Jay+Krishna+Society,+Isanpur,+Ahmedabad,+Gujarat+382443&ved=2ahUKEwjr0OfGqrmEAxUt3YQAHQhXBhsQ48ADegQIABBA","1, Radha Krishna Society, Bhairavnath - Isanpur Rd, Jay Krishna Society, Isanpur, Ahmedabad, Gujarat 382443",22.97456833925,72.599043620666,5.0,08:00 PM
Bhavy Education,09484975517,https://lh5.googleusercontent.com/p/AF1QipNjNktk8o9_pC3P0YkYfzHugybBQOf8XM6l5mDB=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ka3oln_Wg145MV_FL3XunZEL&daddr=between+GST+to+Khodiyar+Mandir,+Nr.+Rajdhani+Bungalows,+Sv+Square,+216,+opp.+Myriad+Restaurant,+New+Ranip,+Ahmedabad,+Gujarat+382470&ved=2ahUKEwjr0OfGqrmEAxUt3YQAHQhXBhsQ48ADegQIABBK","between GST to Khodiyar Mandir, Nr. Rajdhani Bungalows, Sv Square, 216, opp. Myriad Restaurant, New Ranip, Ahmedabad, Gujarat 382470",23.090375122474,72.561146875344,5.0,11:00 PM
Education Society Institute Of Distance Studies Charitable Trust,09825785130,https://lh5.googleusercontent.com/p/AF1QipPo4VqJRpKtclPmrp74OjG-kCQYqsPlogu9B_ek=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KY1MCbf3m145Me2owATTVdrE&daddr=near,+E-+383+sobo+Centre,+Safal+Parisar+Rd,+South+Bopal,+Bopal,+Ahmedabad,+Gujarat+380058&ved=2ahUKEwjr0OfGqrmEAxUt3YQAHQhXBhsQ48ADegQIABBV","near, E- 383 sobo Centre, Safal Parisar Rd, South Bopal, Bopal, Ahmedabad, Gujarat 380058",23.030306579839,72.458810880841,5.0,6:30 PM
Education Academy,09427386655,https://lh5.googleusercontent.com/p/AF1QipPR2PXJj3DWACSPYg5LTXGSoGEa1aB01VRQABWf=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaOQSOe2ml45MdkRRuWR88qo&daddr=A/8,+Shantabag+Society,+Vishala,+Ahmedabad,+Gujarat+380055&ved=2ahUKEwjr0OfGqrmEAxUt3YQAHQhXBhsQ48ADegQIABBf","A/8, Shantabag Society, Vishala, Ahmedabad, Gujarat 380055",22.99193,72.53789,4.5,6:30 PM
Shiksha Group Education,09104796222,https://lh5.googleusercontent.com/p/AF1QipNwUHDAdclcnHjA-wQ2O39Zif8JTes7hwF8GECQ=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWsjk2N1g145MeuPmSfgcRJc&daddr=Green+Ave+Rd,+Harsiddh+Park+Society,+Vrundavan+Society,+Anand+Nagar,+Ranip,+Ahmedabad,+Gujarat+382480&ved=2ahUKEwjr0OfGqrmEAxUt3YQAHQhXBhsQ48ADegQIABBo","Green Ave Rd, Harsiddh Park Society, Vrundavan Society, Anand Nagar, Ranip, Ahmedabad, Gujarat 382480",23.08365,72.56757,4.9,6:30 PM
"Akshar Education,Ahmedabad",09909939260,https://lh5.googleusercontent.com/p/AF1QipMMOEKv32fnlevcugHTScpU6GvOGIS2EjjME8zL=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUUY7RG2hF45MZXF38vJ9gKy&daddr=78,+Nehru+Park,+Vastrapur,+Ahmedabad,+Gujarat+380015&ved=2ahUKEwjr0OfGqrmEAxUt3YQAHQhXBhsQ48ADegQIABBy","78, Nehru Park, Vastrapur, Ahmedabad, Gujarat 380015",23.035441809209,72.525089162977,4.8,09:00 PM
"E learning education of cbse, icse board",09898981030,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=W9ml03QgkcpNHlV63SR0Iw&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=169.83487&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KW252_wVhV45McJHZfGxTt8v&daddr=JAYANT+PARK+SOCIETY,+b/h,+Gurukul+Rd,+Tarun+Nagar+Part+2,+Memnagar,+Ahmedabad,+Gujarat+380052&ved=2ahUKEwjr0OfGqrmEAxUt3YQAHQhXBhsQ48ADegQIABB9","JAYANT PARK SOCIETY, b/h, Gurukul Rd, Tarun Nagar Part 2, Memnagar, Ahmedabad, Gujarat 380052",23.055139682442,72.533869510031,5.0,6:30 PM
