Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
2050 Healthcare,8904982050,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=A_bCbKOZtme6_4I0qINnmw&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=18.399445&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KfvTd7tTm145Mf5gnU8Ne55Q&daddr=SUR.NO.884,+SP-5,+A-608,+INFINITY+TOWER,+TP-25,+Corporate+Rd,+Prahlad+Nagar,+Ahmedabad,+Gujarat+380015&ved=2ahUKEwjp7vLSprmEAxXB5YQAHVucDw0Q48ADegQIABAr","SUR.NO.884, SP-5, A-608, INFINITY TOWER, TP-25, Corporate Rd, Prahlad Nagar, Ahmedabad, Gujarat 380015",23.00790730014,72.505506221689,3.7,6:30 PM
ADINATH HEALTHCARE,9374739213,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HBuijlISsJ_Ez8HjRYDGeQ&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=174.26006&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kemf8Yt9hV45MTRfut50GK6p&daddr=GF+2+ANKUR+COMPLEX+NR+TOWN+HALL,+Ellisbridge,+Ahmedabad,+Gujarat+380006&ved=2ahUKEwjp7vLSprmEAxXB5YQAHVucDw0Q48ADegQIABAz","GF 2 ANKUR COMPLEX NR TOWN HALL, Ellisbridge, Ahmedabad, Gujarat 380006",23.02215,72.5703,4.8,6:30 PM
Health care,7935911767,https://lh5.googleusercontent.com/p/AF1QipNzfYlpBiMMWfINeRww-LTrNi15adoehvf0HlNK=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KelCGgV4h145MTmspPQaNbz8&daddr=B-1/2+Jabuka+Complex,+Near+Bajrang+Das+Ashram+N.h.no-8,+Thakkarbapanagar,+Ahmedabad,+Gujarat+382350&ved=2ahUKEwjp7vLSprmEAxXB5YQAHVucDw0Q48ADegQIABA5","B-1/2 Jabuka Complex, Near Bajrang Das Ashram N.h.no-8, Thakkarbapanagar, Ahmedabad, Gujarat 382350",23.04467016473,72.646499222259,5,08:00 PM
Healthcare Gujarat,9723999937,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bKKJAuvsDUDWb_TMCs_mpw&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=270.43414&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXfMJMFKhV45Mf9_rneNoTwW&daddr=Healthcare+House,+31/4-+L+Colony+GST+Bhavan+Road,+near+Sahajanand+College,+Ambawadi,+Ahmedabad,+Gujarat+380015&ved=2ahUKEwjp7vLSprmEAxXB5YQAHVucDw0Q48ADegQIABBI","Healthcare House, 31/4- L Colony GST Bhavan Road, near Sahajanand College, Ambawadi, Ahmedabad, Gujarat 380015",23.025000012957,72.544260040179,4.9,07:00 PM
Asilia Healthcare,6355282673,https://lh5.googleusercontent.com/p/AF1QipNshstlBDdOtSF0jJPlDAzPBwPnnpXi2MOLHuTw=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTndmxMNhV45MYQXgAyj8Jgy&daddr=314+F+BLOCK+TITANIUM+CITY+CENTER+ANAND+NAGAR+RAOD,+Satellite,+Ahmedabad,+Gujarat+380001&ved=2ahUKEwjp7vLSprmEAxXB5YQAHVucDw0Q48ADegQIABBP","314 F BLOCK TITANIUM CITY CENTER ANAND NAGAR RAOD, Satellite, Ahmedabad, Gujarat 380001",23.01139,72.52309,4.6,07:00 PM
MERIDIAN HEALTH CARE,6358120128,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OTWosl1AjZ2E9_kCA0qHJg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=121.2484&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSt2k6f3m145MRv753VQfrVD&daddr=Shalby+Hospitals,+Sarkhej+-+Gandhinagar+Hwy,+opp.+Karnavati+Club,+Ramdev+Nagar,+Ahmedabad,+Gujarat+380015&ved=2ahUKEwjp7vLSprmEAxXB5YQAHVucDw0Q48ADegQIABBW","Shalby Hospitals, Sarkhej - Gandhinagar Hwy, opp. Karnavati Club, Ramdev Nagar, Ahmedabad, Gujarat 380015",23.01012609416,72.501806281541,5,6:30 PM
Shalby Homecare,7226077766,https://lh5.googleusercontent.com/p/AF1QipO6tlvg4GtOoF58G_8nFMe2KZcNGF-wktPyFjqT=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZ_FJu5QnV45Mf87vnTiGwoN&daddr=Shilp+The+Address,+201,+Shilaj+Rd,+Thaltej,+Ahmedabad,+Gujarat+380059&ved=2ahUKEwjp7vLSprmEAxXB5YQAHVucDw0Q48ADegQIABBd","Shilp The Address, 201, Shilaj Rd, Thaltej, Ahmedabad, Gujarat 380059",23.051979538279,72.501101692512,4.5,6:30 PM
Hope Healthcare Hospital,9998517492,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CuzG5u6jDeR1wQZbJx1Zmw&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=17.381567&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUugC_G1hF45Mcg9NsY3f1e9&daddr=77,+Vastrapur,+Ahmedabad,+Gujarat+380015&ved=2ahUKEwjp7vLSprmEAxXB5YQAHVucDw0Q48ADegQIABBk","77, Vastrapur, Ahmedabad, Gujarat 380015",23.038994226197,72.529429525862,3.5,08:00 PM
Manav Healthcare,7940308700,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JNWsRG18omWQ41qzbDutng&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=241.98099&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUXtYEBdhV45MermnnkPFEKc&daddr=PNTC+Building,+A-901,+Times+Of+India+Press+Rd,+Vejalpur,+Ahmedabad,+Gujarat+380051&ved=2ahUKEwjp7vLSprmEAxXB5YQAHVucDw0Q48ADegQIABBs","PNTC Building, A-901, Times Of India Press Rd, Vejalpur, Ahmedabad, Gujarat 380051",23.00913582621,72.521023317711,4.5,6:30 PM
Kruzal Healthcare,8733025959,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=324cRry5kfaB7dX4rzs6Rg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=150.77989&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRF-WcJCg145MdsdSV03qm-s&daddr=A,407,+Shivalik+Yash,+BRTS,+opp.+Shastrinagar,+Naranpura,+Ahmedabad,+Gujarat+380013&ved=2ahUKEwjp7vLSprmEAxXB5YQAHVucDw0Q48ADegQIABB1","A,407, Shivalik Yash, BRTS, opp. Shastrinagar, Naranpura, Ahmedabad, Gujarat 380013",23.06141,72.55302,4.6,10:00 PM
