Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
ALLFIX HOME - Trusted Appliance Repair & Home Service Expert,9099000553,https://lh5.googleusercontent.com/p/AF1QipNNycPEqbHqPVBeVNYwebfTCdP8o_oH6R06ByIr=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdMg2j-Bg145MQDBATdD7PdC&daddr=FF+-+34+Aaryavilla+shopping+Nr,+Anand+Party+Plot+Rd,+GST+crossing,+New+Ranip,+Ahmedabad,+Gujarat+382470&ved=2ahUKEwjKxb-OrLmEAxVr1YQAHelICeIQ48ADegQIABAt","FF - 34 Aaryavilla shopping Nr, Anand Party Plot Rd, GST crossing, New Ranip, Ahmedabad, Gujarat 382470",23.085641606996,72.56298124321,4.2,09:00 PM
Apna Staff Home Services,9081200702,https://lh5.googleusercontent.com/p/AF1QipMeF5k6DlpUmhTIM_U4wFabNfNqr4rXaY4RrkQ=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZXRfFafhV45Met87Ugf6Nd9&daddr=Office+No+:+107,First+Floor,+The+Grand+Monarch,+100+Feet+Rd,+near+Seema+Hall,+Jodhpur+Village,+Ahmedabad,+Gujarat+380058&ved=2ahUKEwjKxb-OrLmEAxVr1YQAHelICeIQ48ADegQIABA4","Office No : 107,First Floor, The Grand Monarch, 100 Feet Rd, near Seema Hall, Jodhpur Village, Ahmedabad, Gujarat 380058",23.024165,72.466891354,4.4,6:30 PM
Shreenath Home Service - best maid service agency,9016587577,https://lh5.googleusercontent.com/p/AF1QipMlDQFtETG1MRMtwCBLfIqGrVUYVwr5Rna5rWZI=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWdHdDgXm145MeZXi4jHzjGn&daddr=307,+3rd+Floor,+Newyork+Park+Arcade,+near+Nr,+Bhavya+Park,+Bopal,+Ahmedabad,+Gujarat+380058&ved=2ahUKEwjKxb-OrLmEAxVr1YQAHelICeIQ48ADegQIABBB","307, 3rd Floor, Newyork Park Arcade, near Nr, Bhavya Park, Bopal, Ahmedabad, Gujarat 380058",23.037980334336,72.469738368184,5,06:00 PM
Home Hancer Services,9157691572,https://lh5.googleusercontent.com/p/AF1QipOHUHKjnDvLFkNBfHrjXzyKdH9IsxdGfAK6a0vJ=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQ36x9NuhV45MZnUscDodzgA&daddr=C-901+PNTC,+Times+Of+India+Press+Rd,+behind+Titanium+City+Centre,+Vejalpur,+Ahmedabad,+Gujarat+380015&ved=2ahUKEwjKxb-OrLmEAxVr1YQAHelICeIQ48ADegQIABBL","C-901 PNTC, Times Of India Press Rd, behind Titanium City Centre, Vejalpur, Ahmedabad, Gujarat 380015",23.010693198061,72.531313062497,4.9,6:30 PM
Shivay Home Service South Bopal,9537783843,https://lh5.googleusercontent.com/p/AF1QipOfVPy_PpOgANAtFlXG0C6T8GGJJq2nrjLkaO2c=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kb2tKym-m145MahX_MkdLliB&daddr=FF-15,+Kavisha+Celebration,+Aarohi+Club+Rd,+South+Bopal,+Ahmedabad,+Gujarat+380058&ved=2ahUKEwjKxb-OrLmEAxVr1YQAHelICeIQ48ADegQIABBV","FF-15, Kavisha Celebration, Aarohi Club Rd, South Bopal, Ahmedabad, Gujarat 380058",23.02071,72.46014,4.7,07:00 PM
Ramlas Home Service Pvt. Ltd.,9824132255,https://lh5.googleusercontent.com/p/AF1QipNyoJpzYtdZeUYNrUz6kV9sSfcWLHzC5pR9FSd_=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWkH6s43bzSEMZdrC8ieMMlg&daddr=Block+No+-+A+/+422+,+4th+Floor+,+SoBo+Center,+Gala+Gymkhana+Rd,+South+Bopal,+Ahmedabad,+Gujarat+380058&ved=2ahUKEwjKxb-OrLmEAxVr1YQAHelICeIQ48ADegQIABBf","Block No - A / 422 , 4th Floor , SoBo Center, Gala Gymkhana Rd, South Bopal, Ahmedabad, Gujarat 380058",23.026721778266,72.468778217536,4.5,6:30 PM
KALYAN HOME SERVICE,9558543150,https://lh5.googleusercontent.com/p/AF1QipPMzJc48KBDj5vJY9-caUZS6_4hdwwqVu4C2jnJ=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KW16POvbhV45MdBH3UkiVnhQ&daddr=Swaminarayan+Avenue,+A+-+408,+nr.+AEC+Cross+Road,+AEC+Char+Rasta,+Naranpura,+Ahmedabad,+Gujarat+380013&ved=2ahUKEwjKxb-OrLmEAxVr1YQAHelICeIQ48ADegQIABBo","Swaminarayan Avenue, A - 408, nr. AEC Cross Road, AEC Char Rasta, Naranpura, Ahmedabad, Gujarat 380013",23.05404,72.54743,4.1,6:30 PM
Shree Shiv home service,9979556012,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=n_rIfcnEJtA03A8VXXiWyQ&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=293.32407&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KR8UpZ0Sm145MXq9yB9kL_zZ&daddr=Shop+ff/03,+devpriya+complex,+100+Feet+Anand+Nagar+Rd,+opp.+shreeji+enclave,+Chinar+Bungalows,+Prahlad+Nagar,+Ahmedabad,+Gujarat+380015&ved=2ahUKEwjKxb-OrLmEAxVr1YQAHelICeIQ48ADegQIABBv","Shop ff/03, devpriya complex, 100 Feet Anand Nagar Rd, opp. shreeji enclave, Chinar Bungalows, Prahlad Nagar, Ahmedabad, Gujarat 380015",23.015400009703,72.534720009442,4,6:30 PM
Viyaa home service provider,9104765267,https://lh5.googleusercontent.com/p/AF1QipP0wxJQe37poaKXcE9coJQxXSg5YDpEiaEN72rq=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTedPtW4m145MZhVlXrsnNIn&daddr=07+venus+Alfa+bazar,+venus+Atlantis,+Anandnagar+Road,+Prahaladnagar,+Satellite,+Ahmedabad,+Gujarat+380015&ved=2ahUKEwjKxb-OrLmEAxVr1YQAHelICeIQ48ADegQIABB6","07 venus Alfa bazar, venus Atlantis, Anandnagar Road, Prahaladnagar, Satellite, Ahmedabad, Gujarat 380015",23.013263337901,72.511775955671,3.6,6:30 PM
servant home service provider,9737825648,https://lh5.googleusercontent.com/p/AF1QipOkyR15gzLw2tiVUPzodOn22gitpoD_gqdZWxlL=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ka8s35WZm145Ma-WtABHVm0q&daddr=407+4th+floor+newyork+park+arcade,+nr,+Bhavya+Park,+Bopal,+Ahmedabad,+Gujarat+380058&ved=2ahUKEwjKxb-OrLmEAxVr1YQAHelICeIQ48ADegUIABCFAQ","407 4th floor newyork park arcade, nr, Bhavya Park, Bopal, Ahmedabad, Gujarat 380058",23.037980334336,72.469738368184,4.6,6:30 PM
