Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
Plumbing work,09512520701,https://lh5.googleusercontent.com/p/AF1QipOwqX-msLNyW_MRDGGpw1PqAZ9im2naBKEkLzmd=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kb1niMiFm145MdqTLkZP7gPh&daddr=2GX8%2BQ8P,+Thaltej,+Ahmedabad,+Gujarat+380057&ved=2ahUKEwjU76iyqLmEAxUwzIQAHYq1CqQQ48ADegQIABAq","2GX8+Q8P, Thaltej, Ahmedabad, Gujarat 380057",23.05015,72.51109,4.7,11:00 PM
Asha plumbings,09727252805,https://lh5.googleusercontent.com/p/AF1QipNcRfELHvYcl2AkLmFvptH0Ibp_swvDNkRdv85C=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KavD6pgRhV45MbraJsr2ORCx&daddr=D/39FAKHIR+MUKHI+NI+CHALI,+GAUTAM+NAGAR+CHAR+RASTA,+Behrampura,+Ahmedabad,+Gujarat+380022&ved=2ahUKEwjU76iyqLmEAxUwzIQAHYq1CqQQ48ADegQIABA0","D/39FAKHIR MUKHI NI CHALI, GAUTAM NAGAR CHAR RASTA, Behrampura, Ahmedabad, Gujarat 380022",23.003270376355,72.582656075713,4.7,6:30 PM
Jayantibhai and son Plumber,09265299614,https://lh5.googleusercontent.com/p/AF1QipOIJ3UU9LyWhCHrDn8Fg5y6L-_ze4O67e9UD5xg=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXklsjSDhV45MZcuwnQOk7SE&daddr=60,+Ganpat+Society,+Arihant+Nagar,+Shahibag,+Ahmedabad,+Gujarat+380004&ved=2ahUKEwjU76iyqLmEAxUwzIQAHYq1CqQQ48ADegQIABA9","60, Ganpat Society, Arihant Nagar, Shahibag, Ahmedabad, Gujarat 380004",23.053871676248,72.596229874435,4.5,6:30 PM
Soni Traders,09909559067,https://lh5.googleusercontent.com/p/AF1QipNEsKXjoXrU1Upk9clUk-P5giFEe0W1iMgxwUbU=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXX6TW8qhV45MTSoL4Ns9Tlt&daddr=Shop+no-12,+B-Block,+SWAMINARAYAN+PARK-1,+New,+Vasna+Rd,+near+Rajyash+city,+Vishala,+Ahmedabad,+Gujarat+380015&ved=2ahUKEwjU76iyqLmEAxUwzIQAHYq1CqQQ48ADegQIABBI","Shop no-12, B-Block, SWAMINARAYAN PARK-1, New, Vasna Rd, near Rajyash city, Vishala, Ahmedabad, Gujarat 380015",22.996729990932,72.537970008579,4.8,6:30 PM
Jay Plumbing,08160015627,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Pdxj1qHSVZrZ4zkf8PU1nA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=311.6326&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kd2qqro3hF45Mf22Vb28qy-8&daddr=278+Mama+ni+pole,Tanksad,Kalupur,+Ahmedabad,+Gujarat+380001&ved=2ahUKEwjU76iyqLmEAxUwzIQAHYq1CqQQ48ADegQIABBR","278 Mama ni pole,Tanksad,Kalupur, Ahmedabad, Gujarat 380001",23.02081,72.589421431,4.3,6:30 PM
Easy To Fix Services Private Limited,09499559955,https://lh5.googleusercontent.com/p/AF1QipO9Lz4zRewsZmOd0mzR4rLOb1T4VdPl_cmUjpaN=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXHajo-whV45MSUAkTbBzL6Z&daddr=Iscon+Emporio,+715,+Satellite+Rd,+near+Star+Bazaar,+Satellite,+Ahmedabad,+Gujarat+380015&ved=2ahUKEwjU76iyqLmEAxUwzIQAHYq1CqQQ48ADegQIABBc","Iscon Emporio, 715, Satellite Rd, near Star Bazaar, Satellite, Ahmedabad, Gujarat 380015",23.02619,72.52459,4.9,6:30 PM
Divine Experts - Trusted Home Service Expert,07383081191,https://lh5.googleusercontent.com/p/AF1QipPAMvRMfqCvm1tU-8QTlU2xHP9u0VKpzochECg=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZfB51QRg145MQUeN_Hd_h8U&daddr=Ranchhodrai+Nagar+Part-2,+Gayatri+Nagar,+Chandlodiya,+Ahmedabad,+Gujarat+382481&ved=2ahUKEwjU76iyqLmEAxUwzIQAHYq1CqQQ48ADegQIABBn","Ranchhodrai Nagar Part-2, Gayatri Nagar, Chandlodiya, Ahmedabad, Gujarat 382481",23.088858453575,72.551841873664,4.6,6:30 PM
Prakash Plumber Work,09327893912,https://lh5.googleusercontent.com/p/AF1QipOWnNEr6vR7vSB33z_wSm-fcq3-cPLIER_wkW47=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KY1efy0jj145MX6va-YZ9llc&daddr=Gate+No,+2akruti+Township,+Narolgam,+Ahmedabad,+Gujarat+382405&ved=2ahUKEwjU76iyqLmEAxUwzIQAHYq1CqQQ48ADegQIABBx","Gate No, 2akruti Township, Narolgam, Ahmedabad, Gujarat 382405",22.962361356001,72.593026229291,4.5,6:30 PM
HOME CARE SERVICES.,09824409375,https://lh5.googleusercontent.com/p/AF1QipOZ3l0q0H0pANXyvhqn8QPUz0dG0nAs0pjeBL5y=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZ_Eq8R6hF45MWglCPQ2pRg-&daddr=207,+Ranchhodrai+Nagar,+Part+-3,+Chandlodiya,+Ahmedabad,+Gujarat+382481&ved=2ahUKEwjU76iyqLmEAxUwzIQAHYq1CqQQ48ADegQIABB8","207, Ranchhodrai Nagar, Part -3, Chandlodiya, Ahmedabad, Gujarat 382481",23.088858453575,72.551841873664,4.6,6:30 PM
Shree Hari Plumbing,09712834430,https://lh5.googleusercontent.com/p/AF1QipPO0XyEqAXv6dHAKZurT4B2fRLIBM_kSCkh-NHc=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZeebwDrh145Me6W12QNe4vI&daddr=1,+Mahakali+Hardware,+Jenil+shoping+Center,+Nikol+-+Naroda+Rd,+opp.+Meera+Manan+residency,+Nikol,+Ahmedabad,+Gujarat+382350&ved=2ahUKEwjU76iyqLmEAxUwzIQAHYq1CqQQ48ADegUIABCHAQ","1, Mahakali Hardware, Jenil shoping Center, Nikol - Naroda Rd, opp. Meera Manan residency, Nikol, Ahmedabad, Gujarat 382350",23.041344537208,72.669346528489,4.6,6:30 PM
