Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
CG Square Mall,9601676919,https://lh5.googleusercontent.com/p/AF1QipOerx3FCNib_lqUaUvuH9EgIshcCXninSm8sKQB=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQcCm8v6hF45Ma5OcvqZ6NaU&daddr=7,+Chimanlal+Girdharlal+Rd,+Panchavati+Society,+Gulbai+Tekra,+Ahmedabad,+Gujarat+380006&ved=2ahUKEwjDlcqtqbmEAxVQ5YQAHZg7CXgQ48ADegQIABAr","7, Chimanlal Girdharlal Rd, Panchavati Society, Gulbai Tekra, Ahmedabad, Gujarat 380006",23.027289990814,72.556910008451,4.1,10:00 PM
Best For Ahmedabad- Shopping Near Me | Gifting Shop in Ahmedabad,8690642642,https://lh5.googleusercontent.com/p/AF1QipOpJPArRC_jLHSe_J4bo63p5kqdhKCSXjr-Y-oh=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KcFBKhiGhV45MRPLz1ltvSAC&daddr=GF-shop/25+Maple+tree+nr+surdhara+circle+Sal+hospital,+road,+Thaltej,+Ahmedabad,+Gujarat+380059&ved=2ahUKEwjDlcqtqbmEAxVQ5YQAHZg7CXgQ48ADegQIABA1","GF-shop/25 Maple tree nr surdhara circle Sal hospital, road, Thaltej, Ahmedabad, Gujarat 380059",23.062742615669,72.514817283839,5,6:30 PM
Shree Balaji Agora Mall,18002031111,https://lh5.googleusercontent.com/p/AF1QipPzQo0lBRdXDch7nBc4oO4a452KksU-qk-kYOzl=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kd8fIEXIg145MY6o9LOW33jv&daddr=Tapovan+Circle,+Bhat+Circle,+Between+200+ft,+Sardar+Patel+Ring+Rd,+Motera,+Ahmedabad,+Gujarat+382424&ved=2ahUKEwjDlcqtqbmEAxVQ5YQAHZg7CXgQ48ADegQIABA-","Tapovan Circle, Bhat Circle, Between 200 ft, Sardar Patel Ring Rd, Motera, Ahmedabad, Gujarat 382424",23.115735,72.585965064,4,10:00 PM
Centro,8849730056,https://lh5.googleusercontent.com/p/AF1QipOVq7FA3PzPHM9dwVNBniqIU3VsmrWrryh_iHwW=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVvXRC8DhV45McjqYXM29oIN&daddr=Panchavati+Rd,+beside+Kaivanna+Complex,+Panchavati+Society,+Ambawadi,+Ahmedabad,+Gujarat+380006&ved=2ahUKEwjDlcqtqbmEAxVQ5YQAHZg7CXgQ48ADegQIABBH","Panchavati Rd, beside Kaivanna Complex, Panchavati Society, Ambawadi, Ahmedabad, Gujarat 380006",23.02247498558,72.556205006575,4.2,6:30 PM
Lal Darwaza Shopping Centre,7930225509,https://lh5.googleusercontent.com/p/AF1QipNa25egqOtv0leKciXsAp96knS1KHp4Jo47R4uw=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kaucs8IUhV45MbAphUVONu5g&daddr=2HGJ%2BGQR,+opp.+Dinbai+Tower,+Old+City,+Lal+Darwaja,+Ahmedabad,+Gujarat+380001&ved=2ahUKEwjDlcqtqbmEAxVQ5YQAHZg7CXgQ48ADegQIABBQ","2HGJ+GQR, opp. Dinbai Tower, Old City, Lal Darwaja, Ahmedabad, Gujarat 380001",23.025164998911,72.579115304074,4.2,6:30 PM
Shopping Malls,9586860126,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bz1vzlVBXAvyEupXvjK8jg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=38.201267&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYcShqX6hF45MeYRXwO7GtsY&daddr=2HG4%2B6MM,+Chimanlal+Girdharlal+Rd,+Near+Associate+Petrol+Pump,+Navrangpura,+Ahmedabad,+Gujarat+380009&ved=2ahUKEwjDlcqtqbmEAxVQ5YQAHZg7CXgQ48ADegQIABBY","2HG4+6MM, Chimanlal Girdharlal Rd, Near Associate Petrol Pump, Navrangpura, Ahmedabad, Gujarat 380009",23.039799981303,72.565830029811,3.6,6:30 PM
Gulmohar Park Mall,7830395302,https://lh5.googleusercontent.com/p/AF1QipOUHHkiiSA-yCOWDcd4j2SYyDUnObtoUdjjYeME=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVnlFEU3m145MZNQymKhWlFe&daddr=Gate+1,+Bombay+Hotel,+Gulmohar+Park,+Ramdev+Nagar,+Ahmedabad,+Gujarat+380028&ved=2ahUKEwjDlcqtqbmEAxVQ5YQAHZg7CXgQ48ADegQIABBg","Gate 1, Bombay Hotel, Gulmohar Park, Ramdev Nagar, Ahmedabad, Gujarat 380028",23.000332904783,72.594054947878,4.1,09:00 PM
Ahmedabad City Mall,6359141211,https://lh5.googleusercontent.com/p/AF1QipPhD6mNv6Dvrui_hjpyF588jmxrQcbX7YWaMG4b=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kf9xxxLMhV45MZT5fNvJaAgE&daddr=2H8W%2B2CQ,+Sher+Kotda+Rd,+Sherkotda,+Ahmedabad,+Gujarat+380002&ved=2ahUKEwjDlcqtqbmEAxVQ5YQAHZg7CXgQ48ADegQIABBp","2H8W+2CQ, Sher Kotda Rd, Sherkotda, Ahmedabad, Gujarat 380002",23.012761490676,72.602195926335,4.1,6:30 PM
Khwaja Market,9909983100,https://lh5.googleusercontent.com/p/AF1QipPFSHeMSV1UH-lGiBUnfSG1F0gwMGUMUqIIKlDo=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaUoOodOhF45MYU91B8L1QOz&daddr=2HFM%2BG3W,+Old+City,+Dhalgarwad,+Khadia,+Ahmedabad,+Gujarat+380001&ved=2ahUKEwjDlcqtqbmEAxVQ5YQAHZg7CXgQ48ADegQIABBy","2HFM+G3W, Old City, Dhalgarwad, Khadia, Ahmedabad, Gujarat 380001",23.022645531287,72.585526357573,4.5,09:00 PM
Ellisbridge Shopping Centre,7940022556,https://lh5.googleusercontent.com/p/AF1QipMTYYspMiM44NzHAu48FD9wRcAf0Nn3_Tzls95N=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZ_bGJdWhF45MfRPiun7w8AK&daddr=2HFC%2B4QM,+Ellisbridge,+Ahmedabad,+Gujarat+380006&ved=2ahUKEwjDlcqtqbmEAxVQ5YQAHZg7CXgQ48ADegQIABB7","2HFC+4QM, Ellisbridge, Ahmedabad, Gujarat 380006",23.022368830465,72.574953974089,4,6:30 PM
