"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Bangalore Education Center","08028435515","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9hmA_WuA2W06VUifCUnrMA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=23.847908&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ke2Cmu8lFq47MZ23157JVzho&daddr=4th+Main,+8th+Cross+Rd,+Malleshwara,+Bengaluru,+Karnataka+560003&ved=2ahUKEwj63vCbsLmEAxWBzIQAHdvWBX0Q48ADegQIABAv","4th Main, 8th Cross Rd, Malleshwara, Bengaluru, Karnataka 560003","12.99930001283","77.575409997988","5.0","04:00 PM"
"The Bangalore Education Society","08023311770","https://lh5.googleusercontent.com/p/AF1QipO_NlDTmN5ewojy1gXUdM8frBJTotb5px-sJqZ5=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXXIdtVIFK47MQyAVW3fYLDD&daddr=%2358,+Jyoti+Nivas+College+Rd,+KHB+Colony,+5th+Block,+Koramangala,+Bengaluru,+Karnataka+560095&ved=2ahUKEwj63vCbsLmEAxWBzIQAHdvWBX0Q48ADegQIABA2","#58, Jyoti Nivas College Rd, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095","12.933589999067","77.615710020818","4.4","6:30 PM"
"Educational","09742411114","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BlXg1N_LEVlfo9A9PTVBJQ&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=6.5129886&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaUQ2YxfGK47MeBszfrUFFPB&daddr=23+Cross,+%23286,+1st+Main+Rd,+Maruthi+Nagar,+Yelahanka,+Bengaluru,+Karnataka+560064&ved=2ahUKEwj63vCbsLmEAxWBzIQAHdvWBX0Q48ADegQIABA8","23 Cross, #286, 1st Main Rd, Maruthi Nagar, Yelahanka, Bengaluru, Karnataka 560064","13.097059993584","77.597590022533","3.5","6:30 PM"
"Bangalore Education Trust","08050765565","https://lh5.googleusercontent.com/p/AF1QipP6yXu6XgdfSCVe6j1sO4lfnL6nkIAncvnarsF7=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUu4d1OmFa47MXDPWzuKiXsw&daddr=%23689,2nd+Floor,+East+End+Road,+Jayanagar+9th+block,+Above+Manappuram+Gold+Loan,+Near+East+End+Circle,+Bengaluru,+Karnataka+560069&ved=2ahUKEwj63vCbsLmEAxWBzIQAHdvWBX0Q48ADegQIABBG","#689,2nd Floor, East End Road, Jayanagar 9th block, Above Manappuram Gold Loan, Near East End Circle, Bengaluru, Karnataka 560069","12.91999937543","77.596959419534","4.0","6:30 PM"
"Global Shiksha Institute - College/Courses in Bangalore, Distance Education Admission, B.ed, M.ed, B tech, M tec","08043718004","https://lh5.googleusercontent.com/p/AF1QipOJcUiKozNKfHrMBetY3Bfgn1VypB-Un6qT7cv2=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZkjGL0QFa47MZ2LfHXSm0Lp&daddr=XJ9G%2BF65,+GUN+TROOPS+OFFICERS+COLONY,+Gowthamapuram,+Jogupalya,+Bengaluru,+Karnataka&ved=2ahUKEwj63vCbsLmEAxWBzIQAHdvWBX0Q48ADegQIABBN","XJ9G+F65, GUN TROOPS OFFICERS COLONY, Gowthamapuram, Jogupalya, Bengaluru, Karnataka","12.96776","77.62017","4.8","05:00 PM"
"Bangalore","09880375769","https://lh5.googleusercontent.com/p/AF1QipMxt4Pa5ayjlTHbmFeew1DAcaRlK0FFjOsU0cjL=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KX_6tCGUPq47MQjSeALWyrXD&daddr=No+:+1+%26+2,+Shivu+Layout,+Bangalore+University+Boys+Hostel+Road,+Mariyappana+Palya,+Kengeri+Ring+Road,+Bengaluru,+Karnataka+560056&ved=2ahUKEwj63vCbsLmEAxWBzIQAHdvWBX0Q48ADegQIABBW","No : 1 & 2, Shivu Layout, Bangalore University Boys Hostel Road, Mariyappana Palya, Kengeri Ring Road, Bengaluru, Karnataka 560056","12.948455","77.472530843","4.7","6:30 PM"
"Shiksha Academy for Learning","08088656565","https://lh5.googleusercontent.com/p/AF1QipPalq-gylNiS5rIF2tBSIt9FUeIw_ATOfK-hNVP=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KeGUtGoion4NMXpedSXB_Gm-&daddr=No.+19/3,+1st+Floor,+Yes+Complex,+Opposite+Novodaya+Vidyaniketan,+Dinnur+Main+Rd,+RT+Nagar,+Bengaluru,+Karnataka+560032&ved=2ahUKEwj63vCbsLmEAxWBzIQAHdvWBX0Q48ADegQIABBg","No. 19/3, 1st Floor, Yes Complex, Opposite Novodaya Vidyaniketan, Dinnur Main Rd, RT Nagar, Bengaluru, Karnataka 560032","13.020249993084","77.586170014733","4.7","06:00 PM"
"EDUPROV- College Admission Assistance & Distance Education Institute in Bangalore, Admission for B.ed, B.COM, BBA, MBA, MCA","09008981530","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=O9Fky6dt-5jjyHgkYUM9eA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=5.333739&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYUuylkuFq47MUVUC2DZezX7&daddr=%2377,+3rd+Floor,+13th+Cross,+Sampige+Rd,+Malleshwara,+Bengaluru,+Karnataka+560003&ved=2ahUKEwj63vCbsLmEAxWBzIQAHdvWBX0Q48ADegQIABBx","#77, 3rd Floor, 13th Cross, Sampige Rd, Malleshwara, Bengaluru, Karnataka 560003","13.00084185921","77.571293935649","4.7","6:30 PM"
"North Bangalore Educational Trust","09108019006","https://lh5.googleusercontent.com/p/AF1QipPtaCR2PQD4FBezxae3e8HvRuwT8Ne3QucaEGbv=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYn9_DPlP647MSVGKxA4fwKY&daddr=BANGALORE+UNIVERSITY,+ECONOMICS+DEPARTMENT+BANGALORE+UNIVERSITY,+2,+Jnanabharathi+Layout,+1st+Block,+BDA+Mariyappana+Palya+Layout,+Gnana+Bharathi,+Bengaluru,+Karnataka+560056&ved=2ahUKEwj63vCbsLmEAxWBzIQAHdvWBX0Q48ADegQIABB4","BANGALORE UNIVERSITY, ECONOMICS DEPARTMENT BANGALORE UNIVERSITY, 2, Jnanabharathi Layout, 1st Block, BDA Mariyappana Palya Layout, Gnana Bharathi, Bengaluru, Karnataka 560056","12.948455","77.472530843","4.0","07:00 PM"
"Geetanjali Institute - Distance Education Institute in Bengaluru, Admission for B.ed, B.ed course colleges, BBA, BCA, MCA","09741004996","https://lh5.googleusercontent.com/p/AF1QipNTrMGCIGVsJVFAvFb2FG1XPukZRP1HqMuXll7g=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUcPlD55Fq47Md9UHnEr7MJ4&daddr=Chandrika+Hotel+Building+Land+Mark:,+Commerce+Chambers,+304,+3rd+floor,+Cunningham+Rd,+opp.+HIGH+GROUNDS+POLICE+STATION,+Bengaluru,+Karnataka+560052&ved=2ahUKEwj63vCbsLmEAxWBzIQAHdvWBX0Q48ADegUIABCCAQ","Chandrika Hotel Building Land Mark:, Commerce Chambers, 304, 3rd floor, Cunningham Rd, opp. HIGH GROUNDS POLICE STATION, Bengaluru, Karnataka 560052","12.990282144001","77.591366088245","4.1","6:30 PM"
