"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Avanta Healthcare Rehabilitation Center | Pre & Post Operative Care | Home Nursing | Geriatric Care | Rehab in Bangalore","09742110808","https://lh5.googleusercontent.com/p/AF1QipOCLExbvWBJ1h90wCOGIL00bL4MhJvVxQQOn76Y=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbWxcOfAaq47Md385xlRXjlP&daddr=6th+B+Main+Rd,+Doresanipalya,+Krishnaraju+Layout,+Amalodbhavi+Nagar,+Panduranga+Nagar,+Bengaluru,+Karnataka+560076&ved=2ahUKEwid8LiWs7mEAxXt2oQAHfajBcMQ48ADegQIABAr","6th B Main Rd, Doresanipalya, Krishnaraju Layout, Amalodbhavi Nagar, Panduranga Nagar, Bengaluru, Karnataka 560076","12.894741388371","77.597445860995","4.6","6:30 PM"
"Portea - Bangalore","18001212323","https://lh5.googleusercontent.com/p/AF1QipOmcJBfwXYelnN6h6hns0VDtm27vjWKwWKkUnRa=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KemZTvEFFK47MZWXEwcUqHeY&daddr=69/B,+1st+Cross+Rd,+Domlur+I+Stage,+1st+Stage,+Domlur,+Bengaluru,+Karnataka+560071&ved=2ahUKEwid8LiWs7mEAxXt2oQAHfajBcMQ48ADegQIABA1","69/B, 1st Cross Rd, Domlur I Stage, 1st Stage, Domlur, Bengaluru, Karnataka 560071","12.960719998442","77.63580999227","4.3","6:30 PM"
"Global Health Care Services","09741945454","https://lh5.googleusercontent.com/p/AF1QipO9_aAtAOvJ4zAxSUWKxQDmkPzvWdAYmwx7mZe2=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZ-qedM9Fq47MRkFT-y8DvzY&daddr=Swastik+Complex,+Subedar+Chatram+Rd,+4th+Block,+VV+Giri+Colony,+Seshadripuram,+Bengaluru,+Karnataka+560020&ved=2ahUKEwid8LiWs7mEAxXt2oQAHfajBcMQ48ADegQIABA8","Swastik Complex, Subedar Chatram Rd, 4th Block, VV Giri Colony, Seshadripuram, Bengaluru, Karnataka 560020","12.987918200837","77.574251169178","4.3","08:00 PM"
"United Health Care","08046604400","https://lh5.googleusercontent.com/p/AF1QipMVL-9ziSaHJeKor2rQrss9A83mxT6MJaAV76Re=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWUJfoAFFK47MR8SA-EFGCS1&daddr=1,+Victor+Mansion,+Golf+View+Avenue,+Airport+Road,+Kodihalli,+Bengaluru,+Karnataka+560008&ved=2ahUKEwid8LiWs7mEAxXt2oQAHfajBcMQ48ADegQIABBG","1, Victor Mansion, Golf View Avenue, Airport Road, Kodihalli, Bengaluru, Karnataka 560008","12.964784574471","77.649366543136","1.8","6:30 PM"
"Bash Heal Home Healthcare Services Pvt Ltd","07899229373","https://lh5.googleusercontent.com/p/AF1QipOKX67Ec7a1FydG-Jaj1JEQKFlY8-kCMvKGTFSH=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYGkEaY-PK47MTRmBehUMOoZ&daddr=1st+cross+Telecom+layout+Srighandakavalu,+near+Unani+hospital,+Kottigepalya,+Bengaluru,+Karnataka+560091&ved=2ahUKEwid8LiWs7mEAxXt2oQAHfajBcMQ48ADegQIABBO","1st cross Telecom layout Srighandakavalu, near Unani hospital, Kottigepalya, Bengaluru, Karnataka 560091","12.98621853641","77.512984568031","4.7","6:30 PM"
"Apollo HomeCare - Best Home Healthcare Services in Bengaluru","18001028586","https://lh5.googleusercontent.com/p/AF1QipNudpxMvndGQBTJMZzvzmqHI1Toyr66IZb9kc2N=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTuYg2r7FK47MVnXP3gxvRkO&daddr=OASIS+%2319,+29th+Main+Rd,+BTM+2nd+Stage,+Nagarbhavi+1st+Stage,+Stage+2,+BTM+Layout,+Bengaluru,+Karnataka+560076&ved=2ahUKEwid8LiWs7mEAxXt2oQAHfajBcMQ48ADegQIABBW","OASIS #19, 29th Main Rd, BTM 2nd Stage, Nagarbhavi 1st Stage, Stage 2, BTM Layout, Bengaluru, Karnataka 560076","12.90641000164","77.613039965561","4.7","06:00 PM"
"SKANDA HEALTH CARE A UNIT OF SHOBAN | gynecologist and orthopedic doctor in Bangalore","08050530911","https://lh5.googleusercontent.com/p/AF1QipMtXG3dskEf_HQV9i2X-3bo7Uopp6k5f0Bw-fIl=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWtn8XRMFa47MW-dbKty4cF9&daddr=297,+15th+Cross,+Cauvery+krupa,+100+Feet+Ring+Rd,+5th+Phase,+Bengaluru,+Karnataka+560078&ved=2ahUKEwid8LiWs7mEAxXt2oQAHfajBcMQ48ADegQIABBe","297, 15th Cross, Cauvery krupa, 100 Feet Ring Rd, 5th Phase, Bengaluru, Karnataka 560078","12.901852968513","77.59063464789","4.9","6:30 PM"
"Heka healthcare","09620418418","https://lh5.googleusercontent.com/p/AF1QipOKMlzfIPsW_XmtUVALsjJpmE3SwN07ajbSS6Xw=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KcdlK7bsF647MWcvzFz7a4CM&daddr=NO.19,+Patel+Gundappa+Block,+Anchappa+Garden,+J.C.Nagar,+Bengaluru,+Karnataka+560006&ved=2ahUKEwid8LiWs7mEAxXt2oQAHfajBcMQ48ADegQIABBn","NO.19, Patel Gundappa Block, Anchappa Garden, J.C.Nagar, Bengaluru, Karnataka 560006","13.010570688771","77.595461504632","4.9","6:30 PM"
"2050 Healthcare- Stroke Rehab & Recovery Center | Paralysis & Neuro Care | Rehabilitation Center","08988980202","https://lh5.googleusercontent.com/p/AF1QipPuXASYHOpihr5ryyzrj1HekwBxe43JcwYufVyk=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXGN99p5Ga47MX07EIv0cIus&daddr=%23460+12th+cross+MCHCES+Layout+Dr.+Shivaram+karanth+nagar+80ft,+Double+Rd,+Bengaluru,+Karnataka+560077&ved=2ahUKEwid8LiWs7mEAxXt2oQAHfajBcMQ48ADegQIABBv","#460 12th cross MCHCES Layout Dr. Shivaram karanth nagar 80ft, Double Rd, Bengaluru, Karnataka 560077","13.06357","77.651640861","4.0","08:00 PM"
"Prana Healthcare Enablers Pvt ltd","08618607589","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1u1wLkJd9WSo_bpDJaOaRg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=175.08176&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KR3guIykFq47MYJDCGM15vJj&daddr=139,+14th+Block,+Arkavathy+Layout,+Bangalore,+Bengaluru,+Karnataka+560077&ved=2ahUKEwid8LiWs7mEAxXt2oQAHfajBcMQ48ADegQIABB3","139, 14th Block, Arkavathy Layout, Bangalore, Bengaluru, Karnataka 560077","13.068133439629","77.640454026188","4.7","10:00 PM"
