"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"HomecareSolutions- Home, Office, Kitchen, Bathroom, Sofa, Deep Home Cleaning Services in Bangalore","09148334580","https://lh5.googleusercontent.com/p/AF1QipOhpcxku618YnevBHJixE3_eIlLJLiKfjanjwxP=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUkXzxgGFK47Ma0EtIBQT7D5&daddr=Sri+Vinayaka+towers+No.+292,+2nd+floor,+7th+Cross+Rd,+Domlur,+Bengaluru,+Karnataka+560071&ved=2ahUKEwjLjo39rbmEAxW81IQAHf_RBz4Q48ADegQIABAt","Sri Vinayaka towers No. 292, 2nd floor, 7th Cross Rd, Domlur, Bengaluru, Karnataka 560071","12.960069981851","77.638520029205","4.7","09:00 PM"
"Vijay Home Services - Home Painting & Deep cleaning Expert","08453748478","https://lh5.googleusercontent.com/p/AF1QipMjtMO0mnT_NDqJf3blyQj6U5HNdHZxS7w_5oOt=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWUfIW96E647MZCqkEU-toQM&daddr=B+Nagasandra+gov+primary+school,+Bengaluru,+Karnataka+560037&ved=2ahUKEwjLjo39rbmEAxW81IQAHf_RBz4Q48ADegQIABBC","B Nagasandra gov primary school, Bengaluru, Karnataka 560037","12.943","77.65507","4.8","6:30 PM"
"Urban Home Services - Expert Home Services in Bangalore","09481998360","https://lh5.googleusercontent.com/p/AF1QipOavDI9l1O2Ri2Oo3yMfDcWJY7WMvZWkU-ujjUn=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWlLSW1SFK47McSFQ-VOo8qw&daddr=Horamavu+Main+Rd,+Kallumantapa,+Horamavu,+Bengaluru,+Karnataka+560043&ved=2ahUKEwjLjo39rbmEAxW81IQAHf_RBz4Q48ADegQIABBN","Horamavu Main Rd, Kallumantapa, Horamavu, Bengaluru, Karnataka 560043","13.029057921516","77.664341896429","4.4","6:30 PM"
"HomeTriangle - House Cleaning, Pest Control and Painting Services","07676000100","https://lh5.googleusercontent.com/p/AF1QipOW1qjtL4W25NUcBQd3icBIDfeupUT7knleFJP9=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KReCCVoiF647MYWNdO0FKe_4&daddr=26,+Kacharkanahalli,+Hennur+Main+Rd,+St+Thomas+Town,+Post,+Bengaluru,+Karnataka+560084&ved=2ahUKEwjLjo39rbmEAxW81IQAHf_RBz4Q48ADegQIABBY","26, Kacharkanahalli, Hennur Main Rd, St Thomas Town, Post, Bengaluru, Karnataka 560084","13.00633733979","77.621089558632","4.2","6:30 PM"
"Specific Home Services | Deep Cleaning & pest control services in Bangalore","09686078666","https://lh5.googleusercontent.com/p/AF1QipN-serATYyLElcRgK_p_6Ubk1RpUgUXTBuqX-Y=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWVb9VZAFa47MVDmN8oq8Zjq&daddr=637+Nandadeepa,+1st+Floor,+1st+Cross+RBI+Layout,+JP+Nagar+7th+Phase,+opp.+Elita+Promonade,+appt,+Exit+Gate,+Bengaluru,+Karnataka+560078&ved=2ahUKEwjLjo39rbmEAxW81IQAHf_RBz4Q48ADegQIABBj","637 Nandadeepa, 1st Floor, 1st Cross RBI Layout, JP Nagar 7th Phase, opp. Elita Promonade, appt, Exit Gate, Bengaluru, Karnataka 560078","12.89212","77.58079","4.6","11:00 PM"
"HomeSquadz ( ASE HOME SQUADZ PVT LTD )","09900002348","https://lh5.googleusercontent.com/p/AF1QipMu8b9U9Fl4UBBvHWlarI2XLDEaJ8e8g6DAJCH3=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZHPb4r0Ea47MeoLI-YMTa1Y&daddr=6th+Floor,+Neil+Rao+Towers,+Plot+No-118,+Rd+Number+3,+Vijayanagar,+EPIP+Zone,+Whitefield,+Bengaluru,+Karnataka+560066&ved=2ahUKEwjLjo39rbmEAxW81IQAHf_RBz4Q48ADegQIABBt","6th Floor, Neil Rao Towers, Plot No-118, Rd Number 3, Vijayanagar, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066","12.977667225038","77.725936864493","4.8","6:30 PM"
"TechSquadTeam - Home Cleaning and Pest Control Services @ Your Doorstep","07795001555","https://lh5.googleusercontent.com/p/AF1QipN0GObbDkHpbCkW6p-VeFLo5Ct3xTtxxo31isxb=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVeo_dIaJ68EMXJ-DXNI9bGj&daddr=opp.+Everest+theatre,+Pulikeshi+Nagar,+Bengaluru,+Karnataka+560045&ved=2ahUKEwjLjo39rbmEAxW81IQAHf_RBz4Q48ADegQIABB4","opp. Everest theatre, Pulikeshi Nagar, Bengaluru, Karnataka 560045","13.034174544999","77.620610627048","4.5","6:30 PM"
"Home Blink Services","09901516431","https://lh5.googleusercontent.com/p/AF1QipPwukr1FXL66vvaEz4ETaQwAQvZdrQU8xoRmJlz=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KedV3JxME647McWDB-mZfFoq&daddr=1st+Main,+next+to+Shiva+temple,+opposite+to+Government+School,+Yemalur,+Bengaluru,+Karnataka+560037&ved=2ahUKEwjLjo39rbmEAxW81IQAHf_RBz4Q48ADegUIABCCAQ","1st Main, next to Shiva temple, opposite to Government School, Yemalur, Bengaluru, Karnataka 560037","12.954112582431","77.69233517391","4.9","6:30 PM"
"Promen home service","08951231236","https://lh5.googleusercontent.com/p/AF1QipNDTYPVp8qXp-YEp9boK6QBkWpuSPQkK93z_r1z=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWekpBbKF647MfAIY7fZXswb&daddr=56+west+portion+nagakaliamma+temple+Street,+Thanisandra+Main+Rd,+Amarjyothi+Extension,+Ashwath+Nagar,+Bengaluru,+Karnataka+560077&ved=2ahUKEwjLjo39rbmEAxW81IQAHf_RBz4Q48ADegUIABCNAQ","56 west portion nagakaliamma temple Street, Thanisandra Main Rd, Amarjyothi Extension, Ashwath Nagar, Bengaluru, Karnataka 560077","13.051091418534","77.628534094496","5.0","09:00 PM"
"Help4uhome service","09035939042","https://lh5.googleusercontent.com/p/AF1QipPGGTAYTzbUs8Xh916aATwRvQwUdo4_00P-rCQc=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdmmUZ7qF647MSTfZu0nVA9-&daddr=1.st.main,+4th+Cross+Rd,+R.T.Nagar,+Kanaka+Nagar,+Bengaluru,+Karnataka+560032&ved=2ahUKEwjLjo39rbmEAxW81IQAHf_RBz4Q48ADegUIABCYAQ","1.st.main, 4th Cross Rd, R.T.Nagar, Kanaka Nagar, Bengaluru, Karnataka 560032","13.035039986966","77.609259978686","4.9","6:30 PM"
