"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Zazzle Salon Indiranagar - Bangalore","07353811111","https://lh5.googleusercontent.com/p/AF1QipNXiEGGo_mOfPquiGrCMBOQm3Wzb3K4WCbd3LMo=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYlvUN51F647MQi9FykzN1_A&daddr=1082,+12th+Main+Rd,+HAL+2nd+Stage,+Appareddipalya,+Indiranagar,+Bengaluru,+Karnataka+560008&ved=2ahUKEwid37aGr7mEAxXk0YQAHQfaBDwQ48ADegQIABAr","1082, 12th Main Rd, HAL 2nd Stage, Appareddipalya, Indiranagar, Bengaluru, Karnataka 560008","12.970040004221","77.638699988666","4.8","09:00 PM"
"SALON SQUEEZE - THE BEST HAIR STYLIST IN BANGALORE / THE BEST SALON IN BANGALORE","09986769440","https://lh5.googleusercontent.com/p/AF1QipOUYTUjuFhkvk1xQdCTkczwZkfgaSUP-YNjygK7=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWOX7Il3Fq47MZ5-nTR22xDJ&daddr=104+1st+Floor+Sophia%27s+Choice+Building,+St+Mark%27s+Rd,+Ashok+Nagar,+Bengaluru,+Karnataka+560001&ved=2ahUKEwid37aGr7mEAxXk0YQAHQfaBDwQ48ADegQIABA1","104 1st Floor Sophia's Choice Building, St Mark's Rd, Ashok Nagar, Bengaluru, Karnataka 560001","12.9698","77.60062","4.9","6:30 PM"
"Jean-Claude Biguine Salon & Spa","08041514000","https://lh5.googleusercontent.com/p/AF1QipOCgU5Bb0-syirF2qYWw5Lg3qaIhhqgGwWMls3t=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KddhOLl5Fq47MV2bSEsxCXYl&daddr=Ground+Floor,+Lavelle+Road,+Shanthala+Nagar,+Ashok+Nagar,+Bengaluru,+Karnataka+560001&ved=2ahUKEwid37aGr7mEAxXk0YQAHQfaBDwQ48ADegQIABBA","Ground Floor, Lavelle Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001","12.972148120853","77.598672766334","4.7","08:00 PM"
"BBLUNT Salon - Magrath Road, Bangalore","08037762855","https://lh5.googleusercontent.com/p/AF1QipPTNqnAs2XvWOo3oL8JWs7G5NYh6WrU2FzaQ5OR=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQ9x3YKAFq47Mc1NT-xJGxWx&daddr=Marielle+Apartments,+3-B,+Magrath+Rd,+opposite+Dakshin+Honda+Car+Service+Station,+Ashok+Nagar,+Bengaluru,+Karnataka+560025&ved=2ahUKEwid37aGr7mEAxXk0YQAHQfaBDwQ48ADegQIABBL","Marielle Apartments, 3-B, Magrath Rd, opposite Dakshin Honda Car Service Station, Ashok Nagar, Bengaluru, Karnataka 560025","12.970899987487","77.608149963249","4.5","6:30 PM"
"Enrich Salon","07304959433","https://lh5.googleusercontent.com/p/AF1QipNkG5QQWuTwdqq0dccOq8ijdlZgSajq1pqKI5_T=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaE9SOjSF647MbcCZhvsvff7&daddr=32/A,+Opp+Vibes,+8th+Main+Rd,+RMV+Extension,+Sadashiva+Nagar,+Bengaluru,+Karnataka+560080&ved=2ahUKEwid37aGr7mEAxXk0YQAHQfaBDwQ48ADegQIABBV","32/A, Opp Vibes, 8th Main Rd, RMV Extension, Sadashiva Nagar, Bengaluru, Karnataka 560080","13.017969989692","77.591929974776","4.8","09:00 PM"
"BBLUNT Salon - Indiranagar, Bangalore","08037762856","https://lh5.googleusercontent.com/p/AF1QipMjEeH2fWBtTZ9lQ-enwrXWl6jiRLIeM9oCi29P=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRFKxs-pFq47MQyvndITblfi&daddr=1st+Floor,+947,+12th+Main+Rd,+HAL+2nd+Stage,+Appareddipalya,+Indiranagar,+Bengaluru,+Karnataka+560038&ved=2ahUKEwid37aGr7mEAxXk0YQAHQfaBDwQ48ADegQIABBg","1st Floor, 947, 12th Main Rd, HAL 2nd Stage, Appareddipalya, Indiranagar, Bengaluru, Karnataka 560038","12.97005999506","77.638920013625","4.6","6:30 PM"
"Soul Salon","08022350983","https://lh5.googleusercontent.com/p/AF1QipMq31KWCSzGFZivmculQ2tYwwU5tlHcvmtgRKBf=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kf___z9CFq47MbYdVvOm6K5Z&daddr=4,+3rd+Cross+Rd,+next+to+Canara+Bank,+Vasanth+Nagar,+Bengaluru,+Karnataka+560052&ved=2ahUKEwid37aGr7mEAxXk0YQAHQfaBDwQ48ADegQIABBs","4, 3rd Cross Rd, next to Canara Bank, Vasanth Nagar, Bengaluru, Karnataka 560052","12.99456997914","77.590939988192","4.6","09:00 PM"
"Havana the Salon","07788997784","https://lh5.googleusercontent.com/p/AF1QipNQbqkGnDZdTfrx_PVC7j8X0Xp9IEuCTwl9CcQv=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTH508aoF647MeFi4YBJ6fR3&daddr=1155,+1st+Floor,+12th+Main+Rd,+HAL+2nd+Stage,+Bengaluru,+Karnataka+560038&ved=2ahUKEwid37aGr7mEAxXk0YQAHQfaBDwQ48ADegQIABB2","1155, 1st Floor, 12th Main Rd, HAL 2nd Stage, Bengaluru, Karnataka 560038","12.970335649084","77.644379667795","4.8","6:30 PM"
"Vurve Salon | Indira Nagar","06361853851","https://lh5.googleusercontent.com/p/AF1QipMwoSoXNhYRDun7l4SJPd5FOl9vGs--Qm5tvHIV=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQEAcCOoFq47MXfuRb2bmqZy&daddr=1st+Floor,+Icon+Mall,+2981,+12th+Main+Rd,+Indiranagar,+Bengaluru,+Karnataka+560008&ved=2ahUKEwid37aGr7mEAxXk0YQAHQfaBDwQ48ADegUIABCBAQ","1st Floor, Icon Mall, 2981, 12th Main Rd, Indiranagar, Bengaluru, Karnataka 560008","12.970280020018","77.643829964867","4.6","09:00 PM"
"Bounce Unisex Salon","08880903903","https://lh5.googleusercontent.com/p/AF1QipMbCOhT9k7QbScmUk7ER3ZGW2O-SN9ZboHcUB4x=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYlbna_dF647MbRsT8KEvH_J&daddr=No.18,+I+floor,+Jaladarshini+Layout,+BEL,+Basaveshwara+HBCS+Layout,+Chikka+Marenahalli,+Bengaluru,+Karnataka+560054&ved=2ahUKEwid37aGr7mEAxXk0YQAHQfaBDwQ48ADegUIABCLAQ","No.18, I floor, Jaladarshini Layout, BEL, Basaveshwara HBCS Layout, Chikka Marenahalli, Bengaluru, Karnataka 560054","13.030025626626","77.570562639912","4.7","6:30 PM"
"Bounce Unisex Salon, Lavelle road","08041329100","https://lh5.googleusercontent.com/p/AF1QipNanD-CqB7jiSORNogEkTBjDQdLpVVgYQfDVTB7=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQHrA7x3Fq47MWO8Vxob8VhG&daddr=No.+36+First+Floor,+Vittal+Mallya+Rd,+Shanthala+Nagar,+Magnolia,+Bengaluru,+Karnataka+560001&ved=2ahUKEwid37aGr7mEAxXk0YQAHQfaBDwQ48ADegUIABCVAQ","No. 36 First Floor, Vittal Mallya Rd, Shanthala Nagar, Magnolia, Bengaluru, Karnataka 560001","12.97114530986","77.597081251417","4.6","09:00 PM"
"Bounce Salon & Spa, Indiranagar","08880903903","https://lh5.googleusercontent.com/p/AF1QipNPx9Mf8Brm4PT2R4hloy3Q5EJF-Z1rmRluyMjy=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQvf1s2pFq47MVp4iPQ6Bn45&daddr=%23610,+12th+Main+Rd,+Opp.+SBI,+HAL+2nd+Stage,+Indiranagar,+Bengaluru,+Karnataka+560038&ved=2ahUKEwid37aGr7mEAxXk0YQAHQfaBDwQ48ADegUIABCfAQ","#610, 12th Main Rd, Opp. SBI, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560038","12.970369999749","77.645310041329","4.5","6:30 PM"
