"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"UB City","09731600994","https://lh5.googleusercontent.com/p/AF1QipPxFUu4MdaX7NAULke_7iVL_K6jDrUNbKLUmjkR=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KferaVB3Fq47MYrfoLKLdjjh&daddr=24,+Vittal+Mallya+Rd,+KG+Halli,+D%27+Souza+Layout,+Ashok+Nagar,+Bengaluru,+Karnataka+560001&ved=2ahUKEwj8hduFsrmEAxXV1IQAHetqCJEQ48ADegQIABAr","24, Vittal Mallya Rd, KG Halli, D' Souza Layout, Ashok Nagar, Bengaluru, Karnataka 560001","12.971539987704","77.595850023253","4.5","11:00 PM"
"Mantri Square Mall","08030160000","https://lh5.googleusercontent.com/p/AF1QipMVsSeZARULECTSNCSgoMBMIaEtnwzOXLosSt-f=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaESnwAjFq47Ma1qoj_TwU-W&daddr=No+1,+Sampige+Rd,+Malleshwaram,+near+Central+bus+stop,+Bengaluru,+Karnataka+560003&ved=2ahUKEwj8hduFsrmEAxXV1IQAHetqCJEQ48ADegQIABA1","No 1, Sampige Rd, Malleshwaram, near Central bus stop, Bengaluru, Karnataka 560003","13.001389998478","77.57140001169","4.4","6:30 PM"
"Phoenix Marketcity","08049626111","https://lh5.googleusercontent.com/p/AF1QipNZhgsQjnOh9uIWd4olhldlWxhJdNAGWSJibnw8=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUu-owQLEa47MUOWLqstJfvP&daddr=Palm+Meadows,+Prestige+Ozone,+Whitefield+Main+Road,+Whitefield,+Devasandra+Industrial+Estate,+Krishnarajapura,+Bengaluru,+Karnataka+560048&ved=2ahUKEwj8hduFsrmEAxXV1IQAHetqCJEQ48ADegQIABA_","Palm Meadows, Prestige Ozone, Whitefield Main Road, Whitefield, Devasandra Industrial Estate, Krishnarajapura, Bengaluru, Karnataka 560048","12.99763606526","77.690037896596","4.5","6:30 PM"
"Elements Mall","08046514444","https://lh5.googleusercontent.com/p/AF1QipP4cnjPv4Pex02m1wN0w_hIKsBmbFJHG6Z--HOZ=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KcU8r-FoF647MYqlbE2OyxQZ&daddr=Survey+No.+132%28P%29,+133%28P%29,+%26+134%28P%29,+of+Nagavara+Village+100%E2%80%99+wide,+Thanisandra+Main+Rd,+Kasaba+Hobli,+Bengaluru,+Karnataka+560077&ved=2ahUKEwj8hduFsrmEAxXV1IQAHetqCJEQ48ADegQIABBJ","Survey No. 132(P), 133(P), & 134(P), of Nagavara Village 100’ wide, Thanisandra Main Rd, Kasaba Hobli, Bengaluru, Karnataka 560077","13.050983847765","77.625905596413","4.1","6:30 PM"
"Central","08022067803","https://lh5.googleusercontent.com/p/AF1QipOPIYK7pJCRrG3t6MStdRzl-QX0P8vVco_Au0_w=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KecdRl91E647MeGqvus5aPef&daddr=Soul+Space+Spirit+Bellandur+Village+Varthur,+Hubli,+Bengaluru,+Karnataka+560103&ved=2ahUKEwj8hduFsrmEAxXV1IQAHetqCJEQ48ADegQIABBS","Soul Space Spirit Bellandur Village Varthur, Hubli, Bengaluru, Karnataka 560103","12.925772971971","77.678190694363","4.1","6:30 PM"
"Bangalore Central","07829777715","https://lh5.googleusercontent.com/p/AF1QipOGME3IEM0yd0kON3FJTDSazQc-QtDBoHlfjuI0=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KeMUzPHxFa47Maxx1z-vfZZO&daddr=Primeco+Towers+Bangalore+Central,+PRIMECO+TOWERS,+SJR+Spectrum,+11,+Bannerghatta+Rd,+near+Arakere+Gate,+Panduranga+Nagar,+Bengaluru,+Karnataka+560076&ved=2ahUKEwj8hduFsrmEAxXV1IQAHetqCJEQ48ADegQIABBa","Primeco Towers Bangalore Central, PRIMECO TOWERS, SJR Spectrum, 11, Bannerghatta Rd, near Arakere Gate, Panduranga Nagar, Bengaluru, Karnataka 560076","12.890019986262","77.597790014743","4.2","6:30 PM"
"1 MG - Lido Mall","07019170591","https://lh5.googleusercontent.com/p/AF1QipNc3FjiXXbt8MnGzLcjkWcodYsaH-7LHmpr-4bh=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUPzUb8eEa47MTDPSBcVBVOY&daddr=1/2,+Old+Madras+Rd,+Halasuru,+Someshwarpura,+Sivanchetti+Gardens,+Bengaluru,+Karnataka+560008&ved=2ahUKEwj8hduFsrmEAxXV1IQAHetqCJEQ48ADegQIABBj","1/2, Old Madras Rd, Halasuru, Someshwarpura, Sivanchetti Gardens, Bengaluru, Karnataka 560008","12.974019983306","77.623609964561","4.0","10:00 PM"
"Nexus Mall Koramangala","08046693469","https://lh5.googleusercontent.com/p/AF1QipMUqwPredWAN_w4-5zMrc7n7CrLKJb44Ph_tB1p=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kbsxl4VNFK47MQkbKu7EI-V7&daddr=Hosur+Rd,+Chikku+Lakshmaiah+Layout,+Koramangala,+Bengaluru,+Karnataka+560095&ved=2ahUKEwj8hduFsrmEAxXV1IQAHetqCJEQ48ADegQIABBs","Hosur Rd, Chikku Lakshmaiah Layout, Koramangala, Bengaluru, Karnataka 560095","12.935401624384","77.608697565061","4.4","6:30 PM"
"Indo Dubai Plaza","09900603388","https://lh5.googleusercontent.com/p/AF1QipNM848ilD3VcG-KRxOhf2Graa7GZR9u2Tq6rxC2=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdFm6eF9Fq47MZ5zlJJdyYzu&daddr=Indo+Dubai+Plaza,+Rest+House+Rd,+Shanthala+Nagar,+Ashok+Nagar,+Bengaluru,+Karnataka+560001&ved=2ahUKEwj8hduFsrmEAxXV1IQAHetqCJEQ48ADegQIABB1","Indo Dubai Plaza, Rest House Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001","12.972540112913","77.605725760417","3.9","10:00 PM"
"Fashion Street","08067282222","https://lh5.googleusercontent.com/p/AF1QipMkQU-7v0LY9UAHMEdvFe1_bu78k1pkNHgRJnBe=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaU35gtiFq47MW2Z4nmHXC9W&daddr=XJM5%2BF26,+Lubbay+Masjid+St,+Tasker+Town,+Shivaji+Nagar,+Bengaluru,+Karnataka+560051&ved=2ahUKEwj8hduFsrmEAxXV1IQAHetqCJEQ48ADegQIABB_","XJM5+F26, Lubbay Masjid St, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560051","12.984544741421","77.607737072682","4.0","6:30 PM"
"Commercial Street","08310231399","https://lh5.googleusercontent.com/p/AF1QipNkUumoPrq6XnPnIrf12NiO7RlfmipM7u7reBiY=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kb8NjobqF647MfhokgZDM074&daddr=Commercial+Street,+Tasker+Town,+Shivaji+Nagar,+Bengaluru,+Karnataka+560001&ved=2ahUKEwj8hduFsrmEAxXV1IQAHetqCJEQ48ADegUIABCJAQ","Commercial Street, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001","12.982213011764","77.608264172277","4.3","10:00 PM"
"VR Bengaluru","08068365609","https://lh5.googleusercontent.com/p/AF1QipPr1VTbUFraBQA0bKggiqhUUJ9DeN2X1ObirSkq=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbVdiUALEa47MaeBwm2qG-Ed&daddr=%E0%A4%B5%E0%A5%8D%E0%A4%B9%E0%A4%BE%E0%A4%87%E0%A4%9F%E0%A4%B9%E0%A4%AB%E0%A5%80%E0%A4%B2%E0%A5%8D%E0%A4%A1+%E0%A4%AE%E0%A5%87%E0%A4%A8+%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%97,+Devasandra+Industrial+Estate,+Mahadevapura,+Bengaluru,+Karnataka+560048&ved=2ahUKEwj8hduFsrmEAxXV1IQAHetqCJEQ48ADegUIABCSAQ","व्हाइटहफील्ड मेन मार्ग, Devasandra Industrial Estate, Mahadevapura, Bengaluru, Karnataka 560048","12.996250005903","77.69591498547","4.4","6:30 PM"
"Tibet Mall","08023499900","//lh6.googleusercontent.com/proxy/ZkP1e2Ttp3M5__i_rTUoKavPvKNL1blFuk8DL4wBM7bm8AEwPW3y35NYFrVyT7BIixn6WcvJTAUYJHx9XRCfeSfsREXN3oBJSE0PPNx4H0hS15RN1wdrFROtsf7iS_EUGh2H7DBwFGzoRmOEicy8hbDsu_0VVwM4SAVKf5ssw6_SrZ7cQ0CAxA=w144-h144-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSvAWahbFK47MfIKo5Kj77BJ&daddr=Jyothi,+47,+Jyoti+Nivas+College+Rd,+Koramangala+Industrial+Layout,+Koramangala,+Bengaluru,+Karnataka+560095&ved=2ahUKEwj8hduFsrmEAxXV1IQAHetqCJEQ48ADegUIABCcAQ","Jyothi, 47, Jyoti Nivas College Rd, Koramangala Industrial Layout, Koramangala, Bengaluru, Karnataka 560095","12.936988251345","77.611728419263","3.8","6:30 PM"
