"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"NIOS Office (Career Plus Institute Bareilly) - Nios Admission Counselling & Coaching Centre in Bareilly for 10th & 12th","09997339777","https://lh5.googleusercontent.com/p/AF1QipPsl0idJYqgZKfYqbqOsn1x6cf_ECpM71DeoP-R=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KV3FcVw9AaA5MUtbyPu2ls4F&daddr=B2,+III+Floor,+Krishna+Janki+Place,+35+C,+near+Suri+Colour+Lab,+Rampur+Garden,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwjCx4CNkbmEAxWW1oQAHU31D1UQ48ADegQIABAp","B2, III Floor, Krishna Janki Place, 35 C, near Suri Colour Lab, Rampur Garden, Bareilly, Uttar Pradesh 243001","28.400309828638","79.420114314715","4.9","06:00 PM"
"Bareilly","09359111248","https://lh5.googleusercontent.com/p/AF1QipPwFxDzMskboRsn_jFbQ6H5ISYiPYJXwo2C4fBg=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kf89QvGpB6A5MV3GIqgKZZcK&daddr=uphar+apartments,+708+B,+Nawada,+Bareilly,+Uttar+Pradesh+243005&ved=2ahUKEwjCx4CNkbmEAxWW1oQAHU31D1UQ48ADegQIABAw","uphar apartments, 708 B, Nawada, Bareilly, Uttar Pradesh 243005","28.373616054178","79.445525014824","4.9","9:30 PM"
"NIOS institute Bareilly Center NIOS Bareilly office (Educart Solutions) NIOS admission class 10th & 12th","09319035028","https://lh5.googleusercontent.com/p/AF1QipN8Ghq2S5qO0dG8b_oSeVJrNiQug2G_lzyid4XZ=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQswmJkoB6A5MRqwLH6vc0lf&daddr=C-138,+INDIRA+PARK+ROAD,+Shahdana+Colony,+Model+Town,+Bareilly,+Uttar+Pradesh+243005&ved=2ahUKEwjCx4CNkbmEAxWW1oQAHU31D1UQ48ADegQIABA5","C-138, INDIRA PARK ROAD, Shahdana Colony, Model Town, Bareilly, Uttar Pradesh 243005","28.370523846786","79.430387319673","4.1","9:30 PM"
"Regional College Of Professional Studies & Research","05812511673","https://lh5.googleusercontent.com/p/AF1QipP6Q9pY_7iZbNZDCCASulAcals2bIcQfDccUt02=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUvgTpeNBqA5MXu8DUsOaHd1&daddr=Opp.+Mahanagar+Colony,+Pilibhit+Bypass+Rd,+Veer+Savarkar+Nagar,+Bareilly,+Uttar+Pradesh+243122&ved=2ahUKEwjCx4CNkbmEAxWW1oQAHU31D1UQ48ADegQIABBB","Opp. Mahanagar Colony, Pilibhit Bypass Rd, Veer Savarkar Nagar, Bareilly, Uttar Pradesh 243122","28.391739640471","79.455674836394","4.0","05:00 PM"
"St.Xaviers College(BEST/TOP ICSE School In Bareilly)","09639514321","https://lh5.googleusercontent.com/p/AF1QipNnseaqnb24TK6FKhhO9FN0NNCnAhX0USzHxSQ=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ke_GxTkBAaA5MQyDZ_U3WQQH&daddr=Sainik+Vihar,+Canty,+Chet+Gautia,+Bareilly,+Chet+Gautiya,+Uttar+Pradesh+243001&ved=2ahUKEwjCx4CNkbmEAxWW1oQAHU31D1UQ48ADegQIABBJ","Sainik Vihar, Canty, Chet Gautia, Bareilly, Chet Gautiya, Uttar Pradesh 243001","28.329642519","79.43163","5.0","9:30 PM"
"NATIONAL OPEN SCHOOL IN BAREILLY","09411220097","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5PJNzcG6UaOekofaxRL2Pg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=291.27945&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KW16Xm8YB6A5MUiDE-3HGxvZ&daddr=SURKHA+CHAWNI+AMAR+COLONY,+18,+opposite+Durga+Mandir,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwjCx4CNkbmEAxWW1oQAHU31D1UQ48ADegQIABBU","SURKHA CHAWNI AMAR COLONY, 18, opposite Durga Mandir, Bareilly, Uttar Pradesh 243001","28.34494","79.41295","5.0","9:30 PM"
"Aim's Coaching | Coaching In Bareilly | Study Circle In Bareilly","08881388802","https://lh5.googleusercontent.com/p/AF1QipP82C4gKXeOIJbd7qlDYTFk1yGlU04o97YPSrtW=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZNEpaAcB6A5MasoO-n0fVH4&daddr=E+131,+near+Punjab+National+Bank,+Ekta+Nagar,+Bareilly,+Uttar+Pradesh+243122&ved=2ahUKEwjCx4CNkbmEAxWW1oQAHU31D1UQ48ADegQIABBd","E 131, near Punjab National Bank, Ekta Nagar, Bareilly, Uttar Pradesh 243122","28.37966","79.43085","4.2","9:30 PM"
"Bedi International School Bareilly","08868882331","https://lh5.googleusercontent.com/p/AF1QipNyE-TzDK4IozRKCVFiWtwmGMJXLZSw9hh53EDc=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWsRTeCXBqA5MerX7QNxAJQh&daddr=9FJ5%2B545,+Suresh+Sharma+Nagar,+Bareilly,+Uttar+Pradesh+243006&ved=2ahUKEwjCx4CNkbmEAxWW1oQAHU31D1UQ48ADegQIABBn","9FJ5+545, Suresh Sharma Nagar, Bareilly, Uttar Pradesh 243006","28.378399730488","79.454639403394","3.8","09:00 PM"
"Khandelwal College Head Office","08171502843","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=h5HccO_c7R8hiUsr0AzieA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=323.63846&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaFezyXgBqA5MTq4LvK_3Vxq&daddr=2+%26+3,+Janakpuri,+Opposite+Ram+Janki+Mandir,+Bareilly,+Uttar+Pradesh&ved=2ahUKEwjCx4CNkbmEAxWW1oQAHU31D1UQ48ADegQIABBv","2 & 3, Janakpuri, Opposite Ram Janki Mandir, Bareilly, Uttar Pradesh","27.490106449814","77.665230567793","4.4","10:00 PM"
"Chandra Institute Bareilly","08006135338","https://lh5.googleusercontent.com/p/AF1QipNlf7TK03zwAvToa7oZ7rerJdfefMmOm5yWAg1O=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kcu7mBv7B6A5MZDQW65dOpHD&daddr=9CJM%2BVRV,+Ekta+Nagar+Branch,+opposite+Basu+Eye+Hospital,+Bareilly&ved=2ahUKEwjCx4CNkbmEAxWW1oQAHU31D1UQ48ADegQIABB2","9CJM+VRV, Ekta Nagar Branch, opposite Basu Eye Hospital, Bareilly","28.38293","79.43297","4.7","9:30 PM"
