"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Anand sanitry home services","07906999969","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Bgmyqqr2VRLAIIhVPoJoSQ&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=277.22354&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUdGRTZiB6A5MRKXjxxjqgZ-&daddr=Mahatma+Jyotiba+Phule+Rohilkhand+University,+Suresh+Sharma+Nagar,+Bareilly,+Dohara,+Uttar+Pradesh+243006&ved=2ahUKEwjA9IvwlLmEAxWK44QAHWNfPTsQ48ADegQIABAo","Mahatma Jyotiba Phule Rohilkhand University, Suresh Sharma Nagar, Bareilly, Dohara, Uttar Pradesh 243006","28.36602","79.45524","4.9","6:30 PM"
"Arhaan Smart Home Cleaning Services","09359109652","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dMw27b_oSR4R9PkvveTpow&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=86.446266&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQWDtJc_AaA5MbR2ARM6nGzn&daddr=8CJ4%2BXG9,+Rita+Bhawan,+Near+GSM+Inter+College+Holika+Chauraha,+Damodarpuram,+Subhash+Nagar,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwjA9IvwlLmEAxWK44QAHWNfPTsQ48ADegQIABAy","8CJ4+XG9, Rita Bhawan, Near GSM Inter College Holika Chauraha, Damodarpuram, Subhash Nagar, Bareilly, Uttar Pradesh 243001","28.332523267635","79.407351343919","4.0","6:30 PM"
"Devpati Home Services","09458425858","https://lh5.googleusercontent.com/p/AF1QipMbe7P7FPn9wcpsEutdHeeLPHu9M04eAFabNZNh=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KReomy9PB6A5MXsWb6-ZbxzU&daddr=Golden+Green+Park+Main+Rd,+Harunagla,+Bareilly,+Uttar+Pradesh+243006&ved=2ahUKEwjA9IvwlLmEAxWK44QAHWNfPTsQ48ADegQIABA6","Golden Green Park Main Rd, Harunagla, Bareilly, Uttar Pradesh 243006","28.364590125018","79.464334889713","5.0","6:30 PM"
"Bareilly Online Shopping & Home Services","09917278767","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TLPvCizpiiPEzPTmTy8E1A&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=176.92343&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTnuOmk7B6A5Mdf5eXupfLYY&daddr=40,+Neem+Ki+Chadai,+Bara+Bazar,+Bareilly,+Uttar+Pradesh+243003&ved=2ahUKEwjA9IvwlLmEAxWK44QAHWNfPTsQ48ADegQIABBD","40, Neem Ki Chadai, Bara Bazar, Bareilly, Uttar Pradesh 243003","28.365516131841","79.412189339159","4.3","6:30 PM"
"ServiceAtDoor","09410295337","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=V-u1IYrLA44EChunxdu0tQ&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=312.88785&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUPTsb45B6A5MXc8-UDwWpJC&daddr=386,+kasgaran,+civil+lines,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwjA9IvwlLmEAxWK44QAHWNfPTsQ48ADegQIABBK","386, kasgaran, civil lines, Bareilly, Uttar Pradesh 243001","28.34485227707","79.419413184411","4.5","6:30 PM"
"Rajput home service","09719434143","https://lh5.googleusercontent.com/p/AF1QipPYrmuQycrUhB-VMPEQpZZa-VOwWi3MEldIbVAj=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWGN95_3B6A5Mbp2hR_YdTE9&daddr=Sanjay+nager,+Gali+No.+1,+near+Bansal+sweet,+FCI+Colony,+Bareilly,+Uttar+Pradesh+243122&ved=2ahUKEwjA9IvwlLmEAxWK44QAHWNfPTsQ48ADegQIABBS","Sanjay nager, Gali No. 1, near Bansal sweet, FCI Colony, Bareilly, Uttar Pradesh 243122","28.384359985769","79.439829997457","5.0","08:00 PM"
"ServiceWaala- Services at your door-step","05813500397","https://lh5.googleusercontent.com/p/AF1QipPDE6RcLNcgnp7lmE-htdxcyCrM7_uG08WU8E_4=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kdlgy_5HAaA5Mc_HNoviXxQ8&daddr=Plot+No,+38,+Avas+Vikas,+Civil+Lines,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwjA9IvwlLmEAxWK44QAHWNfPTsQ48ADegQIABBa","Plot No, 38, Avas Vikas, Civil Lines, Bareilly, Uttar Pradesh 243001","28.34485227707","79.419413184411","4.4","6:30 PM"
"Bhoomi Shop: Property Dealer and Real Estate Consultant in Bareilly","08077351223","https://lh5.googleusercontent.com/p/AF1QipMBnOudoGtxIcZqfKkXfqO1ASv6szyXT6FOhg3J=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kb8sdTfhBqA5MX2JryTUE3X_&daddr=SA/40,+Deen+Dayal+Puram,+Bareilly,+Uttar+Pradesh+243005&ved=2ahUKEwjA9IvwlLmEAxWK44QAHWNfPTsQ48ADegQIABBk","SA/40, Deen Dayal Puram, Bareilly, Uttar Pradesh 243005","28.371539306","79.493195","5.0","05:00 PM"
"V Care Services","08171608969","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fxJ48zxM7BNE6C7XtpX-8Q&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=314.82416&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQcEORlhBqA5Mc3xEpCDLeF1&daddr=2a/A+Srijan+Estate,+Phase+2,+Opp+Dainaik+Jagran+Press,+Bareilly,+Uttar+Pradesh+243122&ved=2ahUKEwjA9IvwlLmEAxWK44QAHWNfPTsQ48ADegQIABBr","2a/A Srijan Estate, Phase 2, Opp Dainaik Jagran Press, Bareilly, Uttar Pradesh 243122","28.39839","79.4563","4.8","6:30 PM"
"Bareilly Realtors","09319589154","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Hh3iiyzmkt3xpF2cBhCZBw&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=333.79623&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXPSBLjBB6A5MZgJc14DZUQ2&daddr=1st+Floor+Near+Dr+Lal+Path+lab,+Pilibhit+Bypass+Rd,+opp.+Bajrang+Dhaba,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwjA9IvwlLmEAxWK44QAHWNfPTsQ48ADegQIABB0","1st Floor Near Dr Lal Path lab, Pilibhit Bypass Rd, opp. Bajrang Dhaba, Bareilly, Uttar Pradesh 243001","28.354064824825","79.444101137117","4.4","6:30 PM"
"Home Sewa Online service provider","08410813813","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aRK8hwxnANZZ3EO1b8d5QQ&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=314.708&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWHodbvYB6A5MezjJhVRuqVi&daddr=HomeSewa,+Pilibhit+Bypass+Rd,+Pashupati+Vihar+Colony,+Bareilly,+Uttar+Pradesh+243005&ved=2ahUKEwjA9IvwlLmEAxWK44QAHWNfPTsQ48ADegQIABB7","HomeSewa, Pilibhit Bypass Rd, Pashupati Vihar Colony, Bareilly, Uttar Pradesh 243005","28.386320619131","79.455231497714","5.0","08:00 PM"
