"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"bablu sagar plumber","09557373947","https://lh5.googleusercontent.com/p/AF1QipMa7bt7NWL3ASXHh8SofBrMsuXI6DVIXDKUYgu_=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KV9ReAHNB6A5MU7btor-nYSh&daddr=Dohra+Road,+near+bear+shop,+Super+City+Twp,+Green+Park,+Bareilly,+Dohara,+Uttar+Pradesh+243006&ved=2ahUKEwi10-WLk7mEAxUq54QAHSOoA94Q48ADegQIABAq","Dohra Road, near bear shop, Super City Twp, Green Park, Bareilly, Dohara, Uttar Pradesh 243006","28.378731226884","79.469132621558","4.6","6:30 PM"
"Bhai Bhai Sanitary Store","08755255690","https://lh5.googleusercontent.com/p/AF1QipN0-3p8I-117I7JTOmrTqxuxDVaNzGz8HZ6gVlk=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQEAAAESB6A5MbUADDAJUnAX&daddr=Mini+Bypass+Road,+opposite+metro+vision+hospital,+near+Karmchari+Nagar,+Chauraha,+Bareilly,+Uttar+Pradesh+243122&ved=2ahUKEwi10-WLk7mEAxUq54QAHSOoA94Q48ADegQIABAz","Mini Bypass Road, opposite metro vision hospital, near Karmchari Nagar, Chauraha, Bareilly, Uttar Pradesh 243122","28.389114997531","79.438024996518","4.9","6:30 PM"
"BAREILLY PLUMBER SERVICE","08630654275","https://lh5.googleusercontent.com/p/AF1QipOFxBjEGnfbotIwzg6C5NIPddxKTK5Ems3ytA4Q=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYkxVPZcB6A5MXxRxB5FUa-5&daddr=Greater+Gloves+Colony,+59-A,+100+Futa+Rd,+opposite+Sai+Medical+Store,+Bannuwal+Colony,+Veer+Savarkar+Nagar,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwi10-WLk7mEAxUq54QAHSOoA94Q48ADegQIABA6","Greater Gloves Colony, 59-A, 100 Futa Rd, opposite Sai Medical Store, Bannuwal Colony, Veer Savarkar Nagar, Bareilly, Uttar Pradesh 243001","28.360779424052","79.418835809706","4.8","6:30 PM"
"M/s Jai Sri Ram Associate","06395133134","https://lh5.googleusercontent.com/p/AF1QipMaPCPm8kBWtw1s1dIS6RsmZofPOcBxjBZd_mgC=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KV_TN4eUB6A5MQKiUyNVqPzk&daddr=Sheera+Mandi,+419,+Alamgiri+Ganj,+Uttar+Pradesh+243001&ved=2ahUKEwi10-WLk7mEAxUq54QAHSOoA94Q48ADegQIABBC","Sheera Mandi, 419, Alamgiri Ganj, Uttar Pradesh 243001","28.329642519","79.43163","5.0","6:30 PM"
"Manvi Traders Sanitary Store, Plumbing Solutions.","09927711273","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8rZhFpaEZTbdFjU4e1YdAw&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=269.19305&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRc9uUd6B6A5MbOLev2mu5Bl&daddr=H,+No.+535,+IVRI+Rd,+opposite+Bangali+Doctor+Clinic,+Indra+Nagar,+Izatnagar,+Bareilly,+Uttar+Pradesh+243122&ved=2ahUKEwi10-WLk7mEAxUq54QAHSOoA94Q48ADegQIABBI","H, No. 535, IVRI Rd, opposite Bangali Doctor Clinic, Indra Nagar, Izatnagar, Bareilly, Uttar Pradesh 243122","28.390275531221","79.432523469427","5.0","6:30 PM"
"ISLAM BOARING WORKS","09045446096","https://lh5.googleusercontent.com/p/AF1QipOSTUqL9R-PtoCLk2DElAuQlZKwJdXNuJFsApbT=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSPYgT1dB6A5MVid2KjesdTt&daddr=Ward+no,+Near+air+force+gate+Pilibhit+Road+Peer+Bahora,+48,+Pilibhit+Rd,+Sun+City+Vistaar,+Bareilly,+Uttar+Pradesh+243002&ved=2ahUKEwi10-WLk7mEAxUq54QAHSOoA94Q48ADegQIABBP","Ward no, Near air force gate Pilibhit Road Peer Bahora, 48, Pilibhit Rd, Sun City Vistaar, Bareilly, Uttar Pradesh 243002","52.66774","31.87528","5.0","07:00 PM"
"Bharat Rastogi (Pilumber)","08273737872","https://lh5.googleusercontent.com/p/AF1QipMANPsuGukrxZbli466V38BfxR2GzHqDN2j9YzM=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRmy0tWEAaA5MVVJ8l_IAaIT&daddr=Civil+Lines,+Malookpur,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwi10-WLk7mEAxUq54QAHSOoA94Q48ADegQIABBW","Civil Lines, Malookpur, Bareilly, Uttar Pradesh 243001","28.34485227707","79.419413184411","4.8","6:30 PM"
"Impresso Sanitryware and Paint — Best plumbing shop in Bareiily","09027772848","https://lh5.googleusercontent.com/p/AF1QipOQBE9c5hD2nCjhDyP6YP1t30iQPxmu6N-GpGgd=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRmNtaDdB6A5MZwuzVygbwsB&daddr=Anand+Vihar+Colony,+Bareilly,+Uttar+Pradesh+243502&ved=2ahUKEwi10-WLk7mEAxUq54QAHSOoA94Q48ADegQIABBe","Anand Vihar Colony, Bareilly, Uttar Pradesh 243502","27.42298","77.69868","5.0","08:00 PM"
"AZHARI SANITARY STORE","09627603964","https://lh5.googleusercontent.com/p/AF1QipNl6-jdQc5kNy7vzKeXonKjCnF4E8sEpQdl9CC1=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbGff1iiB6A5MXAOIv9mdZLg&daddr=Basant+Vihar+Colony,+Ram+Nagar+Colony,+Bareilly,+Uttar+Pradesh+243122&ved=2ahUKEwi10-WLk7mEAxUq54QAHSOoA94Q48ADegQIABBo","Basant Vihar Colony, Ram Nagar Colony, Bareilly, Uttar Pradesh 243122","28.401601359855","79.455123722692","5.0","05:00 PM"
"Arsh Enterprise","09719993567","https://lh5.googleusercontent.com/p/AF1QipPuFB6YiJRMMWF0UlC2RzQRfshhA9HcoOW0NDTP=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQO95xDAAaA5MVi6cV3qoOqP&daddr=mother+Teresa+school,+Kargaina,+kareilly+mod,+bali+gali,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwi10-WLk7mEAxUq54QAHSOoA94Q48ADegQIABBv","mother Teresa school, Kargaina, kareilly mod, bali gali, Bareilly, Uttar Pradesh 243001","28.329642519","79.43163","4.3","6:30 PM"
