"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Agastya Shopping Complex","05812583403","https://lh5.googleusercontent.com/p/AF1QipNXTuGNelYevTpEk6rgN0WjmFGDFP8qjZMEl08s=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXd9PpdmB6A5Mews8SgT2h3c&daddr=near+Fountain,+Ujjwal+Phase+-+1,+Mahanagar,+Bareilly,+Uttar+Pradesh+243006&ved=2ahUKEwj7nLrMk7mEAxWQ54QAHTGdDhgQ48ADegQIABAq","near Fountain, Ujjwal Phase - 1, Mahanagar, Bareilly, Uttar Pradesh 243006","28.39478","79.45603","5.0","6:30 PM"
"PHOENIX UNITED MALL","09457113212","https://lh5.googleusercontent.com/p/AF1QipOK7hVEPwiEo8VDkt7gNSfMhaJ3UL_ukmysUxlu=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTX-Evy7B6A5MQ24FxooxAQU&daddr=01-+Floor,+Pilibhit+Bypass+Rd,+Udyan+Part+1,+Ujjwal+Phase+-+1,+Mahanagar+Colony,+Bareilly,+Uttar+Pradesh+243002&ved=2ahUKEwj7nLrMk7mEAxWQ54QAHTGdDhgQ48ADegQIABAz","01- Floor, Pilibhit Bypass Rd, Udyan Part 1, Ujjwal Phase - 1, Mahanagar Colony, Bareilly, Uttar Pradesh 243002","28.393119700023","79.455868847962","4.4","6:30 PM"
"VERMA's","18001231555","https://lh5.googleusercontent.com/p/AF1QipMJ5kfsf-HpCJGn2_tgUXW5dOnHJZDUFpzGyzaR=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KfWrKkU2AaA5Mez0zRI7iXJO&daddr=10+B,+NATH+NAGARI,+35,+opposite+Bareilly,+Rampur+Garden,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwj7nLrMk7mEAxWQ54QAHTGdDhgQ48ADegQIABA9","10 B, NATH NAGARI, 35, opposite Bareilly, Rampur Garden, Bareilly, Uttar Pradesh 243001","28.35093","79.42376","4.9","6:30 PM"
"Unik Bazar Bareilly","06397996628","https://lh5.googleusercontent.com/p/AF1QipNBNmDRNCJ0F9QHZbi6QJBPBdxCioLqLAMXJiBn=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVFscuwkB6A5MfBpSu8XaRjq&daddr=Koharapeer,+Bareilly,+Uttar+Pradesh+243003&ved=2ahUKEwj7nLrMk7mEAxWQ54QAHTGdDhgQ48ADegQIABBH","Koharapeer, Bareilly, Uttar Pradesh 243003","28.371302807362","79.420431019841","3.4","6:30 PM"
"Lifestyle Stores","07830000090","https://lh5.googleusercontent.com/p/AF1QipPpFo665UgqBPIsbb4Hwd2oNGEwyqxbfVtbYdjJ=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWf7W-a2B6A5MYx25fs_BIyy&daddr=Phoenix+United+Mall,+Pilibhit+Bypass+Rd,+Udyan+Part+1,+Ujjwal+Phase+-+1,+Mahanagar+Colony,+Bareilly,+Uttar+Pradesh+243006&ved=2ahUKEwj7nLrMk7mEAxWQ54QAHTGdDhgQ48ADegQIABBQ","Phoenix United Mall, Pilibhit Bypass Rd, Udyan Part 1, Ujjwal Phase - 1, Mahanagar Colony, Bareilly, Uttar Pradesh 243006","28.393119700023","79.455868847962","4.2","10:00 PM"
"Toshani Multibrand","08081126280","https://lh5.googleusercontent.com/p/AF1QipNACal46xn2Ja_T1hR3Gwyl665KJLFc2QENnPeE=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVGYc5d8B6A5MfKhhzKeyjvT&daddr=Prakash+Hospital+Basement,+Stadium+Rd,+Bareilly,+Uttar+Pradesh+243122&ved=2ahUKEwj7nLrMk7mEAxWQ54QAHTGdDhgQ48ADegQIABBa","Prakash Hospital Basement, Stadium Rd, Bareilly, Uttar Pradesh 243122","28.38048","79.43453","3.9","6:30 PM"
"Brand Square Bareilly","09837819170","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-H_yb0S3az-l5g4o_HNPgw&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=245.17496&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdetQqsyB6A5McHwwDB9B2b3&daddr=54,+Ayub+Khan+-+Choupla+Rd,+Civil+Lines,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwj7nLrMk7mEAxWQ54QAHTGdDhgQ48ADegQIABBj","54, Ayub Khan - Choupla Rd, Civil Lines, Bareilly, Uttar Pradesh 243001","28.355064968983","79.417882476861","3.6","08:00 PM"
"Balaji Emporium","09761385474","https://lh5.googleusercontent.com/p/AF1QipOiEhwat2wYGotOCIwgs7Jm4Y46WMk9rbWL8Oo=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kf_____iBqA5MUVX6N4VY9NU&daddr=9CPH%2BG7P,+Priyadarshini+Nagar,+Rajendra+Nagar,+Bareilly,+Uttar+Pradesh+243122&ved=2ahUKEwj7nLrMk7mEAxWQ54QAHTGdDhgQ48ADegQIABBr","9CPH+G7P, Priyadarshini Nagar, Rajendra Nagar, Bareilly, Uttar Pradesh 243122","28.388345403717","79.424860080111","3.7","6:30 PM"
"R S Tower Shopping Complex","06395010452","https://lh5.googleusercontent.com/p/AF1QipO1tCDJXeU9rp5MbXioxOzBcrYvxuNqW8iIt7C9=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KfN1lCPFAKA5MehD19E6DesG&daddr=165,+Station+Rd,+Civil+Lines,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwjVnofok7mEAxUI5IQAHf05A9gQ48ADegQIABAq","165, Station Rd, Civil Lines, Bareilly, Uttar Pradesh 243001","28.342730109723","79.416807867897","3.8","08:00 PM"
"Crown Plaza","09286634922","https://lh5.googleusercontent.com/p/AF1QipP8dwTlAppX3NvsaD8R7xcE5y2ek60X20fMY89f=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVE0r1bgBqA5MeGwXunOMUff&daddr=9CJH%2B24M,+Near+Passport+Office,+Janakpuri,+Bareilly,+Uttar+Pradesh+243003&ved=2ahUKEwjVnofok7mEAxUI5IQAHf05A9gQ48ADegQIABAy","9CJH+24M, Near Passport Office, Janakpuri, Bareilly, Uttar Pradesh 243003","28.3596986","79.396085","3.6","6:30 PM"
"Fozi Shopping Centre C.b.ganj Bareilly","07830000090","https://lh5.googleusercontent.com/p/AF1QipO0YjaqnJ63Db8qLU690jxh0U6rPJoofAVp1EGx=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSUW2vYpqAo5MY-2iqrWvE_k&daddr=C93H%2B5QG,+Sleeper+Rd,+Industrial+Labor+Colony,+C.B.Ganj,+Bareilly,+Uttar+Pradesh+243502&ved=2ahUKEwjVnofok7mEAxUI5IQAHf05A9gQ48ADegQIABA6","C93H+5QG, Sleeper Rd, Industrial Labor Colony, C.B.Ganj, Bareilly, Uttar Pradesh 243502","28.378336389","79.36423","3.4","08:00 PM"
