Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
Directorate of Education,1123890363,https://lh5.googleusercontent.com/p/AF1QipP72A_XrWkz7z1E__9-mdIFokzJsgWtUO0Stj-W=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KautbQoT_Aw5MQSjAo41LPWR&daddr=Room+No.12+Old+Secretariat,+near+Vidhan+Sabha+Metro+Station,+Civil+Lines,+New+Delhi,+Delhi+110054&ved=2ahUKEwjHvZWp27mEAxXO3IQAHTzoB7YQ48ADegQIABAr","Room No.12 Old Secretariat, near Vidhan Sabha Metro Station, Civil Lines, New Delhi, Delhi 110054",28.68419,77.22205,3.9,06:00 PM
"Department of Education, University of Delhi",9953187649,https://lh5.googleusercontent.com/p/AF1QipMMF7d4gWw05z72YrwAqp7Zx3KvRd7hB47V6b-w=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kadmqovs_Qw5MZTUsutEu1GS&daddr=33,+Chhatra+Marg,+near+School+of+Open+Learning,+New+Delhi,+Delhi,+110007&ved=2ahUKEwjHvZWp27mEAxXO3IQAHTzoB7YQ48ADegQIABA1","33, Chhatra Marg, near School of Open Learning, New Delhi, Delhi, 110007",28.680227553295,77.208533684956,4.4,6:30 PM
"Eduveda skills - Best teacher training institute in delhi ncr dpse Jbt d.el.ed b.ed special education idd ld hi, M.ed",9891149564,https://lh5.googleusercontent.com/p/AF1QipOb21oO6bidvK0XdAyQg-xBxWsKBkleWHWn1Fz8=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KT_mzVFhBA05MVwMrQduWQ_p&daddr=Land+mark+Little+Planet+PreSchool,+B-63,+Jeevan+Niketan,+Paschim+Vihar,+New+Delhi,+Delhi+110087&ved=2ahUKEwjHvZWp27mEAxXO3IQAHTzoB7YQ48ADegQIABA_","Land mark Little Planet PreSchool, B-63, Jeevan Niketan, Paschim Vihar, New Delhi, Delhi 110087",28.662545876384,77.084468419426,4.9,6:30 PM
KOSMO EDUCATION : Teacher Training Institute | B.Ed Admission Consultancy | Best B.Ed colleges in Delhi NCR,1141043004,https://lh5.googleusercontent.com/p/AF1QipOGlMzdS7XMpO94jOFOol1WtBdzkWY7MePEFTO7=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZ8YoKM9Gw05MUmkfiVlMUQK&daddr=A-66,+3rd+Floor,+Main+Rd,+Sector+7+Dwarka,+Dwarka,+Delhi,+110075&ved=2ahUKEwjHvZWp27mEAxXO3IQAHTzoB7YQ48ADegQIABBJ","A-66, 3rd Floor, Main Rd, Sector 7 Dwarka, Dwarka, Delhi, 110075",28.587816908318,77.072362658174,4.9,6:30 PM
Search Education Delhi,1127667280,https://lh5.googleusercontent.com/p/AF1QipP4-B7wKDj2_Eih1TgMHrClQ_UZ2TUGxwHc3Oy2=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUV8etSJ4ww5MfevM6wtSgmw&daddr=Office+no.+1409-1412,+Ansal+Tower,+38,+Nehru+Place,+New+Delhi,+Delhi+110019&ved=2ahUKEwjHvZWp27mEAxXO3IQAHTzoB7YQ48ADegQIABBU","Office no. 1409-1412, Ansal Tower, 38, Nehru Place, New Delhi, Delhi 110019",28.54966419347,77.255770271553,4.8,6:30 PM
Delhi board of school education,9891072246,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vvyAzGCfYMDMOCvNmbmGjA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=17.18239&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kf___2-_BA05MTVt5HQtTKp_&daddr=Block+A,+15,+Asalatpur+Village,+Janakpuri,+Delhi,+110058&ved=2ahUKEwjHvZWp27mEAxXO3IQAHTzoB7YQ48ADegQIABBb","Block A, 15, Asalatpur Village, Janakpuri, Delhi, 110058",28.621439265102,77.077291436641,4.6,6:30 PM
"Department of Continuing Education & Extension, Faculty of Social Sciences, University of Delhi (DCEE,DU)",1122503001,https://lh5.googleusercontent.com/p/AF1QipPfIhHzQmrx0S6oLeCpPL1SDtlxpkEMTi28nMv-=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWMGnGyS_Qw5McUUCWAUHsFk&daddr=M6P4%2BQJW,+University+of,+behind+Faculty+of+Social+Sciences,+Law+Faculty,+University+Enclave,+New+Delhi,+Delhi,+110007&ved=2ahUKEwjHvZWp27mEAxXO3IQAHTzoB7YQ48ADegQIABBk","M6P4+QJW, University of, behind Faculty of Social Sciences, Law Faculty, University Enclave, New Delhi, Delhi, 110007",28.689139441085,77.215215739553,4.7,06:00 PM
B Ed Admission in Delhi | B Ed Course in Delhi | B Ed College in Delhi | B.ed admission 2023 - LBET College,8130910977,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OfbtO26BPRlPTD0eWiVBOA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=234.18951&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kedh8APfAw05MUF9Z7COOn7P&daddr=C-8/551,+Sector-8,+Main+Madhuban+Chowk,+opposite+Metro+Pillar+No.-374,+Rohini,+Delhi,+110085&ved=2ahUKEwjHvZWp27mEAxXO3IQAHTzoB7YQ48ADegQIABBv","C-8/551, Sector-8, Main Madhuban Chowk, opposite Metro Pillar No.-374, Rohini, Delhi, 110085",28.704335985681,77.130850437169,4.5,6:30 PM
Scholars Group of Education - Best B.Ed College in Delhi | Best D.EI.Ed college in Delhi,9873000256,https://lh5.googleusercontent.com/p/AF1QipNONdOhyiT8lSjfiMXWSdmt80Nz98b0okRmgTd-=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSELIZVa-ww5MfHAFggZia7R&daddr=Building+No.4,+1st+Floor,+Park+End+Rd,+Enclave,+Preet+Vihar,+Delhi,+110092&ved=2ahUKEwjHvZWp27mEAxXO3IQAHTzoB7YQ48ADegQIABB5","Building No.4, 1st Floor, Park End Rd, Enclave, Preet Vihar, Delhi, 110092",28.638722503355,77.295161331008,4.6,6:30 PM
…,9004692555,https://lh5.googleusercontent.com/p/AF1QipMluNruXu7UowY3uQhdFk1G75_L5pCg_D-Jnk3l=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaEt2fMr4ww5MaktJ4F99Xcz&daddr=No.+2+of,+Metro+Station+South+Extension,+E-20,+FIRST+FLOOR+South+Extension,+Block-E+Near+Metro+Station+South+Extension+I+Exit+from+Gate,+New+Delhi,+Delhi+110049&ved=2ahUKEwjHvZWp27mEAxXO3IQAHTzoB7YQ48ADegUIABCKAQ","No. 2 of, Metro Station South Extension, E-20, FIRST FLOOR South Extension, Block-E Near Metro Station South Extension I Exit from Gate, New Delhi, Delhi 110049",28.556438466,77.21954,4.9,6:30 PM
