Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
Healthcare,9417283988,https://lh5.googleusercontent.com/p/AF1QipMLgL-OTKI_7tKYOZhQfMVZz3fqCGfJxEdFHzOh=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWH1AMF_4Qw5MaOH-zeLgsMV&daddr=2nd+floor,+N+9,+Gate+Number+1+Rd,+Vijay+Vihar,+Uttam+Nagar,+New+Delhi,+Delhi+110059&ved=2ahUKEwj9nfPb1rmEAxVK1YQAHSnNB-4Q48ADegQIABAo","2nd floor, N 9, Gate Number 1 Rd, Vijay Vihar, Uttam Nagar, New Delhi, Delhi 110059",28.636351262008,77.043615600619,5,6:30 PM
Healthcare,9625999283,https://lh5.googleusercontent.com/p/AF1QipOecBL3YrUSlHQbrQ4t8KT0f5aJr7acz5w918gD=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KcttgThE_Qw5MYKqWtsg64cf&daddr=Gurudwara,+AB-217+Telmil+Gali,+Paharganj,+New+Delhi,+Delhi+110055&ved=2ahUKEwj9nfPb1rmEAxVK1YQAHSnNB-4Q48ADegQIABAv","Gurudwara, AB-217 Telmil Gali, Paharganj, New Delhi, Delhi 110055",28.64482722054,77.208391043957,4.9,6:30 PM
NEW FAMILY HEALTHCARE,9560089955,https://lh5.googleusercontent.com/p/AF1QipPihIC_ok0RXXFYZaT8K8nTTWJz3z_i2wc5cxiH=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KR2zpod34Qw5MQsFPB-mEeEK&daddr=AB-217,+Telmill,+Gali,+near+Gurudwara,+Multani+Dhanda,+Paharganj,+New+Delhi,+Delhi+110055&ved=2ahUKEwj9nfPb1rmEAxVK1YQAHSnNB-4Q48ADegQIABA2","AB-217, Telmill, Gali, near Gurudwara, Multani Dhanda, Paharganj, New Delhi, Delhi 110055",28.647192395474,77.210898157868,5,6:30 PM
HDU HEALTHCARE PVT LTD,8287669776,https://lh5.googleusercontent.com/p/AF1QipOCy2VfMrC8XHnmqR_D3RTOChN6XtQPQp6NmCfz=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdfSKqJt4ww5MeNL2dM9xlVo&daddr=2nd+Floor,+International+Trade+Tower,+E+Block+Rd,+Nehru+Place,+New+Delhi,+Delhi+110019&ved=2ahUKEwj9nfPb1rmEAxVK1YQAHSnNB-4Q48ADegQIABBA","2nd Floor, International Trade Tower, E Block Rd, Nehru Place, New Delhi, Delhi 110019",28.55021,77.25043,5,6:30 PM
B Health,9818114556,https://lh5.googleusercontent.com/p/AF1QipOUvoWGfLkBt9kV0sUOHLjeQjEQCkuYKUEq5APk=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbcYZSDg4ww5MVwg_MVP4yXC&daddr=B1/H3,+Mohan+Co-Operative+Industrial+Area,+NH-19,+Block+B,+Delhi+110044&ved=2ahUKEwj9nfPb1rmEAxVK1YQAHSnNB-4Q48ADegQIABBH","B1/H3, Mohan Co-Operative Industrial Area, NH-19, Block B, Delhi 110044",28.51534,77.29454,4.9,08:00 PM
India International Healthcare Centre,8527664777,https://lh5.googleusercontent.com/p/AF1QipNENkX_iEZGIkT70s-jtxlWec9UHsIrAd8AwpC1=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVNWozDE4ww5MW_Hpo_qAjOc&daddr=At+E+180+Basement,+Kalkaji,+New+Delhi,+Delhi+110019&ved=2ahUKEwj9nfPb1rmEAxVK1YQAHSnNB-4Q48ADegQIABBO","At E 180 Basement, Kalkaji, New Delhi, Delhi 110019",28.538297258629,77.258811695574,5,6:30 PM
TIRSA HEALTHCARE MULTISPECIALITY HOSPITAL & DIAGNOSTIC CENTRE | Maternity | Nursery | Medicine | Surgery | Ultrasound | Lab,9580461101,https://lh5.googleusercontent.com/p/AF1QipOq2Jj1eAYlL9IUUZNAZ9JU2o_2zN5qaJbyhMgZ=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KV0o7OQHAw05MTbgoawp9ey4&daddr=B-190,+Derawal+Nagar,+Gujranwala+Town,+New+Delhi,+Delhi,+110009&ved=2ahUKEwj9nfPb1rmEAxVK1YQAHSnNB-4Q48ADegQIABBW","B-190, Derawal Nagar, Gujranwala Town, New Delhi, Delhi, 110009",28.699188036886,77.189893734463,4.9,6:30 PM
ALL 24 health Care Pvt Ltd Patient Care|Elder Care|Critical Care Services in Delhi Nursing Care,9999500123,https://lh5.googleusercontent.com/p/AF1QipOQHC_egW6KFOFlxYYeGQmVvcz_wYwSAtMsfsL-=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTPyw2-p_Aw5MbooHpRpaB-l&daddr=E-49+Ground+floor,+near+Nathu+sweets,+Vijay+Block,+Block+E,+Laxmi+Nagar,+Delhi,+110092&ved=2ahUKEwj9nfPb1rmEAxVK1YQAHSnNB-4Q48ADegQIABBe","E-49 Ground floor, near Nathu sweets, Vijay Block, Block E, Laxmi Nagar, Delhi, 110092",28.63478,77.28357,4.2,08:00 PM
Saiman Healthcare,1125815533,https://lh5.googleusercontent.com/p/AF1QipOBJVbISghWFVNUzo5Yakt0bqwMqJ6xALj7z215=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUlL-8ihGxA5MQucLB8X0AOB&daddr=11702/3,+GT+Rd,+Block+25,+Shakti+Nagar,+Delhi,+110007&ved=2ahUKEwj9nfPb1rmEAxVK1YQAHSnNB-4Q48ADegQIABBo","11702/3, GT Rd, Block 25, Shakti Nagar, Delhi, 110007",28.685620002768,77.195759991741,5,6:30 PM
CHC Healthcare - Healthwatch,8595102102,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=F6ozYiQX2mbmj74I86SUWg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=239.88148&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQem0ryZAg05MTNpT2cqlGoC&daddr=%2326/1,+CHC+House,+East+Patel+Nagar,+New+Delhi,+Delhi+110008&ved=2ahUKEwj9nfPb1rmEAxVK1YQAHSnNB-4Q48ADegQIABBw","#26/1, CHC House, East Patel Nagar, New Delhi, Delhi 110008",28.648477498453,77.177875683126,4.6,06:00 PM
