Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
Nexus Select CityWalk,1142114200,https://lh5.googleusercontent.com/p/AF1QipNgZV1KKHvCR5-E-FfPM3C5ZITr1lvqUIIriK52=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWFKDsaK4Qw5MaNyjpnHZsOB&daddr=Saket+District+Centre,+District+Centre,+Sector+6,+Pushp+Vihar,+New+Delhi,+Delhi+110017&ved=2ahUKEwi529X62LmEAxUUwoQAHbtLD3AQ48ADegQIABAr","Saket District Centre, District Centre, Sector 6, Pushp Vihar, New Delhi, Delhi 110017",28.529605504193,77.225304340254,4.5,11:00 PM
Palika Bazar Underground Shopping Complex,9953399833,https://lh5.googleusercontent.com/p/AF1QipOtEnbI29iQfUNAmCtgZ5unuroMmGeZmoL9B4nT=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTds6Do2_Qw5MVEbk9SJIEIy&daddr=Palika+Parking+Rd,+Palika+Bazar,+Connaught+Place,+New+Delhi,+Delhi+110001&ved=2ahUKEwi529X62LmEAxUUwoQAHbtLD3AQ48ADegQIABA0","Palika Parking Rd, Palika Bazar, Connaught Place, New Delhi, Delhi 110001",28.63125,77.21855,4,6:30 PM
Pacific Mall Tagore Garden,1124679220,https://lh5.googleusercontent.com/p/AF1QipPLN0EvmiEFdiDGvppaDSpUFDANIKqO7SGcckHN=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUf37cRjAw05MXreCT2qdQwk&daddr=Najafgarh+Rd,+Tagore+Garden,+Tilak+Nagar,+New+Delhi,+Delhi,+110018&ved=2ahUKEwi529X62LmEAxUUwoQAHbtLD3AQ48ADegQIABA9","Najafgarh Rd, Tagore Garden, Tilak Nagar, New Delhi, Delhi, 110018",28.635526689416,77.093153561525,4.5,08:00 PM
Santushti Shopping Complex دلهي,1166144444,https://lh5.googleusercontent.com/p/AF1QipMYuwHaMX0c1R0sb93PMEDsxn7_R-H7INyVKET9=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kb1NJeWe4gw5MceFvmtPrTRO&daddr=Panchsheel+Marg,+Chanakyapuri,+New+Delhi,+Delhi+110003&ved=2ahUKEwi529X62LmEAxUUwoQAHbtLD3AQ48ADegQIABBH","Panchsheel Marg, Chanakyapuri, New Delhi, Delhi 110003",28.600099228481,77.183829984319,4.4,6:30 PM
The Chanakya,1146116666,https://lh5.googleusercontent.com/p/AF1QipOwqcLXI1WWly5P_FQ9H-XlNmQgS9eAtSgoX5wq=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZslr_F8HQ05MZoX-jpQhFQ-&daddr=Yashwant+Place+Commercial+Complex+Opposite+Chanakyapuri+Post+Office,+Chanakyapuri,+New+Delhi,+Delhi+110021&ved=2ahUKEwi529X62LmEAxUUwoQAHbtLD3AQ48ADegQIABBR","Yashwant Place Commercial Complex Opposite Chanakyapuri Post Office, Chanakyapuri, New Delhi, Delhi 110021",28.58529,77.19115,4.6,10:00 PM
Delhi Haat Mall,1147041111,https://lh5.googleusercontent.com/p/AF1QipNobO2CxWuiVbKsLFcis0IcyZNf-JWWk2Ofc6u0=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUkrwzzj4Qw5MVvmfaPEXLIF&daddr=G58X%2BV65,+Westend+Marg,+Saiyad+Ul+Ajaib+Extension,+Sainik+Farm,+New+Delhi,+Delhi+110030&ved=2ahUKEwi529X62LmEAxUUwoQAHbtLD3AQ48ADegQIABBa","G58X+V65, Westend Marg, Saiyad Ul Ajaib Extension, Sainik Farm, New Delhi, Delhi 110030",28.493245,77.16102564,3.7,6:30 PM
DLF Emporio,9810560664,https://lh5.googleusercontent.com/p/AF1QipP9KOsyGCQwLUOWWIgokhII5XtvdDpPPtUnSq7G=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KY0fU9XOHQ05MRoefU9RBEf0&daddr=4,+Nelson+Mandela+Marg,+Vasant+Kunj+II,+Vasant+Kunj,+New+Delhi,+Delhi+110070&ved=2ahUKEwi529X62LmEAxUUwoQAHbtLD3AQ48ADegQIABBj","4, Nelson Mandela Marg, Vasant Kunj II, Vasant Kunj, New Delhi, Delhi 110070",28.530739992173,77.149939982756,4.6,10:00 PM
V3S Mall,1123365358,https://lh5.googleusercontent.com/p/AF1QipPa2c03bnH47Wo2Gea8arTk947fNoQNDvsnsXai=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRugUwVQ-ww5MSbuClH9OzyZ&daddr=J7PP%2BXMH,+Vikas+Marg,+Laxmi+Nagar+Commercial+Complex,+Swasthya+Vihar,+New+Delhi,+Delhi,+110092&ved=2ahUKEwi529X62LmEAxUUwoQAHbtLD3AQ48ADegQIABBs","J7PP+XMH, Vikas Marg, Laxmi Nagar Commercial Complex, Swasthya Vihar, New Delhi, Delhi, 110092",28.638304829895,77.289736716677,4.2,6:30 PM
Paharganj Main bazar,9810503458,https://lh5.googleusercontent.com/p/AF1QipMwXLm3FTXxzcfcXXP5ZIojuCExz2CYOSmOZhM8=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQl-UM-F_Qw5MT7YOfaHZuVn&daddr=17076c,+Paharganj+Rd,+Ratan+Lal+Market,+Partap+Nagar,+Paharganj,+New+Delhi,+Delhi,+110055&ved=2ahUKEwj3ksiN2bmEAxW52IQAHXanBzoQ48ADegQIABAq","17076c, Paharganj Rd, Ratan Lal Market, Partap Nagar, Paharganj, New Delhi, Delhi, 110055",28.649058827696,77.216761127019,4,6:30 PM
INA,8010907777,https://lh5.googleusercontent.com/p/AF1QipPYu-W9IrQuO8CQc31cG6TpvTSePR9EBDYqeOFi=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kc9BXjWM4ww5MeRXjd_-jEWI&daddr=H6F5%2B7JH,+Dilli+Haat,+Kidwai+Nagar+West,+Kidwai+Nagar,+New+Delhi,+Delhi+110023&ved=2ahUKEwj3ksiN2bmEAxW52IQAHXanBzoQ48ADegQIABAy","H6F5+7JH, Dilli Haat, Kidwai Nagar West, Kidwai Nagar, New Delhi, Delhi 110023",28.572840476688,77.208339717512,4.3,6:30 PM
