Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,Time
Mumbai Educational Trust - League of Colleges,02226440446,https://lh5.googleusercontent.com/p/AF1QipPLLBil4SE1jyezipttwg3JNJ7tKl5EE_POEeS0=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdmxKDI_yec7MTet73n3-rw7&daddr=Bhujbal+Knowledge+City,+Reclamation,+Bandra+West,+W,+Maharashtra+400050&ved=2ahUKEwiQhNnK-LuEAxUV4YQAHaYMCd0Q48ADegQIABAr","Bhujbal Knowledge City, Reclamation, Bandra West, W, Maharashtra 400050",19.05162,72.82899,4.2,
education,09833539851,Not available,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZOa0_gGt-c7Ma_ux6dPc9E0&daddr=Chincholi+Apartment,+B-601+knox+plaza,+near+vibgyor+roots,+Mindspace,+Malad+West,+Mumbai,+Maharashtra+64&ved=2ahUKEwiQhNnK-LuEAxUV4YQAHaYMCd0Q48ADegQIABA5","Chincholi Apartment, B-601 knox plaza, near vibgyor roots, Mindspace, Malad West, Mumbai, Maharashtra 64",19.17832,72.83847,5.0,
Mumbai Education Club,08850183605,https://lh5.googleusercontent.com/p/AF1QipP15SHocLFunlUIF8wwUPJUCSUMiSccf930TAuJ=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ke-0tJaxz-c7MV2UxQLZ3Jr8&daddr=C/5,+Old+Prabhadevi+Rd,+Prabhadevi,+Mumbai,+Maharashtra+400025&ved=2ahUKEwiQhNnK-LuEAxUV4YQAHaYMCd0Q48ADegQIABBB","C/5, Old Prabhadevi Rd, Prabhadevi, Mumbai, Maharashtra 400025",19.015299998697,72.825599961367,5.0,
Mrs. Raj’s Institute of Contemporary Education,02241946500,https://lh5.googleusercontent.com/p/AF1QipOGCTHjU77QrxFETsmnOLzHgeat0XbqNv_PAvkQ=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZ97Lr6gt-c7MRcvYitGMD-E&daddr=Off.+6,+Gokuldham+Market,+Film+City+Rd,+Goregaon,+Mumbai,+Maharashtra+400063&ved=2ahUKEwiQhNnK-LuEAxUV4YQAHaYMCd0Q48ADegQIABBI","Off. 6, Gokuldham Market, Film City Rd, Goregaon, Mumbai, Maharashtra 400063",19.175525090457,72.870625262814,5.0,
EDUCATIONAL HUB Consultancy & Academy,02224469963,https://lh5.googleusercontent.com/p/AF1QipNMnYFdfqGvtVYO-wBZfhreJrJHpZG65rb38b4U=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTkGG4T6uOc7Mckqlmai-8Vd&daddr=B+Wing+Second+Floor+206,+Pranav+Commercial+Plaza,+Above+Shiv+Sena+Shakha,+M.G.Road,+Mulund+West,+Mumbai,+Maharashtra+400080&ved=2ahUKEwiQhNnK-LuEAxUV4YQAHaYMCd0Q48ADegQIABBP","B Wing Second Floor 206, Pranav Commercial Plaza, Above Shiv Sena Shakha, M.G.Road, Mulund West, Mumbai, Maharashtra 400080",19.174325759488,72.950280090921,2.3,
Yes Education,02226602307,https://lh5.googleusercontent.com/p/AF1QipP64b1EZSJ83b1fLiC-5UOmurbledch5vMT__Zv=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYdSSPtbyec7Mfisi7Uhm31d&daddr=Office+Number+25,+Gayatri+Satsang,+behind+Vishnu+Shivam+Mall,+near+Bank+of+Baroda,+Kandivali,+Dattani+Park,+Thakur+Village,+Kandivali+East,+Mumbai,+Maharashtra+400101&ved=2ahUKEwiQhNnK-LuEAxUV4YQAHaYMCd0Q48ADegQIABBZ","Office Number 25, Gayatri Satsang, behind Vishnu Shivam Mall, near Bank of Baroda, Kandivali, Dattani Park, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101",19.20624,72.88048,4.8,
Higher Education School,02223544226,https://lh5.googleusercontent.com/p/AF1QipM30__DYN6EKpdv5Q9dYT8MDsI0iflZx_knF_X0=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbuHwG7Fzuc7Ma9JMG8vR0ch&daddr=Dayalji+Apartment,+Anant+Patil+Marg,+Gokhale+Rd,+Dadar+West,+Dadar,+Mumbai,+Maharashtra+400028&ved=2ahUKEwiQhNnK-LuEAxUV4YQAHaYMCd0Q48ADegQIABBh","Dayalji Apartment, Anant Patil Marg, Gokhale Rd, Dadar West, Dadar, Mumbai, Maharashtra 400028",19.02281,72.83769,2.8,
Mandar Education Society,09869546913,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bMyag7VF8qm2kPDq9RSbTw&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=7.1625667&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KX3YRXmUyOc7MThdIdbmp6nx&daddr=52-85,+SG+Barve+Marg,+Kurla+West,+Kurla,+Mumbai,+Maharashtra+400070&ved=2ahUKEwiQhNnK-LuEAxUV4YQAHaYMCd0Q48ADegQIABBo","52-85, SG Barve Marg, Kurla West, Kurla, Mumbai, Maharashtra 400070",19.067299984893,72.879350005127,4.2,
Education,08657777862,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0INlPo-XOooumHLR5vF99g&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=225.32808&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQEAAAD_yOc7MVkQhcI2kDld&daddr=3RQJ%2B6J4,+Juhu+Tara+Rd,+Daulat+Nagar,+Juhu,+Mumbai,+Maharashtra+400049&ved=2ahUKEwiQhNnK-LuEAxUV4YQAHaYMCd0Q48ADegQIABBv","3RQJ+6J4, Juhu Tara Rd, Daulat Nagar, Juhu, Mumbai, Maharashtra 400049",19.10415999084,72.826730009553,4.0,
Department of Special Education SNDT Women's University,02226492426,https://lh5.googleusercontent.com/p/AF1QipOH8MSuM-m3Zs8LQOLzeFNPI23EjMppodE8o_9b=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWW711N60ec7MVk71P09CxgC&daddr=Hira+building+I+st+floor,+Mint+Rd,+opp.+GPO,+cst,+Mumbai,+Maharashtra+400001&ved=2ahUKEwiQhNnK-LuEAxUV4YQAHaYMCd0Q48ADegQIABB4","Hira building I st floor, Mint Rd, opp. GPO, cst, Mumbai, Maharashtra 400001",18.936513977628,72.83696003856,4.8,
Education Consultant for Distance education admission,02267887791,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vksx-upfEeglAAHGs2BF_Q&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=203.57478&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kauqmqt7zuc7MX3Cw1eohiBo&daddr=Park,+SRCC+Centre+for+Child+Development+1A,+Keshavrao+Khadye+Marg,+opposite+willingdon+sports+club,+Haji+Ali,+Haji+Ali+Government+Colony,+Mahalakshmi,+Mumbai,+Maharashtra+400034&ved=2ahUKEwiQhNnK-LuEAxUV4YQAHaYMCd0Q48ADegQIABB_","Park, SRCC Centre for Child Development 1A, Keshavrao Khadye Marg, opposite willingdon sports club, Haji Ali, Haji Ali Government Colony, Mahalakshmi, Mumbai, Maharashtra 400034",18.980259997295,72.824679963675,4.8,
