Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,Time
Phoenix Marketcity,02244001000,https://lh5.googleusercontent.com/p/AF1QipO2HZbnA0q6ideobAWpumO8Mxygd5PKnnSO9CK3=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZ-Lt--HyOc7MQpHGTGcyZ2f&daddr=Lal+Bahadur+Shastri+Marg,+Patelwadi.Kurla,+%E0%A4%95%E0%A4%AE%E0%A4%BE%E0%A4%A8%E0%A5%80,+Kurla+West,+Kurla,+Mumbai,+Maharashtra+400070&ved=2ahUKEwiDzKvb-7uEAxUG5YQAHWaeCPMQ48ADegQIABAr","Lal Bahadur Shastri Marg, Patelwadi.Kurla, कमानी, Kurla West, Kurla, Mumbai, Maharashtra 400070",19.085114907565,72.886826691682,4.5,
Heera Panna Shopping Centre,02223516318,https://lh5.googleusercontent.com/p/AF1QipO-1qH0Zp40nFGSr56UapDyhZe0RydmUTL5X3mZ=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQd54EVxzuc7MX_iYvGAOhto&daddr=Dargah,+Opposite,+Bhulabhai+Desai+Marg,+Haji+Ali,+Malviya+Nagar,+Tardeo,+Mumbai,+Maharashtra+400026&ved=2ahUKEwiDzKvb-7uEAxUG5YQAHWaeCPMQ48ADegQIABA0","Dargah, Opposite, Bhulabhai Desai Marg, Haji Ali, Malviya Nagar, Tardeo, Mumbai, Maharashtra 400026",18.979995818678,72.809847640935,3.9,
Phoenix Palladium,02243339994,https://lh5.googleusercontent.com/p/AF1QipPvew0CehPDcs3JrzGdahivvCqTwdbKmFP2ELkt=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRvFQ2CMzuc7MapSHRpyiJJG&daddr=462,+Senapati+Bapat+Marg,+Lower+Parel,+Mumbai,+Maharashtra+400013&ved=2ahUKEwiDzKvb-7uEAxUG5YQAHWaeCPMQ48ADegQIABA-","462, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013",18.993470002428,72.82515999527,4.5,
Oberoi Mall,02240990824,https://lh5.googleusercontent.com/p/AF1QipMVtrLbAXrxerkNUQDmBga-kllyj_OrpQqdF4RI=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kf___78Ht-c7MWu_EXn8xMlq&daddr=Yashodham,+Goregaon,+Mumbai,+Maharashtra+400063&ved=2ahUKEwiDzKvb-7uEAxUG5YQAHWaeCPMQ48ADegQIABBH","Yashodham, Goregaon, Mumbai, Maharashtra 400063",19.17148837257,72.864693464974,4.4,
R CITY,02267755800,https://lh5.googleusercontent.com/p/AF1QipMGTofENlmg2shGt7tAYc7denntvKf2OUAfopYb=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUuOoJHLx-c7McOEExhhjEAQ&daddr=Lal+Bahadur+Shastri+Marg,+Amrut+Nagar,+Ghatkopar+West,+Mumbai,+Maharashtra+400086&ved=2ahUKEwiDzKvb-7uEAxUG5YQAHWaeCPMQ48ADegQIABBR","Lal Bahadur Shastri Marg, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",19.098963317564,72.917193089819,4.4,
Mumbai Shopping Place,02266229300,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gr8V20N_PEPTDkXlUr9fJg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=236.3437&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ka3ZVdeMyec7MXLERGdNMnVe&daddr=345-357,+Swami+Vivekananda+Rd,+Fish+Market+Area,+Navneeth+Colony,+Andheri+West,+Mumbai,+Maharashtra+400058&ved=2ahUKEwiDzKvb-7uEAxUG5YQAHWaeCPMQ48ADegQIABBa","345-357, Swami Vivekananda Rd, Fish Market Area, Navneeth Colony, Andheri West, Mumbai, Maharashtra 400058",19.102745047363,72.839530634087,4.8,
Sayba Palace Shopping Centre,02266229302,https://lh5.googleusercontent.com/p/AF1QipOsMG2MkE9yityvNZZKFedLmRn-5wLaZ4ZvR8lC=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUW9fHCTyOc7MVFtPGPMh4Rp&daddr=3V9H%2B84X,+New+Mill+Rd,+BMC+Colony,+Ambedkar+Nagar,+Kurla+West,+Kurla,+Mumbai,+Maharashtra+400070&ved=2ahUKEwiDzKvb-7uEAxUG5YQAHWaeCPMQ48ADegQIABBi","3V9H+84X, New Mill Rd, BMC Colony, Ambedkar Nagar, Kurla West, Kurla, Mumbai, Maharashtra 400070",19.065570001987,72.876910033113,3.9,
Link Square Mall Bandra West.,09768048876,https://lh5.googleusercontent.com/p/AF1QipMkid-saK9xnkMy3l9ihFqw7-kQ2RcgZxYOqQyK=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSfNPWARyec7McKLnZbXlFtD&daddr=33rd+Linking+Road,+opposite+KFC,+Mumbai,+Maharashtra+400050&ved=2ahUKEwiDzKvb-7uEAxUG5YQAHWaeCPMQ48ADegQIABBq","33rd Linking Road, opposite KFC, Mumbai, Maharashtra 400050",19.063642189895,72.835141259818,4.0,
CR2 Shopping Mall,02242440000,https://lh5.googleusercontent.com/p/AF1QipOR8YWnpQeahf_LUgJk5tUMAlZmo2hhJNWu618X=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kal0QDDp0ec7MeVhi8wpQ2_-&daddr=7,+Barrister+Rajni+Patel+Marg,+Nariman+Point,+Mumbai,+Maharashtra+400021&ved=2ahUKEwiDzKvb-7uEAxUG5YQAHWaeCPMQ48ADegQIABBz","7, Barrister Rajni Patel Marg, Nariman Point, Mumbai, Maharashtra 400021",18.92559,72.82398,4.0,
Bayside Mall,09820179786,https://lh5.googleusercontent.com/p/AF1QipPtKlczPHJ2W7Qz04RMkbNQBFBSUHH375aj7Ey5=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KU2WNHt6zuc7Mekfy-2-L0Z2&daddr=XRG7%2BF23,+Tardeo+Road,+opposite+Cross+Roads,+Haji+Ali,+Arya+Nagar,+Captain+Colony,+Mumbai,+Maharashtra+400034&ved=2ahUKEwiDzKvb-7uEAxUG5YQAHWaeCPMQ48ADegQIABB9","XRG7+F23, Tardeo Road, opposite Cross Roads, Haji Ali, Arya Nagar, Captain Colony, Mumbai, Maharashtra 400034",18.970160013517,72.815149991221,3.5,
