"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Paaras Institute Of Education","07713585942","https://lh5.googleusercontent.com/p/AF1QipN6o1Xx5qCTN6DPT_WKPrtGlsccywJYMwpfGXrM=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZNJb6X03Sg6MZzWB9fpG_39&daddr=Ring+Road+No.+01,+Bhatagaon+Rd,+next+to+Centrum+Building,+beside+Mahaveer+Sweets,+Dhebar+City,+Bhatagaon,+Raipur,+Chhattisgarh+492013&ved=2ahUKEwiw_NKO77iEAxX32IQAHfkmA9kQ48ADegQIABAs","Ring Road No. 01, Bhatagaon Rd, next to Centrum Building, beside Mahaveer Sweets, Dhebar City, Bhatagaon, Raipur, Chhattisgarh 492013","21.197731762896","81.613122417845","4.8","9:30"
"SV EDUCATIONAL ACADEMY - Best NEET Coaching Institute in Raipur | 11th & 12th Biology Classes | Top Institute for NEET","09981404174","https://lh5.googleusercontent.com/p/AF1QipORM-w9y1Bo9TPR39Z3J_rvK2QITMsE_Zx5srAD=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQPt9Zbe3Sg6MWfmwcCU_BRG&daddr=Besides+Agrawal+Mithaiwala,+Mahadev+Ghat+Rd,+Ashwani+Nagar,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiw_NKO77iEAxX32IQAHfkmA9kQ48ADegQIABA3","Besides Agrawal Mithaiwala, Mahadev Ghat Rd, Ashwani Nagar, Raipur, Chhattisgarh 492001","21.254260264488","81.656194251593","4.6","9:30"
"Education hub","07712220026","https://lh5.googleusercontent.com/p/AF1QipNJcxsvYLOTR9BveJ9hDn81z7w6bts8o6E5TZH1=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUfIX5y83Sg6MU2BovS6WYDV&daddr=6JPM%2BCF8,+Sadar+Bazar+Rd,+opp.+Nathani+Building,+Sadar+Bazar,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiw_NKO77iEAxX32IQAHfkmA9kQ48ADegQIABA-","6JPM+CF8, Sadar Bazar Rd, opp. Nathani Building, Sadar Bazar, Raipur, Chhattisgarh 492001","21.238445193358","81.63201310175","3.8","9:30"
"Krishaa Education","09630185800","https://lh5.googleusercontent.com/p/AF1QipPft1l3UGHxevEZwCFjAZKp93DlwVXA9auAfVzv=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kd0RiVS43Sg6MTvDkWJ6bajR&daddr=Main+Rd,+near+Union+Bank,Lily+Chowk,+Purani+Basti,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiw_NKO77iEAxX32IQAHfkmA9kQ48ADegQIABBG","Main Rd, near Union Bank,Lily Chowk, Purani Basti, Raipur, Chhattisgarh 492001","21.230321673488","81.624849137002","2.9","9:30"
"Education for All","09650073658","https://lh5.googleusercontent.com/p/AF1QipNlR26q5vgk4bb6rLUiSpPwc_8iLzhme_vBCTzJ=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVUuTaME3Sg6MWsr6JEUUpME&daddr=House+Number+6,+Dolphin+Plaza,+Near,+Mowa+Rd,+Dubey+Colony,+Mowa,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiw_NKO77iEAxX32IQAHfkmA9kQ48ADegQIABBN","House Number 6, Dolphin Plaza, Near, Mowa Rd, Dubey Colony, Mowa, Raipur, Chhattisgarh 492001","21.26774","81.66333","3.0","9:30"
"MSB Educational Institute Raipur","09009122695","https://lh5.googleusercontent.com/p/AF1QipNfL1CdsoILz5FT6mQ9MqzyI71luuj_lFIOS1gS=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KY1zZuCW3Sg6MRUuHCer_Nho&daddr=6JXM%2B5CJ,+Moudhapara,+Raipur,+Chhattisgarh+492009&ved=2ahUKEwiw_NKO77iEAxX32IQAHfkmA9kQ48ADegQIABBW","6JXM+5CJ, Moudhapara, Raipur, Chhattisgarh 492009","21.252044404129","81.635933918684","5.0","9:30"
"RAMKRISHNA INSTITUTE OF EDUCATION","07712210015","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QFZatM5DeRY-9drhoRz16A&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=197.00757&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYH6u2PX3Sg6MXx6JzW5iJO6&daddr=Sai+Darbar+Road,+CG,+Mahadev+Ghat+Rd,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiw_NKO77iEAxX32IQAHfkmA9kQ48ADegQIABBd","Sai Darbar Road, CG, Mahadev Ghat Rd, Raipur, Chhattisgarh 492001","21.23544908114","81.612300361888","4.2","9:30"
"Pssou education centre raipur","09926744931","https://lh5.googleusercontent.com/p/AF1QipM258t3t8KjlJYjVQsggtrE-sJODsFmRVA2u_T_=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSVzYx0A3Sg6MU4-Pfew5pTR&daddr=6MW4%2BQWX,+Fafadih,+Indravati+Colony,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiw_NKO77iEAxX32IQAHfkmA9kQ48ADegQIABBk","6MW4+QWX, Fafadih, Indravati Colony, Raipur, Chhattisgarh 492001","21.244158243744","81.650300533156","4.7","9:30"
"Raipur chattisgarh","09303873121","//lh5.googleusercontent.com/proxy/7SXb5-OG4FG1GCdArXenp7mIKuvIOkqjyG30lL6mKgLToKkE5mKQh0CmP9W8cZTnjx8rjwFJ_P78M2yMQmjOiu9hv9kYC1nkKjKR-B4xyrjR11pbc3uvuY78ryuzKdlOkHBHOEhWZNA-IcB7LQtOz3vED8Jksc_095IxdbuAu3cmA633jxTlsg=w144-h144-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZGyTs9u3Sg6MeumAkBXcsPv&daddr=7J5M%2BJP9+Railway+Institute,+Kharun+Rail+Vihar,+Balaji+Nagar,+Raipur,+Chhattisgarh+492009&ved=2ahUKEwiw_NKO77iEAxX32IQAHfkmA9kQ48ADegQIABBq","7J5M+JP9 Railway Institute, Kharun Rail Vihar, Balaji Nagar, Raipur, Chhattisgarh 492009","21.258289879122","81.636325080048","4.3","9:30"
"Institute of Open & Distance Education","07712443796","https://lh5.googleusercontent.com/p/AF1QipOs7ypJy2VbUgqtMNUiUs7ZuglJEQeTN1H1sQVm=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbtPAM7b3Sg6Me7hxdZSTJWp&daddr=6JM5%2BHV7,+Mahadev+Ghat+Rd,+Sunder+Nagar,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiw_NKO77iEAxX32IQAHfkmA9kQ48ADegQIABBw","6JM5+HV7, Mahadev Ghat Rd, Sunder Nagar, Raipur, Chhattisgarh 492001","21.232140287914","81.603730176748","5.0","9:30"
