"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"TAS Home Service","07447000045","https://lh5.googleusercontent.com/p/AF1QipPqlUhKCh_1ljGkjjxmjgXA-zRofeIsLMo_FQIm=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZGATei73Sg6MXUWQIL1HLBe&daddr=Office+No.+208,+Atlantis+Tower,+near+Airtel+office,+Telibandha,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwirs5qi8riEAxUq6IQAHbx1C5gQ48ADegQIABAt","Office No. 208, Atlantis Tower, near Airtel office, Telibandha, Raipur, Chhattisgarh 492001","21.238220836118","81.669197046711","4.6","9:30"
"RAIPUR SERVICES","09669692807","https://lh5.googleusercontent.com/p/AF1QipNvAlrZKvoHzElo2YqKA2qD87gDG70f2g6gSQYu=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kc_aBZN_3Sg6Mcm6LIYsPxb_&daddr=infront+of+budhhi+maa+chowk,+B-39,+Katora+Talab+Main+Rd,+Old+Rajendra+Nagar,+Janta+Colony,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwirs5qi8riEAxUq6IQAHbx1C5gQ48ADegQIABA2","infront of budhhi maa chowk, B-39, Katora Talab Main Rd, Old Rajendra Nagar, Janta Colony, Raipur, Chhattisgarh 492001","21.230072707442","81.654364715194","4.9","9:30"
"Riya home services.com , AC, refrigerator, washing machine, Ro water purifier repairs","07839299999","https://lh5.googleusercontent.com/p/AF1QipN-RpXDT97TkZhUIj6zVc34BzIBf7Lz2ugp6du4=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSN0LaTk5yg6Mew6Ca8FrUeP&daddr=7MMP%2B24M,+Sector+8,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwirs5qi8riEAxUq6IQAHbx1C5gQ48ADegQIABA-","7MMP+24M, Sector 8, Raipur, Chhattisgarh 492001","21.19469","81.79207","4.7","9:30"
"Pragati home care | Home nursing services in Raipur","08889702488","https://lh5.googleusercontent.com/p/AF1QipNVJmXmNY_Aqac2o3-Zte3kl1qI_S4r4QXKLKQH=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KT0WSkR23Sg6MUQJH50BpEdk&daddr=03,+Dunda,+Chhattisgarh+492015&ved=2ahUKEwirs5qi8riEAxUq6IQAHbx1C5gQ48ADegQIABBI","03, Dunda, Chhattisgarh 492015","21.189923354485","81.666818674205","4.3","9:30"
"Manchester Home Care Services-NIV-CPAP-BIPAP/Bed/ Caretaker /Oxygen Cylinder/Concentrator/Ventilator on Rent in Raipur","08878952222","https://lh5.googleusercontent.com/p/AF1QipOBQPYsXBVuv4CvLAVdYg0pXprwS7l88roQB6xJ=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KfOo5XYZ3Sg6MT0Fx_Wz-TgY&daddr=Shop+No+-+03,+Infront+of+NHMMI+Hospital+Gate,+New+Dhamtari+Rd,+Lalpur,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwirs5qi8riEAxUq6IQAHbx1C5gQ48ADegQIABBS","Shop No - 03, Infront of NHMMI Hospital Gate, New Dhamtari Rd, Lalpur, Raipur, Chhattisgarh 492001","21.213501280325","81.661215777245","4.8","9:30"
"The Providers All Home Services","08839186930","https://lh5.googleusercontent.com/p/AF1QipOpJOC6NKnH2bDI6yAi9dmGORBgfIbcl2tPPQFM=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUkNvr-y3Sg6MQq4pxOsFQDH&daddr=Raja+talab,+Noorani+Chowk,+Govind+Nagar,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwirs5qi8riEAxUq6IQAHbx1C5gQ48ADegQIABBZ","Raja talab, Noorani Chowk, Govind Nagar, Raipur, Chhattisgarh 492001","21.24896999041","81.650353557898","5.0","9:30"
"R Pair Solution","07000386759","https://lh5.googleusercontent.com/p/AF1QipNOf0UbDeX_nMTie_xFIzoPUY0cqdcQSelRh9Pp=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYG6XlkW3Sg6MZsw3v4p9rGC&daddr=6th+floor,+Shop+no+640,Golden+Trade+Center,+near+rajendra+nagar,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwirs5qi8riEAxUq6IQAHbx1C5gQ48ADegQIABBi","6th floor, Shop no 640,Golden Trade Center, near rajendra nagar, Raipur, Chhattisgarh 492001","21.22241","81.66141","4.7","9:30"
"Nirmal Home Sanitization","09109569278","https://lh5.googleusercontent.com/p/AF1QipPXX7AZIAEfCklMZbmuZQheUL5sRWdl856cMm3v=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbPQA8Et3Sg6MQARL-QrQ-V3&daddr=House+no,+A-2,+Gayatri+Vihar,+Mahaveer+Nagar,+Raipur,+Chhattisgarh+492006&ved=2ahUKEwirs5qi8riEAxUq6IQAHbx1C5gQ48ADegQIABBp","House no, A-2, Gayatri Vihar, Mahaveer Nagar, Raipur, Chhattisgarh 492006","21.2293","81.67034","4.6","9:30"
"Care For You Home Care Foundation","06260334986","https://lh5.googleusercontent.com/p/AF1QipMmjUdeNj5lMGgX72n2DhTvDjKrVoMtuDA4M8GZ=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZ3QfT_Z3Sg6MSUckyYxM9wa&daddr=Krishna+Nagar,+Santoshi+Nagar,+Raipur,+Mathpurena,+Chhattisgarh+492001&ved=2ahUKEwirs5qi8riEAxUq6IQAHbx1C5gQ48ADegQIABBx","Krishna Nagar, Santoshi Nagar, Raipur, Mathpurena, Chhattisgarh 492001","21.236737828447","81.609152990104","4.5","9:30"
"Professional cleaning services","08718062435","https://lh5.googleusercontent.com/p/AF1QipMvoXavWwoy9W00GdUjdW18BAUswmuNrE9-TJsf=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KcknWLfB3Sg6MQQPZx9kq0Qx&daddr=New+Rajendra+Nagar,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwirs5qi8riEAxUq6IQAHbx1C5gQ48ADegQIABB8","New Rajendra Nagar, Raipur, Chhattisgarh 492001","21.223943951784","81.657125517641","4.4","9:30"
