"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"R Pair Solution","08878952222","https://lh5.googleusercontent.com/p/AF1QipP2NAfcw6sPbDdBk6ysk5xwI0utXAPbDJ_gFXNg=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYG6XlkW3Sg6MZsw3v4p9rGC&daddr=6th+floor,+Shop+no+640,Golden+Trade+Center,+near+rajendra+nagar,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiL77ni8biEAxXB5YQAHVucDw0Q48ADegQIABAr","6th floor, Shop no 640,Golden Trade Center, near rajendra nagar, Raipur, Chhattisgarh 492001","21.22241","81.66141","4.7","9:30"
"Khandai Plumbing Services","09685530850","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pxH3a6vDTJILQxWGrjJBlg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=316.78546&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdP89np03Sg6Meq-EXKKI7vl&daddr=6MX2%2B6WM,+Opp.+Girdhar+Lakdi+Tall,+Shashtri+Chowk,+Raja+Talab,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiL77ni8biEAxXB5YQAHVucDw0Q48ADegQIABAy","6MX2+6WM, Opp. Girdhar Lakdi Tall, Shashtri Chowk, Raja Talab, Raipur, Chhattisgarh 492001","21.247556560145","81.651739469232","3.0","9:30"
"Aditya Construction","09770333370","https://lh5.googleusercontent.com/p/AF1QipMJs7zizTaFtNatWgt94KIJmEorcFaC_r_7-Wsq=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVeAvt-R5yg6MXYiOKO-kAxF&daddr=Khamtarai+,+Raipur+%28C.G%29,+Asian+Hardware+And+Electrical,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiL77ni8biEAxXB5YQAHVucDw0Q48ADegQIABA8","Khamtarai , Raipur (C.G), Asian Hardware And Electrical, Raipur, Chhattisgarh 492001","21.23219","81.65500273","4.3","9:30"
"Mistri point","09770417778","https://lh5.googleusercontent.com/p/AF1QipN-IvSoH6Yrh3Dk3zk5uKZ29TN-6zj2ZmOXG_rr=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbkJf9co3Sg6MaWSZ_D5qtNd&daddr=In+front+of+magneto+mall,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiL77ni8biEAxXB5YQAHVucDw0Q48ADegQIABBD","In front of magneto mall, Raipur, Chhattisgarh 492001","21.23917","81.68367","4.8","9:30"
"Gurukripa sanitary and hardware","07447000045","https://lh5.googleusercontent.com/p/AF1QipMcTX05RJqnLsGT1izKex5jj6s3nRLzWsClac9P=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KcXAlh7i3Cg6MaIiVLeDJden&daddr=Rishabh+nagar+Rishabh+enclave,+near+Shri+Medishine+Hospital,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiL77ni8biEAxXB5YQAHVucDw0Q48ADegQIABBL","Rishabh nagar Rishabh enclave, near Shri Medishine Hospital, Raipur, Chhattisgarh 492001","21.22119","81.66287","4.4","9:30"
"TAS Home Service","07879777157","https://lh5.googleusercontent.com/p/AF1QipMB_WwqKXy0BlzCWye00S-pd2QrjVtEuMMn1zqF=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZGATei73Sg6MXUWQIL1HLBe&daddr=Office+No.+208,+Atlantis+Tower,+near+Airtel+office,+Telibandha,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiL77ni8biEAxXB5YQAHVucDw0Q48ADegQIABBW","Office No. 208, Atlantis Tower, near Airtel office, Telibandha, Raipur, Chhattisgarh 492001","21.238220836118","81.669197046711","4.6","9:30"
"AB Plumbers service","06267828988","https://lh5.googleusercontent.com/p/AF1QipOjTJ0y0exa8y1omvQt4CivWdNS51brmAj2uAkx=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZ3qatFr3Sg6Ma9x3sqPcsnp&daddr=SH+2,+R.V.H.+Colony,+Jagriti+Nagar,+Fafadih,+Raipur,+Chhattisgarh+492004&ved=2ahUKEwiL77ni8biEAxXB5YQAHVucDw0Q48ADegQIABBf","SH 2, R.V.H. Colony, Jagriti Nagar, Fafadih, Raipur, Chhattisgarh 492004","21.266346832227","81.647571606258","5.0","9:30"
"Kalapurna Traders","09770333370","https://lh5.googleusercontent.com/p/AF1QipOTxzejmvc1hhQypsAph1eZ2Pc31GvC-sCiV4aQ=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQXw0f0Q3Sg6MZ2qKym08JGK&daddr=Bhatagaon+Chowk,+Jalgrah+Marg,+near+Interstate+Bus+Depot,+Raipur,+Chhattisgarh+492013&ved=2ahUKEwiL77ni8biEAxXB5YQAHVucDw0Q48ADegQIABBo","Bhatagaon Chowk, Jalgrah Marg, near Interstate Bus Depot, Raipur, Chhattisgarh 492013","21.216743832289","81.625530755845","5.0","9:30"
"Sahu Fritters","09713338800","https://lh5.googleusercontent.com/p/AF1QipM14D5qwKgJ99Lk_7N1AVlkpaNhrNH-tq6wkbER=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaVaa0R33Sg6Me2MobWaA0zW&daddr=Nahar+Road,+Santhoshi+Nagar,+Raipur,+Tikrapara,+Chhattisgarh+492001&ved=2ahUKEwiL77ni8biEAxXB5YQAHVucDw0Q48ADegQIABBv","Nahar Road, Santhoshi Nagar, Raipur, Tikrapara, Chhattisgarh 492001","21.233882550442","81.669874665436","5.0","9:30"
"AD Plumbing Solution","06264317988","https://lh5.googleusercontent.com/p/AF1QipOT-rYi-K0Xkr3OAsNj7li72oEzJEURklV1Rvys=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbkS6e6R3Sg6MfNSj4Skyt8j&daddr=Station+Rd,+Nahar+Para,+Station+Road,+Moudhapara,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiL77ni8biEAxXB5YQAHVucDw0Q48ADegUIABCBAQ","Station Rd, Nahar Para, Station Road, Moudhapara, Raipur, Chhattisgarh 492001","21.253762783711","81.634522046889","4.3","9:30"
