"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"ICON HAIR & BEAUTY LOUNGE","09827833240","https://lh5.googleusercontent.com/p/AF1QipMmkDZxVBox7gOcYL9yvML450pVFkMheyNHszQg=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaF_63jT3Sg6MYv6Ww3YZNXn&daddr=Pension+Bada,MainRoad,1st+Floor+Khushbu+Finance,+in+front+of+Corporation+Bank,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwjOytTf7LiEAxXmwIQAHXEDFUgQ48ADegQIABAr","Pension Bada,MainRoad,1st Floor Khushbu Finance, in front of Corporation Bank, Raipur, Chhattisgarh 492001","21.229157647521","81.647603069542","4.5","9:30"
"Meenakshi's","07714004017","https://lh5.googleusercontent.com/p/AF1QipN0LJg_iBaqkA3IPnGTP-kRC0QzJdoAJV9jQDp4=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQ0syISC3Sg6MeTKkr_GJSUR&daddr=C-27/28,+Sector+4,+Near+Gujrati+School,+Devendra+Nagar,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwjOytTf7LiEAxXmwIQAHXEDFUgQ48ADegQIABA1","C-27/28, Sector 4, Near Gujrati School, Devendra Nagar, Raipur, Chhattisgarh 492001","21.24846559491","81.658763353701","4.2","9:30"
"Makeup Studio Salon / Academy","07714035787","https://lh5.googleusercontent.com/p/AF1QipMgGPC5VIRhz3PL_WyPPWysHrKBdcbVq5whH3bW=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUO31OLp3Sg6MWdYSE4sUr_d&daddr=1st+Floor,+Svojash+heights+Commercial,+near+MGM+School,+Raipur&ved=2ahUKEwjOytTf7LiEAxXmwIQAHXEDFUgQ48ADegQIABA_","1st Floor, Svojash heights Commercial, near MGM School, Raipur","21.25051","81.67035","4.3","9:30"
"Style On Salon Raipur","07714262935","https://lh5.googleusercontent.com/p/AF1QipNn0qTnsHAp-M97Sddd2JvFiq_dlPQpnCrHhRRb=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdtxtIqm3Sg6MTE0hlZMrfCd&daddr=Byron+Bazar+Rd,+Opp.+Fuzion+Gym,+Byron+Bazar,+Janta+Colony,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwjOytTf7LiEAxXmwIQAHXEDFUgQ48ADegQIABBI","Byron Bazar Rd, Opp. Fuzion Gym, Byron Bazar, Janta Colony, Raipur, Chhattisgarh 492001","21.236054476692","81.648667352388","4.0","9:30"
"Dwarika's Hair & Makeup Lounge - Makeup Artist in Raipur | Beauty Salon in Raipur |","07024060638","https://lh5.googleusercontent.com/p/AF1QipM0rfTuUcDdaYWJWDxjidiUfuLtsi0TVKahAbCj=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWGPnr9u3Sg6MUgW1AGN8-Da&daddr=mesnat,+41,+Sector+1,+Shankar+Nagar,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwjOytTf7LiEAxXmwIQAHXEDFUgQ48ADegQIABBT","mesnat, 41, Sector 1, Shankar Nagar, Raipur, Chhattisgarh 492001","21.241957424693","81.666596310893","4.0","9:30"
"GLOBE UNISEX SALON","07038720747","https://lh5.googleusercontent.com/p/AF1QipPe417q9YjOPuWx8ztD2mD13Ew06Yowd9AoK0D3=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KR17q2XW3yg6MWId6rm784x0&daddr=MAIN+ROAD,+near+ALLAHABAD+BANK,+Rohnipuram,+DDU+Nagar,+Amanaka,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwjOytTf7LiEAxXmwIQAHXEDFUgQ48ADegQIABBe","MAIN ROAD, near ALLAHABAD BANK, Rohnipuram, DDU Nagar, Amanaka, Raipur, Chhattisgarh 492001","21.237130007351","81.596080037577","4.3","9:30"
"TAB Salon & Academy","07714062406","https://lh5.googleusercontent.com/p/AF1QipPgAVHpJPhu46FR_l7crCR5pgaK12k1hhGT5jX0=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KT3SzraV3Sg6Mb7-HG1i5Amj&daddr=Capital+Palace,+8,+Avanti+Vihar+Rd,+Geetanjali+Colony,+Shankar+Nagar,+Raipur,+Chhattisgarh+492007&ved=2ahUKEwjOytTf7LiEAxXmwIQAHXEDFUgQ48ADegQIABBo","Capital Palace, 8, Avanti Vihar Rd, Geetanjali Colony, Shankar Nagar, Raipur, Chhattisgarh 492007","21.240232668175","81.672763831625","4.8","9:30"
"Glitz & Glamour family salon","08982305584","https://lh5.googleusercontent.com/p/AF1QipP6j3nEZEbQ1pFNCGO4pixIiBhG9xvLwxc0gQtO=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KS8Mxzxq3Sg6MRUS9YuwH8BP&daddr=29/3+Geetanjali+nagar,+Main+Rd,+Avanti+Vihar,+Raipur,+Chhattisgarh+492007&ved=2ahUKEwjOytTf7LiEAxXmwIQAHXEDFUgQ48ADegQIABBx","29/3 Geetanjali nagar, Main Rd, Avanti Vihar, Raipur, Chhattisgarh 492007","21.2443","81.66766","4.3","9:30"
"Lovely The Salon","09893066026","https://lh5.googleusercontent.com/p/AF1QipP3vRRE53-Xow-lDIgp070QAM157DwRneedK7DP=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRu-xvIE3ig6MbGzjmh_SZji&daddr=shop+no.2+maruti+lotus+in+front+of+marutifestyle,+Mohba+Bazar+Rd,+Parmanand+Nagar,+Kota,+Raipur,+Chhattisgarh+492099&ved=2ahUKEwjOytTf7LiEAxXmwIQAHXEDFUgQ48ADegQIABB5","shop no.2 maruti lotus in front of marutifestyle, Mohba Bazar Rd, Parmanand Nagar, Kota, Raipur, Chhattisgarh 492099","21.256089821471","81.595463973514","4.3","9:30"
"Naturals Salon","09769558666","https://lh5.googleusercontent.com/p/AF1QipNVUjqX__pb7uzG_xOBDxk5uxoPt1iORo71KGlR=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kcv_OnI73Sg6MccqnEVYmh9T&daddr=2nd+Floor,+Chandra+Square,+above+Reliance+Jio+Mart,+beside+Shankara+Hyundai,+Dubey+Colony,+Mowa,+Raipur,+Chhattisgarh+492014&ved=2ahUKEwjOytTf7LiEAxXmwIQAHXEDFUgQ48ADegQIABB_","2nd Floor, Chandra Square, above Reliance Jio Mart, beside Shankara Hyundai, Dubey Colony, Mowa, Raipur, Chhattisgarh 492014","21.272551478598","81.670979296243","4.9","9:30"
"HR Beauty Salon","07714044935","https://lh5.googleusercontent.com/p/AF1QipPaLUyS57v-H4oFPQNKM5a8kh0804zFpxQfCZ7m=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUtIU_Sd3Sg6MbmNx3bJZuft&daddr=Katora+Talab+Main+Rd,+Old+Rajendra+Nagar,+Katora+Talab,+Civil+Lines,+Raipur,+Tikrapara,+Chhattisgarh+492001&ved=2ahUKEwjOytTf7LiEAxXmwIQAHXEDFUgQ48ADegUIABCGAQ","Katora Talab Main Rd, Old Rajendra Nagar, Katora Talab, Civil Lines, Raipur, Tikrapara, Chhattisgarh 492001","21.228602192066","81.654829261444","4.7","9:30"
