"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Magneto The Mall","07712259301","https://lh5.googleusercontent.com/p/AF1QipMshUXqYyateuIM8Nzwg0cpxJyOilqsMX6C6A-A=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KY1PCck23Sg6MbRpwY-Z_lKb&daddr=NH+53,+GE+Road,+beside+Signature+Homes+2,+Labhandih,+Chhattisgarh+492001&ved=2ahUKEwiv7fXV6riEAxXM04QAHUtlClsQ48ADegQIABAq","NH 53, GE Road, beside Signature Homes 2, Labhandih, Chhattisgarh 492001","21.23829604978","81.685744827164","4.3","9:30"
"Ambuja City Centre","03340063195","https://lh5.googleusercontent.com/p/AF1QipOvwv3jKw2YYsv0JxbUAqhtVXLIfrxsbL1aT0eE=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KakoUEZg3Sg6MaH1uJ4meBHY&daddr=Main,+Vidhan+Sabha+Rd,+Mowa,+Raipur,+Chhattisgarh+492007&ved=2ahUKEwiv7fXV6riEAxXM04QAHUtlClsQ48ADegQIABA0","Main, Vidhan Sabha Rd, Mowa, Raipur, Chhattisgarh 492007","21.266281661612","81.663371730838","4.5","9:30"
"Solus Uptown Mall","07714069999","https://lh5.googleusercontent.com/p/AF1QipPV1M81zRwJztsnmcwj2EVLRPgakU3cKMQxVVw-=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZFhq9Sq3Sg6MctFLd6kf7Jx&daddr=Solus+Uptown+Mall,+Great+Eastern+Rd,+Geeta+Nagar,+Choubey+Colony,+Ramkund,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiv7fXV6riEAxXM04QAHUtlClsQ48ADegQIABA-","Solus Uptown Mall, Great Eastern Rd, Geeta Nagar, Choubey Colony, Ramkund, Raipur, Chhattisgarh 492001","21.243851211732","81.619100490807","4.7","9:30"
"Colors Mall","09522419000","https://lh5.googleusercontent.com/p/AF1QipOYt5vDKMibIGd0uJ7WsVA4CUtd4O_dHjCJyrPM=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KY2__-783Cg6MdabKIaaWBcf&daddr=NH-43+Pachpedi+Naka,+Chhattisgarh+492001&ved=2ahUKEwiv7fXV6riEAxXM04QAHUtlClsQ48ADegQIABBG","NH-43 Pachpedi Naka, Chhattisgarh 492001","21.215491059733","81.657787472956","3.8","9:30"
"LALGANGA SHOPPING MALL","07716632000","https://lh5.googleusercontent.com/p/AF1QipPCjEddP4Or_QYvt1Tixh9NMkcwQAeMGDRxmv8-=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXM-BAr13Sg6MWKQyrbqqtBZ&daddr=6JVQ%2BXQC,+Great+Eastern+Rd,+Amapara,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiv7fXV6riEAxXM04QAHUtlClsQ48ADegQIABBQ","6JVQ+XQC, Great Eastern Rd, Amapara, Raipur, Chhattisgarh 492001","21.240227673648","81.625218602358","3.9","9:30"
"Dixit Complex","04442447015","https://lh5.googleusercontent.com/p/AF1QipP3XdJjfUl2-nszzmvpDipp3dp5GzjRWNpWu26v=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZHWHR-j3Sg6MRdLpKy4-We2&daddr=6JRQ%2B652,+near+Evergreen+Chowk,+Baijnathpara,+Shastri+Market,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiv7fXV6riEAxXM04QAHUtlClsQ48ADegQIABBZ","6JRQ+652, near Evergreen Chowk, Baijnathpara, Shastri Market, Raipur, Chhattisgarh 492001","21.238713845776","81.638651796364","3.5","9:30"
"City Mall 36","08821078000","https://lh5.googleusercontent.com/p/AF1QipNeeoWnH1LXbmtV5Kqupi3z_7mby23rPIV9Ik6H=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KfdhJoAx3Sg6MbPWJWH8ZLme&daddr=6MPP%2BH85,+Great+Eastern+Rd,+Vishal+Nagar,+Raipur,+Chhattisgarh+492006&ved=2ahUKEwiv7fXV6riEAxXM04QAHUtlClsQ48ADegQIABBi","6MPP+H85, Great Eastern Rd, Vishal Nagar, Raipur, Chhattisgarh 492006","21.23541","81.67454","3.8","9:30"
"Raipur City Centre Mall","02267009183","https://lh5.googleusercontent.com/p/AF1QipNR5g6hcaLNURxe1K1J-I1qyg_HVYyX0JlraU3b=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVFFt0Wd3Sg6MTkax3a8DrQm&daddr=7J3W%2BWFW,+IGVP,+Pandri,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiv7fXV6riEAxXM04QAHUtlClsQ48ADegQIABBs","7J3W+WFW, IGVP, Pandri, Raipur, Chhattisgarh 492001","21.252010756996","81.650617053139","4.1","9:30"
"The Target Deal","07509619000","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zfQW-Eguz9flRqfV1mFD9A&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=166.26929&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KS_pl_it3Sg6MaV1E2u28One&daddr=6JWJ%2BX6Q,+Ramsagar+Para+Main+Rd,+Bhawani+Patna,+Ramsagar+Para,+Jawahar+Nagar,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwiv7fXV6riEAxXM04QAHUtlClsQ48ADegQIABB0","6JWJ+X6Q, Ramsagar Para Main Rd, Bhawani Patna, Ramsagar Para, Jawahar Nagar, Raipur, Chhattisgarh 492001","21.248024640012","81.630792034515","3.8","9:30"
"GT Shopping Plaza","09800955612","https://lh5.googleusercontent.com/p/AF1QipMHRAsU8w5_ZRy2YmXziChHJuL8hHbJQTFqpxvW=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaFmv7Rk3Sg6MTPTUMM7X4ZE&daddr=7M65%2BG8X,+Lodhi+Para+Kapa,+Raipur,+Chhattisgarh+492004&ved=2ahUKEwjS88Sr67iEAxWW0oQAHZZGC30Q48ADegQIABAq","7M65+G8X, Lodhi Para Kapa, Raipur, Chhattisgarh 492004","21.262712923492","81.655538618742","3.6","9:30"
"DEV AANGAN 99","07693062457","https://lh5.googleusercontent.com/p/AF1QipPETc6CqBsXmL9eRAVbQzwlSOqrotdESiark4QD=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kb0D7HtX3Sg6MRDfSAXxEW5J&daddr=Karma+Chowk,+Kali+mata+hanuman+mandir,+Main+Road,+Ramnagar,+Raipur,+Chhattisgarh+492002&ved=2ahUKEwjS88Sr67iEAxWW0oQAHZZGC30Q48ADegQIABAx","Karma Chowk, Kali mata hanuman mandir, Main Road, Ramnagar, Raipur, Chhattisgarh 492002","21.158395","81.795822388","5.0","9:30"
"Shyam Plaza","07714033425","https://lh5.googleusercontent.com/p/AF1QipP5GRgURoGBvO3ahEdq9C6wyddYI0N2Axaalerf=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTnzrnKe3Sg6MZ77NUfCbgSy&daddr=Bus+Stand,+Pandri+Rd,+opp.+Pandri,+Govind+Nagar,+Raipur,+Chhattisgarh+492001&ved=2ahUKEwjS88Sr67iEAxWW0oQAHZZGC30Q48ADegQIABA7","Bus Stand, Pandri Rd, opp. Pandri, Govind Nagar, Raipur, Chhattisgarh 492001","21.250643704527","81.651336835232","3.8","9:30"
