"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Mohd Karim plumber","07888588678","https://lh5.googleusercontent.com/p/AF1QipOBBAirth5S_X0xBisTZ_5j1oMj9_PoGHUDBYqs=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KROmbJXM7Q85MUgSCYf9yacz&daddr=India+house,+2621,+near+Government+school,+Sector+49,+Chandigarh,+160047&ved=2ahUKEwjkk5SHzrmEAxUG5YQAHWaeCPMQ48ADegQIABAs","India house, 2621, near Government school, Sector 49, Chandigarh, 160047","30.70908","76.75751","4.7","6:30 PM"
"Mohd. Sazad Plumber","08360086283","https://lh5.googleusercontent.com/p/AF1QipPsHMo4jfUf38Sqx3EciR_ofl-OSgcxTe2lKv2T=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ke8W07Ae7Q85Mc-eJDxLYtiY&daddr=BLOCK-22,+SHIV+SHAKTI+ENCLAVE,+2562,+Bsnl+Rd,+Sector+49C,+Sector+49,+Chandigarh,+160047&ved=2ahUKEwjkk5SHzrmEAxUG5YQAHWaeCPMQ48ADegQIABA1","BLOCK-22, SHIV SHAKTI ENCLAVE, 2562, Bsnl Rd, Sector 49C, Sector 49, Chandigarh, 160047","30.697330896506","76.754199368901","4.9","6:30 PM"
"Arman plumber","06283102989","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=L8QHM0Wd47GtCgzJgrHRjQ&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=51.363598&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQfJtbkC7Q85MbCT1CsLtIai&daddr=House+no+2621,+Block+A,+Sector+49,+Chandigarh,+160047&ved=2ahUKEwjkk5SHzrmEAxUG5YQAHWaeCPMQ48ADegQIABA-","House no 2621, Block A, Sector 49, Chandigarh, 160047","30.697330896506","76.754199368901","4.5","08:00 PM"
"Kasim plumber","09780063149","https://lh5.googleusercontent.com/p/AF1QipMT23Rv3glvMwq6YG809Sm9BSD3YSGkblwlw9R7=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KeO1562h7Q85MYi7DByGWzW1&daddr=2556,+2sector+49c,+Chandigarh,+160047&ved=2ahUKEwjkk5SHzrmEAxUG5YQAHWaeCPMQ48ADegQIABBI","2556, 2sector 49c, Chandigarh, 160047","30.694473726575","76.752793495431","4.9","6:30 PM"
"MD MOMIN plumber","09878390480","https://lh5.googleusercontent.com/p/AF1QipP1yjQf7JTWeSUpeJGaos08lfBghGc85C7-BknN=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kd2yRlQu8Q85MfY_kjBzrxjY&daddr=Small+Flats,+1078+/A,+Dhanas,+Chandigarh,+160014&ved=2ahUKEwjkk5SHzrmEAxUG5YQAHWaeCPMQ48ADegQIABBR","Small Flats, 1078 /A, Dhanas, Chandigarh, 160014","30.776305824962","76.760443167123","4.9","6:30 PM"
"Akram plumber","09417554110","https://lh5.googleusercontent.com/p/AF1QipOALbUOenhiYXBBCI7ZT4wKr8LDReHoF2lw7X5o=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdXLn2Mw7Q85MQpbHFCvBSu_&daddr=BLOCK-22,+SHIV+SHAKTI+ENCLAVE,+2562,+Sector+49C,+Sector+49,+Chandigarh,+160047&ved=2ahUKEwjkk5SHzrmEAxUG5YQAHWaeCPMQ48ADegQIABBb","BLOCK-22, SHIV SHAKTI ENCLAVE, 2562, Sector 49C, Sector 49, Chandigarh, 160047","30.697330896506","76.754199368901","5.0","6:30 PM"
"Badri Plumber & Contractor","09876238791","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1OXtczjytMqq02Gj4ZxVZg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=78.134415&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbMqJhRx7Q85McO31q8TKvWP&daddr=House+No.843,+near+Old+PNB+Bank,+Burail,+Burail+Village,+Sector+45,+Chandigarh,+160047&ved=2ahUKEwjkk5SHzrmEAxUG5YQAHWaeCPMQ48ADegQIABBl","House No.843, near Old PNB Bank, Burail, Burail Village, Sector 45, Chandigarh, 160047","30.707097106451","76.760677224004","5.0","6:30 PM"
"Lalji singh plumber","09988775550","https://lh5.googleusercontent.com/p/AF1QipO5HRKTiChWLoauu3ND1DQMbXzPEb2XdmxbZ5bv=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQm-4Xtf7Q85MY14Di9v-hvY&daddr=government+Model+school,+861,+Daddu+Majara+Colony+Rd,+Daddu+Majra+Colony,+Chandigarh,+160014&ved=2ahUKEwjkk5SHzrmEAxUG5YQAHWaeCPMQ48ADegQIABBu","government Model school, 861, Daddu Majara Colony Rd, Daddu Majra Colony, Chandigarh, 160014","30.75561","76.73747","4.9","6:30 PM"
"Helpindoor Services","09914212077","https://lh5.googleusercontent.com/p/AF1QipN9ifi_dOlEfRPJTna0IsfuBhpLd7NnJqYyQxzO=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYE__MkK7g85MfqxRnxJPd6V&daddr=SCO-311+SECTOR+-40D,+TOP+FLOOR,+Chandigarh,+160036&ved=2ahUKEwjkk5SHzrmEAxUG5YQAHWaeCPMQ48ADegQIABB4","SCO-311 SECTOR -40D, TOP FLOOR, Chandigarh, 160036","30.737412156991","76.734471215495","4.8","6:30 PM"
"Inderjit Plumber Sector 37-C, Chandigarh","09815507551","https://lh5.googleusercontent.com/p/AF1QipMR22s2_aVKSlE5qoTr-TYdNHmjDVptXpbYnNAI=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRP95aUw7Q85MXGQEt83vDvq&daddr=%232077,+2,+Sector+37+C,+Sector+37,+Chandigarh,+160036&ved=2ahUKEwjkk5SHzrmEAxUG5YQAHWaeCPMQ48ADegUIABCBAQ","#2077, 2, Sector 37 C, Sector 37, Chandigarh, 160036","30.741804271304","76.752195112403","3.6","6:30 PM"
