"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Femina Plus Luxe Salon | Best Salon in Chandigarh","07973268966","https://lh5.googleusercontent.com/p/AF1QipMkUpV9ljYkjRW8ESFWwSeObP1fdptVAcgaartK=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWNa8sim7Q85MaXl_ipCXHD5&daddr=Sco+164-165,+9C,+Sector+9,+Chandigarh,+160009&ved=2ahUKEwj_joWSyLmEAxWVyoQAHYkPAJcQ48ADegQIABAr","Sco 164-165, 9C, Sector 9, Chandigarh, 160009","30.746737469211","76.793466687984","4.9","6:30 PM"
"The Salone Studio ( Best Salon | Hair Academy | Bridal Makeup | Nail Salon | Hair Extensions ) - Best Salon In Chandigarh","09056138271","https://lh5.googleusercontent.com/p/AF1QipPfEQg6rO65gXHplV2gTa3zzgMTCe-aBjdC-Hno=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kf__g2rm7Q85MdPoRQK3tVeI&daddr=SCO+271+Sector+35+D,+Chandigarh,+160035&ved=2ahUKEwj_joWSyLmEAxWVyoQAHYkPAJcQ48ADegQIABA2","SCO 271 Sector 35 D, Chandigarh, 160035","30.727124796085","76.765484958602","4.5","6:30 PM"
"DAMYANTI UNISEX SALON","09041207127","https://lh5.googleusercontent.com/p/AF1QipPod0aOcTPT7h2RIsy99sYshrcmUbpl1SvypVwC=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbUoTWob7Q85MYXWzszCtELX&daddr=SCO+No.+151-152+,+First+Floor,+Madhya+Marg,+Sector+8C,+Sector+8,+Chandigarh,+160019&ved=2ahUKEwj_joWSyLmEAxWVyoQAHYkPAJcQ48ADegQIABBA","SCO No. 151-152 , First Floor, Madhya Marg, Sector 8C, Sector 8, Chandigarh, 160019","30.737857638946","76.801174891277","4.9","08:00 PM"
"New Ellcanes Luxe - The Best HAIR | BEAUTY | MAKEUP | NAILS Salon","06284909004","https://lh5.googleusercontent.com/p/AF1QipNURqUJdD6ipHvlHxJGRuKKQWVMJjvVUxDLfW7c=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kd93bOyB7Q85MRKiz_mJDiM6&daddr=Sco+38+first+floor,+above+lenskart,+Sector+7-C,+Chandigarh,+160019&ved=2ahUKEwj_joWSyLmEAxWVyoQAHYkPAJcQ48ADegQIABBL","Sco 38 first floor, above lenskart, Sector 7-C, Chandigarh, 160019","30.738265048254","76.809823742109","4.5","6:30 PM"
"Toni & Guy Unisex Salon","09915815830","https://lh5.googleusercontent.com/p/AF1QipOZzPyjxnZSzcGYmZ-J8zJLMLS5Kug--J1tULVs=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KU-zkAPb7Q85MdK7e9wl2htq&daddr=SCO+457-458+,first+floor,+above+McDonalds,+35C,+Sector+35,+Chandigarh,+160035&ved=2ahUKEwj_joWSyLmEAxWVyoQAHYkPAJcQ48ADegQIABBW","SCO 457-458 ,first floor, above McDonalds, 35C, Sector 35, Chandigarh, 160035","30.727124796085","76.765484958602","4.5","6:30 PM"
"The Boho Salon","09878957070","https://lh5.googleusercontent.com/p/AF1QipONZoah5ZS6rtk0ai1pew9hH0orfW1xAuATxUpZ=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRUGcJ8p7Q85MeljVp73Wyi3&daddr=SCO:+133-134-135,+Bridge+Market,+17C,+Sector+17,+Chandigarh,+160017&ved=2ahUKEwj_joWSyLmEAxWVyoQAHYkPAJcQ48ADegQIABBg","SCO: 133-134-135, Bridge Market, 17C, Sector 17, Chandigarh, 160017","30.739981573738","76.783038742162","4.7","6:30 PM"
"Avalon Unisex Salon - Beauty Salon | Makeup Salon | Hair salon","07986190972","https://lh5.googleusercontent.com/p/AF1QipPzLTvzZA6hMlvgR5n7WFq_9ArE9LZYHXxkr57p=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KeWyxDpn7Q85MX5kzaIM2emo&daddr=SCO-+29,+First+Floor,+Sector+21C,+Chandigarh,+160021&ved=2ahUKEwj_joWSyLmEAxWVyoQAHYkPAJcQ48ADegQIABBr","SCO- 29, First Floor, Sector 21C, Chandigarh, 160021","30.725439628555","76.781235230998","4.7","6:30 PM"
"IRIS By Simran","01722745310","https://lh5.googleusercontent.com/p/AF1QipM5pEXHSScsY2_vG80Q7MmkuVFe1bTWxxFLz61L=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXNIOrxt7Q85MbdgW9wxlS0E&daddr=SCO+28-29-30,+Madhya+Marg,+9-D,+Sector+9,+Chandigarh,+160009&ved=2ahUKEwj_joWSyLmEAxWVyoQAHYkPAJcQ48ADegQIABB1","SCO 28-29-30, Madhya Marg, 9-D, Sector 9, Chandigarh, 160009","30.740950000817","76.791072230821","4.7","6:30 PM"
"Lakme Salon Sec 35 chandigarh","08427653257","https://lh5.googleusercontent.com/p/AF1QipOKpPECE1NMI6uItMMo1jC9OzIEcczu3xE4j0ZV=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUXTXIEN7Q85MfjlGwPQj019&daddr=SCO-+285,+Ground+Floor+Sec,+Sector+35D,+Chandigarh,+160022&ved=2ahUKEwj_joWSyLmEAxWVyoQAHYkPAJcQ48ADegQIABB_","SCO- 285, Ground Floor Sec, Sector 35D, Chandigarh, 160022","30.725585654976","76.759995036285","4.7","08:00 PM"
"REBOOT SALON by Naomi's HEADMASTERS","09779772335","https://lh5.googleusercontent.com/p/AF1QipMLgJA0OhcVVwGiEIIDaXLLv0qXYdNnSJLXOZV3=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXUtYOwv7Q85MfLArqCtjtKA&daddr=SCF+-+33,+Inner+Market,+near+Gobind+Sweets,+Sector+7-C,+Sector+7,+Chandigarh,+160019&ved=2ahUKEwj_joWSyLmEAxWVyoQAHYkPAJcQ48ADegUIABCJAQ","SCF - 33, Inner Market, near Gobind Sweets, Sector 7-C, Sector 7, Chandigarh, 160019","30.73554","76.80154","4.8","6:30 PM"
