"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Nexus Elante Mall","01725005000","https://lh5.googleusercontent.com/p/AF1QipN645SQl7ZwdMmt7HIw-stj3gEU6BZVKcHGvetp=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQlvCCfq7A85MSNRacBGwUcJ&daddr=Industrial+Area+Phase+I,+Chandigarh,+160002&ved=2ahUKEwjJ3-vmybmEAxUH4YQAHeG6CpcQ48ADegQIABAr","Industrial Area Phase I, Chandigarh, 160002","30.704430097453","76.798205381182","4.6","10:00 PM"
"Shastri market 22","09888882914","https://lh5.googleusercontent.com/p/AF1QipNaIPndy7kB8c9mmGn07m9ZcEFf8sXCAtDf35iI=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQHI368u7Q85MZI-rnISsuZS&daddr=Shastri+Market+Rd,+Sector+22D,+Sector+22,+Chandigarh,+160022&ved=2ahUKEwjJ3-vmybmEAxUH4YQAHeG6CpcQ48ADegQIABA1","Shastri Market Rd, Sector 22D, Sector 22, Chandigarh, 160022","30.73290416926","76.771773920783","4.3","6:30 PM"
"Pallika. Bazar Shopping","08054400444","https://lh5.googleusercontent.com/p/AF1QipMEPFmezBNtSz6QaOrJPIR4eEOnovLagRdmuYXs=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdsPSEb_7Q85MYCjN2wMiolW&daddr=PQHV%2B56V,+Palika+Bazar,+19D,+Sector+19,+Chandigarh,+160019&ved=2ahUKEwjJ3-vmybmEAxUH4YQAHeG6CpcQ48ADegQIABA9","PQHV+56V, Palika Bazar, 19D, Sector 19, Chandigarh, 160019","30.72809","76.79334","4.3","10:00 PM"
"GCDL Shopping","08054175328","https://lh5.googleusercontent.com/p/AF1QipO0UBarVSi3wQKudfbmRFQqrbYzJt0ncUXNsNZN=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSlq4IL_7A85MQjVBggypEzn&daddr=S.C.F-3%2813,+20C,+Sector+20,+Chandigarh,+160020&ved=2ahUKEwjJ3-vmybmEAxUH4YQAHeG6CpcQ48ADegQIABBG","S.C.F-3(13, 20C, Sector 20, Chandigarh, 160020","30.721163403711","76.78185968337","4.0","6:30 PM"
"Shastri Market Shop Number 293","09781324021","https://lh5.googleusercontent.com/p/AF1QipO-Y8qFpd0Jr3ce7cy0t1GPZ8nJOrYYSGvjmCNf=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYPpVwyl7Q85MVm8d77vKlnw&daddr=PQJC%2BM7M,+Sector+22D,+Sector+22,+Chandigarh,+160022&ved=2ahUKEwjJ3-vmybmEAxUH4YQAHeG6CpcQ48ADegQIABBP","PQJC+M7M, Sector 22D, Sector 22, Chandigarh, 160022","30.734489984221","76.77084997146","4.1","09:00 PM"
"DLF City Centre Mall","09646089376","https://lh5.googleusercontent.com/p/AF1QipOC8wIUSdmCndWfqMbrdMjcfOLjS5mZ80qZD4SJ=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQ-Tzhnfkg85MSG2H3VSclHC&daddr=Dt+City+Centre+Mall,+IT+Park+Rd,+Phase+-+I,+Sector+13,+Chandigarh,+Panchkula,+Chandigarh+160101&ved=2ahUKEwjJ3-vmybmEAxUH4YQAHeG6CpcQ48ADegQIABBY","Dt City Centre Mall, IT Park Rd, Phase - I, Sector 13, Chandigarh, Panchkula, Chandigarh 160101","30.716793871847","76.83816702551","4.1","6:30 PM"
"Chandigarh Shopping Mall","09465714395","//lh3.googleusercontent.com/proxy/zfy0aZp1JHMdWOiFFPOWc51Uvw_nIRvXhpT3KYRk_gp34G_s3EFBRbfGcHEMAe6bxtAyZGTtZmo6XrKTHIqqtRmWdzvh7YdP7gGsGCxBfi9oTFDBleDpmNEWgEYpx9F4QDGT6OBaSb5iYFwkuWF5Q0v7uOYU0lVqfqfgEc2pMJfGoUXb9RIFlQ=w144-h144-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kf9Qd_wrkw85MWzICtKT9L5m&daddr=Shop+No.+2199/7,+Opposite+Kaul+Farm,+Chandigarh+-+Panchkula+Rd,+Pipliwala+Town,+Adarsh+Nagar,+Manimajra,+Chandigarh,+160101&ved=2ahUKEwjJ3-vmybmEAxUH4YQAHeG6CpcQ48ADegQIABBh","Shop No. 2199/7, Opposite Kaul Farm, Chandigarh - Panchkula Rd, Pipliwala Town, Adarsh Nagar, Manimajra, Chandigarh, 160101","30.716751895","76.83065","2.7","6:30 PM"
"Radhey Shyam Fashion Mall","07837254133","https://lh5.googleusercontent.com/p/AF1QipNKHRYNqWVbnJQ7wjVSKmTyuqQJjlxQrLDWSw5l=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KX2hDH2c7Q85MQ0bc_Q1MBNG&daddr=near+rama+store,+Sector+22B,+Sector+22,+Chandigarh,+160022&ved=2ahUKEwjJ3-vmybmEAxUH4YQAHeG6CpcQ48ADegQIABBq","near rama store, Sector 22B, Sector 22, Chandigarh, 160022","30.73290416926","76.771773920783","4.5","6:30 PM"
"CHIKKU","08901391593","https://lh5.googleusercontent.com/p/AF1QipM3wFO9G-ciLb4eIoigL_5lgNlviXTzLAlZ8mvQ=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdNp8nH67Q85MYCxacES1Au9&daddr=S.C.O,+16,+Sarovar+Path,+Sector+18-C,+Sector+18,+Chandigarh,+160018&ved=2ahUKEwjKre2FyrmEAxVKz4QAHUkrCLIQ48ADegQIABAr","S.C.O, 16, Sarovar Path, Sector 18-C, Sector 18, Chandigarh, 160018","30.731178637688","76.790457265925","3.6","08:00 PM"
"Skechers","01725218931","https://lh5.googleusercontent.com/p/AF1QipPdHoYTBUhu0HmXc4BtHfg6B4vVcg6Ei_Hln5kB=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQXUt7Fs7Q85MTuFS6rSrs4V&daddr=SCO+44,+Shopping+Plaza,+17C,+Sector+17,+Chandigarh,+160017&ved=2ahUKEwjKre2FyrmEAxVKz4QAHUkrCLIQ48ADegQIABAz","SCO 44, Shopping Plaza, 17C, Sector 17, Chandigarh, 160017","30.739981573738","76.783038742162","3.9","6:30 PM"
