"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Bird Academy","08054510079","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hMQTIfrVuGIfW0ADly54Wg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=71.19621&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUci1jpc7Q85MUV9KqiKhyQ5&daddr=304,+SCO+66-67,+Bank+Square,+17B,+Sector+17,+Chandigarh,+160017&ved=2ahUKEwi5hLT_zLmEAxXB5YQAHVucDw0Q48ADegQIABAy","304, SCO 66-67, Bank Square, 17B, Sector 17, Chandigarh, 160017","30.740582108024","76.787205749478","1.0","06:00 PM"
"The Wise Bucks - Best Stock Market Training Institute | Share Market Trading Coaching Classes | Learn Technical Analysis","09659652040","https://lh5.googleusercontent.com/p/AF1QipMw0tAun6QjbjG_DH7jN6hQw6W0ZsZgLx3MNpDC=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KX3UjT4-7Q85MV74zWFghnG_&daddr=Shop+No+72,+20C,+Sector+20,+Chandigarh,+160020&ved=2ahUKEwi5hLT_zLmEAxXB5YQAHVucDw0Q48ADegQIABA5","Shop No 72, 20C, Sector 20, Chandigarh, 160020","30.721163403711","76.78185968337","5.0","6:30 PM"
"CA Foundation Classes in Chandigarh","09356255522","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=n_1nVYuQIQHx7g7XOonfyA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=42.07489&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUVol_MS7Q85MRuxYI_dKEza&daddr=SCO+80-82,+Third+Floor,+Sector+34A,+Sector+34,+Chandigarh,+160022&ved=2ahUKEwi5hLT_zLmEAxXB5YQAHVucDw0Q48ADegQIABBA","SCO 80-82, Third Floor, Sector 34A, Sector 34, Chandigarh, 160022","30.71994831476","76.765370346046","4.9","07:00 PM"
"Excellence Technology - Graphic Designing Course in Chandigarh","09888333441","https://lh5.googleusercontent.com/p/AF1QipMhxgEde3ZleMxFSdhuNOM2raIYGp_4FKZNLy-6=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYX0K-4e7Q85Mf7FgoyaPT6Z&daddr=PQCH%2B432,+Sector+20D,+Sector+20,+Chandigarh,+160020&ved=2ahUKEwi5hLT_zLmEAxXB5YQAHVucDw0Q48ADegQIABBH","PQCH+432, Sector 20D, Sector 20, Chandigarh, 160020","30.721163403711","76.78185968337","5.0","6:30 PM"
"Chandigarh","07028165728","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EzICxiIsDuYmkB7PL5Am_w&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=74.13908&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQ2MRpmv7Q85MRYlNg5Xhjn_&daddr=SCO+333-334,+1st+Floor,+35B,+Chandigarh,+160022&ved=2ahUKEwi5hLT_zLmEAxXB5YQAHVucDw0Q48ADegQIABBO","SCO 333-334, 1st Floor, 35B, Chandigarh, 160022","30.728209157","76.77069","5.0","6:30 PM"
"CROSS OVERSEAS Chandigarh","18001024544","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6m8u7-rqcjytQpeT1Qd-Mg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=60.402294&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSc4zLLq7Q85MWgMvAmZcm70&daddr=SCO+No+-+129-130,2nd+Floor,+Satguru+Overseas+Education+Pvt+Ltd,+Bridge+Market,+17C,+Sector+17,+Chandigarh,+160017&ved=2ahUKEwi5hLT_zLmEAxXB5YQAHVucDw0Q48ADegQIABBW","SCO No - 129-130,2nd Floor, Satguru Overseas Education Pvt Ltd, Bridge Market, 17C, Sector 17, Chandigarh, 160017","30.739981573738","76.783038742162","4.0","6:30 PM"
"Satguru Overseas Education & Global Immigration Services-Chandigarh","01722700274","https://lh5.googleusercontent.com/p/AF1QipOdfkog3OpJeSEyF_o2WkB0CPfd4e2f9bYQuO2L=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXd64aYZ7Q85MaM1eIl0gaVu&daddr=SCO+112-113,+1st+Floor,+Sector+34A,+Chandigarh,+160034&ved=2ahUKEwi5hLT_zLmEAxXB5YQAHVucDw0Q48ADegQIABBd","SCO 112-113, 1st Floor, Sector 34A, Chandigarh, 160034","30.71979","76.76565","4.9","6:30 PM"
"Netmaxtech - Full Stack Web Development Course in Chandigarh","09914641983","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5yqJgKtrDAp8NYNoWOwHdA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=73.10616&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KduHKIPK7Q85MW53gX8bIO7A&daddr=SCO+40-41,+1st+Floor,+near+Fabindia+%26+Tdi+Cinepolis,+Sector+17,+Chandigarh,+160017&ved=2ahUKEwi5hLT_zLmEAxXB5YQAHVucDw0Q48ADegQIABBm","SCO 40-41, 1st Floor, near Fabindia & Tdi Cinepolis, Sector 17, Chandigarh, 160017","30.74322","76.78544","3.7","08:00 PM"
"Official IELTS Test Centre Chandigarh | IELTS IDP India","01722740597","https://lh5.googleusercontent.com/p/AF1QipOy3b4kZMzMg7ijjd081KpnHv4EhTdI9b0l7AI4=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXlkZugq7Q85MdDbdrv5bc48&daddr=2069-A+%28Government+Flats,+Sector+24C,+Chandigarh,+160022&ved=2ahUKEwi5hLT_zLmEAxXB5YQAHVucDw0Q48ADegQIABBu","2069-A (Government Flats, Sector 24C, Chandigarh, 160022","30.728209157","76.77069","4.4","08:00 PM"
"Bright Future Academy","09888214545","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=c1a7itiW0dWo5jLl1pAPxw&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=100.29314&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kdex3pat7Q85MdcMCGIrq6jT&daddr=SCO,+64,65,66+Sector+34B,Chandigarh,+Chandigarh,+160034&ved=2ahUKEwi5hLT_zLmEAxXB5YQAHVucDw0Q48ADegQIABB0","SCO, 64,65,66 Sector 34B,Chandigarh, Chandigarh, 160034","30.7036","76.78967","4.8","05:00 PM"
