"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"2050 Healthcare - Best Home Healthcare Services in Chennai","08339002050","https://lh5.googleusercontent.com/p/AF1QipNC--y9kLpUq7xt6NWOb_viZbQLmYyxDecBUdbE=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KR1lW56YZ1I6MaeyxdHNmNzm&daddr=7A,+Near,+Ekambaram+Industrial+Estate+Rd,+Alapakkam,+Karpaga+Vinayagar+Colony,+Valasaravakkam,+Chennai,+Tamil+Nadu+600087&ved=2ahUKEwjFlM-11bmEAxXd14QAHYGrBLsQ48ADegQIABAr","7A, Near, Ekambaram Industrial Estate Rd, Alapakkam, Karpaga Vinayagar Colony, Valasaravakkam, Chennai, Tamil Nadu 600087","13.042255591684","80.176892107997","4.8","6:30 PM"
"Access Healthcare","04442176066","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FpmXjut85Ls7ydRoCIoyxg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=211.86974&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVO0TdUIY1I6MYltcm-eOJtC&daddr=9,+First+Main+St,+Bharati+Nagar,+Ambattur,+Chennai,+Tamil+Nadu+600058&ved=2ahUKEwjFlM-11bmEAxXd14QAHYGrBLsQ48ADegQIABAz","9, First Main St, Bharati Nagar, Ambattur, Chennai, Tamil Nadu 600058","13.114930001607","80.187389981089","3.1","6:30 PM"
"One Life Home Healthcare","08010699699","https://lh5.googleusercontent.com/p/AF1QipNPtkXYOo6xR1F66x2Np1ywSN8A3qZgbBewWAht=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTE01GysZ1I6MXXDZgZxKDze&daddr=II,+Seventh+Floor,+Khivraj+Complex,+480,+Anna+Salai,+CIT+Nagar+East,+Nandanam,+Chennai,+Tamil+Nadu+600035&ved=2ahUKEwjFlM-11bmEAxXd14QAHYGrBLsQ48ADegQIABA9","II, Seventh Floor, Khivraj Complex, 480, Anna Salai, CIT Nagar East, Nandanam, Chennai, Tamil Nadu 600035","13.030969986241","80.239500021674","4.4","6:30 PM"
"India Health Care","09176611490","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HoXO5bCCf0mQ_3ZagAZrkg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=16.492062&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KePkduSVYVI6MQev7Mvx7zoz&daddr=No+-111,+E+Block,+Akshaya+Apartments,+Porur+main+Road,+Kovur,+Chennai,+Tamil+Nadu+600128&ved=2ahUKEwjFlM-11bmEAxXd14QAHYGrBLsQ48ADegQIABBE","No -111, E Block, Akshaya Apartments, Porur main Road, Kovur, Chennai, Tamil Nadu 600128","13.010505182702","80.120989669815","5.0","6:30 PM"
"Cureselect healthcare","09025887777","https://lh5.googleusercontent.com/p/AF1QipOghVTs-7NfITfBJYJ-ZCUkzJcKCK_hseCVJBnG=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KduaLYUcZ1I6MZ4yYSnBXI-o&daddr=67a,+Kamdar+Nagar+2nd+St,+Kamdar+Nagar,+Nungambakkam,+Chennai,+Tamil+Nadu+600034&ved=2ahUKEwjFlM-11bmEAxXd14QAHYGrBLsQ48ADegQIABBL","67a, Kamdar Nagar 2nd St, Kamdar Nagar, Nungambakkam, Chennai, Tamil Nadu 600034","13.057494744859","80.236831021004","4.0","05:00 PM"
"Chennai Healthcare Services","18001088586","https://lh5.googleusercontent.com/p/AF1QipMxI60-hjsOyEaenb4ewpxyDR4qUaIu67Z_8saU=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KfnC1D6rZVI6MUdBLdstEm7Y&daddr=New+No+3,+Old,+69,+kuppuswamy+St,+Padi,+Chennai,+Tamil+Nadu+600050&ved=2ahUKEwjFlM-11bmEAxXd14QAHYGrBLsQ48ADegQIABBS","New No 3, Old, 69, kuppuswamy St, Padi, Chennai, Tamil Nadu 600050","13.102282112466","80.188247829377","4.2","6:30 PM"
"Sirina Healthcare Services","04445558333","https://lh5.googleusercontent.com/p/AF1QipM1QqtfEi6XlJRRz7gu087Yx0T_93DLW_ZawpBp=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KW8bX300ZlI6MXMgzNrYqO9F&daddr=124,+116,+Luz+Church+Rd,+Kattukoil+Garden,+Mylapore,+Chennai,+Tamil+Nadu+600004&ved=2ahUKEwjFlM-11bmEAxXd14QAHYGrBLsQ48ADegQIABBc","124, 116, Luz Church Rd, Kattukoil Garden, Mylapore, Chennai, Tamil Nadu 600004","13.037648128438","80.260929747864","4.7","6:30 PM"
"Apollo HomeCare - Best Home Healthcare Services in Chennai","09442222700","https://lh5.googleusercontent.com/p/AF1QipPyv_2kK-wrS-tiD3OktOsXpg9wha0Ae2pdmjEs=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSfmSqpbZlI6MekmZpl8eYZN&daddr=Ground+floor,+Tower+%E2%80%9CA,+No.+15,+Habibullah+Rd,+Bharathy+Nagar,+T.+Nagar,+Chennai,+Tamil+Nadu+600017&ved=2ahUKEwjFlM-11bmEAxXd14QAHYGrBLsQ48ADegQIABBm","Ground floor, Tower “A, No. 15, Habibullah Rd, Bharathy Nagar, T. Nagar, Chennai, Tamil Nadu 600017","13.050620017131","80.234979996567","4.6","6:30 PM"
"India Healthcare Solutions Private Limited","08939738424","https://lh5.googleusercontent.com/p/AF1QipPui5yRzyMF_ODk6yCbMubOhRmM9I1c-lee9UBP=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KT_d4b_hZVI6MeaDk7BH8ov6&daddr=No.+70,+A-Block,+Ritherdon+Rd,+opposite+Apostolic+Church,+Vepery,+Purasaiwakkam,+Chennai,+Tamil+Nadu+600007&ved=2ahUKEwjFlM-11bmEAxXd14QAHYGrBLsQ48ADegQIABBv","No. 70, A-Block, Ritherdon Rd, opposite Apostolic Church, Vepery, Purasaiwakkam, Chennai, Tamil Nadu 600007","13.086980000644","80.258524972135","3.2","6:30 PM"
"Treat at Home Healthcare","09962203303","https://lh5.googleusercontent.com/p/AF1QipM8SuGkhwXCWOgiKWQguMSHvXOzLvZj7UTPtZi-=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTW1xZX1Z1I6MZxBwRvGyeuk&daddr=178/3,+Ground+Floor,+JB+TOWER,+Kumaran+Colony+Main+Road,+Vadapalani,+Chennai,+Tamil+Nadu+600026&ved=2ahUKEwjFlM-11bmEAxXd14QAHYGrBLsQ48ADegQIABB5","178/3, Ground Floor, JB TOWER, Kumaran Colony Main Road, Vadapalani, Chennai, Tamil Nadu 600026","13.052296724672","80.207527435157","4.8","08:00 PM"
