"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Chennai plumber","08122033303","https://lh5.googleusercontent.com/p/AF1QipP7DCYnodk7iNWBak9MOunkz7-l_aqYVel2s_PY=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQeC9hGrZ1I6Me2J1zemtRmc&daddr=70,+Ponnammain+Kovil+street,+durai+Swami+Nagar,+Kotturpuram,+Chennai,+Tamil+Nadu+600085&ved=2ahUKEwjGupz0zrmEAxWn6YQAHY9uBgQQ48ADegQIABAs","70, Ponnammain Kovil street, durai Swami Nagar, Kotturpuram, Chennai, Tamil Nadu 600085","13.018612090787","80.237306175518","5.0","10:00 PM"
"Selvam plumbing & Electrical Works","07200110785","https://lh5.googleusercontent.com/p/AF1QipNkFbz3g__EPyCmLCpSXd_1R1dH2PpMd25u6ju1=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KV-fwj9hZ1I6MQ952cZvxsvr&daddr=No.36,+Kabilar+St,+MGR+Nagar,+Gandhi+Nagar,+Chennai,+Tamil+Nadu+600078&ved=2ahUKEwjGupz0zrmEAxWn6YQAHY9uBgQQ48ADegQIABA2","No.36, Kabilar St, MGR Nagar, Gandhi Nagar, Chennai, Tamil Nadu 600078","13.031981661168","80.196055710631","4.8","6:30 PM"
"Unique Plumbing Service","09841165404","https://lh5.googleusercontent.com/p/AF1QipOJ7Wqeh6z0C_r2XJ0k5einFGDnryXOartjhRoh=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbkrFEvbX1I6MR9CEF_UJEep&daddr=14B+Kara+flats+Manikandan+nagar+2nd+street+star+Metrocity+kundrathur,+Chennai,+Tamil+Nadu+600069&ved=2ahUKEwjGupz0zrmEAxWn6YQAHY9uBgQQ48ADegQIABBB","14B Kara flats Manikandan nagar 2nd street star Metrocity kundrathur, Chennai, Tamil Nadu 600069","12.986311181023","80.11452410816","4.9","09:00 PM"
"J.M. Plumbing Works","09003086531","https://lh5.googleusercontent.com/p/AF1QipMCyIlc4KInFtSvOmt4XDcXnqTPQZHJrUMTPzlP=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVGNclTtXVI6MQpvw-KzKmQx&daddr=Plot+no.89,+Sai+Balaji+Nagar,+3rd+part,+Pallikaranai,+Chennai,+Tamil+Nadu+600100&ved=2ahUKEwjGupz0zrmEAxWn6YQAHY9uBgQQ48ADegQIABBL","Plot no.89, Sai Balaji Nagar, 3rd part, Pallikaranai, Chennai, Tamil Nadu 600100","12.930979518212","80.217097980811","5.0","6:30 PM"
"Sabari Enterprises","06382663431","https://lh5.googleusercontent.com/p/AF1QipMlu_b5Atv56ZW7-XekBGNJEOBNuc6y6oNAvMbQ=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbkqqTiyYVI6MaBdI7r90cRS&daddr=13+ARULMIGU+MEENATCHI,+2nd+St,+Nerkundram,+AMBATTUR,+Tamil+Nadu+600107&ved=2ahUKEwjGupz0zrmEAxWn6YQAHY9uBgQQ48ADegQIABBU","13 ARULMIGU MEENATCHI, 2nd St, Nerkundram, AMBATTUR, Tamil Nadu 600107","13.059509989368","80.186207167195","4.7","6:30 PM"
"Sri Maha Lakshmi Plumbing Works","09840756173","https://lh5.googleusercontent.com/p/AF1QipNzlCJMESV5XdQlWhyFOKagpgBsThKrqxuHBjwC=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQferwi4Z1I6Mb8mGOImpLMr&daddr=No.+185,+C,+Block+Nattan+Garden,+PNK+Garden,+Mylapore,+Chennai,+Tamil+Nadu+600004&ved=2ahUKEwjGupz0zrmEAxWn6YQAHY9uBgQQ48ADegQIABBb","No. 185, C, Block Nattan Garden, PNK Garden, Mylapore, Chennai, Tamil Nadu 600004","13.038265971803","80.270021536888","4.8","6:30 PM"
"Bala Associates-Commercial Residential Plumbing Contractors Services Company Chennai, Fire Protection Systems in Chennai","04426322468","https://lh5.googleusercontent.com/p/AF1QipM6YCbvoSxvYggdCU3u4OkJ6B3bA04PW939_DJc=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSPUcSuafFI6Me_jS_LXvr3A&daddr=%231/1990,+First+Floor,+S.K.L.S.+Complex+G.+N.+T+By+Pass+Road,+%28Near+Andhra,+Bank%29,+Chennai,+Tamil+Nadu+600052&ved=2ahUKEwjGupz0zrmEAxWn6YQAHY9uBgQQ48ADegQIABBk","#1/1990, First Floor, S.K.L.S. Complex G. N. T By Pass Road, (Near Andhra, Bank), Chennai, Tamil Nadu 600052","13.20953","80.126281944","4.7","08:00 PM"
"KAVIN HOME CARE - (PARRYWARE SERVICE) -Plumbing & bath fittings Installation & Service","08681054844","https://lh5.googleusercontent.com/p/AF1QipNPncpYz4CmKkElXUSezNnRfOe6mStNGM0eYCEX=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KafQU36RX1I6MYzdovQAgFsN&daddr=15,+Anna+St,+Durga+Nagar,+Tambaram,+Tambaram+Sanatorium,+Chennai,+Tamil+Nadu+600047&ved=2ahUKEwjGupz0zrmEAxWn6YQAHY9uBgQQ48ADegQIABBr","15, Anna St, Durga Nagar, Tambaram, Tambaram Sanatorium, Chennai, Tamil Nadu 600047","12.950667764487","80.124001059675","5.0","6:30 PM"
"K.S. Enterprises","09940643297","https://lh5.googleusercontent.com/p/AF1QipNFl3GmdO9XgzIxHX28U62w_ZQxcFpclEUW3vJB=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXfdkW4QZ1I6McpNCpw6mSoA&daddr=26,+Rangabashyam+St,+West+Saidapet,+Saidapet,+Chennai,+Tamil+Nadu+600015&ved=2ahUKEwjGupz0zrmEAxWn6YQAHY9uBgQQ48ADegQIABB2","26, Rangabashyam St, West Saidapet, Saidapet, Chennai, Tamil Nadu 600015","13.021863008738","80.222517080206","4.8","10:00 PM"
"Sheenu Plumbing & Electricals","09840324186","https://lh5.googleusercontent.com/p/AF1QipM-B2lcTZkubOoDboxqxojVIrQY5fRsNSgOAaQW=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kfk7PzP3XVI6Mb4TFgMuNyWn&daddr=2/491,+Pallavan+St,+Pandian+Nagar,+Arihant+Escapade,+Thoraipakkam,+Tamil+Nadu+600097&ved=2ahUKEwjGupz0zrmEAxWn6YQAHY9uBgQQ48ADegUIABCAAQ","2/491, Pallavan St, Pandian Nagar, Arihant Escapade, Thoraipakkam, Tamil Nadu 600097","12.94190516129","80.240959183872","4.8","6:30 PM"
"SEETHA PLUMBING AND ELECTRICALS","09884488613","https://lh5.googleusercontent.com/p/AF1QipNuXhDLrcB8fR3UmFOp4L08_OXCcmJyZ9Pk01Mw=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRvMfdk-ZVI6MROgwIGpQZby&daddr=No.+96-E,+Shanthi+colony,+4th+avenue,+12th+Main+Rd,+Anna+Nagar,+Chennai,+Tamil+Nadu+600040&ved=2ahUKEwjGupz0zrmEAxWn6YQAHY9uBgQQ48ADegUIABCKAQ","No. 96-E, Shanthi colony, 4th avenue, 12th Main Rd, Anna Nagar, Chennai, Tamil Nadu 600040","13.079399994146","80.202749986296","4.4","08:00 PM"
"Bharathi Electrical & Plumbing Works","09445247560","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4_oOYefHPcpjp6GCxJJUaA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=26.11699&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVdJgmtzZVI6MQ-qouhLQkDK&daddr=19,+Veerapandian+St,+Perambur,+Chennai,+Tamil+Nadu+600039&ved=2ahUKEwjGupz0zrmEAxWn6YQAHY9uBgQQ48ADegUIABCTAQ","19, Veerapandian St, Perambur, Chennai, Tamil Nadu 600039","13.11690000031","80.24751999427","4.8","06:00 PM"
