Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,Time
Anwarul Uloom College Of Education,09030422367,https://lh5.googleusercontent.com/p/AF1QipPUEV_g5tBKrsXFXleAnNTt9S68N4GSy7MzBJnx=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRuC3IfNmcs7MV-RTZfmTfD7&daddr=11-2-400/401,+816,+opposite+Government+Hospital,+Nampally,+Hyderabad,+Telangana+500001&ved=2ahUKEwiw1_jLkLyEAxXK14QAHedjAHAQ48ADegQIABAr","11-2-400/401, 816, opposite Government Hospital, Nampally, Hyderabad, Telangana 500001",17.39179,78.46279,4.8,
Beta Education,09550822229,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IH-MmbVOGrFcuxLdl7b8ZQ&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=217.42143&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRuC3IfNmcs7MRtViM_zVKSF&daddr=Ramnagar,+Above+Andhara+Bank+Atm,+3rd+Floor,+Ram+Nagar,+Hyderabad,+Telangana+500020&ved=2ahUKEwiw1_jLkLyEAxXK14QAHedjAHAQ48ADegQIABA1","Ramnagar, Above Andhara Bank Atm, 3rd Floor, Ram Nagar, Hyderabad, Telangana 500020",17.411958541175,78.510070091271,4.0,
IDP Education - Study Abroad Consultants in Hyderabad,04044118888,https://lh5.googleusercontent.com/p/AF1QipMc3PV23UBl5JuZ1MVV60ARFg9sQStbbikOKKKQ=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KeEY0u-0kMs7MZSHDP2cptfy&daddr=3rd+Floor+North+Wing+Challa+Chambers,+Kapadia+Lane,+Raj+Bhavan+Rd,+Somajiguda,+Hyderabad,+Telangana+500082&ved=2ahUKEwiw1_jLkLyEAxXK14QAHedjAHAQ48ADegQIABA_","3rd Floor North Wing Challa Chambers, Kapadia Lane, Raj Bhavan Rd, Somajiguda, Hyderabad, Telangana 500082",17.423504750835,78.45765952326,4.5,
Bharathi Vidyalaya College of Education & Training,04023591249,https://lh5.googleusercontent.com/p/AF1QipPRt7FxaslNsbDqAtblR8c3kChRjD4p799GwOHH=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KfPUa5oWl8s7MRwQVgIfb_Ln&daddr=10-5-23/11,+Owaisi+Pura,+Masab+Tank,+Hyderabad,+Telangana+500028&ved=2ahUKEwiw1_jLkLyEAxXK14QAHedjAHAQ48ADegQIABBH","10-5-23/11, Owaisi Pura, Masab Tank, Hyderabad, Telangana 500028",17.403688236893,78.450086595494,4.7,
Vijetha College - B.Ed College in hyderabad,08186047777,https://lh5.googleusercontent.com/p/AF1QipMUAaUZxbJ8qEUkzHWs_GrNKodvo8KIzcFvvGnr=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSei7O4imss7Mdmt9X8LrhT8&daddr=Station+road,+opp.passport+office,+above+state+bank,+near+clock+tower,+Secunderabad,+Telangana+500003&ved=2ahUKEwiw1_jLkLyEAxXK14QAHedjAHAQ48ADegQIABBR","Station road, opp.passport office, above state bank, near clock tower, Secunderabad, Telangana 500003",17.43443195296,78.501507838801,4.4,
Bhavitha Educational Consultants,09848446580,https://lh5.googleusercontent.com/p/AF1QipMvrT96CoktdzoVdt-EHy5Y_iGCn-1wAsA94xgH=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZP1PqjOkMs7MQJyo8lzqeZw&daddr=Ratna+Complex,+beside+Image+Hospitals+Lane,+opp.+Rs+Brothers,+Pratap+Nagar,+Nagarjuna+Nagar+colony,+Ameerpet,+Hyderabad,+Telangana+500016&ved=2ahUKEwiw1_jLkLyEAxXK14QAHedjAHAQ48ADegQIABBc","Ratna Complex, beside Image Hospitals Lane, opp. Rs Brothers, Pratap Nagar, Nagarjuna Nagar colony, Ameerpet, Hyderabad, Telangana 500016",17.434176482857,78.451929636362,4.6,
Home Shiksha,09133416664,https://lh5.googleusercontent.com/p/AF1QipOQwKmc-uZ-9oLyhek9JjQjWGiRGJ9NgFVkdLW2=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXtFbhbsk8s7MS7ca5l4DufY&daddr=Awfis+Space+Solution+Pvt+Ltd,+Home+Shiksha+3rd+Floor+,+Sreshta+Marvel+Land+Mark+:+Opposite+to+Radison+Hotel,+above+Dadus+Sweets+Stall,+Gachibowli,+Telangana+500081&ved=2ahUKEwiw1_jLkLyEAxXK14QAHedjAHAQ48ADegQIABBm","Awfis Space Solution Pvt Ltd, Home Shiksha 3rd Floor , Sreshta Marvel Land Mark : Opposite to Radison Hotel, above Dadus Sweets Stall, Gachibowli, Telangana 500081",17.450153054011,78.365492153433,4.7,
Fateh Education,04027098260,https://lh5.googleusercontent.com/p/AF1QipMIS9elTTCKMq8QndbQ-bcCLJS7nEIYscMC3RKk=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQf84_ZDkcs7MfKwc8sMgaLx&daddr=Awfis+1st+floor,+Oyster+Complex+Greenlands+Road+Somajiguda,+Begumpet,+Hyderabad,+Telangana+500016&ved=2ahUKEwiw1_jLkLyEAxXK14QAHedjAHAQ48ADegQIABBw","Awfis 1st floor, Oyster Complex Greenlands Road Somajiguda, Begumpet, Hyderabad, Telangana 500016",17.428930002464,78.455550022635,5.0,
Institute of Advanced Study in Education,09491844205,https://lh5.googleusercontent.com/p/AF1QipMXSLN30-2_2aDu2kD5o9dcDu1yxd5jSXpw-rt8=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KckWouV7mcs7MRD5P8Ujebat&daddr=CGFG%2BCMG,+Osmania+University+Main+Rd,+Ravindra+Nagar,+Osmania+University,+Amberpet,+Secunderabad,+Telangana+500007&ved=2ahUKEwiw1_jLkLyEAxXK14QAHedjAHAQ48ADegQIABB2","CGFG+CMG, Osmania University Main Rd, Ravindra Nagar, Osmania University, Amberpet, Secunderabad, Telangana 500007",17.408783265411,78.519636893766,4.2,
Education,07303346167,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=edZbKB9Pc4GdnQgQLWuagw&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=325.4402&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdngkmPDmcs7MYFWsZUQUplO&daddr=Narayanguda,+backside+of+Gurunanak+school,+st.no.7,+Hyderabad,+Telangana+500029&ved=2ahUKEwiw1_jLkLyEAxXK14QAHedjAHAQ48ADegQIABB9","Narayanguda, backside of Gurunanak school, st.no.7, Hyderabad, Telangana 500029",17.400782532825,78.48839429869,4.0,
