Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,Time
Best Healthcare Services,09177777312,https://lh5.googleusercontent.com/p/AF1QipMa8fuJjrvUDspQxmuz_ZXvI4U6xjPqWtuNzWXT=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUGgfJoWl8s7MaqUp1TE_9pd&daddr=Flat+No:-+401,+KHR+Building,+Humayun+Nagar+Rd,+adj.+Crescent+Hospital,+Shastri+Nagar+Colony,+Mehdipatnam,+Hyderabad,+Telangana+500028&ved=2ahUKEwiUls-gj7yEAxXt2oQAHfajBcMQ48ADegQIABAr","Flat No:- 401, KHR Building, Humayun Nagar Rd, adj. Crescent Hospital, Shastri Nagar Colony, Mehdipatnam, Hyderabad, Telangana 500028",17.399553804184,78.449278162598,5.0,
CallHealth Services Pvt Ltd,09133557799,https://lh5.googleusercontent.com/p/AF1QipNaQ6s5ajWWvTsaZaia6Dha8QXa9cbN7_oA1wLY=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbUJpefBk8s7MaZsqDlfd8iB&daddr=Survey+No.+136,+Ramky+Grandiose,+11th+Floor,+2+%26+4,+Gachibowli,+Hyderabad,+Telangana+500032&ved=2ahUKEwiUls-gj7yEAxXt2oQAHfajBcMQ48ADegQIABA1","Survey No. 136, Ramky Grandiose, 11th Floor, 2 & 4, Gachibowli, Hyderabad, Telangana 500032",17.441774280068,78.338387257131,4.2,
Jeevan HealthCare at Home,09700104108,https://lh5.googleusercontent.com/p/AF1QipP_YzQeftrBHger7zAghgJDYlUzAN2yfKa9ofU3=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQ_XOsGGl8s7MdjShGjZdRoG&daddr=10-1-128/1/2/D,+1st+Floor,+Ali+Manor+Complex,+Masab+Tank,+Hyderabad,+Telangana+500028&ved=2ahUKEwiUls-gj7yEAxXt2oQAHfajBcMQ48ADegQIABA_","10-1-128/1/2/D, 1st Floor, Ali Manor Complex, Masab Tank, Hyderabad, Telangana 500028",17.399553804184,78.449278162598,4.9,
Medeaz Healthcare Systems - India's 1st Integrated Health Assistance System,06305827170,https://lh5.googleusercontent.com/p/AF1QipM2rq9bryuX511IzohGQW42CRafnfEXSdVt55yc=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYnphzskkcs7MeCgiWmKjGae&daddr=6-3-862/2,+Namratha+Estates,+Country+Oven+Lane,+Greenlands+Rd,+Lal+Bangla,+Ameerpet,+Hyderabad,+Telangana+500016&ved=2ahUKEwiUls-gj7yEAxXt2oQAHfajBcMQ48ADegQIABBG","6-3-862/2, Namratha Estates, Country Oven Lane, Greenlands Rd, Lal Bangla, Ameerpet, Hyderabad, Telangana 500016",17.434176482857,78.451929636362,4.8,
Good Will Health Care,04040274466,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rdVAGW1w9upe70alGODXXQ&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=245.75809&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kc_DHaO8kMs7MYHOLVfzNzrO&daddr=6-3-1186+-+1st+floor,+behind+Splash+Hyper+Market,+Begumpet,+Hyderabad,+Telangana+500016&ved=2ahUKEwiUls-gj7yEAxXt2oQAHfajBcMQ48ADegQIABBO","6-3-1186 - 1st floor, behind Splash Hyper Market, Begumpet, Hyderabad, Telangana 500016",17.445660008791,78.466210001365,5.0,
Healthcare,08919341154,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E6ceyZiYMeH5-YJERTv2Xg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=181.53494&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTsARE3Mmcs7MV2oFpqFD9Dk&daddr=nd+block,+Mehta+Towers,+flot+no+207,+2,+Rd+Number+9,+Hyderabad,+Telangana+500020&ved=2ahUKEwiUls-gj7yEAxXt2oQAHfajBcMQ48ADegQIABBV","nd block, Mehta Towers, flot no 207, 2, Rd Number 9, Hyderabad, Telangana 500020",17.366229992996,78.548469999129,4.3,
Jeevan HealthCare at Home,09177777312,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oBfPeBQ4C7Er6ioOD1uniA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=357.9826&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTO_B8FWl8s7MZmu_bRh5Pl9&daddr=1-55,+Hill+Fort+Road,+Raghava+Tower%27s,+beside+SBH+BANK,+opp.+New+MLA+Quarters,+Adarsh+Nagar,+Hyderabad,+Telangana+500004&ved=2ahUKEwiUls-gj7yEAxXt2oQAHfajBcMQ48ADegQIABBc","1-55, Hill Fort Road, Raghava Tower's, beside SBH BANK, opp. New MLA Quarters, Adarsh Nagar, Hyderabad, Telangana 500004",17.402352848701,78.47201063137,3.3,
Caspian Healthcare,04066257698,https://lh5.googleusercontent.com/p/AF1QipOuJRRwf-re4Or1XtOd8sor7mzDRsIZogf8cSXw=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYFTe3cIl8s7MUYcT5LNlAV4&daddr=10-3-761/8,+Ahmed+Rd,+near+Nirmala+Hospital,+Vijaynagar+Colony,+SBH+Colony,+Vijaya+Nagar+Colony,+Hyderabad,+Telangana+500057&ved=2ahUKEwiUls-gj7yEAxXt2oQAHfajBcMQ48ADegQIABBl","10-3-761/8, Ahmed Rd, near Nirmala Hospital, Vijaynagar Colony, SBH Colony, Vijaya Nagar Colony, Hyderabad, Telangana 500057",17.394441008979,78.455090296639,4.4,
(جميع المسشفيات في الهند) BEST HEALTHCARE SERVICESS,08988980202,https://lh5.googleusercontent.com/p/AF1QipOtDoCc_zRoREquxq3JUPDzCnkbSEaYBCiwPaLf=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRcF1l7bmcs7MZ2NjGfYmiCz&daddr=Telugu+Academy,+Old+MLA+Quarters+Rd,+AP+State+Housing+Board,+Himayatnagar,+Hyderabad,+Telangana+500029&ved=2ahUKEwiUls-gj7yEAxXt2oQAHfajBcMQ48ADegQIABB0","Telugu Academy, Old MLA Quarters Rd, AP State Housing Board, Himayatnagar, Hyderabad, Telangana 500029",17.39876,78.48552,3.1,
GAMCA Salus health care,09000877738,https://lh5.googleusercontent.com/p/AF1QipPCC-4VzeFiP6V-GTCOwU_L-CMulnas8KJKayVF=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTfgLJzGk8s7Mc59LSr8y5lM&daddr=Park+view+apartment,+Journalists+Colony+Phase+3,+Financial+District,+Hyderabad,+Telangana+500096&ved=2ahUKEwiUls-gj7yEAxXt2oQAHfajBcMQ48ADegQIABB-","Park view apartment, Journalists Colony Phase 3, Financial District, Hyderabad, Telangana 500096",17.412952005,78.41076,5.0,
