Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,Time
"Vijay Home Services - Deep cleaning , Sofa, Bathroom, Mattress- villa cleaning Expert In Hyderabaad",08453748478,https://lh5.googleusercontent.com/p/AF1QipMFCM7uCFBYkdq5_WfLyxPfCif1YNhARPPwbEfb=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KetzZSCfl8s7MZfX0B3WeGNQ&daddr=Hashmath+Gunj,+Subhash+Nagar,+Badi+Chowdi,+Kachiguda,+Hyderabad,+Telangana+500095&ved=2ahUKEwjir-CfkryEAxU2z4QAHbXxBz0Q48ADegQIABAs","Hashmath Gunj, Subhash Nagar, Badi Chowdi, Kachiguda, Hyderabad, Telangana 500095",17.386998787044,78.487291963557,4.8,
Professional Home Services,07349703889,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OVldnBryd9Xoksoirnmn-w&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=295.5032&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaG3oDQekss7MUdWVK-yhoGs&daddr=36/A,+Rd+Number+14,+Vasanth+Nagar,+Kukatpally,+Hyderabad,+Telangana+500072&ved=2ahUKEwjir-CfkryEAxU2z4QAHbXxBz0Q48ADegQIABAz","36/A, Rd Number 14, Vasanth Nagar, Kukatpally, Hyderabad, Telangana 500072",17.495596746997,78.383246621269,5.0,
Crystae home services Pvt Ltd,07676000100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FEYR90cwDnh-zKyRweUAQQ&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=354.21576&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KR-KdcI-mcs7MXD32dfvmUsx&daddr=3-8-160/2,+Chandrapuri+Colony,+L.+B.+Nagar,+Hyderabad,+Telangana+500074&ved=2ahUKEwjir-CfkryEAxU2z4QAHbXxBz0Q48ADegQIABA7","3-8-160/2, Chandrapuri Colony, L. B. Nagar, Hyderabad, Telangana 500074",17.34625499572,78.554815016014,4.9,
Quality home services,08977759222,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tXfbJdnR_DA7XE5-CsTUbg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=227.83003&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRGKAOkLk8s7MfHgLmQ0aF_h&daddr=Gokul+plots,+Shop+g1+,+plot+no+1326,+tejyash+nest+,+venkatramana+colony,+Kukatpally+Housing+Board+Colony,+Hyderabad,+Telangana+500085&ved=2ahUKEwjir-CfkryEAxU2z4QAHbXxBz0Q48ADegQIABBF","Gokul plots, Shop g1 , plot no 1326, tejyash nest , venkatramana colony, Kukatpally Housing Board Colony, Hyderabad, Telangana 500085",17.49513903522,78.38540028622,4.3,
TechSquadTeam - Hyderabad - Home Cleaning and Pest Control Services @ Your Doorstep,09550501535,https://lh5.googleusercontent.com/p/AF1QipMFUCRgo4F-JxNniY9sIE9b5pNmZI_kbT-uMtU_=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUXEGOQ7kcs7MY7FOugSf7GL&daddr=Plot+No+7-1-632/16,+BAPU+Nagar+S+R+Nagar,+Opposite+Metro+Pillar+ESI,+13/A,+Main+Road,+Hyderabad,+Telangana+500038&ved=2ahUKEwjir-CfkryEAxU2z4QAHbXxBz0Q48ADegQIABBP","Plot No 7-1-632/16, BAPU Nagar S R Nagar, Opposite Metro Pillar ESI, 13/A, Main Road, Hyderabad, Telangana 500038",17.452700011177,78.435199977101,4.6,
"HomeTriangle - Pest Control, AC Service, Renovations",09966487890,https://lh5.googleusercontent.com/p/AF1QipMWlNxSy6IenN6CIauAP9pdfLYAKPAcFQL8Ot4=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KcsYEb8rl8s7MamPNyjHetSI&daddr=Dhruv+Arcade,+Rd+Number+1,+Prem+Nagar,+Banjara+Hills,+Hyderabad,+Telangana+500034&ved=2ahUKEwjir-CfkryEAxU2z4QAHbXxBz0Q48ADegQIABBZ","Dhruv Arcade, Rd Number 1, Prem Nagar, Banjara Hills, Hyderabad, Telangana 500034",17.409577054183,78.447203423923,4.2,
Unique Home Facility Services,08686468676,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=miNc8LqL7wp-9vbqe84egw&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=139.00432&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZmdqm2lkcs7MYPRIlLXE8Os&daddr=3-2-44,+Bagh+Ameer,+Sumitra+Nagar+Colony,+Kukatpally,+Hyderabad,+Telangana+500072&ved=2ahUKEwjir-CfkryEAxU2z4QAHbXxBz0Q48ADegQIABBj","3-2-44, Bagh Ameer, Sumitra Nagar Colony, Kukatpally, Hyderabad, Telangana 500072",17.470141105527,78.393589919922,3.1,
The Happy Home Services,06281342335,https://lh5.googleusercontent.com/p/AF1QipNkW9_WWgBatPfOw7_NilQPYOEhW5-0VJ-jOPMD=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZWb4Ibdjcs7MZ1_FcXcoEGF&daddr=near+Keshava+Reddy+School,+Indira+Nagar,+Hyderabad,+Telangana+500090&ved=2ahUKEwjir-CfkryEAxU2z4QAHbXxBz0Q48ADegQIABBs","near Keshava Reddy School, Indira Nagar, Hyderabad, Telangana 500090",17.54383,78.37201,5.0,
POCHIES HOME SERVICES,08686468676,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XjLp0_kgrUOfQzVUgz9a6g&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=320.81488&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVfJj89imcs7MZtlrKesXkUV&daddr=Ballad+Estate,+Flat+No+4F,+9+12-5-35/A/B,+Tarnaka,+Hyderabad,+Telangana+500017&ved=2ahUKEwjir-CfkryEAxU2z4QAHbXxBz0Q48ADegQIABBy","Ballad Estate, Flat No 4F, 9 12-5-35/A/B, Tarnaka, Hyderabad, Telangana 500017",17.436645,78.533225059,1.0,
Hyderabad HomeCare,09010035559,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=a7Qbo4u43GsF7Du_6sBv-Q&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=165.20412&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXEhlUDLmcs7MZ3r-Cm8wlW9&daddr=202+Reliance+Residency,+Indira+Park+Rd,+Hyderabad,+Telangana+500080&ved=2ahUKEwjir-CfkryEAxU2z4QAHbXxBz0Q48ADegQIABB5","202 Reliance Residency, Indira Park Rd, Hyderabad, Telangana 500080",17.40999,78.48682,5.0,
