Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,Time
Kapils Salon - Hyderabad,09160937376,https://lh5.googleusercontent.com/p/AF1QipPtEAK9DY8oKjANynNm8_ieSdGAzdu7rh-B-88u=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KeOa0xhnkcs7MQNIib9sNl8l&daddr=Inorbit+Mall,+beside+PVR+Cinemas,+opposite+Ilabs+Hyderabad+Technology+Centre,+Mind+Space,+HITEC+City,+Hyderabad,+Telangana+500081&ved=2ahUKEwjWmuL8j7yEAxXoy4QAHcXrDKYQ48ADegQIABAr","Inorbit Mall, beside PVR Cinemas, opposite Ilabs Hyderabad Technology Centre, Mind Space, HITEC City, Hyderabad, Telangana 500081",17.43333,78.38651,4.8,
"Page 3 luxury salon, Jubilee Hills, Hyderabad",09100693333,https://lh5.googleusercontent.com/p/AF1QipPT7ZgiMTqGnuYIP629gf6zc3xLjMXn4uy5nDc6=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KY2nk-Q5kcs7MYP6cuKIb3ZF&daddr=8-2-293/82/A/271/102,+Apurupa+BDR+Road+No+10+Jubilee+Hills+Opp+to+Diamond,+Next+to+zero+40,+above+ICICI+bank,+Hyderabad,+Telangana+500033&ved=2ahUKEwjWmuL8j7yEAxXoy4QAHcXrDKYQ48ADegQIABA2","8-2-293/82/A/271/102, Apurupa BDR Road No 10 Jubilee Hills Opp to Diamond, Next to zero 40, above ICICI bank, Hyderabad, Telangana 500033",17.423989981145,78.424480025854,4.7,
Envi Salon & Spa - Banjara Hills,08069270013,https://lh5.googleusercontent.com/p/AF1QipOr-RrgDwvqDuhyxxUEzYKF_ZnH3hWwwHMWKwHq=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVX5P-Ynl8s7MVex_cOlIycq&daddr=8-2-684/3/162,+Road+No.+12,+Kaushik+Society,+Bhavani+Nagar,+Banjara+Hills,+Hyderabad,+Telangana+500034&ved=2ahUKEwjWmuL8j7yEAxXoy4QAHcXrDKYQ48ADegQIABBA","8-2-684/3/162, Road No. 12, Kaushik Society, Bhavani Nagar, Banjara Hills, Hyderabad, Telangana 500034",17.413280004362,78.433450003356,4.5,
Manea The Salon - Banjara Hills,09100166669,https://lh5.googleusercontent.com/p/AF1QipP9swrDMbFZ9aCY9rskMRRoa1YvzCszScYu-RU=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWnCwc8skcs7MZ7mxNoMzbWa&daddr=1st+Floor,+Park+View+Estate,+No.+8-2-120/112,+Above+Creamstone,+Road+No.+2,+Banjara+Hills,+Hyderabad,+Telangana+500034&ved=2ahUKEwjWmuL8j7yEAxXoy4QAHcXrDKYQ48ADegQIABBL","1st Floor, Park View Estate, No. 8-2-120/112, Above Creamstone, Road No. 2, Banjara Hills, Hyderabad, Telangana 500034",17.41246807657,78.437098884876,4.5,
Green Trends Unisex Hair & Style Salon,07893677944,https://lh5.googleusercontent.com/p/AF1QipN-Fg6mUmV4FQhdNOJEpf37p5OTlVx3IP1_v3Iu=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYs8FG1QmMs7MX5b7hRclcmd&daddr=First+Floor,+No+16-11-19/9/5,+Malakpet,+above+Cooperative+Bank,+beside+Pizza+Hut,+Saleem+Nagar+Colony,+Hyderabad,+Telangana+500036&ved=2ahUKEwjWmuL8j7yEAxXoy4QAHcXrDKYQ48ADegQIABBV","First Floor, No 16-11-19/9/5, Malakpet, above Cooperative Bank, beside Pizza Hut, Saleem Nagar Colony, Hyderabad, Telangana 500036",17.38987,78.47207,4.7,
"Mirrors Luxury Salons, Jubilee Hills",04023544236,https://lh5.googleusercontent.com/p/AF1QipOfiTxiX3KUH_cfGqwzl5gjo19hcljzrkqmK36B=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXtSN_4ykcs7MXSwhTj-Q6t0&daddr=Plot+No.66,+Road+No.+1,+Park+View+Enclave,+Jubilee+Hills,+Hyderabad,+Telangana+500033&ved=2ahUKEwjWmuL8j7yEAxXoy4QAHcXrDKYQ48ADegQIABBg","Plot No.66, Road No. 1, Park View Enclave, Jubilee Hills, Hyderabad, Telangana 500033",17.428654560453,78.417682681893,4.8,
Jawed Habib Hair & Beauty Salon,08179026377,https://lh5.googleusercontent.com/p/AF1QipMjTtXOYmTwtigzNDVs59tlPE_APnTuxKoQyaVm=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYNLnxozkcs7McCWslXl28_0&daddr=Survey+No+129/31,+1st+Floor,+GPC+Business+Centre,+Road+No.+12,+opp.+Blac+Gold+Cars,+Banjara+Hills,+Hyderabad,+Telangana+500034&ved=2ahUKEwjWmuL8j7yEAxXoy4QAHcXrDKYQ48ADegQIABBr","Survey No 129/31, 1st Floor, GPC Business Centre, Road No. 12, opp. Blac Gold Cars, Banjara Hills, Hyderabad, Telangana 500034",17.414169994841,78.434960003213,4.5,
Green Trends Unisex Hair & Style Salon,04035172126,https://lh5.googleusercontent.com/p/AF1QipMsHLKqOwll6Fa6ZIqvJYrAiBi95PUZ_ZMk7lNt=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWOPanyjkMs7Mf6mwVxkxMYj&daddr=First+Floor,+Shreeji+Towers,+No+1-10-74/B,+near+Pantaloons,+above+Woodland,+Begumpet,+Secunderabad,+Telangana+500016&ved=2ahUKEwjWmuL8j7yEAxXoy4QAHcXrDKYQ48ADegQIABB1","First Floor, Shreeji Towers, No 1-10-74/B, near Pantaloons, above Woodland, Begumpet, Secunderabad, Telangana 500016",17.438484676038,78.462602109884,4.7,
Green Trends Unisex Hair & Style Salon,04048547166,https://lh5.googleusercontent.com/p/AF1QipPuuK9yY52LkH2QThxZx90rlaXmg8cohdhXRTWN=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbvgqpLdmcs7MWH5Wu4R50ET&daddr=1st+Floor,+3-6-432,+Himayat+Nagar+Rd,+Above+Maruti+True+Value,+Beside+Women%27s+World,+Himayatnagar,+Hyderabad,+Telangana+500029&ved=2ahUKEwjWmuL8j7yEAxXoy4QAHcXrDKYQ48ADegQIABB_","1st Floor, 3-6-432, Himayat Nagar Rd, Above Maruti True Value, Beside Women's World, Himayatnagar, Hyderabad, Telangana 500029",17.404669987692,78.481570006572,4.7,
Salon Koniki,07702201199,https://lh5.googleusercontent.com/p/AF1QipMd1h-hSfhoOV9xAHTgEFkNvMQLgNpIquv3Aclz=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kb-tFytJkcs7MfvmkVgRwoxL&daddr=869,+Road+No.+45,+Masthan+Nagar,+CBI+Colony,+Jubilee+Hills,+Hyderabad,+Telangana+500033&ved=2ahUKEwjWmuL8j7yEAxXoy4QAHcXrDKYQ48ADegUIABCJAQ","869, Road No. 45, Masthan Nagar, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033",17.435259994788,78.394895008949,4.7,
"Bounce Salon & Spa, Banjara Hills",09030010188,https://lh5.googleusercontent.com/p/AF1QipORTfy1ClF6I7GFtzoQS7lxswbAZz2KcauvQTEd=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRdd9kwkl8s7MSx2eX8ttSBl&daddr=shop+no+8-2-686/8/6/1a,+1st+floor,+12th+square+building,+opp+Audi+car+showroom,+road+no+12,+Banjara+hills,+Hyderabad,+Telangana+500034&ved=2ahUKEwjWmuL8j7yEAxXoy4QAHcXrDKYQ48ADegUIABCTAQ","shop no 8-2-686/8/6/1a, 1st floor, 12th square building, opp Audi car showroom, road no 12, Banjara hills, Hyderabad, Telangana 500034",17.408999995053,78.427300033359,4.7,
