Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,Time
GVK One Mall,04042767600,https://lh5.googleusercontent.com/p/AF1QipN-WKl-mnPuc-tuvTIgTLVp87XumB5edDdw01c=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KblUXJc2l8s7MXHfYENjR0iy&daddr=Banjara+Hills+Rd+Number+1,+Balapur+Basthi,+Banjara+Hills,+Hyderabad,+Telangana+500034&ved=2ahUKEwjPo6KFkbyEAxVK0oQAHeAIBcQQ48ADegQIABAr","Banjara Hills Rd Number 1, Balapur Basthi, Banjara Hills, Hyderabad, Telangana 500034",17.414021657428,78.452115211623,4.3,
City Center Mall,04044880000,https://lh5.googleusercontent.com/p/AF1QipPrGF2vzmiaX_3d_B_j8zKFX1bWF07F77Cuuyo=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRWJz6Eukcs7Mb-XA7SUV0YK&daddr=CITY+CENTER,+8-2-592,+Rd+Number+1,+Banjara+Hills,+Hyderabad,+Telangana+500034&ved=2ahUKEwjPo6KFkbyEAxVK0oQAHeAIBcQQ48ADegQIABA1","CITY CENTER, 8-2-592, Rd Number 1, Banjara Hills, Hyderabad, Telangana 500034",17.409589997218,78.438749964553,4.2,
Inorbit Mall Cyberabad,04045465200,https://lh5.googleusercontent.com/p/AF1QipMtnfJnn01PzsW9wLU6F4EWTGC88MselNo51iuD=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRFHbeYvl8s7MRNToRxpJy1_&daddr=NO.64,+Inorbit+Mall+Rd,+APIIC+Software+Layout,+Madhapur,+Hyderabad,+Telangana+500081&ved=2ahUKEwjPo6KFkbyEAxVK0oQAHeAIBcQQ48ADegQIABA-","NO.64, Inorbit Mall Rd, APIIC Software Layout, Madhapur, Hyderabad, Telangana 500081",17.435765880944,78.388361431665,4.5,
Next Galleria Mall,04068218333,https://lh5.googleusercontent.com/p/AF1QipNJtx68T4K600KUcIrpVRoFeqjn3nVIk6bwUjZf=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZOmG-iEl8s7MXBds3CZAdkC&daddr=Punjagutta+Rd,+Irram+Manzil+Colony,+Punjagutta,+Hyderabad,+Telangana+500082&ved=2ahUKEwjPo6KFkbyEAxVK0oQAHeAIBcQQ48ADegQIABBI","Punjagutta Rd, Irram Manzil Colony, Punjagutta, Hyderabad, Telangana 500082",17.42468,78.45367,4.3,
Babukhan Mall,09966775357,https://lh5.googleusercontent.com/p/AF1QipMKneCY4-F2tSCDEkHMIde9KSaXHlNpeRyWFDcV=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ka0Hzlm0kMs7MU0HUO2MVkTQ&daddr=Shop-2,+Begumpet+Rd,+Nishat+Bagh+Colony,+Somajiguda,+Hyderabad,+Telangana+500082&ved=2ahUKEwjPo6KFkbyEAxVK0oQAHeAIBcQQ48ADegQIABBR","Shop-2, Begumpet Rd, Nishat Bagh Colony, Somajiguda, Hyderabad, Telangana 500082",17.437600012607,78.456599981737,3.8,
Sarath City Capital Mall,07799965656,https://lh5.googleusercontent.com/p/AF1QipNK_lOpaR_rXM3bJds-5CkwDOq7M0XJJHMI8yOb=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYkUKvTIk8s7MbIBafsnTvxX&daddr=Gachibowli+-+Miyapur+Rd,+Whitefields,+HITEC+City,+Kondapur,+Telangana+500084&ved=2ahUKEwjPo6KFkbyEAxVK0oQAHeAIBcQQ48ADegQIABBa","Gachibowli - Miyapur Rd, Whitefields, HITEC City, Kondapur, Telangana 500084",17.456923847682,78.364991693762,4.5,
Lumbini Jewel Mall,04045465333,https://lh5.googleusercontent.com/p/AF1QipOQKzJ__E3hLOgU4tOk0VkFo2hN4waqgsfxBGVj=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRFJBqrUkMs7MbbierDsBvc2&daddr=Andhra+Pradesh+Real+Estate,+Green+Valley,+Banjara+Hills,+8-2-272/28,+Kaifi+Azmi+Road,+Hyderabad,+Telangana+500873&ved=2ahUKEwjPo6KFkbyEAxVK0oQAHeAIBcQQ48ADegQIABBj","Andhra Pradesh Real Estate, Green Valley, Banjara Hills, 8-2-272/28, Kaifi Azmi Road, Hyderabad, Telangana 500873",17.42474,78.43821,4.0,
Begum Bazar Entrance,09014658091,https://lh5.googleusercontent.com/p/AF1QipPALAUmgqWpX7OfLqZRQEESOHHLcWB8YXyd7ynP=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQHdgP4pmMs7MY3fy3C4q9ac&daddr=Begum+Bazar+Rd,+Mahboob+Ganj,+Ghansi+Bazaar,+Hyderabad,+Telangana+500012&ved=2ahUKEwjPo6KFkbyEAxVK0oQAHeAIBcQQ48ADegQIABBs","Begum Bazar Rd, Mahboob Ganj, Ghansi Bazaar, Hyderabad, Telangana 500012",17.375063785402,78.473356175912,3.9,
South India Shopping Mall-Abids,18001231555,https://lh5.googleusercontent.com/p/AF1QipP5Ftou4EzXumih6lAZHJRF25IhpgM-rl3sLtM=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZVf6FJDmcs7Ma95j8YWbXQp&daddr=Abids+Road,+Fateh+Maidan,+Abids,+Hyderabad,+Telangana+500001&ved=2ahUKEwjPo6KFkbyEAxVK0oQAHeAIBcQQ48ADegQIABB1","Abids Road, Fateh Maidan, Abids, Hyderabad, Telangana 500001",17.396709643573,78.475249944056,4.0,
Downtown Mall,09885596680,https://lh5.googleusercontent.com/p/AF1QipN4GrbCRuIxvD7w9OEQmYSgct3-PYSloAqv1ucn=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQUQQtBxl8s7Mf7lPMLiTCAt&daddr=324+Lakdikapool+DownTown+Mall,+Hyderabad,+Telangana+500004&ved=2ahUKEwjPo6KFkbyEAxVK0oQAHeAIBcQQ48ADegQIABB-","324 Lakdikapool DownTown Mall, Hyderabad, Telangana 500004",17.397806148695,78.463144203727,4.1,
