Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
Kanpur Education Centre,9935365606,https://lh5.googleusercontent.com/p/AF1QipNadTqfwdFvNmfBN_jkI9-fLO21w7rFMlMnPfUJ=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXMKcInGN5w5McOwqVLU3mVZ&daddr=Panki+-+Kalyanpur+Rd,+Avas+Vikas+Number+3,+Kalyanpur,+Kanpur,+Uttar+Pradesh+208017&ved=2ahUKEwi16cfqnLmEAxVr04QAHYkxBt8Q48ADegQIABAo","Panki - Kalyanpur Rd, Avas Vikas Number 3, Kalyanpur, Kanpur, Uttar Pradesh 208017",26.481505132045,80.254289090968,4.2,03:00 PM
Abroad Education Partner kanpur,7007168959,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dGVnSutO66WDr7p1SoLl4w&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=35.15138&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kev1dsBjOZw5MQ9ST_9eiI1V&daddr=backside+of+Gurudev+Metro+station,+9,+GT+Rd,+Lakhanpur,+Nawabganj,+Kanpur,+Uttar+Pradesh+208024&ved=2ahUKEwi16cfqnLmEAxVr04QAHYkxBt8Q48ADegQIABAx","backside of Gurudev Metro station, 9, GT Rd, Lakhanpur, Nawabganj, Kanpur, Uttar Pradesh 208024",26.491900005607,80.284430040179,4.8,06:00 PM
"BHAGWANTI EDUCATION CENTRE , ISC Affiliated School",8009951111,//lh3.googleusercontent.com/proxy/m_1EUf9YNVfacXZRfGhp8XBBhbrwMbwOKcJB6FsufAOwh5Dd9kDTXfgIwDs4eJ3DDSJdUJ3xIFsU87Px-q-7XYAeq9I-CuzN6B7KN_j9n-QyXhC40yWuXTswFi7jR859K09l3jrDgNfzOcyyOTIUZhsZdeDW70i2hKYQluMXLmMQTduBtg82NA=w144-h144-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kee9ZJqCR5w5MbqjE1zaNoZO&daddr=52Q+SHARDA+NAGAR+,+NEAR+GURDEV+PALACE,+KANPUR,+Kanpur,+Uttar+Pradesh+208024&ved=2ahUKEwi16cfqnLmEAxVr04QAHYkxBt8Q48ADegQIABA4","52Q SHARDA NAGAR , NEAR GURDEV PALACE, KANPUR, Kanpur, Uttar Pradesh 208024",26.48753,80.29044,3.7,02:00 PM
Kanpur Institute Of Teachers Education,7007813109,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DnmeAX9u8AbaOYYASxrAQg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=316.1278&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQEGR8MuNpw5MYaS4p-G8ECk&daddr=Sundar+Nagar,+Panki,+Kanpur,+Uttar+Pradesh+208020&ved=2ahUKEwi16cfqnLmEAxVr04QAHYkxBt8Q48ADegQIABA_","Sundar Nagar, Panki, Kanpur, Uttar Pradesh 208020",26.462117582123,80.226862419,4,08:00 PM
Swaraj Institute of education,8957870919,https://lh5.googleusercontent.com/p/AF1QipNtPp-Y8tpOgC26vr09tDrVPkXzN6eoI65TWTRN=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KW1HRm8mR5w5MS0VwoE6_OkL&daddr=Baba+Nagar,+Yashoda+Nagar,+Kanpur,+Uttar+Pradesh+208011&ved=2ahUKEwi16cfqnLmEAxVr04QAHYkxBt8Q48ADegQIABBG","Baba Nagar, Yashoda Nagar, Kanpur, Uttar Pradesh 208011",26.40209,80.32669,5,03:00 PM
Sriram Education Centre,9450745893,https://lh5.googleusercontent.com/p/AF1QipNqJQhYDZH68ahNY1YynxVT-hfJWhrjaC9K-X96=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWejNLffN5w5MWj58GI1tRMa&daddr=831-B,+MIG+ROAD,+1028,+B+Block,+Panki,+Kanpur,+Uttar+Pradesh+208020&ved=2ahUKEwi16cfqnLmEAxVr04QAHYkxBt8Q48ADegQIABBO","831-B, MIG ROAD, 1028, B Block, Panki, Kanpur, Uttar Pradesh 208020",26.464449658291,80.253712963411,4.2,03:00 PM
K.R. Education Centre,7505171846,https://lh5.googleusercontent.com/p/AF1QipN1cm2LVyR26pQ6OMBLgMivy5V0s-WHX6p6Diws=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZGXK9lAQZw5MZu53Yct6uqe&daddr=K.R.+Puram+Sanigawan+Road,+12,+Sanigawan+Rd,+K.R.+Puram,+Daheli+Sujanpur,+Kanpur,+Uttar+Pradesh+208021&ved=2ahUKEwi16cfqnLmEAxVr04QAHYkxBt8Q48ADegQIABBW","K.R. Puram Sanigawan Road, 12, Sanigawan Rd, K.R. Puram, Daheli Sujanpur, Kanpur, Uttar Pradesh 208021",26.403780009786,80.38225003536,3.7,09:00 PM
Education Era,7235032907,https://lh5.googleusercontent.com/p/AF1QipM6oFC1LyfJsFXV7rSp3hhb9gGVG-YE7hTb5dSR=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdMz4rVqR5w5Mb5ZW4HLsjHK&daddr=126/28,+S+Block,+Govind+Nagar,+Kanpur,+Uttar+Pradesh+208006&ved=2ahUKEwi16cfqnLmEAxVr04QAHYkxBt8Q48ADegQIABBd","126/28, S Block, Govind Nagar, Kanpur, Uttar Pradesh 208006",26.448713699746,80.30791661891,5,6:30 PM
R.K. Education Centre Kanpur,9918880853,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0ucxpdlnLR_88q0hJuEZbg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=358.01904&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KR3x7mUUOJw5MRicw1Gv5CLy&daddr=117/K/121B,+Geeta+Nagar,+Kakadeo,+Kanpur,+Uttar+Pradesh+208025&ved=2ahUKEwi16cfqnLmEAxVr04QAHYkxBt8Q48ADegQIABBj","117/K/121B, Geeta Nagar, Kakadeo, Kanpur, Uttar Pradesh 208025",26.483750558272,80.291039179717,4.1,10:00 PM
Smart I Learn Education Centre,8840787583,https://lh5.googleusercontent.com/p/AF1QipPM-aXjnnJK5oBW0Su35m3yFRBKp1YMy6cTX0PD=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUUw0pZ0QZw5MUbjUfvReTtX&daddr=1,+23-4,+Krishna+Puram,+Kanpur+Cantonment,+Kanpur,+Uttar+Pradesh+515621&ved=2ahUKEwi16cfqnLmEAxVr04QAHYkxBt8Q48ADegQIABBv","1, 23-4, Krishna Puram, Kanpur Cantonment, Kanpur, Uttar Pradesh 515621",26.4228,80.37461,3.9,06:00 PM
