Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
Maa Healthcare,8800389599,https://lh5.googleusercontent.com/p/AF1QipMFpJdd6yLQ00LWYVlGAAigxNgZoOJi6luFY8CI=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KcE2T6r0N5w5MXuOum1_eHOT&daddr=117/N/496,+Rani+Ganj,+Ambedkar+Nagar,+Navin+Nagar,+Kakadeo,+Kanpur,+Uttar+Pradesh+208025&ved=2ahUKEwirvMyLo7mEAxVqxIQAHSj4CP0Q48ADegQIABAr","117/N/496, Rani Ganj, Ambedkar Nagar, Navin Nagar, Kakadeo, Kanpur, Uttar Pradesh 208025",26.479854816907,80.291143831673,4.9,09:00 PM
Gahlaut Health Care Private Limited |,9839308777,https://lh5.googleusercontent.com/p/AF1QipPlWI9p6LFkei2z3oZsT0rKTFX-SR1BijdpNTv7=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWOb7QKbN5w5Mcdy3ZM3HTuo&daddr=C-13,+New+Azad+Nagar,+Infront+Of+kalyanpur+Thana,+Kalyanpur,+behind+Petrol+Pump,+Kanpur,+Uttar+Pradesh+208017&ved=2ahUKEwirvMyLo7mEAxVqxIQAHSj4CP0Q48ADegQIABA1","C-13, New Azad Nagar, Infront Of kalyanpur Thana, Kalyanpur, behind Petrol Pump, Kanpur, Uttar Pradesh 208017",26.50281221784,80.252042138792,4.6,6:30 PM
Happy Home Health Care,7355558189,https://lh5.googleusercontent.com/p/AF1QipP7AKoUY71NXIcfWhxxN2pQ4gjzjjb7X_0DBUs=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KV_XpMcrN5w5MU6JpVTZlLeM&daddr=N-18,+near+Aashtha+Party+Lawn,+Indira+Nagar,+Kalyanpur,+Kanpur,+Gangpur+Kachhar,+Uttar+Pradesh+208026&ved=2ahUKEwirvMyLo7mEAxVqxIQAHSj4CP0Q48ADegQIABBA","N-18, near Aashtha Party Lawn, Indira Nagar, Kalyanpur, Kanpur, Gangpur Kachhar, Uttar Pradesh 208026",26.52261,80.25703,4.9,6:30 PM
Maya health care Nursing Services - Nursing Bureau in Kanpur | Baby Ayas Service in Kanpur| Nursing Service in Kanpur,7317283107,https://lh5.googleusercontent.com/p/AF1QipObQ-0KuTWjTdgtgvTgW0rHQ5kJs_KftUmk-Nuy=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYVHIrKGN5w5MbefKCRfP1V5&daddr=Goa+Gardens,+64,+Gooba+Gardens,+Siddharth+Nagar,+Ashok+Nagar,+Kanpur,+Uttar+Pradesh+208017&ved=2ahUKEwirvMyLo7mEAxVqxIQAHSj4CP0Q48ADegQIABBI","Goa Gardens, 64, Gooba Gardens, Siddharth Nagar, Ashok Nagar, Kanpur, Uttar Pradesh 208017",26.504338436782,80.244049550508,4.8,6:30 PM
IIT Health Centre,5122597777,https://lh5.googleusercontent.com/p/AF1QipOMu2wZHtz_KT0C1-plAauTHgYRZW5FXMWSfnIi=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQUAAAABN5w5MRRsYatQ8-bf&daddr=Indian+Institute+of+Technology+Kanpur,+Fifth+Ave,+Kalyanpur,+Kanpur,+Uttar+Pradesh+208016&ved=2ahUKEwirvMyLo7mEAxVqxIQAHSj4CP0Q48ADegQIABBS","Indian Institute of Technology Kanpur, Fifth Ave, Kalyanpur, Kanpur, Uttar Pradesh 208016",26.51051,80.23425,3.9,6:30 PM
"Dr. Amit Singh - Prayag Healthcare Center, Kanpur | Best Ayurvedic Clinic in Kanpur | Best Piles Doctor in Kanpur | Best Ayurvedic Gastroenterologist in Kanpur | Best Urologist in Kanpur |",8826030976,https://lh5.googleusercontent.com/p/AF1QipNyXa2-qNWS260dcCYTWKp7SaBZ4IeSfjOhMpMu=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KT8ZskVMN5w5MVairtWK1IgQ&daddr=M/PR-59+Keshavpuram,+near+KDMA+World+School,+Awas+Vikas+-1,+Kalyanpur,+Kanpur,+Uttar+Pradesh+208017&ved=2ahUKEwirvMyLo7mEAxVqxIQAHSj4CP0Q48ADegQIABBZ","M/PR-59 Keshavpuram, near KDMA World School, Awas Vikas -1, Kalyanpur, Kanpur, Uttar Pradesh 208017",26.497465619335,80.255626933414,5,6:30 PM
Kamla Health Care I Best Homeopathic Doctor in Kanpur | Best Homeopathy Clinic in kanpur,8318558933,https://lh5.googleusercontent.com/p/AF1QipM2YzEJc6jp324KbOcsglCdRmAkS8XetQenvSJT=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUt8KI29N5w5Me-QIQSy4JRP&daddr=Shop+6A,+Surya+Residency,+near+KDMA+World+School,+Awas+Vikas+-1,+Keshavpuram,+Kalyanpur,+Kanpur,+Uttar+Pradesh+208017&ved=2ahUKEwirvMyLo7mEAxVqxIQAHSj4CP0Q48ADegQIABBh","Shop 6A, Surya Residency, near KDMA World School, Awas Vikas -1, Keshavpuram, Kalyanpur, Kanpur, Uttar Pradesh 208017",26.497465619335,80.255626933414,4.9,6:30 PM
Kanpur Medical Centre Private Limited - Best Gastroenterologist & Liver Specialist in Kanpur,8601012233,https://lh5.googleusercontent.com/p/AF1QipMB5ZpcTUZVDjFkzybt8e6cz9VYUrO9mnEaRaXI=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdvkthF0OJw5MVPcWWtsXlUU&daddr=120/500%2824,+Govind+Nagar+Rd,+Near+J.K.+Temple,+Lajpat+Nagar,+Narainpurwa,+Kanpur,+Uttar+Pradesh+208005&ved=2ahUKEwirvMyLo7mEAxVqxIQAHSj4CP0Q48ADegQIABBp","120/500(24, Govind Nagar Rd, Near J.K. Temple, Lajpat Nagar, Narainpurwa, Kanpur, Uttar Pradesh 208005",26.466299996928,80.323769999819,4.2,6:30 PM
"Anurag Healthcare | Best Hospital in Kanpur (Surgeon/Trauma Centre) | Best Multi-Specialist Hospital in Sharda Nagar, Kanpur",9889538233,https://lh5.googleusercontent.com/p/AF1QipMXAcxBUhVaqWV6K25V_igBfH5QN4Tvei4-BOLp=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRkqxmkXOJw5MU-mHfO7mn9X&daddr=150,+Sharda+Nagar+Rd,+Namak+Factory+Chauraha,+Chhapeda+Pulia,+Geeta+Nagar,+Sharda+Nagar,+Kanpur,+Uttar+Pradesh+208024&ved=2ahUKEwirvMyLo7mEAxVqxIQAHSj4CP0Q48ADegQIABBz","150, Sharda Nagar Rd, Namak Factory Chauraha, Chhapeda Pulia, Geeta Nagar, Sharda Nagar, Kanpur, Uttar Pradesh 208024",26.50068,80.275936374,3.9,6:30 PM
GAGANDEEP HEALTH CARE CENTRE,7080567890,https://lh5.googleusercontent.com/p/AF1QipPrA9I-bLRNsV2HbWhj7LXVXqVoaENmC99hGtWK=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZsVqUITR5w5McR9RrIyOyJF&daddr=C8MC%2BCPH,+Gaushala,+Juhi+Kalan,+Juhi,+Kanpur,+Uttar+Pradesh+208014&ved=2ahUKEwirvMyLo7mEAxVqxIQAHSj4CP0Q48ADegQIABB6","C8MC+CPH, Gaushala, Juhi Kalan, Juhi, Kanpur, Uttar Pradesh 208014",26.450943519688,80.334577596354,4.7,6:30 PM
