Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
Amar plumbing work..,8081500139,https://lh5.googleusercontent.com/p/AF1QipNpnjMwrX1Tyjkvn0Xpk9R3231wBK0y6W1ZiZE3=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWmyIwVZR5w5MZpS7mKj4h2a&daddr=08,+New+Azad+Nagar,+amritpuram,+Kanpur,+Uttar+Pradesh+208011&ved=2ahUKEwjJ-J-1ormEAxXj5IQAHarkBdsQ48ADegQIABAp","08, New Azad Nagar, amritpuram, Kanpur, Uttar Pradesh 208011",26.401186056947,80.352981902693,4.6,6:30 PM
Plumber's,9336563277,https://lh5.googleusercontent.com/p/AF1QipO9bXwzeVV4W3Jj4I19GgmnCMPv9DycX5wEhQvn=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KR0AANDaR5w5MUinW29k6d2H&daddr=HNO+100+Sector+C+Kanpur,+Barra+8,+Kanpur,+Uttar+Pradesh+208027&ved=2ahUKEwjJ-J-1ormEAxXj5IQAHarkBdsQ48ADegQIABA3","HNO 100 Sector C Kanpur, Barra 8, Kanpur, Uttar Pradesh 208027",26.428203926808,80.29121342028,4.7,6:30 PM
Pandey Plumbing Work,9935218236,https://lh5.googleusercontent.com/p/AF1QipNdVNPClAkNnKBjULRCDPj36qeNBrvy6b3WaEjO=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUmzPdHhQJw5Mc4FcPJTQnSR&daddr=232-A,+Pardevan+Purwa,,+Lal+bangla,+Kanpur,+Uttar+Pradesh+208007&ved=2ahUKEwjJ-J-1ormEAxXj5IQAHarkBdsQ48ADegQIABBA","232-A, Pardevan Purwa,, Lal bangla, Kanpur, Uttar Pradesh 208007",26.429070013775,80.382369980394,3.7,6:30 PM
Naveen Enterprises,8957789577,https://lh5.googleusercontent.com/p/AF1QipPpnHH51AY5Hr-WDcAyZmMMf15ApAh9kY-FlAoi=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KY_N3XC_N5w5MdaRNv3ZhbnC&daddr=198+B1,+Saheb+Nagar+Rd,+Keshavpuram,+Kalyanpur,+Kanpur,+Uttar+Pradesh+208017&ved=2ahUKEwjJ-J-1ormEAxXj5IQAHarkBdsQ48ADegQIABBI","198 B1, Saheb Nagar Rd, Keshavpuram, Kalyanpur, Kanpur, Uttar Pradesh 208017",26.498438819664,80.253703878328,4.3,09:00 PM
Home Services - Treadmill | AC | Electrical | Plumber | Painter,8787202412,https://lh5.googleusercontent.com/p/AF1QipNboUUxZVY2F0gA48GpfQl-yZOVh5aqBJNFgOnU=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWn_0fgmOJw5MZVI6y0rbiwY&daddr=77+Chaitanya+Vihar,+Indra+Nagar+Road,+Opp+CNG+Pump,+Kanpur,+Uttar+Pradesh+208002&ved=2ahUKEwjJ-J-1ormEAxXj5IQAHarkBdsQ48ADegQIABBR","77 Chaitanya Vihar, Indra Nagar Road, Opp CNG Pump, Kanpur, Uttar Pradesh 208002",26.471577653576,80.331987672413,4.8,08:00 PM
ServiceWalaa,9565111296,https://lh5.googleusercontent.com/p/AF1QipMEacoJLYW4Kxqlta8eRBilQ4apYwnPHOfCRcI6=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KfMSBJc5QZw5MTBR-kLMeNpX&daddr=Sandeep+Nagar,+42B,+Sanigawan+Rd,+Daheli+Sujanpur,+Kanpur,+Uttar+Pradesh+208021&ved=2ahUKEwjJ-J-1ormEAxXj5IQAHarkBdsQ48ADegQIABBa","Sandeep Nagar, 42B, Sanigawan Rd, Daheli Sujanpur, Kanpur, Uttar Pradesh 208021",26.398218642028,80.383456193004,4.4,6:30 PM
Ansar Plumber's,9838669905,https://lh5.googleusercontent.com/p/AF1QipMuxeEnAwqGeqHz-UdwO4c2K4Ea1qFPnwtmXm3d=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUVsRv0fOZw5MRE5w1NKlz5Z&daddr=Raja+Purva,+Sarvodaya+Nagar,+Kanpur,+Uttar+Pradesh+208005&ved=2ahUKEwjJ-J-1ormEAxXj5IQAHarkBdsQ48ADegQIABBi","Raja Purva, Sarvodaya Nagar, Kanpur, Uttar Pradesh 208005",26.47053,80.29744747,4.8,08:00 PM
K K plumbing works,6386843507,https://lh5.googleusercontent.com/p/AF1QipOdW2u2Hd8cL725kwJ9-vrapvpVmfLdoi7AzAdp=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZdobUGjOZw5Mdl7dCx7te3S&daddr=Charles+Baker+Ave,+Purana+Kanpur,+Kanpur,+Uttar+Pradesh+208002&ved=2ahUKEwjJ-J-1ormEAxXj5IQAHarkBdsQ48ADegQIABBr","Charles Baker Ave, Purana Kanpur, Kanpur, Uttar Pradesh 208002",26.500467695055,80.317712254958,3,6:30 PM
S K Gupta Pulmbing Works.,6386047994,https://lh5.googleusercontent.com/p/AF1QipNxyWQILK7_S_cwfcOYT0l7KZLCy8hvPhP-_N63=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZfE6yf8R5w5MRAU4f9dONg2&daddr=132/658,+Munshi+Purwa,+Kidwai+Nagar,+Kanpur,+Uttar+Pradesh+208023&ved=2ahUKEwjJ-J-1ormEAxXj5IQAHarkBdsQ48ADegQIABBy","132/658, Munshi Purwa, Kidwai Nagar, Kanpur, Uttar Pradesh 208023",26.435375607823,80.342883376755,3.3,6:30 PM
Hamza Plumber,8887611412,https://lh5.googleusercontent.com/p/AF1QipP1yXy8cwp2QTSNX-vgKzZpz8EwH2nmRMhMtCP4=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQt232igR5w5May0dgIIFTlq&daddr=Barra+6,+Barra+World+Bank,+pal+tawr,+Kanpur,+Uttar+Pradesh+208027&ved=2ahUKEwjJ-J-1ormEAxXj5IQAHarkBdsQ48ADegQIABB4","Barra 6, Barra World Bank, pal tawr, Kanpur, Uttar Pradesh 208027",26.427414986038,80.30630999259,3,6:30 PM
Mukesh Chandra plumber,9172413046,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=I2pGHfRNB7p_F9TblMjelA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=308.3021&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kd1FT1eqR5w5Me0sCabb3-K6&daddr=Plot+No+15,+Satbari+Rd,+Daheli+Sujanpur,+Kanpur,+Uttar+Pradesh+208011&ved=2ahUKEwiJ5qHPormEAxW-4oQAHfkJDNQQ48ADegQIABAo","Plot No 15, Satbari Rd, Daheli Sujanpur, Kanpur, Uttar Pradesh 208011",26.404709981943,80.353240017012,5,07:00 PM
Bhajji plumbers,8840420177,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=r8siopPxkkubLoLQJOipZA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=20.952433&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kd23NAlEN5w5MU_LYNYEZQo3&daddr=G62V%2BQV5,+Gooba+Gardens,+Kalyanpur,+Kanpur,+Uttar+Pradesh+208017&ved=2ahUKEwiJ5qHPormEAxW-4oQAHfkJDNQQ48ADegQIABAv","G62V+QV5, Gooba Gardens, Kalyanpur, Kanpur, Uttar Pradesh 208017",26.5065,80.24766,5,06:00 PM
Abid plumber,7505118691,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eSiB2VSZWwYxGOCdySO5YQ&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=206.298&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZWiPjNWQZw5MdFX3sM52Q6g&daddr=near+Hari+building,+J+K+Puri,+Kanpur,+Uttar+Pradesh+208010&ved=2ahUKEwiJ5qHPormEAxW-4oQAHfkJDNQQ48ADegQIABA2","near Hari building, J K Puri, Kanpur, Uttar Pradesh 208010",26.4233,80.410067926,2.5,05:00 PM
Aman Plumber,9807522825,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KR1YlBBZ7r_rWzQH7msGZQ&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=354.0631&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWuaESm_R5w5MaJd43Z6IBAr&daddr=405/1,+Sagarpuri+Rd,+Galla+Mandi,+Naubasta,+Kanpur,+Uttar+Pradesh+208021&ved=2ahUKEwiJ5qHPormEAxW-4oQAHfkJDNQQ48ADegQIABA8","405/1, Sagarpuri Rd, Galla Mandi, Naubasta, Kanpur, Uttar Pradesh 208021",26.389652947282,80.303800525661,4.5,6:30 PM
