Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
"P3 Salon - Make Up Artist In Kanpur, Bridal Make Up Artist In Kanpur",8318804152,https://lh5.googleusercontent.com/p/AF1QipNxqVkRMfUFt5vVJm9xFRXJ3rZAz2Jg5DxXrGi_=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVVVVQUTOJw5MbxA1o90k4gi&daddr=F+-+5,+Moti+Vihar+Society,+117,+near+Rave+Moti,+K/13,+Kakadeo,+Kanpur,+Uttar+Pradesh+208025&ved=2ahUKEwjk8dHAl7mEAxUJ1YQAHekdBM0Q48ADegQIABAs","F - 5, Moti Vihar Society, 117, near Rave Moti, K/13, Kakadeo, Kanpur, Uttar Pradesh 208025",26.48024,80.29899,4.8,08:00 PM
The Glam House - Best Unisex Salon in Kanpur/Best Bridal Salon in Kanpur/Best Makeup Artist in Kanpur,9936000111,https://lh5.googleusercontent.com/p/AF1QipMlxuNOttGsvZHaMvYOblm5xeHf-m_QKCnAXlMY=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYPRsLtjOJw5MeDiWEeODjVb&daddr=SGM+Plaza+2,+Mandakini+Hotel+Basement,+7/135,+Chat+Chauraha,+Khalasi+Line,+Swaroop+Nagar,+Kanpur,+Uttar+Pradesh+208002&ved=2ahUKEwjk8dHAl7mEAxUJ1YQAHekdBM0Q48ADegQIABA2","SGM Plaza 2, Mandakini Hotel Basement, 7/135, Chat Chauraha, Khalasi Line, Swaroop Nagar, Kanpur, Uttar Pradesh 208002",26.483355089522,80.312572656148,4.5,6:30 PM
Kanpur Best Beauty Parlour,7388781666,https://lh5.googleusercontent.com/p/AF1QipO46Fvh7HkYzYHBiCIT8u8HftRydJqZ6qAWi8mv=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRP0f3nXOZw5MQ2i42BrNyU2&daddr=7/182-+b,+Swaroop+nagar+Gastro+liver+hospital+road,+opp.+Baijnath+jewellers,+Kanpur,+Uttar+Pradesh+208002&ved=2ahUKEwjk8dHAl7mEAxUJ1YQAHekdBM0Q48ADegQIABA_","7/182- b, Swaroop nagar Gastro liver hospital road, opp. Baijnath jewellers, Kanpur, Uttar Pradesh 208002",26.48279,80.31326,4.7,6:30 PM
Jawed Habib P Road Kanpur - Unisex Salon - Makeup Artist/ / Best Bridal Salon in Kanpur/ Best salon in kanpur /,7991424320,https://lh5.googleusercontent.com/p/AF1QipMSilNmg5WSfH7cUSQTVHIrcEZq30nsnWF2Tfxv=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRnNQfgvOZw5Mdm9aLPR1W7r&daddr=104+A+/+229+A,+P+Road,+Uttar+Pradesh+208012&ved=2ahUKEwjk8dHAl7mEAxUJ1YQAHekdBM0Q48ADegQIABBH","104 A / 229 A, P Road, Uttar Pradesh 208012",26.466465458393,80.325527182346,4.5,6:30 PM
Orchid Professional Salon & Academy,9169662042,https://lh5.googleusercontent.com/p/AF1QipM3I6E3W7aonWBO1Alu0T-qHk2K8_8vPQYO8Bxk=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbPjIEvhOZw5MQ35G444kw0Y&daddr=Besides+Guru+Nanak+Girls+School+%28,+Mariampur+Rd,+above+Perfect+Opticians,+Gumti+No.5,+Kaushalpuri,+Kanpur,+Uttar+Pradesh+208012&ved=2ahUKEwjk8dHAl7mEAxUJ1YQAHekdBM0Q48ADegQIABBR","Besides Guru Nanak Girls School (, Mariampur Rd, above Perfect Opticians, Gumti No.5, Kaushalpuri, Kanpur, Uttar Pradesh 208012",26.467253522103,80.3118946381,4.6,08:00 PM
Krista Unisex Salon,8874445505,https://lh5.googleusercontent.com/p/AF1QipMLNRXAEj1YlLs-FMx6mm9pSfTzAlsBOwOy1pFN=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbHXox2KOZw5Md4CIab3LxWH&daddr=117,+H-1,+near+Candy+Floss+School,+Pandu+Nagar,+Kanpur,+Uttar+Pradesh+208005&ved=2ahUKEwjk8dHAl7mEAxUJ1YQAHekdBM0Q48ADegQIABBa","117, H-1, near Candy Floss School, Pandu Nagar, Kanpur, Uttar Pradesh 208005",26.47252,80.30348,4.7,6:30 PM
Peluqueria - Unisex Salon & Makeup Artists,8177090909,https://lh5.googleusercontent.com/p/AF1QipOoXg0KqgGC42dXDpMy-5rEd5n1Ojp9R7kg3rd9=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kc-v4NdBOZw5Md7rEwOt_FHo&daddr=113/147+First+Floor,+near+Domino%27s+Pizza,+Swaroop+Nagar,+Kanpur,+Uttar+Pradesh+208002&ved=2ahUKEwjk8dHAl7mEAxUJ1YQAHekdBM0Q48ADegQIABBi","113/147 First Floor, near Domino's Pizza, Swaroop Nagar, Kanpur, Uttar Pradesh 208002",26.47949,80.30917,4.7,6:30 PM
Lakme salon Shanti Nagar,7379478000,https://lh5.googleusercontent.com/p/AF1QipMv7CW_q9Cs0Tjj33ROu7AMrDw0i0Op2Z_8k6gP=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUNPhWVMR5w5MWpqCoFKYgGQ&daddr=A-2,+Shanti+Nagar,+Cantt,+opposite+Pandit+Hotel,+Kanpur,+Uttar+Pradesh+208001&ved=2ahUKEwjk8dHAl7mEAxUJ1YQAHekdBM0Q48ADegQIABBr","A-2, Shanti Nagar, Cantt, opposite Pandit Hotel, Kanpur, Uttar Pradesh 208001",26.47108,80.351435173,4.7,08:00 PM
Beauty Lab,8881727374,https://lh5.googleusercontent.com/p/AF1QipP-u_Qp35xwoGxlg0Keom4dNt_YojUd9OZGMOya=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KacbnaWyOZw5MR4QiaxSx-E4&daddr=14/76+M,+near+merchant+chamber,+opp.+McRobert+Hospital+Gate,+Civil+Lines,+Kanpur,+Uttar+Pradesh+208001&ved=2ahUKEwjk8dHAl7mEAxUJ1YQAHekdBM0Q48ADegQIABB0","14/76 M, near merchant chamber, opp. McRobert Hospital Gate, Civil Lines, Kanpur, Uttar Pradesh 208001",26.48215,80.34352,4.8,6:30 PM
"Crona Unisex Salon - Kidwai Nagar, Kanpur",9044224409,https://lh5.googleusercontent.com/p/AF1QipPf2vf69n-4r8_Ug-lCf_c-s8U_j1bgO_EQGxje=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRe9_yNDR5w5Mal2p6C_5qbS&daddr=133/161,+main+street,+M+Block,+Kidwai+Nagar,+Kanpur,+Uttar+Pradesh+208011&ved=2ahUKEwjk8dHAl7mEAxUJ1YQAHekdBM0Q48ADegQIABB9","133/161, main street, M Block, Kidwai Nagar, Kanpur, Uttar Pradesh 208011",26.429279112016,80.334559516243,4.4,08:00 PM
Geetanjali Salon,6391022525,https://lh5.googleusercontent.com/p/AF1QipP6r1xTm1n6d9Ur_jtN3VEv_zaPhWMZ79VLK1qd=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KY2xnbjaOZw5MRPCNcKy2QhQ&daddr=Preminses+No+113/168,+First+Floor,+Swaroop+Nagar,+Kanpur,+Uttar+Pradesh+208002&ved=2ahUKEwjk8dHAl7mEAxUJ1YQAHekdBM0Q48ADegUIABCHAQ","Preminses No 113/168, First Floor, Swaroop Nagar, Kanpur, Uttar Pradesh 208002",26.483355089522,80.312572656148,4.4,6:30 PM
