Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
Z Square Mall,7311129410,https://lh5.googleusercontent.com/p/AF1QipO7PEirCyRkfMa1v2wxkjQiDf7qfT2VLVKh2fmg=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYs6YEWmOJw5MdVPrGNfrhlv&daddr=Civil+Lines,+Kanpur,+Uttar+Pradesh+208001&ved=2ahUKEwjn1ZjgoLmEAxUm1IQAHTAKA7MQ48ADegQIABAq","Civil Lines, Kanpur, Uttar Pradesh 208001",26.478688647409,80.348213767941,4.4,10:00 PM
Rave 3 Mall,5122555050,https://lh5.googleusercontent.com/p/AF1QipM8jQsMfBkB2J-OjDBcxBCEEyTKXiZNJxqHNaYY=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSfNjVrzOJw5MT2Bq8tZwkaF&daddr=Plot+No.+11,+Block,+No.+6,+Parwati+Bagla+Rd,+Permat,+Kanpur,+Uttar+Pradesh+208002&ved=2ahUKEwjn1ZjgoLmEAxUm1IQAHTAKA7MQ48ADegQIABAz","Plot No. 11, Block, No. 6, Parwati Bagla Rd, Permat, Kanpur, Uttar Pradesh 208002",26.487910010148,80.336409993626,4.1,6:30 PM
Rave@Moti Mall,5122386250,https://lh5.googleusercontent.com/p/AF1QipPo-_niZWbgwSGN02axpYCmoHl6k5UuwkcloCXP=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KX-sPMNsOJw5MbVNzo8m9h46&daddr=117+/+K+/+13,+Gutaiya,+Moti+Vihar+Society,+Rawat+Pur,+Kanpur,+Uttar+Pradesh+208025&ved=2ahUKEwjn1ZjgoLmEAxUm1IQAHTAKA7MQ48ADegQIABA9","117 / K / 13, Gutaiya, Moti Vihar Society, Rawat Pur, Kanpur, Uttar Pradesh 208025",26.481487553617,80.299301008395,4.1,09:00 PM
Mega Mall,5122595901,https://lh5.googleusercontent.com/p/AF1QipNYtWYEWVq7ykbw8tAy6O8jDz8ewzbxb7MHiP9C=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUva_WtRR5w5MXkx6exbh3jx&daddr=Noronha+Crossing,+Mega+Mall,+63/2C,+The+Mall+Rd,+Canal+Patri,+Kanpur,+Uttar+Pradesh+208001&ved=2ahUKEwjn1ZjgoLmEAxUm1IQAHTAKA7MQ48ADegQIABBH","Noronha Crossing, Mega Mall, 63/2C, The Mall Rd, Canal Patri, Kanpur, Uttar Pradesh 208001",26.474459989217,80.343479961317,3.8,6:30 PM
"NEW SHOPPING CENTER, IIT KANPUR",5122326576,https://lh5.googleusercontent.com/p/AF1QipPpc9vswEhxgseHcFadXg55zFI32lGdS7V7pmKX=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZf_48RUNpw5MXeZuAgtON_S&daddr=Kalyanpur,+Kanpur,+Uttar+Pradesh+208016&ved=2ahUKEwjn1ZjgoLmEAxUm1IQAHTAKA7MQ48ADegQIABBQ","Kalyanpur, Kanpur, Uttar Pradesh 208016",26.511507145582,80.234758834964,4.4,05:00 PM
Ratan Mall,9044055215,https://lh5.googleusercontent.com/p/AF1QipPH78XBwGSaj2CiH-s8naSU-1o_YjIvSG-unejg=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZloG1WfOJw5MTCfdmmVuB9I&daddr=67,+Mall+Rd,+P.P.N+Market,+Permat,+Kanpur,+Uttar+Pradesh+208001&ved=2ahUKEwjn1ZjgoLmEAxUm1IQAHTAKA7MQ48ADegQIABBZ","67, Mall Rd, P.P.N Market, Permat, Kanpur, Uttar Pradesh 208001",26.463449982211,80.3591899948,3.4,6:30 PM
Rahmani Market,8574791055,https://lh5.googleusercontent.com/p/AF1QipOrIYpobS2-2in_txO15OW-egwlQ8hiwSIAS6Wq=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdcQSvfSOZw5MQ80ERwwqeW_&daddr=Shop+No,+Rahmani+Market,+13-B,+Maulana+Hasrat+Mohani+St,+Talaq+Mahal,+Colonelganj,+Kanpur,+Uttar+Pradesh+208001&ved=2ahUKEwjn1ZjgoLmEAxUm1IQAHTAKA7MQ48ADegQIABBh","Shop No, Rahmani Market, 13-B, Maulana Hasrat Mohani St, Talaq Mahal, Colonelganj, Kanpur, Uttar Pradesh 208001",26.471893632511,80.340693643414,4.1,11:00 PM
Best mall,18001231555,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Hp7sw_qKu5zX0cEKPUaZmw&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=348.37823&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KX-aLypiR5w5MZpsRv0qYtJO&daddr=C923%2BV3P,+New+Azad+Nagar,+Daheli+Sujanpur,+Kanpur,+Uttar+Pradesh+208011&ved=2ahUKEwjn1ZjgoLmEAxUm1IQAHTAKA7MQ48ADegQIABBp","C923+V3P, New Azad Nagar, Daheli Sujanpur, Kanpur, Uttar Pradesh 208011",26.401186056947,80.352981902693,3.5,6:30 PM
Ganges Mall,9958884026,https://lh5.googleusercontent.com/p/AF1QipPEeg1jrHHPSX5SCWKrmJZf22c13Z2zy-OFCQr7=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kd9BrYdqR5w5MeDqgMIfg1Wh&daddr=C8XV%2BJF2,+GT+Road+Tat+Mill+Chouraha,+Tat+Mill,+Ganges+Nagar,+Kanpur,+Uttar+Pradesh+208004&ved=2ahUKEwjn1ZjgoLmEAxUm1IQAHTAKA7MQ48ADegQIABBx","C8XV+JF2, GT Road Tat Mill Chouraha, Tat Mill, Ganges Nagar, Kanpur, Uttar Pradesh 208004",26.454560009974,80.33613003806,3.9,09:00 PM
"A to Z Shopping Mall | Readymade Garments of Women's, Men's, Kids Wear",5122303404,https://lh5.googleusercontent.com/p/AF1QipMiKiVu36bYnBskiHP0hCmI80JGiX3YkpAFmq89=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kee9ZJqCR5w5MR5V5RpMzOPP&daddr=Sisamau+Bazaar+Rd,+Sishaman+Bazar,+Sisamau+Bazar,+Nehru+Nagar,+Jawahar+Nagar,+Kanpur,+Uttar+Pradesh+208012&ved=2ahUKEwjn1ZjgoLmEAxUm1IQAHTAKA7MQ48ADegQIABB6","Sisamau Bazaar Rd, Sishaman Bazar, Sisamau Bazar, Nehru Nagar, Jawahar Nagar, Kanpur, Uttar Pradesh 208012",26.466608931991,80.321940338443,4,6:30 PM
