Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
Education In Kolkata Distance and Regular Consultancy In Kolkata (BASE),9831777664,https://lh5.googleusercontent.com/p/AF1QipNs_Yfc-zfePYbM_Qi0_TrJdZdG2iB3qBWwnBar=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbWkQdl6dwI6Me5ckF1o9NOM&daddr=64/1Bidhan+Nagar+road+Dhar+bagan,+near+Care+hospital,+Ultadanga,+Kolkata,+West+Bengal+700067&ved=2ahUKEwiyy9ya3bmEAxWiy4QAHRmbCCoQ48ADegQIABAr","64/1Bidhan Nagar road Dhar bagan, near Care hospital, Ultadanga, Kolkata, West Bengal 700067",22.595789992528,88.381029995336,5,6:30 PM
EDUCATION BOARD OF VOCATIONAL TRAINING AND DEVELOPMENT,9831268634,https://lh5.googleusercontent.com/p/AF1QipMtrPYd-20Z5ADZvgcIHrs7E1N1jZH9yFOe9DcS=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZV9BN3RdwI6MUfb7ofIH0Dd&daddr=1st+Floor,+238+B,+Acharya+Jagdish+Chandra+Bose+Rd,+Sreepally,+Elgin,+Kolkata,+West+Bengal+700020&ved=2ahUKEwiyy9ya3bmEAxWiy4QAHRmbCCoQ48ADegQIABA1","1st Floor, 238 B, Acharya Jagdish Chandra Bose Rd, Sreepally, Elgin, Kolkata, West Bengal 700020",22.541362309992,88.351089879099,5,6:30 PM
B.Ed & D.El.Ed College ( Kolkata Edu Care),9007678811,https://lh5.googleusercontent.com/p/AF1QipNzEOjLSTB0yCdVvSKLdafAe3GQwD5r7m9BO1xm=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZWscJQDdwI6MXPs4q-7ICah&daddr=13,+Dr+Kartik+Bose+St,+near+University+Carmichael+Hostel,+Sealdah,+Baithakkhana,+Kolkata,+West+Bengal+700009&ved=2ahUKEwiyy9ya3bmEAxWiy4QAHRmbCCoQ48ADegQIABA-","13, Dr Kartik Bose St, near University Carmichael Hostel, Sealdah, Baithakkhana, Kolkata, West Bengal 700009",22.584239981409,88.364140041342,5,06:00 PM
St. Valentine Institute (Distance Education),6289886238,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tjUqndascXbwraK0A1IC-g&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=205.08351&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUF1fXfUdgI6MbAxYiY1wI5C&daddr=1/1,+Fern+Rd,+NEAR+Bengal+Favorites,+Ballygunge+Gardens,+Gariahat,+Kolkata,+West+Bengal+700019&ved=2ahUKEwiyy9ya3bmEAxWiy4QAHRmbCCoQ48ADegQIABBG","1/1, Fern Rd, NEAR Bengal Favorites, Ballygunge Gardens, Gariahat, Kolkata, West Bengal 700019",22.519910006095,88.367390040479,4.3,6:30 PM
National Educational Institute (Branch -3) B.Ed /D.EL.Ed /Teacher Traning,9062443206,https://lh5.googleusercontent.com/p/AF1QipOqZoscIRyg7sjskU7BMfHVQZiDZ2Ch0xjov7E=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQk_qeX4cQI6MbI_cUdz1aWd&daddr=39,+Nehru+Colony,+Ashok+Nagar,+Tollygunge,+Kolkata,+West+Bengal+700040&ved=2ahUKEwiyy9ya3bmEAxWiy4QAHRmbCCoQ48ADegQIABBO","39, Nehru Colony, Ashok Nagar, Tollygunge, Kolkata, West Bengal 700040",22.485941543498,88.349296262385,5,08:00 PM
Ruprit Educare| Best Distance & Regular Admission Consultancy In South Kolkata,9748464507,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zmzDmhZty54DlBOc2eWSAQ&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=157.42899&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KU8vtX6WcAI6MVsicNPkaB7u&daddr=169B,+Block+J,+Sahapur,+New+Alipore,+Kolkata,+West+Bengal+700053&ved=2ahUKEwiyy9ya3bmEAxWiy4QAHRmbCCoQ48ADegQIABBX","169B, Block J, Sahapur, New Alipore, Kolkata, West Bengal 700053",22.512366808321,88.329245559333,4.9,6:30 PM
KRISHNA EDUCARE - Distance learning centre in kolkata,9874478957,https://lh5.googleusercontent.com/p/AF1QipOL13ehCR9DglRin-zR7hfQ168XKbbBqv1EXN8=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdWFnca0dgI6MU3Ll9EN8orB&daddr=punjan+motos+ruby+park,+Kasba,+Kolkata,+West+Bengal+700042&ved=2ahUKEwiyy9ya3bmEAxWiy4QAHRmbCCoQ48ADegQIABBi","punjan motos ruby park, Kasba, Kolkata, West Bengal 700042",22.519122301908,88.381681183828,4.1,6:30 PM
Asian College of Teachers,9831533530,https://lh5.googleusercontent.com/p/AF1QipMKvX_aBF0eQ2L_FQ2N78elb6kLxRV8c8OHK_yV=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KfWN_qI2G3ZIMbtC-Ie_enOL&daddr=14th+Floor,+Merlin+Acropolis,+Unit+No.+15/4,+1858/1,+Rajdanga+Main+Rd,+Kolkata,+West+Bengal+700107&ved=2ahUKEwiyy9ya3bmEAxWiy4QAHRmbCCoQ48ADegQIABBs","14th Floor, Merlin Acropolis, Unit No. 15/4, 1858/1, Rajdanga Main Rd, Kolkata, West Bengal 700107",22.515009987408,88.393170008619,4.7,06:00 PM
Guide Education Center,9330359741,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xZ9qu8JZzV1CTgpyf6bQOw&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=146.40538&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KR9lXnqacQI6MSMDPczGZUJa&daddr=Guide+Education+Center,+38,+Kabir+Rd,+opposite+to+Noodle+Doodle+Restaurant,+Bhowanipore,+Lake+Range,+Kalighat,+Kolkata,+West+Bengal+700026&ved=2ahUKEwiyy9ya3bmEAxWiy4QAHRmbCCoQ48ADegQIABBz","Guide Education Center, 38, Kabir Rd, opposite to Noodle Doodle Restaurant, Bhowanipore, Lake Range, Kalighat, Kolkata, West Bengal 700026",22.51206999296,88.349159987806,5,6:30 PM
"B.Ed College in Kolkata (National Educational Institute) B.Ed ,D.EL.Ed ,NIOS and Teacher Training College",9674334083,https://lh5.googleusercontent.com/p/AF1QipORdfak4QpkKIsvUhMByKlY5mJDDDfWVMe2NjK1=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KalxQSIxdwI6MZW3uX9tzUlf&daddr=200/3A,+Rash+Behari+Ave,+near+Sher-E-Bengal,+Golpark,+Hindustan+Park,+Gariahat,+Kolkata,+West+Bengal+700029&ved=2ahUKEwiyy9ya3bmEAxWiy4QAHRmbCCoQ48ADegQIABB7","200/3A, Rash Behari Ave, near Sher-E-Bengal, Golpark, Hindustan Park, Gariahat, Kolkata, West Bengal 700029",22.518869979549,88.362510012632,5,6:30 PM
