Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
HCAH INDIA,18001024224,https://lh5.googleusercontent.com/p/AF1QipPeyO_ALVNdrElvxWRsyWHtWOxjox09TroIvwgj=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVcLLY--dwI6MeGsvm38dmES&daddr=D-52,+Sammilani+Park+Rd,+Hiland+Park,+Survey+Park,+Santoshpur,+Kolkata,+West+Bengal+700075&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegQIABAp","D-52, Sammilani Park Rd, Hiland Park, Survey Park, Santoshpur, Kolkata, West Bengal 700075",22.487135083046,88.389476804677,4.8,6:30 PM
Apollo HomeCare - Best Home Healthcare Services in Kolkata,18001028586,https://lh5.googleusercontent.com/p/AF1QipPS-d1XvTfw5lBLKX38NtCdavuQsYIhm5PFhl4U=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWUPjyMfdwI6Mb8QhAwAnCmD&daddr=238B,+2nd+floor,+and,+Acharya+Jagdish+Chandra+Bose+Rd,+opposite+foot+of+Haldirams,+opposite+to+Horizon+Building,+Elgin,+Kolkata,+West+Bengal+700020&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegQIABAx","238B, 2nd floor, and, Acharya Jagdish Chandra Bose Rd, opposite foot of Haldirams, opposite to Horizon Building, Elgin, Kolkata, West Bengal 700020",22.541520684819,88.348106980433,4.8,08:00 PM
Home Health Care,9134998997,https://lh5.googleusercontent.com/p/AF1QipNgjpnwvKrFo4-gsUltdOKx76uMCCGO1JIgnkr-=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYUmx8XicQI6MYVsJK-TsIxo&daddr=1/15,+Rajendra+Prasad+Colony,+Tollygunge,+Kolkata,+West+Bengal+700033&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegQIABA5","1/15, Rajendra Prasad Colony, Tollygunge, Kolkata, West Bengal 700033",22.500551892013,88.35205412285,5,09:00 PM
DiagnoEasy Healthtech | Home Healthcare Services in Kolkata,7292042921,https://lh5.googleusercontent.com/p/AF1QipPjpAYpT_bit4SyCoiigiWpHxhPC1v6FSpThtL1=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUMo-8yJcQI6MXWP2kjRCcHT&daddr=4th+Floor,+Sunrise+Apartment,+202+B,+Jodhpur+Park,+Kolkata,+West+Bengal+700068&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegQIABBB","4th Floor, Sunrise Apartment, 202 B, Jodhpur Park, Kolkata, West Bengal 700068",22.505871833811,88.363862979949,5,6:30 PM
RxVital Healthcare Pvt Ltd,18005729297,https://lh5.googleusercontent.com/p/AF1QipPYWOJ-35Ch_nC6YlgfA86NTQi_qW6te2WnsgJC=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KcMb-670cQI6MVoClz4ZDM3e&daddr=Bus+Stop,+844+Purbachal+Main+Road,+Prince+Anwar+Shah+Rd,+near+Gitanjali+Park,+Kolkata,+West+Bengal+700078&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegQIABBJ","Bus Stop, 844 Purbachal Main Road, Prince Anwar Shah Rd, near Gitanjali Park, Kolkata, West Bengal 700078",22.590369474774,88.408126842357,4.4,08:00 PM
Evolution healthcare Pvt. Ltd. Kolkata,8045132205,https://lh5.googleusercontent.com/p/AF1QipPPdpZ80WKS4iLTwPXBotP9o14qtYKMi1BRYUpv=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbvD9ZgbAfk5MQPfpZVG7qYR&daddr=40,shanti+pally,+Block-BA,+Plot+no17,+PO-EKTP,+P.S:-Kasab,+near+Meghalaya+House,+West+Bengal+700107&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegQIABBR","40,shanti pally, Block-BA, Plot no17, PO-EKTP, P.S:-Kasab, near Meghalaya House, West Bengal 700107",22.516050209452,88.394351418432,4.9,06:00 PM
Leela Healthcare,8017926250,https://lh5.googleusercontent.com/p/AF1QipNWGBvs_nyaCKbi-8c4mwaWpwpSEAZ_K1oT0uEg=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KeesqKy0dwI6MXCsZbdFwCaR&daddr=4C,+Rajshekhar+Bose+Sarani,+Bakul+Bagan,+Bhowanipore,+Kolkata,+West+Bengal+700025&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegQIABBY","4C, Rajshekhar Bose Sarani, Bakul Bagan, Bhowanipore, Kolkata, West Bengal 700025",22.540096690602,88.337812358938,4.6,08:00 PM
Golf View Healthcare & Research Institute,9948007000,https://lh5.googleusercontent.com/p/AF1QipMxGox7atfKlx6xyBUdCpBVSG3TAIf6EHpu2hcP=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbGC_EXtcQI6MRgJJb_QIvqc&daddr=1F,+Golf+Club+Rd,+Golf+Gardens,+Tollygunge,+Kolkata,+West+Bengal+700033&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegQIABBg","1F, Golf Club Rd, Golf Gardens, Tollygunge, Kolkata, West Bengal 700033",22.49695000355,88.346090031949,4.8,08:00 PM
LIVEFLY HEALTH CARE,3346041975,https://lh5.googleusercontent.com/p/AF1QipOrwwY6UUt-MANbaW87WWSOlk98UeGXGsrnX8vv=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KfsdhGrHnfg5MSXcFd0Aw-kj&daddr=47,+Roy+Mallick+Colony,+Dum+Dum+Opposit+to+st.+mary+school,+Dum+Dum,+Kolkata,+West+Bengal+700030&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegQIABBo","47, Roy Mallick Colony, Dum Dum Opposit to st. mary school, Dum Dum, Kolkata, West Bengal 700030",22.620494645751,88.390134723434,4.8,12:00 AM
Care Continuum,7044074009,https://lh5.googleusercontent.com/p/AF1QipMU01IKWm3y-ijT1Tsa4RahKir8O68iFBjQc38v=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRlqXV0rcQI6MSERrzjV0Uwr&daddr=28B,+Gariahat+Rd,+Golpark,+Hindustan+Park,+Gariahat,+Kolkata,+West+Bengal+700029&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegQIABBw","28B, Gariahat Rd, Golpark, Hindustan Park, Gariahat, Kolkata, West Bengal 700029",22.514840002411,88.367189964451,4.6,6:30 PM
Sri Healthcare-Research International (SHRI),8811046995,https://lh5.googleusercontent.com/p/AF1QipM--gkOei1ZwAtCZuMR5fj2YL6x34kWXljYsbSu=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KR26k1iVcQI6Mb82sSoIXJmS&daddr=1/3,+Ashirbad+Apartment,+316+P.+Majumdar+Road,+78,+P.+O,+Kasba,+Kolkata,+West+Bengal+700078&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegQIABB4","1/3, Ashirbad Apartment, 316 P. Majumdar Road, 78, P. O, Kasba, Kolkata, West Bengal 700078",22.513817458856,88.379080606192,5,06:00 PM
MY HOME HEALTH,8334840005,https://lh5.googleusercontent.com/p/AF1QipPHcoua2c1yPrFnKgBZewRqCYkI-B5-LZCbMp8_=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KeP3phKFnfg5MZXEgVKpv2z_&daddr=88E,+Dum+Dum+Rd,+Jheel+Bagan,+Kolkata,+West+Bengal+700030&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegUIABCAAQ","88E, Dum Dum Rd, Jheel Bagan, Kolkata, West Bengal 700030",22.618874990204,88.388215004647,4.9,08:00 PM
Ashwini Healthcare,9830070641,https://lh5.googleusercontent.com/p/AF1QipP6C43S3GdA8N6_yU6jst1m7rhH_qwDOF9rDeXI=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbMo6LZunvg5MQv75zW0vob0&daddr=245,+Kalibari+Rd,+Nalta,+Rajbari,+Dum+Dum,+Kolkata,+West+Bengal+700028&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegUIABCLAQ","245, Kalibari Rd, Nalta, Rajbari, Dum Dum, Kolkata, West Bengal 700028",22.646133630593,88.417595280999,5,6:30 PM
"Unique Health Care - Home Care Service,Nurse Provider, Aya,Oxygen Cylinder South City Mall,Jadavpur ,Lake Gardens",7439545554,https://lh5.googleusercontent.com/p/AF1QipN6OdaggGQdD6wVxMnGEEiIOTcuivhgLUE1-FQ=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KX8SOCVscQI6MXWEyjWH5rg_&daddr=122A/1,Prince+Gulam+Hussain+Shah+Road+Near+Poddar+Nagar+Market,+South+City+Complex,+Mall,+Kolkata,+West+Bengal+700032&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegUIABCSAQ","122A/1,Prince Gulam Hussain Shah Road Near Poddar Nagar Market, South City Complex, Mall, Kolkata, West Bengal 700032",22.502027039527,88.359735628074,4.9,6:30 PM
Sanitas Healthcare and Diagnostic,9830363622,https://lh5.googleusercontent.com/p/AF1QipPCUIjLiC3EA8KYFr098H9FoqesGGFGz-HXZuRW=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KV0vDQVWcwI6MUw-GL5a3EzA&daddr=125,+Hussainpur+Main+Rd,+Madurdaha,+Hussainpur,+Kolkata,+West+Bengal+700107&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegUIABCaAQ","125, Hussainpur Main Rd, Madurdaha, Hussainpur, Kolkata, West Bengal 700107",22.514935,88.4025972,4.7,6:30 PM
MADRE Healthcare - Medical Tourism Agency and Healthcare Facilitator,9239415064,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8avK3tVsTA5xnsbQFPaBbw&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=121.58271&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KW3s3kkrdQI6MYYrvAsqFu1Y&daddr=Swapnonir,+Ground+Floor,+Shani+Mandir,+4/4,+Seth+Bagan+Rd,+near+Seth+Bagan,+Seth+Bagan,+Ghughudanga,+Dum+Dum,+South+Dumdum,+West+Bengal+700030&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegUIABChAQ","Swapnonir, Ground Floor, Shani Mandir, 4/4, Seth Bagan Rd, near Seth Bagan, Seth Bagan, Ghughudanga, Dum Dum, South Dumdum, West Bengal 700030",22.616130000733,88.395050027592,4.8,06:00 PM
R.A. HEALTHCARE,9830033334,https://lh5.googleusercontent.com/p/AF1QipM08hsQ4RBqzDPn2ItzDWlR9cU2GIw0D7Lm_dyp=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRkdm3UVcQI6MYOp0K7USD07&daddr=APOLLO+DIAGONOSTICS+OUR+PATHOLOGY+PARTNER,+D+-93,+Raja+Subodh+Chandra+Mallick+Rd,+near+47+PALLY+CLUB,+Ramgarh,+KOL+47,+Kolkata,+West+Bengal+700047&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegUIABCpAQ","APOLLO DIAGONOSTICS OUR PATHOLOGY PARTNER, D -93, Raja Subodh Chandra Mallick Rd, near 47 PALLY CLUB, Ramgarh, KOL 47, Kolkata, West Bengal 700047",22.502757932863,88.367987599034,4.5,07:00 PM
Midas Cure: Home Health Care | Elder Care Services | Wellness & Senior Citizen Care Kolkata | Physiotherapy Clinic & Center,9073737399,https://lh5.googleusercontent.com/p/AF1QipNyoVMY0IriGIRk00XQmNDylhm9g2DRGYv6cRsr=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRfLUjg6dwI6MZDzr97ZnQiO&daddr=1,+Townsend+Road,+Bhawanipur,+Kolkata,+West+Bengal+700025&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegUIABCwAQ","1, Townsend Road, Bhawanipur, Kolkata, West Bengal 700025",22.526540007687,88.346550030795,4.5,09:00 PM
TVR HEALTHCARE | Best Diagnostic Center in Park Street | Blood Test Report | Cancer Care | Xray | USG Test,6292269060,https://lh5.googleusercontent.com/p/AF1QipPiUuV8cmfTtKB3VvlBhlSoeDrVUpx6pIKIMyMJ=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVM91w7LdwI6MZlQuHg3j-0g&daddr=Ground+Floor,+87B,+Elliot+Rd,+Taltala,+Kolkata,+West+Bengal+700016&ved=2ahUKEwj60fjb4LmEAxWJ2oQAHSilC6cQ48ADegUIABC6AQ","Ground Floor, 87B, Elliot Rd, Taltala, Kolkata, West Bengal 700016",22.55112564482,88.359278323856,4.8,06:00 PM
The Life Health Care Diagnostic Centre,8327431053,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=k5zAsv3EZRHlTK7hjrL0VA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=359.10785&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUcZI-NSdgI6MWEKzuyG5OHU&daddr=18b,+Radha+Nath+Mullick+Ln,+Newland,+Bowbazar,+Kolkata,+West+Bengal+700012&ved=2ahUKEwiu84X24LmEAxW-4oQAHfkJDNQQ48ADegQIABAo","18b, Radha Nath Mullick Ln, Newland, Bowbazar, Kolkata, West Bengal 700012",22.573000016889,88.364269960841,5,6:30 PM
Home Healthcare Services Co,9433090251,https://lh5.googleusercontent.com/p/AF1QipMTASqTTahaTRf1xNNcy-6dZwe_oTY2A1cxZk42=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRsKZL8AdwI6MSZNbgW45HFk&daddr=FE5,+Sector+3,+Salt+Lake,+Kolkata,+700106&ved=2ahUKEwiu84X24LmEAxW-4oQAHfkJDNQQ48ADegQIABAv","FE5, Sector 3, Salt Lake, Kolkata, 700106",22.576257915657,88.4168194844,1,09:00 PM
HEALTH DRIVE CONSULTANCY PVT LTD,9804461252,https://lh5.googleusercontent.com/p/AF1QipPr15tYUzmpCvtDMgVVEjdgHbArYGejmq1qKi4I=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KT8bY0wRdwI6McN5qQI1L_Mz&daddr=Air+Conditioned+Market,+Suite+No-6H+6th+Floor,+1,+Shakespeare+Sarani,+Kolkata,+West+Bengal+700071&ved=2ahUKEwiu84X24LmEAxW-4oQAHfkJDNQQ48ADegQIABA3","Air Conditioned Market, Suite No-6H 6th Floor, 1, Shakespeare Sarani, Kolkata, West Bengal 700071",22.544059987433,88.361209979449,4.1,6:30 PM
Health Care Diagnostic Centre,9800067284,https://lh5.googleusercontent.com/p/AF1QipMU01IKWm3y-ijT1Tsa4RahKir8O68iFBjQc38v=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ka8wh8lPdgI6MQc6IUsBEiU1&daddr=No.+138,+Keshab+Residency,+Keshab+Chandra+Sen+St,+College+Street+Bata,+Baithakkhana,+Kolkata,+West+Bengal+700009&ved=2ahUKEwiu84X24LmEAxW-4oQAHfkJDNQQ48ADegQIABA_","No. 138, Keshab Residency, Keshab Chandra Sen St, College Street Bata, Baithakkhana, Kolkata, West Bengal 700009",22.577724221821,88.369474198219,4.6,6:30 PM
Adi Home Health Care,7044074009,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9KMwM4rrxMLF_6Eoo-Ftjg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=123.50246&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXPwuO9mcQI6MRn-lqgE1je9&daddr=2nd+Floor,+C/326,+Bapuji+Nagar,+Sulekha,+Kolkata,+West+Bengal+700092&ved=2ahUKEwiu84X24LmEAxW-4oQAHfkJDNQQ48ADegQIABBJ","2nd Floor, C/326, Bapuji Nagar, Sulekha, Kolkata, West Bengal 700092",22.487169716525,88.369655119509,5,6:30 PM
Care Continuum,9284462236,https://lh5.googleusercontent.com/p/AF1QipOv6PGSz0puRdEHHQ0z7zjkLL0BBVWVPHvOF_jC=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRlqXV0rcQI6MSERrzjV0Uwr&daddr=28B,+Gariahat+Rd,+Golpark,+Hindustan+Park,+Gariahat,+Kolkata,+West+Bengal+700029&ved=2ahUKEwiu84X24LmEAxW-4oQAHfkJDNQQ48ADegQIABBT","28B, Gariahat Rd, Golpark, Hindustan Park, Gariahat, Kolkata, West Bengal 700029",22.514840002411,88.367189964451,4.9,6:30 PM
Health Assist,8240565657,https://lh5.googleusercontent.com/p/AF1QipPHcoua2c1yPrFnKgBZewRqCYkI-B5-LZCbMp8_=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KauqOlkDdwI6Mc9NlBKv4qxe&daddr=2nd+Floor,+7,+Elliot+Rd,+Taltala,+Kolkata,+West+Bengal+700016&ved=2ahUKEwiu84X24LmEAxW-4oQAHfkJDNQQ48ADegQIABBa","2nd Floor, 7, Elliot Rd, Taltala, Kolkata, West Bengal 700016",22.553080004897,88.358310008588,4.8,6:30 PM
PureLife - Home Health Care & Elder Care Service,8334840005,https://lh5.googleusercontent.com/p/AF1QipPev65TS8njj8gtgNDKW-f4ZVPN5JOYM-WIENk4=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KauqqrpfcAI6MRPFMmvMQPtg&daddr=117,+School+Rd,+Sahapara,+Purba+Putiary,+Kolkata,+West+Bengal+700093&ved=2ahUKEwiu84X24LmEAxW-4oQAHfkJDNQQ48ADegQIABBi","117, School Rd, Sahapara, Purba Putiary, Kolkata, West Bengal 700093",22.475135237932,88.346478743341,4.8,6:30 PM
MY HOME HEALTH,9007753377,https://lh5.googleusercontent.com/p/AF1QipOrwwY6UUt-MANbaW87WWSOlk98UeGXGsrnX8vv=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KeP3phKFnfg5MZXEgVKpv2z_&daddr=88E,+Dum+Dum+Rd,+Jheel+Bagan,+Kolkata,+West+Bengal+700030&ved=2ahUKEwiu84X24LmEAxW-4oQAHfkJDNQQ48ADegQIABBq","88E, Dum Dum Rd, Jheel Bagan, Kolkata, West Bengal 700030",22.618874990204,88.388215004647,5,08:00 PM
Arihant Health Care,3346041975,https://lh5.googleusercontent.com/p/AF1QipOyIjQNkgmoC5h-PnzMhoKsLm-6SFIaqlrcnc24=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYklEwS2dwI6MdxyJvIOp7Av&daddr=46,+Hem+Chandra+Naskar+Rd,+opposite+Jora+Petrol+Pump,+Sura+Cross+Lane,+Phool+Bagan,+Beleghata,+Kolkata,+West+Bengal+700010&ved=2ahUKEwiu84X24LmEAxW-4oQAHfkJDNQQ48ADegQIABBx","46, Hem Chandra Naskar Rd, opposite Jora Petrol Pump, Sura Cross Lane, Phool Bagan, Beleghata, Kolkata, West Bengal 700010",22.567378308474,88.392392881984,4.3,6:30 PM
LIVEFLY HEALTH CARE,7059935179,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QRWzmK2W1noRtwYE-k_moA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=229.17746&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KfsdhGrHnfg5MSXcFd0Aw-kj&daddr=47,+Roy+Mallick+Colony,+Dum+Dum+Opposit+to+st.+mary+school,+Dum+Dum,+Kolkata,+West+Bengal+700030&ved=2ahUKEwiu84X24LmEAxW-4oQAHfkJDNQQ48ADegQIABB5","47, Roy Mallick Colony, Dum Dum Opposit to st. mary school, Dum Dum, Kolkata, West Bengal 700030",22.620494645751,88.390134723434,3.5,12:00 AM
Melhor Healthcare Pvt Ltd.,9831369698,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hR6-ASwsgeu9nH5aGjreow&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=156.30733&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ke3sPSY5dwI6MSoFO8B11d1h&daddr=1,Indra+Roy+Road,Bhawanipur,Kolkata-+700025,+Kolkata,+West+Bengal+700025&ved=2ahUKEwiu84X24LmEAxW-4oQAHfkJDNQQ48ADegUIABCAAQ","1,Indra Roy Road,Bhawanipur,Kolkata- 700025, Kolkata, West Bengal 700025",22.516979986111,88.337609976687,5,6:30 PM
SEOK Healthcare Pvt. Ltd.,2233993939,https://lh5.googleusercontent.com/p/AF1QipPsVzVA0Jj2B4iv68RUVM8FffaxO4t2Av3lwdEo=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUnyEuzNdQI6MX670eBICxxR&daddr=7+8,+JC+Block+Ln,+JC+Block,+Sector+3,+Bidhannagar,+Kolkata,+West+Bengal+700098&ved=2ahUKEwiu84X24LmEAxW-4oQAHfkJDNQQ48ADegUIABCIAQ","7 8, JC Block Ln, JC Block, Sector 3, Bidhannagar, Kolkata, West Bengal 700098",22.56898924605,88.413200717183,4.9,08:00 PM
Metropolis Healthcare Ltd,9830810040,https://lh5.googleusercontent.com/p/AF1QipOefHRfakNKyJJwaIDn_Svq8x3S-Zt9sOPM2fci=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYmAVtqsdwI6MZdyI_hq4xxf&daddr=7+Arindam+Apartment,+Fartabad+More,+Kolkata,+West+Bengal+700001&ved=2ahUKEwiu84X24LmEAxW-4oQAHfkJDNQQ48ADegUIABCQAQ","7 Arindam Apartment, Fartabad More, Kolkata, West Bengal 700001",22.46338,88.38398,3.7,08:00 PM
Golf View Healthcare & Research Institute,9948007000,https://lh5.googleusercontent.com/p/AF1QipMxGox7atfKlx6xyBUdCpBVSG3TAIf6EHpu2hcP=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbGC_EXtcQI6MRgJJb_QIvqc&daddr=1F,+Golf+Club+Rd,+Golf+Gardens,+Tollygunge,+Kolkata,+West+Bengal+700033&ved=2ahUKEwjs8s-H4bmEAxUs0oQAHcyvAu4Q48ADegQIABAp","1F, Golf Club Rd, Golf Gardens, Tollygunge, Kolkata, West Bengal 700033",22.49695000355,88.346090031949,4.8,08:00 PM
Curis24x7 Homecare and Healthcare Services,9073247247,https://lh5.googleusercontent.com/p/AF1QipM05_qbaas2rHekct3QykMB5wmhsfotFtGQ8KsG=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaWzgxP5dQI6MTMDfqNVe54K&daddr=24,+JC+Block+Ln,+JC+Block,+Sector+3,+Bidhannagar,+Kolkata,+West+Bengal+700091&ved=2ahUKEwjs8s-H4bmEAxUs0oQAHcyvAu4Q48ADegQIABAx","24, JC Block Ln, JC Block, Sector 3, Bidhannagar, Kolkata, West Bengal 700091",22.592750435615,88.425244723147,5,10:00 PM
MediKana Health Care,7439646576,https://lh5.googleusercontent.com/p/AF1QipO2MwZ44zss4sVt5zEt5Zyci2ZvMWn3ioyQZ8na=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kc9Aw7ridgI6MW0vEkNdqfY4&daddr=Diamond+Prestige,+180,+Acharya+Jagdish+Chandra+Bose+Rd,+Beniapukur,+Kolkata,+West+Bengal+700014&ved=2ahUKEwjs8s-H4bmEAxUs0oQAHcyvAu4Q48ADegQIABA4","Diamond Prestige, 180, Acharya Jagdish Chandra Bose Rd, Beniapukur, Kolkata, West Bengal 700014",22.552313157888,88.36459794661,4.7,10:00 PM
