Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
HomeTriangle,7676000100,https://lh5.googleusercontent.com/p/AF1QipPq1SbjVnMFxlfGH88J2CbnCJWF0lEFfeFlpM2o=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZEMu6wWdwI6MUkOgayZA4vK&daddr=21/2g,+Manohar+Pukur+Rd,+Dover+Terrace,+Ballygunge,+Kolkata,+West+Bengal+700029&ved=2ahUKEwiOg4aX37mEAxX054QAHXzUB3kQ48ADegQIABA3","21/2g, Manohar Pukur Rd, Dover Terrace, Ballygunge, Kolkata, West Bengal 700029",22.522320012805,88.347459970204,4.3,6:30 PM
Home Cleaning A - Z Solution,8240122600,https://lh5.googleusercontent.com/p/AF1QipPrvD3Mcy1ue9fBBr2GPpmBx1ACDyMYaxYT206e=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWs2oO4XewI6MQwcqStw_4qb&daddr=207+F,+Thakurpukur+Rd,+near+UCO+Bank,+Thakurpukur+Bazar,+Thakurpukur,+Kolkata,+West+Bengal+700063&ved=2ahUKEwiOg4aX37mEAxX054QAHXzUB3kQ48ADegQIABBB","207 F, Thakurpukur Rd, near UCO Bank, Thakurpukur Bazar, Thakurpukur, Kolkata, West Bengal 700063",22.460290877212,88.302955214695,4.5,6:30 PM
Home Team,9831819424,https://lh5.googleusercontent.com/p/AF1QipNH1U0RNw3bWmQMTtgFEB9AshnyJjoszc6u1ACw=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWUPjyMfdwI6Mb8QhAwAnCmD&daddr=238B,+2nd+floor,+and,+Acharya+Jagdish+Chandra+Bose+Rd,+opposite+foot+of+Haldirams,+opposite+to+Horizon+Building,+Elgin,+Kolkata,+West+Bengal+700020&ved=2ahUKEwiOg4aX37mEAxX054QAHXzUB3kQ48ADegQIABBL","238B, 2nd floor, and, Acharya Jagdish Chandra Bose Rd, opposite foot of Haldirams, opposite to Horizon Building, Elgin, Kolkata, West Bengal 700020",22.541520684819,88.348106980433,4.8,6:30 PM
Apollo HomeCare - Best Home Healthcare Services in Kolkata,18001028586,https://lh5.googleusercontent.com/p/AF1QipPS-d1XvTfw5lBLKX38NtCdavuQsYIhm5PFhl4U=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWUkxqPbewI6MdzbwfBAZ3Mi&daddr=50,+Arabinda+pally,+Kasarir+Math,+Behala,+Kolkata,+West+Bengal+700034&ved=2ahUKEwiOg4aX37mEAxX054QAHXzUB3kQ48ADegQIABBU","50, Arabinda pally, Kasarir Math, Behala, Kolkata, West Bengal 700034",22.496274522824,88.317274464148,4.8,6:30 PM
HOME REPAIRING CENTRE,7003818998,https://lh5.googleusercontent.com/p/AF1QipOQCz9-zLr21cREJxyr-ti_f6FkXXSnb66rlQTn=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWvL9LA-dwI6MUEIG4u1H8Uo&daddr=8,+2,+Palm+Ave,+Ballygunge+Park,+Ballygunge,+Kolkata,+West+Bengal+700019&ved=2ahUKEwiOg4aX37mEAxX054QAHXzUB3kQ48ADegQIABBe","8, 2, Palm Ave, Ballygunge Park, Ballygunge, Kolkata, West Bengal 700019",22.532719984899,88.369760023602,5,09:00 PM
Home Care Solutions & Services,6290565471,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RZ1p4VxRywhhFkz1qNqMYA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=271.50845&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZ35FyWFdgI6MWqRU5TGaQvP&daddr=Mallick+Para,+2,+Dhapa+Rd,+near+KMC+Quarters,+Kolkata,+West+Bengal+700105&ved=2ahUKEwiOg4aX37mEAxX054QAHXzUB3kQ48ADegQIABBo","Mallick Para, 2, Dhapa Rd, near KMC Quarters, Kolkata, West Bengal 700105",22.553839992058,88.393920021315,5,6:30 PM
Knowledge Clap - Home Cleaning Services Kolkata,7890728155,https://lh5.googleusercontent.com/p/AF1QipOunDhy5eMtKovXX9Lob9om6rQoy4i46FWrwwD8=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaPK_qsBdwI6MWEvz_QlIPKQ&daddr=3/4+saap+gachi,+Second+Ln,+Picnic+Garden,+Kolkata,+West+Bengal+700039&ved=2ahUKEwiOg4aX37mEAxX054QAHXzUB3kQ48ADegQIABBx","3/4 saap gachi, Second Ln, Picnic Garden, Kolkata, West Bengal 700039",22.527645374784,88.378010457237,4.9,08:00 PM
HomeKrew Professional Service Expert,7003242824,https://lh5.googleusercontent.com/p/AF1QipNgMz3qhczysi1mcIu8trrqrsG1RK39pgjJo6j5=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQWNcZG4dQI6MTdLYMLh_lAL&daddr=Bihari+para,+Paschim+Chowbaga,+Kolkata,+West+Bengal+700105&ved=2ahUKEwiOg4aX37mEAxX054QAHXzUB3kQ48ADegQIABB6","Bihari para, Paschim Chowbaga, Kolkata, West Bengal 700105",22.52658,88.41146,4.5,6:30 PM
Best Deep Home Cleaning,6290712178,https://lh5.googleusercontent.com/p/AF1QipMjsp2ZhjwnE99_NfvAtIVFM_Kag5NEl0Ruaa0u=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYvQXi4keQI6MQ9SGcXNlZ9T&daddr=20B,+Nazir+Ln,+Khidirpur,+Kolkata,+West+Bengal+700023&ved=2ahUKEwiOg4aX37mEAxX054QAHXzUB3kQ48ADegUIABCBAQ","20B, Nazir Ln, Khidirpur, Kolkata, West Bengal 700023",22.542269990101,88.321610013173,4.1,10:00 PM
S.S Home Repair Solutions,9674637916,https://lh5.googleusercontent.com/p/AF1QipNXcYIahzapIZjbtEoI0yAMyeuwvj9IbJWohnOo=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYFuzNE3dwI6MbBQS4oGNTw3&daddr=25-d+harish+mukherjee+road,+25D,+Harish+Mukherjee+Rd,+Bhowanipore,+Kolkata,+West+Bengal+700025&ved=2ahUKEwiOg4aX37mEAxX054QAHXzUB3kQ48ADegUIABCLAQ","25-d harish mukherjee road, 25D, Harish Mukherjee Rd, Bhowanipore, Kolkata, West Bengal 700025",22.53540001462,88.344299992707,4.9,6:30 PM
TriBeCa Care,3366064208,https://lh5.googleusercontent.com/p/AF1QipOuD-lfYwRUppPERTrKuGglBuklSQq36fjECKET=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kd17kGnpcAI6Md9dDnl6yhrn&daddr=1/12+A,+Nehru+Colony,+PO,+Regent+Park,+Kolkata,+West+Bengal+700040&ved=2ahUKEwiOg4aX37mEAxX054QAHXzUB3kQ48ADegUIABCVAQ","1/12 A, Nehru Colony, PO, Regent Park, Kolkata, West Bengal 700040",22.485941543498,88.349296262385,4.8,08:00 PM
House Care Online,7890333300,https://lh5.googleusercontent.com/p/AF1QipNnCOql0vGuLPjs2ECLmRRJf71T1hSrurvYywWi=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQfWRE4YewI6MY3HHBBM2rIq&daddr=79,+Dr+KD+Mukherjee+Rd,+Behala,+Kolkata,+West+Bengal+700060&ved=2ahUKEwiOg4aX37mEAxX054QAHXzUB3kQ48ADegUIABCdAQ","79, Dr KD Mukherjee Rd, Behala, Kolkata, West Bengal 700060",22.506070017119,88.310750000324,4.4,6:30 PM
MAA HEALTH AND HOME CARE Aya Maid Domestic help Baby sitter Man servant Security Guard CAR rent centre,9903219614,https://lh5.googleusercontent.com/p/AF1QipMNynKPKuuX9AipxDdaHHt65H1_SEOH9jxYo6s=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRX5jG_mdwI6May8WcVoy4-J&daddr=6/H/5,+Chamru+Khansama+Ln,+Park+Circus,+Ballygunge,+Kolkata,+West+Bengal+700017&ved=2ahUKEwiOg4aX37mEAxX054QAHXzUB3kQ48ADegUIABCoAQ","6/H/5, Chamru Khansama Ln, Park Circus, Ballygunge, Kolkata, West Bengal 700017",22.535618800213,88.371571054306,4.9,6:30 PM
Hygiene Deep Cleaning Service,9874625758,https://lh5.googleusercontent.com/p/AF1QipNM-plzCXi0qNJGT8d9Qx3X7Pk3M6v5YOoHCsEO=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KcuB7nLKdwI6MWv4-10Y19BG&daddr=3rd+floor,+Jiwanram+Sheoduttrai,+30d,+Jawaharlal+Nehru+Rd,+Ballygunge,+Kolkata,+West+Bengal+700016&ved=2ahUKEwiOg4aX37mEAxX054QAHXzUB3kQ48ADegUIABCzAQ","3rd floor, Jiwanram Sheoduttrai, 30d, Jawaharlal Nehru Rd, Ballygunge, Kolkata, West Bengal 700016",22.555499986073,88.350270003243,4.8,6:30 PM
