Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
Rahaman Plumbing,8001032135,https://lh5.googleusercontent.com/p/AF1QipOmzaxwaKRtKxrDRqA0evVnEpz0Foh6jiLvzr9i=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kb2IPivLewI6MYFrLUf0fZ8m&daddr=242,+Nanda+Gopal+Mukharjee+Rd,+Baro+Bagan,+Banerjee+Para,+Sarsuna,+Kolkata,+West+Bengal+700061&ved=2ahUKEwj4gp7537mEAxWixIQAHcaYDlkQ48ADegQIABA1","242, Nanda Gopal Mukharjee Rd, Baro Bagan, Banerjee Para, Sarsuna, Kolkata, West Bengal 700061",22.47759429789,88.286279904858,4.4,6:30 PM
SHREE MAA PLUMBER,7439223765,https://lh5.googleusercontent.com/p/AF1QipNHgUVUeELwzGQfPvREK69pKMiKQSImta8zuY3Q=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kf_7CuGBdwI6MTXyJVleEl61&daddr=Lebutala,+Bowbazar,+Kolkata,+West+Bengal+700014&ved=2ahUKEwj4gp7537mEAxWixIQAHcaYDlkQ48ADegQIABBA","Lebutala, Bowbazar, Kolkata, West Bengal 700014",22.562856270451,88.365416134786,4.5,6:30 PM
CITY PLUMBERS,9631655271,https://lh5.googleusercontent.com/p/AF1QipPtzab-vPtFTK0gLjDl55-K6T_KlGY-7onM0UCg=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KekpvkyodwI6MaOQBC8GHdRn&daddr=219,+Tiljala+Rd,+Gobra,+Kolkata,+West+Bengal+700046&ved=2ahUKEwj4gp7537mEAxWixIQAHcaYDlkQ48ADegQIABBJ","219, Tiljala Rd, Gobra, Kolkata, West Bengal 700046",22.538106614449,88.379236772021,4.8,11:00 PM
Michael plumber,8116459034,https://lh5.googleusercontent.com/p/AF1QipNrHZ6QhYSKfUNb7B-zjMPQ3fsR24Bp-YdnWiTY=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KV_cQaDZdwI6MbETAB2csRbZ&daddr=67B,+SN+Banerjee+Road,+Maula+Ali,+Taltala,+Kolkata,+West+Bengal+700014&ved=2ahUKEwj4gp7537mEAxWixIQAHcaYDlkQ48ADegQIABBT","67B, SN Banerjee Road, Maula Ali, Taltala, Kolkata, West Bengal 700014",22.560710009449,88.364710010758,4.6,6:30 PM
Rahaman Sanitation,6290288021,https://lh5.googleusercontent.com/p/AF1QipMNPHSB34Sqo61EGoETXVZJkDw2O7nzTxPOWNM=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYXKgSumcQI6MfOqk61sWft9&daddr=S-9Baishnabghata+patuli+Township,+Kavi+Subhash+Station+Rd,+Kolkata,+West+Bengal+700094&ved=2ahUKEwj4gp7537mEAxWixIQAHcaYDlkQ48ADegQIABBc","S-9Baishnabghata patuli Township, Kavi Subhash Station Rd, Kolkata, West Bengal 700094",22.478625,88.409633794,5,6:30 PM
DEBU PLUMBING SERVICE,8820291705,https://lh5.googleusercontent.com/p/AF1QipNX-NsYJRD-GMOR_u1GK4V5_YH5kb0qWMTmPbHW=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ke-TjfBJdwI6MVb-UxpAgMsr&daddr=Samelan+park,+Samelan+park+salkiya+howrha,+Howrah+6,+Kolkata,+West+Bengal+711106&ved=2ahUKEwj4gp7537mEAxWixIQAHcaYDlkQ48ADegQIABBx","Samelan park, Samelan park salkiya howrha, Howrah 6, Kolkata, West Bengal 711106",22.601245,88.34490421,5,6:30 PM
Arfat plumber service,9239298811,https://lh5.googleusercontent.com/p/AF1QipPLkUWvLvcu-YZvIjRAq301_GUsCiYdZnVW-EdO=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTt8Im2lcQI6MX4-QMWAUL6_&daddr=Garia+Station+Rd,+Kayalpara,+Panchasayar,+Kalitala,+Kolkata,+West+Bengal+700084&ved=2ahUKEwj4gp7537mEAxWixIQAHcaYDlkQ48ADegQIABB6","Garia Station Rd, Kayalpara, Panchasayar, Kalitala, Kolkata, West Bengal 700084",22.465635241907,88.390618248213,4.8,6:30 PM
Jay maa plumbing works,9062991501,https://lh5.googleusercontent.com/p/AF1QipObS_MUYi_NJXQPPzdgEHzsptQojvC9qVKAKQci=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXkzsbv7cQI6Md9ezEcGD6cf&daddr=Bijoygarh,+Layalka,+Jadavpur,+Kolkata,+West+Bengal+700092&ved=2ahUKEwj4gp7537mEAxWixIQAHcaYDlkQ48ADegUIABCFAQ","Bijoygarh, Layalka, Jadavpur, Kolkata, West Bengal 700092",22.49341291397,88.3689176066,4.8,6:30 PM
"Ratan Enterprises -Plumber in Garia,Patuli,Narendrapur,Bansdroni,Baghajatin",9830084460,https://lh5.googleusercontent.com/p/AF1QipOIhnpZ98dpblpOW36SAJnLbE2VnujvOzyVXLYO=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSUN6tutdwI6Mf87mI_UpM1p&daddr=31/2A,+Debendra+Mullick+St,+Tiretti,+Kolkata,+West+Bengal+700073&ved=2ahUKEwj4gp7537mEAxWixIQAHcaYDlkQ48ADegUIABCNAQ","31/2A, Debendra Mullick St, Tiretti, Kolkata, West Bengal 700073",22.574009994312,88.358019994739,5,07:00 PM
G2 Interior,9073207205,https://lh5.googleusercontent.com/p/AF1QipM7Dj_1J6UsK_DRLTULf10gXcwEHVzpkt2jtH1C=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KW0ipiHYcQI6MSpKoJJ7chHo&daddr=F99M%2B532,+South+End+Garden,+Baishnabghata+Patuli+Twp,+Patuli,+Kolkata,+West+Bengal+700084&ved=2ahUKEwj4gp7537mEAxWixIQAHcaYDlkQ48ADegUIABCXAQ","F99M+532, South End Garden, Baishnabghata Patuli Twp, Patuli, Kolkata, West Bengal 700084",22.459565,88.39046576,4.8,6:30 PM
Shree Shyam Associates Plumbing Kolkata,8100006805,https://lh5.googleusercontent.com/p/AF1QipM0hu1Jm8ZDLAn0Meoe8kNoHsyE5gdMDiDJTuUo=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVEFelgTdQI6Mbmiwa9kNlxX&daddr=Gd+block+market+Gd+extn+market+shop+5,+West+Bengal+700106&ved=2ahUKEwj4gp7537mEAxWixIQAHcaYDlkQ48ADegUIABCfAQ","Gd block market Gd extn market shop 5, West Bengal 700106",22.576667295,88.41717,4.4,6:30 PM
