Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
Monsoon Salon,8100302537,https://lh5.googleusercontent.com/p/AF1QipMP4rezsia8e6kjaFe5VxXuU58jomKd4Lh_Ugw-=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kddt-1JQdwI6MWt26G6368CW&daddr=11A,+Allenby+Rd,+Sreepally,+Bhowanipore,+Kolkata,+West+Bengal+700020&ved=2ahUKEwjY-fea3rmEAxWezoQAHW8NCqIQ48ADegQIABAr","11A, Allenby Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020",22.536019982088,88.351080030366,4.8,09:00 PM
K & Z SALON,9748432929,https://lh5.googleusercontent.com/p/AF1QipO8Ytb399NrGwPj1orllUoRnqqM1vPUvge-ZB1a=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kff72-9IdwI6MfexDaqRrJmy&daddr=8a,+Nandy+St,+Dover+Terrace,+Ballygunge,+Kolkata,+West+Bengal+700029&ved=2ahUKEwjY-fea3rmEAxWezoQAHW8NCqIQ48ADegQIABA0","8a, Nandy St, Dover Terrace, Ballygunge, Kolkata, West Bengal 700029",22.521524748853,88.363693883891,4.9,6:30 PM
June Tomkyns Salon Ballygunge Branch,3324757025,https://lh5.googleusercontent.com/p/AF1QipMpom1D5JaMItZXrBPQZXMBccC7qQUImWZrNOef=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kfku2LgmdwI6McNGwHfWawD4&daddr=First+floor,+26/2,+Ballygunge+Circular+Rd,+Garcha,+Ballygunge,+Kolkata,+West+Bengal+700019&ved=2ahUKEwjY-fea3rmEAxWezoQAHW8NCqIQ48ADegQIABA_","First floor, 26/2, Ballygunge Circular Rd, Garcha, Ballygunge, Kolkata, West Bengal 700019",22.529551745316,88.355984990102,4.7,6:30 PM
Green Trends Unisex Hair & Style Salon,8420117003,https://lh5.googleusercontent.com/p/AF1QipMMjc8Vu2BjJuXGaXICBjudblQ0Etp_vuRNQdxb=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQu1XCn-cwI6Md9PzY4YvjVN&daddr=No+1113,+First+Floor,+Ushakiran+Kalikapur,+near+Bhowmick+Marbles,+Madurdaha,+Hussainpur,+Kolkata,+West+Bengal+700107&ved=2ahUKEwjY-fea3rmEAxWezoQAHW8NCqIQ48ADegQIABBJ","No 1113, First Floor, Ushakiran Kalikapur, near Bhowmick Marbles, Madurdaha, Hussainpur, Kolkata, West Bengal 700107",22.514935,88.4025972,4.7,6:30 PM
Shine Look Hair and Beauty Family Salon,6289054817,https://lh5.googleusercontent.com/p/AF1QipNpJ20pUWZxnS4m1MFveDH144NfnSfo_wW6he91=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYt1nUekdwI6MSkd3BjsIOh_&daddr=GROUND+FLOOR,+5JBS+HALDEN+AVENUE,+SILVER+ARCADE,+near+JW+MARRIOTT+HOTEL,+Tangra,+Kolkata,+West+Bengal+700105&ved=2ahUKEwjY-fea3rmEAxWezoQAHW8NCqIQ48ADegQIABBS","GROUND FLOOR, 5JBS HALDEN AVENUE, SILVER ARCADE, near JW MARRIOTT HOTEL, Tangra, Kolkata, West Bengal 700105",22.555406045585,88.40779729897,4.8,6:30 PM
Pink Tree Salon and Spa,9836305355,https://lh5.googleusercontent.com/p/AF1QipOEb7oiFXSB-43k2oCNCdQB23q2ePDBSWlQ2NZ3=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KeO9aBOWdgI6MW2InUjay8nK&daddr=building+2nd+floor,+PS+SRIJAN+MAESTRO,+113G,+Matheswartala+Road,+Kolkata,+West+Bengal+700046&ved=2ahUKEwjY-fea3rmEAxWezoQAHW8NCqIQ48ADegQIABBc","building 2nd floor, PS SRIJAN MAESTRO, 113G, Matheswartala Road, Kolkata, West Bengal 700046",22.547792831289,88.389842984667,4.6,6:30 PM
Lakme Salon,3322893456,https://lh5.googleusercontent.com/p/AF1QipMillHsd4Z905xRwAkPlbX_jCotADkodwM_pKgA=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KeMmOeUZdwI6MeFfQ7LAquvu&daddr=No.+39,+Ground+Floor+Premalata,+Shakespeare+Sarani+Rd,+near+Kalamandir,+Mullick+Bazar,+Elgin,+Kolkata,+West+Bengal+700017&ved=2ahUKEwjY-fea3rmEAxWezoQAHW8NCqIQ48ADegQIABBm","No. 39, Ground Floor Premalata, Shakespeare Sarani Rd, near Kalamandir, Mullick Bazar, Elgin, Kolkata, West Bengal 700017",22.543721741577,88.365240260363,4.8,6:30 PM
EYE TURNERS - HAIR AND BEAUTY SALON NEAR GOLPARK IN GARIAHAT,9874979945,https://lh5.googleusercontent.com/p/AF1QipMzT2hesS68ik_kGt4K_DYxm1B6PrGXvUSXsYBk=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KR3W0SFKdwI6MVcwvdwcR2qg&daddr=p,+595,+Purna+Das+Rd,+near+golpark,+Golpark,+Hindustan+Park,+Gariahat,+Kolkata,+West+Bengal+700029&ved=2ahUKEwjY-fea3rmEAxWezoQAHW8NCqIQ48ADegQIABBx","p, 595, Purna Das Rd, near golpark, Golpark, Hindustan Park, Gariahat, Kolkata, West Bengal 700029",22.51700001886,88.361550033261,4.7,6:30 PM
Miirror Beauty Parlour(Ladies)- Best Salon in Kolkata|| Best Parlour in Kolkata,7044714308,https://lh5.googleusercontent.com/p/AF1QipPjMe2iR3XQ6mle-uJs0JRh-kFVXtfh-NcJae9y=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kbm2X2g_dwI6MQlv9A0KIF11&daddr=naman+diagnostic+centre,+59A,+Chandra+Nath+Chatterjee+Road,+kasari+para+road,+opposite+videocon+building,+Kolkata,+West+Bengal+700025&ved=2ahUKEwjY-fea3rmEAxWezoQAHW8NCqIQ48ADegQIABB8","naman diagnostic centre, 59A, Chandra Nath Chatterjee Road, kasari para road, opposite videocon building, Kolkata, West Bengal 700025",22.53266,88.34537659,4.6,08:00 PM
Be U Smart Salon Lake Market,6291358165,https://lh5.googleusercontent.com/p/AF1QipNG0mpBgdPfPZOeh_Yxz85TMuBYEPoF2xaQPDAH=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZ2G2GIIdwI6MfJoaguBONFg&daddr=13A,+Jatindas+Rd,+Lake+Market,+Kalighat,+Kolkata,+West+Bengal+700029&ved=2ahUKEwjY-fea3rmEAxWezoQAHW8NCqIQ48ADegUIABCHAQ","13A, Jatindas Rd, Lake Market, Kalighat, Kolkata, West Bengal 700029",22.516439981999,88.350899987086,4.6,07:00 PM
