Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,time
City Centre Salt Lake,3340063195,https://lh5.googleusercontent.com/p/AF1QipMYIbJrSmRtG2LH8OPDiLS88O3PjNHRXStUYXWu=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXfogH3ndQI6MWqGvja5VQkR&daddr=DC+Block,+Sector+1,+Bidhannagar,+Kolkata,+West+Bengal+700064&ved=2ahUKEwiLwrHD4bmEAxVKwIQAHYfzB_oQ48ADegQIABAr","DC Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064",22.588052043978,88.407722058548,4.5,09:00 PM
Quest Mall,3322877777,https://lh5.googleusercontent.com/p/AF1QipMNzJzh1x5IemAyvp3FZS3S3kvTiEM28ynlOQ8m=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQH5S63fdgI6MchNWjoON777&daddr=33,+Beck+Bagan+Row,+Park+Circus,+Ballygunge,+Kolkata,+West+Bengal+700017&ved=2ahUKEwiLwrHD4bmEAxVKwIQAHYfzB_oQ48ADegQIABA1","33, Beck Bagan Row, Park Circus, Ballygunge, Kolkata, West Bengal 700017",22.539073069573,88.365645428545,4.5,6:30 PM
Mani Square,3323201878,https://lh5.googleusercontent.com/p/AF1QipOW-QausAuGFEiCq7XnDeG3H8Xd7GLcsNXJgzS5=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTugyMF3dgI6MaRkjyqDArzh&daddr=164/1+Maniktala+Main+Road,+Eastern+Metropolitan+Bypass,+Kolkata,+West+Bengal+700054&ved=2ahUKEwiLwrHD4bmEAxVKwIQAHYfzB_oQ48ADegQIABA-","164/1 Maniktala Main Road, Eastern Metropolitan Bypass, Kolkata, West Bengal 700054",22.591470001541,88.392399963174,4.5,6:30 PM
South City Mall,3340072181,https://lh5.googleusercontent.com/p/AF1QipPWrZ6sAsKWpJtPJfs-hsLZBFx7zOOSeO9raq7t=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSvStmHYcAI6Md88jRl6ED3u&daddr=375,+Prince+Anwar+Shah+Rd,+South+City+Complex,+Jadavpur,+Kolkata,+West+Bengal+700068&ved=2ahUKEwiLwrHD4bmEAxVKwIQAHYfzB_oQ48ADegQIABBI","375, Prince Anwar Shah Rd, South City Complex, Jadavpur, Kolkata, West Bengal 700068",22.502050014447,88.362489979883,4.6,6:30 PM
E-Mall,3340849911,https://lh5.googleusercontent.com/p/AF1QipNjRLYsS6aGqlM6m50HZo_JzOmQE802BW2MS9rU=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVsprS61dwI6MWG40kTftzYQ&daddr=Emall+-+Central+Avenue,+Biplabi+Anukul+Chandra+St,+Bowbazar,+Kolkata,+West+Bengal+700072&ved=2ahUKEwiLwrHD4bmEAxVKwIQAHYfzB_oQ48ADegQIABBS","Emall - Central Avenue, Biplabi Anukul Chandra St, Bowbazar, Kolkata, West Bengal 700072",22.565863959466,88.356927044735,4.3,11:00 PM
Baazar Kolkata,3340676068,https://lh5.googleusercontent.com/p/AF1QipMELYmX1LnYuAAatnKsCokp0hWms0eydwvI6CfF=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KS2h_PPRdwI6MfovGtA3RVoI&daddr=31,+Chowringee+Rd,+Park+Street+area,+Kolkata,+West+Bengal+700016&ved=2ahUKEwiLwrHD4bmEAxVKwIQAHYfzB_oQ48ADegQIABBb","31, Chowringee Rd, Park Street area, Kolkata, West Bengal 700016",22.556902962043,88.35031643879,4.1,6:30 PM
Acropolis Mall,6290112656,https://lh5.googleusercontent.com/p/AF1QipP79MUcQhQ0xE2xkpNoiS-UDK6831zdH1g2ePp-=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVlwYOtScQI6MSzTVZWQA1Qm&daddr=Sector+1,+1858/1,+Rajdanga+Main+Rd,+East+Kolkata+Twp,+Kolkata,+West+Bengal+700107&ved=2ahUKEwiLwrHD4bmEAxVKwIQAHYfzB_oQ48ADegQIABBl","Sector 1, 1858/1, Rajdanga Main Rd, East Kolkata Twp, Kolkata, West Bengal 700107",22.515009987408,88.393170008619,4.5,6:30 PM
"Simpark Mall, New market",3340235000,https://lh5.googleusercontent.com/p/AF1QipOjBWUvvkFnC2C622YPR2CYiKzbNKoJZ_P7ItGZ=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTcDPJ8IdwI6MYFtv6ppLARP&daddr=Lindsay+St,+near+New+Market,+Esplanade,+Dharmatala,+Taltala,+Kolkata,+West+Bengal+700087&ved=2ahUKEwiLwrHD4bmEAxVKwIQAHYfzB_oQ48ADegQIABBu","Lindsay St, near New Market, Esplanade, Dharmatala, Taltala, Kolkata, West Bengal 700087",22.559760004543,88.350860005408,4,6:30 PM
Forum Courtyard Mall,3340620888,https://lh5.googleusercontent.com/p/AF1QipM2J9q_yrbGw1iX8UFBz365p_GMZcXLU-rYfAS5=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KS-23m09dwI6MZhDCnAtkYWi&daddr=10/3,+Elgin+Rd,+Sreepally,+Bhowanipore,+Kolkata,+West+Bengal+700020&ved=2ahUKEwiLwrHD4bmEAxVKwIQAHYfzB_oQ48ADegQIABB4","10/3, Elgin Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020",22.537739990529,88.352500008583,4.3,09:00 PM
The Metro Plaza Shopping Mall,3322493502,https://lh5.googleusercontent.com/p/AF1QipPmJ-YgkpAX48aGCgTv8CYnmazBwMpZNOGKk_dp=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kc3Vr8-4ewI6Masbpe4zriis&daddr=1,+Ho+Chi+Minh+Sarani+Rd,+Kankaria+Estates,+Park+Street+area,+Kolkata,+West+Bengal+700071&ved=2ahUKEwiLwrHD4bmEAxVKwIQAHYfzB_oQ48ADegUIABCBAQ","1, Ho Chi Minh Sarani Rd, Kankaria Estates, Park Street area, Kolkata, West Bengal 700071",22.54894,88.35065,4.2,6:30 PM
