"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Noida Educational Academy","07835033330","https://lh5.googleusercontent.com/p/AF1QipNyPQT3CSpkTyGKU1kv6DufTYQz8gfmTTYucCeR=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KX3OCueu6Aw5MapD9BNSWCfq&daddr=Bhangel,+Salarpur+Khadar,+Sector+110,+Noida,+Uttar+Pradesh+201304&ved=2ahUKEwiyzbXY4buEAxUUwoQAHbtLD3AQ48ADegQIABAr","Bhangel, Salarpur Khadar, Sector 110, Noida, Uttar Pradesh 201304","28.53429252281","77.381586578165","4.4","6:30 PM"
"Think Education","07042086048","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7dEXjaXroUIbOpJP2YNFGg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=340.84244&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kf___--05Qw5MQaHx6V3VGyV&daddr=Office+No.+278,+Block+Ist,+Ganga+Shopping+Complex,+Sector+29,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwiyzbXY4buEAxUUwoQAHbtLD3AQ48ADegQIABA1","Office No. 278, Block Ist, Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301","28.587930338894","77.310930093232","4.9","6:30 PM"
"Edu Craft Institute of Education, Noida","08766371358","https://lh5.googleusercontent.com/p/AF1QipN2iKAX8KTTWbitRd25er6YyGCgJPkPPnpJWYnw=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdFlShqE5Qw5Mae2101pRJif&daddr=A-56/1+Lower+Ground+Floor,+near+G.D+Goenka+School,+A+Block,+Sector+50,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwiyzbXY4buEAxUUwoQAHbtLD3AQ48ADegQIABA_","A-56/1 Lower Ground Floor, near G.D Goenka School, A Block, Sector 50, Noida, Uttar Pradesh 201301","28.573356237645","77.364785787634","4.9","06:00 PM"
"Education Ji","08700572204","https://lh5.googleusercontent.com/p/AF1QipMZgV7G-eUfsDn_NQK0FLDynXo6xYGafLuOziYQ=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRF9aWEH5Qw5MfihgleFaOuO&daddr=1st+Floor,+C-49,+C+Block,+Sector+10,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwiyzbXY4buEAxUUwoQAHbtLD3AQ48ADegQIABBJ","1st Floor, C-49, C Block, Sector 10, Noida, Uttar Pradesh 201301","28.587497625743","77.3301254155","5.0","6:30 PM"
"LOTUS EDUCATIONS- 10th,12th admission in noida","07042331243","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5vflXK5tx-4rExPG0B8fKA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=37.08126&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kd_hivsH5Qw5MYlDuFC95MfE&daddr=Ocean+Complex,+LOTUS+EDUCATIONS+422-+4th,+Sector+18,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwiyzbXY4buEAxUUwoQAHbtLD3AQ48ADegQIABBT","Ocean Complex, LOTUS EDUCATIONS 422- 4th, Sector 18, Noida, Uttar Pradesh 201301","28.567958054338","77.321408424574","5.0","05:00 PM"
"OM EDUCATION | Best Coaching for Maths | Science | Physics | Accounts | Economics in Noida","01204570264","https://lh5.googleusercontent.com/p/AF1QipNLz33EoYdSWWw7Vtro5U6lQVwj9-WgDVscpd5F=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQEHlueT5Qw5MQfZ9jaizQ5d&daddr=A-56/1,Lower+ground+floor,+near+G.+D+Goenka+School,+A+Block,+Sector+50,+Noida,+Uttar+Pradesh+201307&ved=2ahUKEwiyzbXY4buEAxUUwoQAHbtLD3AQ48ADegQIABBe","A-56/1,Lower ground floor, near G. D Goenka School, A Block, Sector 50, Noida, Uttar Pradesh 201307","28.605005","77.37498238","4.5","6:30 PM"
"Education","07042911288","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Hb4h8Qosb3-tG-kklQUlzg&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=94.07691&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kc2qquoS5Qw5MaMbVPhmEH1g&daddr=A-59,2nd+floor,+Block+B,+Sector+57,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwiyzbXY4buEAxUUwoQAHbtLD3AQ48ADegQIABBl","A-59,2nd floor, Block B, Sector 57, Noida, Uttar Pradesh 201301","28.603941174584","77.353237104328","3.7","05:00 PM"
"Cosmos College of Education","01206453028","https://lh5.googleusercontent.com/p/AF1QipPxJqzLKldNvjjLLwR1Y9tzHLw3YBzjPC_6oAvl=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KS0kd-IQ6Qw5MXkMD5O7_vh2&daddr=FCHP%2BX7G,+Sector+163,+Noida,+Gohiyapur,+Uttar+Pradesh+201306&ved=2ahUKEwiyzbXY4buEAxUUwoQAHbtLD3AQ48ADegQIABBv","FCHP+X7G, Sector 163, Noida, Gohiyapur, Uttar Pradesh 201306","28.4826","77.43278","4.6","6:30 PM"
"Education","09337354475","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CJtreYbrLGrFdkE2AT4CGA&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=349.37616&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYdgW-We7ww5MQAAANBNAehR&daddr=14,+Delhi+Noida+Direct+Flyway,+Garhi+Chaukhandi,+Chaukhandi,+Noida,+Uttar+Pradesh+201305&ved=2ahUKEwiyzbXY4buEAxUUwoQAHbtLD3AQ48ADegQIABB2","14, Delhi Noida Direct Flyway, Garhi Chaukhandi, Chaukhandi, Noida, Uttar Pradesh 201305","28.522811261","77.408015","5.0","06:00 PM"
"Our Education","01204160241","https://lh5.googleusercontent.com/p/AF1QipOxbKLHHu-KVw0c4mJUTyqpzV_51XijiNHnDJ3l=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KT9EZ60J-ww5MWynDibztz7i&daddr=C-251,+C+Block,+Sector+63,+Noida,+Chotpur,+Uttar+Pradesh+201301&ved=2ahUKEwiyzbXY4buEAxUUwoQAHbtLD3AQ48ADegUIABCAAQ","C-251, C Block, Sector 63, Noida, Chotpur, Uttar Pradesh 201301","28.616180360384","77.385008962607","4.7","6:30 PM"
