"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Healthcare","09953104104","https://lh5.googleusercontent.com/p/AF1QipNgafeGsD7m-0f3t9xSxNO-7ZJGNwUXIqEw1fYn=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTFo3l0N5Qw5MbPPULUlhxuh&daddr=ITHUM+TOWER,+B-1231,+B+Wing,+Sector+62,+Noida,+Uttar+Pradesh+201010&ved=2ahUKEwjJ872l47uEAxX32IQAHfkmA9kQ48ADegQIABAp","ITHUM TOWER, B-1231, B Wing, Sector 62, Noida, Uttar Pradesh 201010","28.631063082085","77.344359708615","4.9","06:00 PM"
"Kyno Health | Home Health Care Service & General Physician at Home in Noida | Doctor Home Visit & Best Nursing Agency Noida","18005727696","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HxLg_HphXG04IpFP1NZ7Ug&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=266.7452&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ken5fDvWQRBCMQcgeNSuAsLF&daddr=C+112,+C+Block,+Sector+50,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjJ872l47uEAxX32IQAHfkmA9kQ48ADegQIABAw","C 112, C Block, Sector 50, Noida, Uttar Pradesh 201301","28.569490618997","77.367611503304","5.0","6:30 PM"
"Health Care","07291959044","https://lh5.googleusercontent.com/p/AF1QipPNWiQvTVqDXUTROS_ac7xsCz7oJpHKH1qPC61Z=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ke9J89715Aw5MTXoq_sDwCNG&daddr=01,+Sector+Rd,+Gautam+Buddha+Nagar,+Block+D,+Sector+52,+Noida,+Uttar+Pradesh+201306&ved=2ahUKEwjJ872l47uEAxX32IQAHfkmA9kQ48ADegQIABA4","01, Sector Rd, Gautam Buddha Nagar, Block D, Sector 52, Noida, Uttar Pradesh 201306","28.5922","77.36906","5.0","09:00 PM"
"Rainbow Healthcare Clinic","18001037070","https://lh5.googleusercontent.com/p/AF1QipM-ji8_QRhRiQiMqkAYDhkvmZ--81IHae7i2NKJ=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQ9na3Px5Qw5MW2tE6gIIpQ9&daddr=Defence+Enclave,+Sector+44,+Noida,+Uttar+Pradesh+201303&ved=2ahUKEwjJ872l47uEAxX32IQAHfkmA9kQ48ADegQIABBB","Defence Enclave, Sector 44, Noida, Uttar Pradesh 201303","28.554043929323","77.3374992246","4.2","6:30 PM"
"Integrated Healthcare Multispeciality Clinic","08901890198","https://lh5.googleusercontent.com/p/AF1QipPVDDr-ffDPGK16OzlSlH17CBnbH-aMeVxgpUzE=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaNS8lUP5gw5MQA84NQtaZqP&daddr=Block+C,+74,+The+Villas,+Gate+no.+4,+opp.+PATHWAYS+SCHOOL,+Sector+100,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjJ872l47uEAxX32IQAHfkmA9kQ48ADegQIABBL","Block C, 74, The Villas, Gate no. 4, opp. PATHWAYS SCHOOL, Sector 100, Noida, Uttar Pradesh 201301","28.590050506811","77.314495120242","4.0","6:30 PM"
"CallHealth Services Pvt. Ltd","01206103839","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kf-Ql061gJoynKzSL-h5xw&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=86.83241&pitch=0&thumbfov=100","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kf-gBvOU5Qw5MZZgJRcGXR41&daddr=Main+Gate+Hoshiyarpur,+Basement+Kisan+Towers+Sector+-+51,+Near+City+Center+Metro+Station,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjJ872l47uEAxX32IQAHfkmA9kQ48ADegQIABBR","Main Gate Hoshiyarpur, Basement Kisan Towers Sector - 51, Near City Center Metro Station, Noida, Uttar Pradesh 201301","28.58091589449","77.364619110772","4.0","6:30 PM"
"HCL Healthcare Clinic","08587805879","https://lh5.googleusercontent.com/p/AF1QipMhzY7gEwy9mW3ZZ26ewfnTXBrEmFODO7Ab2fMC=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KadJAtVO5Aw5MaKyaZyGJC9a&daddr=Ground+floor,+A-5,+near+Coast+Guard+office,+Sector+24,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjJ872l47uEAxX32IQAHfkmA9kQ48ADegQIABBa","Ground floor, A-5, near Coast Guard office, Sector 24, Noida, Uttar Pradesh 201301","28.589453567586","77.34569518283","3.2","10:00 PM"
"SNGRCH HEALTHCARE PRIVATE LIMITED","08287668339","https://lh5.googleusercontent.com/p/AF1QipOIB8rXkZxOHPJm0iSOV2uIrqEWuX_Ok3FcSiy_=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdUrNRGc5Qw5Mb6itylmzYyR&daddr=B-127,+B+Block,+Sector+2,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjJ872l47uEAxX32IQAHfkmA9kQ48ADegQIABBh","B-127, B Block, Sector 2, Noida, Uttar Pradesh 201301","28.586967109466","77.314240572113","4.4","08:00 PM"
"Healthkins Homecare","09899953687","https://lh5.googleusercontent.com/p/AF1QipMEOEE0pieV59DiOvdWZxoX0i53OmcTpCEckUkS=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZ9h2k7uzMAvMXmTvKFPlMUZ&daddr=Amarpali+Silicon+City,+Sector+76,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjJ872l47uEAxX32IQAHfkmA9kQ48ADegQIABBn","Amarpali Silicon City, Sector 76, Noida, Uttar Pradesh 201301","28.568192896461","77.381403987913","4.9","6:30 PM"
"HCL Healthcare Sector 126 Noida","07071150662","https://lh5.googleusercontent.com/p/AF1QipMnc45m9GN5t0xD_pSEsBqrD1R8vATSu2XzmiN1=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KW-n8j955gw5MdX22qSugcji&daddr=G8QQ%2B83X,+Raipur+Khadar,+Sector+126,+Noida,+Uttar+Pradesh+201313&ved=2ahUKEwjJ872l47uEAxX32IQAHfkmA9kQ48ADegQIABBw","G8QQ+83X, Raipur Khadar, Sector 126, Noida, Uttar Pradesh 201313","28.54428","77.33735","4.9","05:00 PM"
