Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,Time
Home Care Services ( maid services),09953650125,https://lh5.googleusercontent.com/p/AF1QipMqB9sknKHVG0eGtJBto-nYHfWoHUD2R092xdU=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdG-RM2I7ww5MVsr0ezhzlmY&daddr=Shop+number+4,+Main+road,+near+New+modern+public+school,+Mangal+market,+Sarfabad,+Sector+73,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjx66Dk5ruEAxUC2IQAHfyQCt4Q48ADegQIABAt","Shop number 4, Main road, near New modern public school, Mangal market, Sarfabad, Sector 73, Noida, Uttar Pradesh 201301",28.583015242596,77.322064749901,4.8,
OyeBusy Home Services,09990001089,https://lh5.googleusercontent.com/p/AF1QipM7rIp9UbKN-uPq_xLArf0Mq_-7feiVennw3RH4=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQ30jP7F5Qw5MVZ4jPW-XrkR&daddr=356/22,+H+Block,+Sector+63,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjx66Dk5ruEAxUC2IQAHfyQCt4Q48ADegQIABA3","356/22, H Block, Sector 63, Noida, Uttar Pradesh 201301",28.627703615665,77.374993339016,4.8,
"Urmi Care | Nursing Bureau in Noida, Gurgaon and Delhi NCR.",07011469107,https://lh5.googleusercontent.com/p/AF1QipNVHJeY7S5ZgJjz8aLLMyGHkZBFgB4-yYl3cWHs=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZ2VsJXJ5Qw5MY9pCztOsjmH&daddr=Shop+No.+11,+1st+Floor,+Vikram+Pradhan+Market,+Ram+Vihar+Appartment,+Sector+31,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjx66Dk5ruEAxUC2IQAHfyQCt4Q48ADegQIABBB","Shop No. 11, 1st Floor, Vikram Pradhan Market, Ram Vihar Appartment, Sector 31, Noida, Uttar Pradesh 201301",28.577174021416,77.34404285566,4.9,
CUIDADO,08448444342,https://lh5.googleusercontent.com/p/AF1QipNXnT3YXHiKgX66D8M2STpHGEbHbgLLFxbhqRk=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KcPzcPkF5gw5MY_ZhCYB8Ne5&daddr=B+606,+LOGIX+TECHNOVA,+Block+B,+Sector+132,+Noida,+Uttar+Pradesh+201304&ved=2ahUKEwjx66Dk5ruEAxUC2IQAHfyQCt4Q48ADegQIABBM","B 606, LOGIX TECHNOVA, Block B, Sector 132, Noida, Uttar Pradesh 201304",28.508,77.38018,4.6,
Cleaning Boss Home Service,08373964266,https://lh5.googleusercontent.com/p/AF1QipObTdBggVDcD91akflLooj4TJgFiOC77vz_Ncif=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQfEuZT65Qw5McB1DxE5Gt-Y&daddr=A-32,+near+Kailash+Hospital,+D-Block,+Sector+26,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjx66Dk5ruEAxUC2IQAHfyQCt4Q48ADegQIABBW","A-32, near Kailash Hospital, D-Block, Sector 26, Noida, Uttar Pradesh 201301",28.57773,77.33189,4.9,
HelperJi - Professional Full Home Deep Cleaning Services in Noida Greater Noida Ghaziabad Delhi,07800780095,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=v5FPqlp6VIh4bO_kzZ_tHw&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=319.69662&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kdu00huB7ww5MQizQfXIoZPA&daddr=Shop+no+1+richpal+market+sector+115,+near+nagori+farm+house,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjx66Dk5ruEAxUC2IQAHfyQCt4Q48ADegQIABBg","Shop no 1 richpal market sector 115, near nagori farm house, Noida, Uttar Pradesh 201301",28.567890026101,77.408351542215,4.8,
Gas Stove repair noida,09971284760,https://lh5.googleusercontent.com/p/AF1QipNinkX-QOip4ii7uZIgtTEgtlbBz-iN-e69mizQ=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQkEHw7B6Qw5MXXBW9bJALjs&daddr=Shop+no+12,+chodhary+market,+Gejha,+Sector+93,+Noida,+Uttar+Pradesh+201305&ved=2ahUKEwjx66Dk5ruEAxUC2IQAHfyQCt4Q48ADegQIABBo","Shop no 12, chodhary market, Gejha, Sector 93, Noida, Uttar Pradesh 201305",28.52526,77.38539,5.0,
Herbal Professional Home Deep Cleaning Services in Noida Delhi Ghaziabad Greater Noida,09311971190,https://lh5.googleusercontent.com/p/AF1QipPESTWTtP77vCUyOK5RTm5-aVHqgJJ280iZJ9xz=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWneGsAz7ww5McAQk-fB7as9&daddr=H-56,+38,+Sector+63+Rd,+A+Block,+Sector+62,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjx66Dk5ruEAxUC2IQAHfyQCt4Q48ADegQIABBz","H-56, 38, Sector 63 Rd, A Block, Sector 62, Noida, Uttar Pradesh 201301",28.624530756645,77.381413132594,5.0,
Noida Home Care Services,08318145337,https://lh5.googleusercontent.com/p/AF1QipOl90Qho4JSIQxBh8_mNWf1XwEbu0nvYLnLTsib=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KeWi33Gn5Qw5MXC7ay-qa21I&daddr=Near,+Shiv+Mandir+Rd,+Morna,+Sector+35,+Noida,+Uttar+Pradesh+203102&ved=2ahUKEwjx66Dk5ruEAxUC2IQAHfyQCt4Q48ADegQIABB6","Near, Shiv Mandir Rd, Morna, Sector 35, Noida, Uttar Pradesh 203102",28.575959857098,77.345793685126,4.7,
RPA Cleaning - Professional Deep Cleaning | Sofa | Kitchen Cleaning in Noida I Ghaziabad I Delhi NCR,09717059515,https://lh5.googleusercontent.com/p/AF1QipOcDoO05RXUk_v1vPUnSzPZydRxXuaoxc-jsenH=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTWYm4x_7ww5MVh_x2f6OZp5&daddr=Shop+No.+5,+1st+Floor,+Kesh,+Ram+Market,+Metro+Station,+near+Sector+76,+Rajput+Colony,+Natthu+Colony,+Baraula,+Sector+49,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjx66Dk5ruEAxUC2IQAHfyQCt4Q48ADegUIABCEAQ","Shop No. 5, 1st Floor, Kesh, Ram Market, Metro Station, near Sector 76, Rajput Colony, Natthu Colony, Baraula, Sector 49, Noida, Uttar Pradesh 201301",28.563542296504,77.367639725516,4.7,
