Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,Time
Kanha Plumber Service Noida,08383907220,https://lh5.googleusercontent.com/p/AF1QipM8fBlrXJYKB7MzY5Q9iNVeae_FiqCSiZ76NWin=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTv1So0E5Qw5Mf9zxYqRAn9q&daddr=view+Hotel,+7/2,+Gali+No.+1,+Sector+37,+Ambedkar+bihar,+Noida+Golf+Course,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjitJmW5buEAxVZ24QAHdjeCC8Q48ADegQIABAs","view Hotel, 7/2, Gali No. 1, Sector 37, Ambedkar bihar, Noida Golf Course, Noida, Uttar Pradesh 201301",28.557750004603,77.339850020287,4.9,
Pramod Plumber,07048939005,https://lh5.googleusercontent.com/p/AF1QipPiVAN3lvELo2lhsGzdtxpXuFJsTpPxUUzNR6rI=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KcEFRMCu5Qw5MUSQ5DiUdHVi&daddr=Ground+floor,+J-2,+near+HP+Petrol+pump,+J+Block,+Sector+41,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjitJmW5buEAxVZ24QAHdjeCC8Q48ADegQIABA3","Ground floor, J-2, near HP Petrol pump, J Block, Sector 41, Noida, Uttar Pradesh 201301",28.564115472705,77.359634562539,4.7,
Dev plumber Noida sector 12,09871945041,https://lh5.googleusercontent.com/p/AF1QipO_a3ok-yYlHh1GaSNPAJwP4zuhCm6QyyHQNLnO=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbUmigSN5Qw5MRfd9rRuehVj&daddr=J-203,+Chaura+Raghunathpur,+Block+D,+Sector+22,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjitJmW5buEAxVZ24QAHdjeCC8Q48ADegQIABA_","J-203, Chaura Raghunathpur, Block D, Sector 22, Noida, Uttar Pradesh 201301",28.596542817836,77.348665040196,4.9,
NOIDA Plumber & Electrical service,09910313218,https://lh5.googleusercontent.com/p/AF1QipNxEV6irptDd4FZfsExNSWAwDP8DpYZF6mC39Kc=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQtKLUlr5Qw5McDWR4bRcSJJ&daddr=LK+sanitation,+A-271,+Nithari+Village,+Sector+31,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjitJmW5buEAxVZ24QAHdjeCC8Q48ADegQIABBK","LK sanitation, A-271, Nithari Village, Sector 31, Noida, Uttar Pradesh 201301",28.577025842001,77.343618502682,4.8,
Plumber Pro Noida,07619875849,https://lh5.googleusercontent.com/p/AF1QipMH0C8A3r9s49sPT1W_pjiRS_2Oa0TbR-5tTpFC=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYUPhoa25Qw5MZRgJKU0hLI0&daddr=near+water+tank,+Nithari+Village,+Sector+31,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjitJmW5buEAxVZ24QAHdjeCC8Q48ADegQIABBV","near water tank, Nithari Village, Sector 31, Noida, Uttar Pradesh 201301",28.57588,77.34552,4.8,
Manish plumber,09106102188,https://lh5.googleusercontent.com/p/AF1QipMCZNfWOfu0wD7J5NWnyFGhKDW4lhfOvVL7-JZA=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KcPM-w0E5Qw5Mf9NpwKBiUMl&daddr=Roshan+Complex,+Shramik+Kunj,+Sector+66,+Noida,+Uttar+Pradesh+201307&ved=2ahUKEwjitJmW5buEAxVZ24QAHdjeCC8Q48ADegQIABBe","Roshan Complex, Shramik Kunj, Sector 66, Noida, Uttar Pradesh 201307",28.60878,77.37535,4.5,
Niranjan Plumber Services,08826281620,https://lh5.googleusercontent.com/p/AF1QipOOLhTIEY9zSPhYgEMovEIQbMQn8JOon8Dhk1Jj=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kc2pR5e-5Qw5MfbuiY-2hg-d&daddr=Block+C+Market,+C,+C-102A,+Sector+39+Block+C+Rd,+near+Khaitan+School,+Sector+39,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjitJmW5buEAxVZ24QAHdjeCC8Q48ADegQIABBp","Block C Market, C, C-102A, Sector 39 Block C Rd, near Khaitan School, Sector 39, Noida, Uttar Pradesh 201301",28.567209988165,77.349730021017,4.7,
Raj plumber electrician services,07210683953,https://lh5.googleusercontent.com/p/AF1QipMaT2fhnfzne5U1uNqwD-EfNT56rCqgIcESYU8d=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQnkadzZ5Qw5MWSKO28CJbrK&daddr=CHAUDHARY+MARKET,+near+Gopinath+Sanitation,+Nithari+Village,+Sector+31,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjitJmW5buEAxVZ24QAHdjeCC8Q48ADegQIABB0","CHAUDHARY MARKET, near Gopinath Sanitation, Nithari Village, Sector 31, Noida, Uttar Pradesh 201301",28.59079,77.40132,4.6,
Ajit Plumber and electrician all work service,07381543435,https://lh5.googleusercontent.com/p/AF1QipNn7hugRN1dm7RU7YEMUQuX9qxFZN_1POvXz1Q=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KY3R4Rra5Qw5MSizFW4Zsmsr&daddr=House+no.+1,+Near+Govt+School+Nithari+Village.+Sector-31+Delhi,+NCR,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjitJmW5buEAxVZ24QAHdjeCC8Q48ADegQIABB-","House no. 1, Near Govt School Nithari Village. Sector-31 Delhi, NCR, Noida, Uttar Pradesh 201301",28.614794334988,77.344386266902,4.9,
Balram Plumbing and Electrician Services,07053906359,https://lh5.googleusercontent.com/p/AF1QipPe9QZ_fNwHnNrud4pGMLtWGdaejfYZPbVtDEUq=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQ0c4sxN7ww5MXdLRnpHkhnD&daddr=B-11,+near+SBI+bank,+B+Block,+Sector+65,+Noida,+Uttar+Pradesh+201309&ved=2ahUKEwjitJmW5buEAxVZ24QAHdjeCC8Q48ADegUIABCJAQ","B-11, near SBI bank, B Block, Sector 65, Noida, Uttar Pradesh 201309",28.61249,77.38943,4.6,
