"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Beyond Looks","09999269998","https://lh5.googleusercontent.com/p/AF1QipOOPo5ZbQRh7eDH1qcJ78IUgqcqxF13ncdrTyGG=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZH1vmyT5Qw5MT0IoPNTrNTX&daddr=C-4,+1st+Floor,+near+Spencer%27s+Store,+Hoshiarpur+Village,+Sector+51,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjx2NDv4LuEAxXV1IQAHetqCJEQ48ADegQIABAs","C-4, 1st Floor, near Spencer's Store, Hoshiarpur Village, Sector 51, Noida, Uttar Pradesh 201301","28.614794334988","77.344386266902","4.6","09:00 PM"
"Yes Glam Unisex Salon","08130820111","https://lh5.googleusercontent.com/p/AF1QipM-LG6PViuKrJGacnUKD00bIogQBDWxwliQILhI=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYMdUApb6Aw5MenwWgd1BadB&daddr=The+Golden+Palm,+Tower+O+-+Shop+No.+28+%26+29,+Sector+168,+Noida,+Uttar+Pradesh+201305&ved=2ahUKEwjx2NDv4LuEAxXV1IQAHetqCJEQ48ADegQIABA3","The Golden Palm, Tower O - Shop No. 28 & 29, Sector 168, Noida, Uttar Pradesh 201305","28.522811261","77.408015","4.6","6:30 PM"
"Style Glam Studio ( Unisex Salon | Makeup Hub )","09990004280","https://lh5.googleusercontent.com/p/AF1QipPskZtxxMtnFo5twNiZloCxgy8MBcS2-DytkLxY=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KembYKvr5Qw5MQGLQmNMQeHR&daddr=B-1/5+Central+Market,+Noida,+Sector+50,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjx2NDv4LuEAxXV1IQAHetqCJEQ48ADegQIABBC","B-1/5 Central Market, Noida, Sector 50, Noida, Uttar Pradesh 201301","28.570385162373","77.362105565069","4.6","09:00 PM"
"Gliss Unisex Salon | Beauty & Haircare","09667022241","https://lh5.googleusercontent.com/p/AF1QipMuv0Zz4piNgLCql4fabjCtsAJPjHaqvIJoavTN=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRNoS-UT5Qw5MTKKJdrE0PG2&daddr=J-13,+1st+Floor,+J+Block,+Pocket+G,+Sector+18,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjx2NDv4LuEAxXV1IQAHetqCJEQ48ADegQIABBN","J-13, 1st Floor, J Block, Pocket G, Sector 18, Noida, Uttar Pradesh 201301","28.56963","77.32402","4.5","6:30 PM"
"Looks Salon, Cleo County, Sector 121, Noida","09289052421","https://lh5.googleusercontent.com/p/AF1QipP129BxFKezHI3RAdohcwy1Fyl82LMMQsqYlpKo=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaN-vq8O7ww5McAaec5_TbpS&daddr=Shop+no.+209-212,+Cleo+Street,+Cleo+County,+Sector+121,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjx2NDv4LuEAxXV1IQAHetqCJEQ48ADegQIABBX","Shop no. 209-212, Cleo Street, Cleo County, Sector 121, Noida, Uttar Pradesh 201301","28.599642442607","77.400843065808","4.8","09:00 PM"
"Q3 Salon","09891559000","https://lh5.googleusercontent.com/p/AF1QipMD46Bgvug_e9cAgMS0Jo46X0uieXfbhzgwf0Fj=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRfBLuQd5Qw5MZ1MFM6Po9jr&daddr=A-66,+Golf+Marg,+Block+A,+Sector+51,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjx2NDv4LuEAxXV1IQAHetqCJEQ48ADegQIABBg","A-66, Golf Marg, Block A, Sector 51, Noida, Uttar Pradesh 201301","28.574814804766","77.359903903506","4.5","6:30 PM"
"Snipntips Unisex Salon","09971490411","https://lh5.googleusercontent.com/p/AF1QipPDEpOtBHCE0IPg3VuUEdWcpBHVagPYewHFTV7W=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYG3Tsg85Qw5MQTwbwGWB1qe&daddr=J1,+Indira+Mkt+Rd,+F+Block,+Pocket+E,+Sector+27,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjx2NDv4LuEAxXV1IQAHetqCJEQ48ADegQIABBq","J1, Indira Mkt Rd, F Block, Pocket E, Sector 27, Noida, Uttar Pradesh 201301","28.574566711449","77.324847829796","4.8","09:00 PM"
"Triss Salon Noida","08447600993","https://lh5.googleusercontent.com/p/AF1QipOq1KWYsK0tDJPpKppoVRK_KaP5an82gwP_3QyX=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQ_yIiZo7ww5MRW6QTo93eSf&daddr=Shop+No+30,+Amrapali+Princeley+Market,+Gate+No.+2,+opposite+SILICON+CITY,+Sector+76,+Noida,+Uttar+Pradesh+201306&ved=2ahUKEwjx2NDv4LuEAxXV1IQAHetqCJEQ48ADegQIABB0","Shop No 30, Amrapali Princeley Market, Gate No. 2, opposite SILICON CITY, Sector 76, Noida, Uttar Pradesh 201306","28.492328033032","77.456062371052","4.8","6:30 PM"
"The Beauty Escape Salon in Noida","09873253818","https://lh5.googleusercontent.com/p/AF1QipME5tBjNtYf-179RFU4O1gP-UZJHsME-OvPH_Av=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KfUKHBrLV5k5MRogYrvwv02T&daddr=137-A,+Express+View+Apartment,+Sector+93,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjx2NDv4LuEAxXV1IQAHetqCJEQ48ADegQIABB8","137-A, Express View Apartment, Sector 93, Noida, Uttar Pradesh 201301","28.52026","77.39062","4.5","6:30 PM"
"Hairkart Salon","09555554646","https://lh5.googleusercontent.com/p/AF1QipMCbkeXekgpBtv4r2o_yToUKjKA8LThAlOUBqwM=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUHVogil5Qw5MaMAq2IlZrjl&daddr=G-43,+Pocket+G,+Sector+18,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwjx2NDv4LuEAxXV1IQAHetqCJEQ48ADegUIABCHAQ","G-43, Pocket G, Sector 18, Noida, Uttar Pradesh 201301","28.569852257587","77.323656091453","4.8","6:30 PM"
