"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"The Great India Place, Noida (U.P.)","09953340337","https://lh5.googleusercontent.com/p/AF1QipO6OhvSq4U7SoBnj3LFJEIZZlkSWZ-uRorg24aU=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kati6HdJ5Aw5MVdZX8ii8rKN&daddr=The+Great+India+Place+Mall,+Sector+38,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwiZ9q_o4rmEAxUj1IQAHVaSAPwQ48ADegQIABAr","The Great India Place Mall, Sector 38, Noida, Uttar Pradesh 201301","28.56916","77.32648","4.4","10:00 PM"
"Gardens Galleria Mall","180030101700","https://lh5.googleusercontent.com/p/AF1QipOJoVZaHUeX9Oj7q4gT0kCkaXde7ZG4NNeoFciv=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZOpbBtI5Aw5MXrk829ff8T3&daddr=Plot+No,+A2,+Maharaja+Agrasen+Marg,+Sector+38,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwiZ9q_o4rmEAxUj1IQAHVaSAPwQ48ADegQIABA0","Plot No, A2, Maharaja Agrasen Marg, Sector 38, Noida, Uttar Pradesh 201301","28.593770018124","77.312909996748","4.3","6:30 PM"
"Spectrum Metro","08888348888","https://lh5.googleusercontent.com/p/AF1QipNYorsoOSS5KaSzOh7s5Poi1SzleUaWAml9uk8=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KU-KsYqc7ww5MWAkBeK-8uHU&daddr=Plot+C+%26+D+Opposite+Sector+50,+Metro+Station+Rd,+Sector+75,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwiZ9q_o4rmEAxUj1IQAHVaSAPwQ48ADegQIABA-","Plot C & D Opposite Sector 50, Metro Station Rd, Sector 75, Noida, Uttar Pradesh 201301","28.57906668534","77.382940356482","4.1","11:00 PM"
"Saya Status - Tallest Mall in India","01207112155","https://lh5.googleusercontent.com/p/AF1QipNT2-PV_VrSgJsHVn5pFtePhi9qDRfnXKR3U0EJ=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KXO8CVz76Qw5MbeoE1ljJxVI&daddr=C3A,+Sector+129,+Noida-Greater+Noida+Expy,+Sector+129,+Noida,+Uttar+Pradesh+201306&ved=2ahUKEwiZ9q_o4rmEAxUj1IQAHVaSAPwQ48ADegQIABBI","C3A, Sector 129, Noida-Greater Noida Expy, Sector 129, Noida, Uttar Pradesh 201306","28.49912999128","77.410200004191","4.2","6:30 PM"
"Modi Mall","01206209971","https://lh5.googleusercontent.com/p/AF1QipPeqIxQgMHy6ffMa5EyKEvkzloScRgGLXp_Dv5x=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdGlcvao5Qw5MYXP9fne_KHh&daddr=I-2,+Town+Centre,+Sector+25A,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwiZ9q_o4rmEAxUj1IQAHVaSAPwQ48ADegQIABBS","I-2, Town Centre, Sector 25A, Noida, Uttar Pradesh 201301","28.586197047783","77.344682128279","4.0","11:00 PM"
"Logix city centre","01204372511","https://lh5.googleusercontent.com/p/AF1QipPa35pCjB8ZGGavdjihrG5MRhXV83Fq1HjUmNKg=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KeNZkJ9P5Qw5MaWOialqMUXn&daddr=Wave+City+Center,+Sector+21A,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwiZ9q_o4rmEAxUj1IQAHVaSAPwQ48ADegQIABBa","Wave City Center, Sector 21A, Noida, Uttar Pradesh 201301","28.591679454034","77.342762526952","4.4","6:30 PM"
"DLF Mall of India, Noida","09718090920","https://lh5.googleusercontent.com/p/AF1QipMLaAhLCtJOIA15QIPTz_95ChyaEnyFUjDEwnxp=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KbVXhSEh5Qw5MYXwlsbPHwVF&daddr=Sector+18,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwiZ9q_o4rmEAxUj1IQAHVaSAPwQ48ADegQIABBk","Sector 18, Noida, Uttar Pradesh 201301","28.567958054338","77.321408424574","4.6","10:00 PM"
"Brahmaputra Market","09871003751","https://lh5.googleusercontent.com/p/AF1QipNq4L7HOoHGIAfy2QLsrfBgIQiy9kzjWqLU_JDk=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTnxiLS05Qw5MW2XUj-Xmbeo&daddr=865,+Maharishi+Dayanand+Marg,+Sector+29,+Noida,+Uttar+Pradesh+201303&ved=2ahUKEwiZ9q_o4rmEAxUj1IQAHVaSAPwQ48ADegQIABBt","865, Maharishi Dayanand Marg, Sector 29, Noida, Uttar Pradesh 201303","28.568829266227","77.333306132198","4.3","6:30 PM"
"The Shop Noida","01204364666","https://lh5.googleusercontent.com/p/AF1QipNK54uKW84GXRCtkDGTEywEFDRfCvF9ncd7uAwW=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZexDQ735Aw5MWGuadUCLqOq&daddr=B-126,+Udhyog+Marg,+near+Paytm+Office,+B+Block,+Sector+5,+Noida,+Uttar+Pradesh+201301&ved=2ahUKEwiZ9q_o4rmEAxUj1IQAHVaSAPwQ48ADegQIABB2","B-126, Udhyog Marg, near Paytm Office, B Block, Sector 5, Noida, Uttar Pradesh 201301","28.590449988186","77.318569960687","4.4","11:00 PM"
"Shopping Planet","06397340574","https://lh5.googleusercontent.com/p/AF1QipMz6mRY06oTm6bG_kqV0MRpp5a3QvDgsf8BuxGg=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQ2VxIb55Qw5MV6r-LbaNcmr&daddr=H94F%2B53Q,+Dadri+Main+Rd,+Block+C,+Sector+48,+Noida,+Uttar+Pradesh+201303&ved=2ahUKEwiZ9q_o4rmEAxUj1IQAHVaSAPwQ48ADegQIABB9","H94F+53Q, Dadri Main Rd, Block C, Sector 48, Noida, Uttar Pradesh 201303","28.555408249622","77.373091745144","3.8","6:30 PM"
