Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,Time
Pune Education,07028770960,https://lh5.googleusercontent.com/p/AF1QipNVisQzkHGMI42qHyW9Z1wbH1x1zxtkkByhJKxH=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ka3I-CwHv8I7MdI4V7LQYPjC&daddr=Survey+No.+5+Plot+No.+4+Talentedge+Tower,+Bavdhan,+Pune,+Maharashtra+411021&ved=2ahUKEwiqor68iryEAxWW0oQAHZZGC30Q48ADegQIABAp","Survey No. 5 Plot No. 4 Talentedge Tower, Bavdhan, Pune, Maharashtra 411021",18.519606670604,73.763776585515,4.8,
School of Education,09860084302,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LePReDQPX7TRGO0IVwv6tQ&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=56.49545&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVm6Sy2rv8I7MaK3sJjHMGpO&daddr=IUCAA+Road,+Ganeshkhind,+Pune,+Maharashtra+411007&ved=2ahUKEwiqor68iryEAxWW0oQAHZZGC30Q48ADegQIABAz","IUCAA Road, Ganeshkhind, Pune, Maharashtra 411007",18.550795604808,73.825149670367,4.8,
Pune Educational Institution,08042756739,https://lh5.googleusercontent.com/p/AF1QipNnjnYu5_MwprDWJNGzAVN3T9s6emULzRsjCsRk=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KeNliz1CwcI7Ma3l4Y7Jikqv&daddr=Krantiveer+Chowk,+Kasba+Peth,+Pune,+Maharashtra+410505&ved=2ahUKEwiqor68iryEAxWW0oQAHZZGC30Q48ADegQIABA6","Krantiveer Chowk, Kasba Peth, Pune, Maharashtra 410505",18.89381,73.687625235,4.1,
CAMP EDUCATION SOCIETY'S DR.CYRUS POONAWALLA SKILL DEVELOPMENT CENTER'S COMPUTER DEPARTMENT,08956194770,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=V8oyfy7xbpxk9mzIxH7W_Q&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=226.32864&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTNllw4twcI7McAjJd2JvVl8&daddr=VEER+SAVARKAR+BUILDING,+Jan+Mohammad+St,+Pune+Cantonment,+Pune,+Maharashtra+411001&ved=2ahUKEwiqor68iryEAxWW0oQAHZZGC30Q48ADegQIABBD","VEER SAVARKAR BUILDING, Jan Mohammad St, Pune Cantonment, Pune, Maharashtra 411001",18.521313108,73.88202,4.8,
Success Institute- Open School in Pune | Open School Admission in Pune | Nios Institute | Distance Education Graduation Pune,09766910486,https://lh5.googleusercontent.com/p/AF1QipPEeKgUCKnTaRk5rKkKu7Fsi-W5vOcsOgssAdZx=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kf3ikq83wMI7MVpvOjMPYDzR&daddr=3+Deccan+Towers,+Old+Mumbai+-+Pune+Hwy,+opp.+India+Post+Office,+Solapur+Bazar,+Camp,+Pune,+Maharashtra+411001&ved=2ahUKEwiqor68iryEAxWW0oQAHZZGC30Q48ADegQIABBO","3 Deccan Towers, Old Mumbai - Pune Hwy, opp. India Post Office, Solapur Bazar, Camp, Pune, Maharashtra 411001",18.50685,73.87998,4.0,
Symbiosis Institute For Teacher Education,08882328379,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GlhhV97LQnGGO5360Jj9JQ&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=287.2351&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KdvdE1wBv8I7MR6bvfVU2pLp&daddr=Plot+No.470/1%26+2,+CTS+No.1089,+1+%26+2,+Hare+Krishna+Mandir+Rd,+opp.+Chittaranjan+Vatika,+Model+Colony,+Shivajinagar,+Pune,+Maharashtra+411016&ved=2ahUKEwiqor68iryEAxWW0oQAHZZGC30Q48ADegQIABBW","Plot No.470/1& 2, CTS No.1089, 1 & 2, Hare Krishna Mandir Rd, opp. Chittaranjan Vatika, Model Colony, Shivajinagar, Pune, Maharashtra 411016",18.532478135257,73.83758809458,3.9,
SinghEducation,08600044569,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gc5D98eCmJRRoSQgmp_I3A&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=260.65613&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUt2qE4dvMI7MWr28ZHM_WmK&daddr=Periwinkle+Society+B-,+201,+Sus+Ln,+Pashan,+Pune,+Maharashtra+411045&ved=2ahUKEwiqor68iryEAxWW0oQAHZZGC30Q48ADegQIABBe","Periwinkle Society B-, 201, Sus Ln, Pashan, Pune, Maharashtra 411045",18.567225,73.760807217,3.7,
The Alliance for Global Education,08483858490,https://lh5.googleusercontent.com/p/AF1QipM0NUraYpevS1GZymvy-33Brit3Xo268D_rA_Di=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KR2XAEKHv8I7MdwiWjwgVkdK&daddr=3,+Fergusson+College+Rd,+Ganeshwadi,+Deccan+Gymkhana,+Pune,+Maharashtra+411004&ved=2ahUKEwiqor68iryEAxWW0oQAHZZGC30Q48ADegQIABBl","3, Fergusson College Rd, Ganeshwadi, Deccan Gymkhana, Pune, Maharashtra 411004",18.520180014204,73.838780025877,5.0,
SAI VIDYA EDUCATION,07499605825,https://lh5.googleusercontent.com/p/AF1QipPwi8jcVJnuIH6lnVpUd_3v4dqwEJJhqpdOE9rl=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUvEAaJGwcI7Mb-snKxrUo86&daddr=East+Court+Phoenix+Market+City,+First+Floor,+Pheonix+Mall,+27,+Phoenix+Boundary+Road,+opposite+Giga+Space+IT+Park+Internal+Road,+Clover+Park,+Viman+Nagar,+Pune,+Maharashtra+411014&ved=2ahUKEwiqor68iryEAxWW0oQAHZZGC30Q48ADegQIABBs","East Court Phoenix Market City, First Floor, Pheonix Mall, 27, Phoenix Boundary Road, opposite Giga Space IT Park Internal Road, Clover Park, Viman Nagar, Pune, Maharashtra 411014",18.567405079556,73.91385118266,4.8,
Paschim Maharashtra Education Trust College Of Education,08928323711,https://lh5.googleusercontent.com/p/AF1QipOQsl0fRxVWSEehfBHfeTpKUFPjfuBIFq4VBsn4=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZ9afkCJ6sI7MbhPHvzY1v6Y&daddr=Survey+No+51,+52,+Mitha+Nagar,+Kondhwa,+Pune,+Maharashtra+411048&ved=2ahUKEwiqor68iryEAxWW0oQAHZZGC30Q48ADegQIABB0","Survey No 51, 52, Mitha Nagar, Kondhwa, Pune, Maharashtra 411048",18.470414275188,73.885375975076,4.9,
LearnINT Pune,08983363909,https://lh5.googleusercontent.com/p/AF1QipPmauWbud7iUk7Qz3c_PS71iPU1-N4hhyMSGZ7o=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYd0sqPtv8I7Mb747blU4cOC&daddr=Police+Chowki,+L-10,+Runwal+Platinum,+NDA+Pashan+Rd,+near+Bavdhan,+Pune,+Maharashtra+411021&ved=2ahUKEwiqor68iryEAxWW0oQAHZZGC30Q48ADegQIABB-","Police Chowki, L-10, Runwal Platinum, NDA Pashan Rd, near Bavdhan, Pune, Maharashtra 411021",18.50690296389,73.780569839268,4.1,
