Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,Time
My Home Services,08181817777,https://lh5.googleusercontent.com/p/AF1QipMJhfEDDm-32zRTC-G-h1VgO6HkEgV8ofMeAI2A=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVtAwdW5wcI7McDEPFe_zEPD&daddr=Bhale+Estate,+B-15,+Old+Mumbai+-+Pune+Hwy,+Wakadewadi,+Shivajinagar,+Pune,+Maharashtra+411003&ved=2ahUKEwjJrNnbjLyEAxXZ3YQAHRpLCQAQ48ADegQIABAs","Bhale Estate, B-15, Old Mumbai - Pune Hwy, Wakadewadi, Shivajinagar, Pune, Maharashtra 411003",18.543513680683,73.851737399431,4.8,
"OHOService - Door Step Home Repair, Maintenance, Renovation & Interior Design Services in Pune",09503883882,https://lh5.googleusercontent.com/p/AF1QipPH3eOF_eC_Y6DcQ5cRGvE9mj9QfrbMYdzbTD8-=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWHYFjNZx8I7MXIchAg7Guip&daddr=Dhanori+Goodwill+Square,+Dhanori-Lohegaon+Rd,+Dhanori,+Pune,+Maharashtra+411015&ved=2ahUKEwjJrNnbjLyEAxXZ3YQAHRpLCQAQ48ADegQIABAz","Dhanori Goodwill Square, Dhanori-Lohegaon Rd, Dhanori, Pune, Maharashtra 411015",18.589389138865,73.888196951217,5.0,
Home Care Anand Facilities,09325785544,https://lh5.googleusercontent.com/p/AF1QipPub887LQ1syI96FE7Hj4mDeaz9ODJuPSK4ZeTq=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KcFEk19swMI7MSvl97ACYUJK&daddr=635,Hemgude+wada,Shukrawar+Peth,Pune-02,+Pune,+Maharashtra+411002&ved=2ahUKEwjJrNnbjLyEAxXZ3YQAHRpLCQAQ48ADegQIABA9","635,Hemgude wada,Shukrawar Peth,Pune-02, Pune, Maharashtra 411002",18.514469205136,73.856868609183,4.4,
Nirlepa all in 1 home service provider,07507258976,https://lh5.googleusercontent.com/p/AF1QipPeBpbgWVUT70LIkHaO0iGfhHBoE4KHq9liezQ4=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSFhFME1w8I7McBHLagk8Xjz&daddr=Kawdi+path,+manjari,+Pune,+Maharashtra+412307&ved=2ahUKEwjJrNnbjLyEAxXZ3YQAHRpLCQAQ48ADegQIABBG","Kawdi path, manjari, Pune, Maharashtra 412307",18.516492971606,73.972635216938,4.9,
SANIKA ENTERPRISES Home cleaning services in pune,07276395826,https://lh5.googleusercontent.com/p/AF1QipPVCIV26z5DvdTEVYvEXWsMNHjayaI6BPTcWRyB=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVWlz2V8v8I7MXDfr1CVVLpP&daddr=Lonkar+Ali,+Mundhwa,+Pune,+Maharashtra+411036&ved=2ahUKEwjJrNnbjLyEAxXZ3YQAHRpLCQAQ48ADegQIABBR","Lonkar Ali, Mundhwa, Pune, Maharashtra 411036",18.526684824472,73.948721761628,4.6,
Expert Home Services,08329784775,https://lh5.googleusercontent.com/p/AF1QipNn9uNRIMaHBdr2O0MpWT0vTrmjPz6bkFkQmSb5=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KUvltca4x8I7MQRABWDJFsgX&daddr=Office+No+1+Sai+Nagari+Chandannagar,+Kharadi,+Pune,+Maharashtra+411014&ved=2ahUKEwjJrNnbjLyEAxXZ3YQAHRpLCQAQ48ADegQIABBb","Office No 1 Sai Nagari Chandannagar, Kharadi, Pune, Maharashtra 411014",18.561596422863,73.928918806292,4.8,
Phenixcare - Home Healthcare Services| Nursing Bureau | Elder Care Services in Pune | Patient Care Taker Services in Pune,09766771092,https://lh5.googleusercontent.com/p/AF1QipNqNKCeRmnAqk7xDiVSvQRT3bzOhfMtDVprQhea=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KYtefy33wMI7MYLnVAkb9FEW&daddr=504,+East+Court+Tower,+A+wing,+Viman+Nagar,+Pune,+Maharashtra+411014&ved=2ahUKEwjJrNnbjLyEAxXZ3YQAHRpLCQAQ48ADegQIABBl","504, East Court Tower, A wing, Viman Nagar, Pune, Maharashtra 411014",18.567405079556,73.91385118266,4.7,
Home care Appliances services,09850726824,https://lh5.googleusercontent.com/p/AF1QipN74TqmDewSES81dw7HAErdqafoUUA4lNjPj5YG=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWWL-Rqe68I7MY4610YpgyL5&daddr=Kondhwa+Sr.42,+Maharashtra+411048&ved=2ahUKEwjJrNnbjLyEAxXZ3YQAHRpLCQAQ48ADegQIABBv","Kondhwa Sr.42, Maharashtra 411048",18.455422809202,73.888121893322,4.9,
ARC Home Cleaning Services,08983003206,https://lh5.googleusercontent.com/p/AF1QipOCQW1jLAZPVoVSTH6o3UEpz4d-MJ6jXoKL1VwJ=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KV__8rfRwcI7MTUJvXwPV9xe&daddr=A4/703,+Siddheshwar+Nagar,+Kumar+Samrudhi+Society,+Vishrantwadi,+Pune,+Maharashtra+411015&ved=2ahUKEwjJrNnbjLyEAxXZ3YQAHRpLCQAQ48ADegQIABB6","A4/703, Siddheshwar Nagar, Kumar Samrudhi Society, Vishrantwadi, Pune, Maharashtra 411015",18.590953024069,73.8778307691,4.8,
Home Care Nursing Services,07888102182,https://lh5.googleusercontent.com/p/AF1QipODJ4igfaURagbQKQ2_pO7HTfLCVnZNhASK-R7N=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kb3pqgqUw8I7MeRIZc14WnRC&daddr=Office+No.+303,+Renuka+Park+Rd,+near+Devrai+Bungalow,+Ubale+Nagar,+Wagholi,+Pune,+Maharashtra+411014&ved=2ahUKEwjJrNnbjLyEAxXZ3YQAHRpLCQAQ48ADegUIABCEAQ","Office No. 303, Renuka Park Rd, near Devrai Bungalow, Ubale Nagar, Wagholi, Pune, Maharashtra 411014",18.562840890385,73.817715640672,4.9,
