Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,Time
Lakme Salon FC Road - For Him and Her,02041209611,https://lh5.googleusercontent.com/p/AF1QipNMK8OpWy7bQ3kR5hCtwlAzbclqVoxO1zusxtYj=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWXmPdwdv8I7MQGaHQlUvwL2&daddr=Mayur+Center,+Ground+floor,+Fergusson+College+Rd,+opp.+Rupali+Restaurant,+Deccan+Gymkhana,+Pune,+Maharashtra+411004&ved=2ahUKEwiLsMSL_buEAxVo2oQAHevNCeAQ48ADegQIABAs","Mayur Center, Ground floor, Fergusson College Rd, opp. Rupali Restaurant, Deccan Gymkhana, Pune, Maharashtra 411004",18.51927257748,73.84130089144,4.9,
Master Crop Unisex Salon wadgaonsheri (Pune),07272002666,https://lh5.googleusercontent.com/p/AF1QipOEjnymXaUw5eqUAhmpIFeSMgC28As-FIBNlyhX=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KT_8FnP9wcI7MWRCqH-z0w83&daddr=G,+By+Bramha+Corp,+26,+Agrawal+Villas+Rd,+next+to+BRAMHA+SUN+CITY,+New+Kalyani+Nagar,+Digambar+Nagar,+Wadgaon+Sheri,+Pune,+Maharashtra+411014&ved=2ahUKEwiLsMSL_buEAxVo2oQAHevNCeAQ48ADegQIABA4","G, By Bramha Corp, 26, Agrawal Villas Rd, next to BRAMHA SUN CITY, New Kalyani Nagar, Digambar Nagar, Wadgaon Sheri, Pune, Maharashtra 411014",18.551961578803,73.924376999286,4.7,
LooksMatter Unisex Salon,07210000325,https://lh5.googleusercontent.com/p/AF1QipNwh8_ihhtAIk-ZkpfTVKcrILMc2NP3U3j0Mf__=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KT0PDNMXv8I7MVzCRq2b4LM3&daddr=Office+No+19,+Ground+Floor,+Dnyaneshwar+Paduka+Chowk,+A+Wing,+Fergusson+College+Rd,+Shivajinagar,+Pune,+Maharashtra+411005&ved=2ahUKEwiLsMSL_buEAxVo2oQAHevNCeAQ48ADegQIABBD","Office No 19, Ground Floor, Dnyaneshwar Paduka Chowk, A Wing, Fergusson College Rd, Shivajinagar, Pune, Maharashtra 411005",18.526906027144,73.842233905592,4.8,
4Mulletion Unisex Salon,08087696429,https://lh5.googleusercontent.com/p/AF1QipO3lsMgVXaBuTmwLm3lvK0KrTodxdGbSJP6GP9f=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kcl4jlj1v8I7MfQ-ke8W0Kmu&daddr=999/7,+1,+Pradeep+Bangla,+Phatak+Baug,+Navi+Peth,+Sadashiv+Peth,+Pune,+Maharashtra+411030&ved=2ahUKEwiLsMSL_buEAxVo2oQAHevNCeAQ48ADegQIABBP","999/7, 1, Pradeep Bangla, Phatak Baug, Navi Peth, Sadashiv Peth, Pune, Maharashtra 411030",18.508155059691,73.850141724136,4.8,
Sherie's Salon - Best Hair Salon in Wanowrie | Best Curly Hairstylist Pune | Best Hair Colour Salon Pune,09225627694,https://lh5.googleusercontent.com/p/AF1QipPrTOI5q2Sq2G9HgUfy6RIrro321MPnrQg9rc7f=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZlM4nZ46sI7MQOpaOXuhA7K&daddr=Shop+No.18,+Nancy+Towers,+opposite+Kedari+Petrol+Pump,+Wanowrie,+Pune,+Maharashtra+411040&ved=2ahUKEwiLsMSL_buEAxVo2oQAHevNCeAQ48ADegQIABBa","Shop No.18, Nancy Towers, opposite Kedari Petrol Pump, Wanowrie, Pune, Maharashtra 411040",18.48644,73.90036,4.7,
K SALONS PROFESSIONALS,09326862959,https://lh5.googleusercontent.com/p/AF1QipPXk01TZInDICMG7x7tHTzSA-22V2I7TyEJrm-y=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KSvOQ8l2wMI7MW_On2u2hrcS&daddr=Pansare+Heights,+698,+RB+Kumthekar+Rd,+Opp+Khalkar+Maruti+Mandir,+Sadashiv+Peth,+Pune,+Maharashtra+411030&ved=2ahUKEwiLsMSL_buEAxVo2oQAHevNCeAQ48ADegQIABBl","Pansare Heights, 698, RB Kumthekar Rd, Opp Khalkar Maruti Mandir, Sadashiv Peth, Pune, Maharashtra 411030",18.513169762099,73.847365023769,4.8,
Sprouts Salon and Spa - Best Salon in Baner Pune,09545817580,https://lh5.googleusercontent.com/p/AF1QipMIYseefB_CFdeg7DNfHkZgbtrliwJ8Y46z9leM=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaO7G6jRvsI7MTMxjGGGEJPA&daddr=Sarswati+Sadan,+Baner+Rd,+near+Bata+Showroom,+Riviresa+Society,+Baner,+Pune,+Maharashtra+411045&ved=2ahUKEwiLsMSL_buEAxVo2oQAHevNCeAQ48ADegQIABBw","Sarswati Sadan, Baner Rd, near Bata Showroom, Riviresa Society, Baner, Pune, Maharashtra 411045",18.563376023424,73.783156303447,4.5,
"Niks International Salon, FC Road Branch",02066406780,https://lh5.googleusercontent.com/p/AF1QipPuDL1XFI1OYBVDuADhwYqgH1VdsHtpVwexBucC=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVkD9G3kv8I7MavkQQCuWx3w&daddr=Millenium+Plaza,+G12,+Fergusson+College+Rd,+Shivajinagar,+Pune,+Maharashtra+411004&ved=2ahUKEwiLsMSL_buEAxVo2oQAHevNCeAQ48ADegQIABB8","Millenium Plaza, G12, Fergusson College Rd, Shivajinagar, Pune, Maharashtra 411004",18.52232,73.84087,4.5,
"Embellish Unisex Salon & Academy. Best Salon Near Magarpatta, Amanora, Season, Hadapsar, Near me",08550913400,https://lh5.googleusercontent.com/p/AF1QipO2CvbEmp8Zo0S3HBMKEFTiQXlu0eImpnXTUCb6=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQekaVOKwcI7Me3v3vm7nwFG&daddr=Nxt+To+Pizza+Hut,+Above+Indian+Overseas+Bank,+Magarpatta+Rd,+Hadapsar,+Pune,+Maharashtra+411028&ved=2ahUKEwiLsMSL_buEAxVo2oQAHevNCeAQ48ADegUIABCHAQ","Nxt To Pizza Hut, Above Indian Overseas Bank, Magarpatta Rd, Hadapsar, Pune, Maharashtra 411028",18.514945655032,73.933050690868,4.6,
Tuku's ZAARRAA Professional Beauty Unisex Salon in Camp Pune,07397895039,https://lh5.googleusercontent.com/p/AF1QipOmG9_nSC3zV0MFPPrR6W9jN9ZaeZU0Ftc7rxX8=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KY-FDvFTwcI7Mf4rGtBxDxRF&daddr=Shop+no.7,+Parmar+Trade+Center,+Sadhu+Vaswani+Rd,+Camp,+Pune,+Maharashtra+411001&ved=2ahUKEwiLsMSL_buEAxVo2oQAHevNCeAQ48ADegUIABCSAQ","Shop no.7, Parmar Trade Center, Sadhu Vaswani Rd, Camp, Pune, Maharashtra 411001",18.520841405359,73.875804425643,4.9,
