Title,Phone Number,Image URL,Direction Link,Address,Latitude,Longitude,Rating,Time
Seasons Mall,07755980311,https://lh5.googleusercontent.com/p/AF1QipM5-_-YOPpQkeSEHkuQsRRcqZSn_gtS53MYAB4y=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KeNT8EPywcI7McqXqrRcO6Xm&daddr=Magarpatta,+Hadapsar,+Pune,+Maharashtra+411013&ved=2ahUKEwiqsOHJ_LuEAxXt44QAHYHVBu8Q48ADegQIABAr","Magarpatta, Hadapsar, Pune, Maharashtra 411013",18.521332163289,73.92998817588,4.4,
The Pavillion Mall,02066421100,https://lh5.googleusercontent.com/p/AF1QipMSCsjXXqEnj0q748biFWqvXbUZRHfBvSvrTxbm=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQ0_c6twv8I7MaMIkuEwDM0b&daddr=GRMH%2BQVG,+Senapati+Bapat+Rd,+next+to+JW+Marriott+Hotel,+Laxmi+Society,+Model+Colony,+Shivajinagar,+Pune,+Maharashtra+411016&ved=2ahUKEwiqsOHJ_LuEAxXt44QAHYHVBu8Q48ADegQIABA1","GRMH+QVG, Senapati Bapat Rd, next to JW Marriott Hotel, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016",18.539836711126,73.832000098792,4.5,
Wonderland shopping complex,02067267888,https://lh5.googleusercontent.com/p/AF1QipOz40_27iklaMxSHLStk8NI5Zt5vcrJSfo4Zi9K=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZe1cxlPwMI7MZY8J9_VsSaa&daddr=Wonderland+Shoping+Centre,+7,+MG+Road,+Camp,+Pune,+Maharashtra+411001&ved=2ahUKEwiqsOHJ_LuEAxXt44QAHYHVBu8Q48ADegQIABA-","Wonderland Shoping Centre, 7, MG Road, Camp, Pune, Maharashtra 411001",18.51491927598,73.883639220888,4.0,
Amanora Mall,18001231555,https://lh5.googleusercontent.com/p/AF1QipOm6BpEYknvmVmGXEhos5HURmPUYyyRkolQ6ZSk=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KW2D5qISwcI7MbxyvAhUOinf&daddr=Mundhwa+-+Kharadi+Rd,+Amanora+Park+Town,+Hadapsar,+Pune,+Maharashtra+411028&ved=2ahUKEwiqsOHJ_LuEAxXt44QAHYHVBu8Q48ADegQIABBH","Mundhwa - Kharadi Rd, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028",18.519410480211,73.932624161417,4.4,
Shopping street,02067256888,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=n3uiinPow5F781_kw2xdkQ&cb_client=geo_services_immersive.gps&w=144&h=144&yaw=66.507744&pitch=0&thumbfov=100,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KZsayx0IwcI7MfdecQ65geFL&daddr=GV73%2BHJJ,+Tulshibaug+Internal+Rd,+Tulshibaug,+Budhwar+Peth,+Pune,+Maharashtra+411002&ved=2ahUKEwiqsOHJ_LuEAxXt44QAHYHVBu8Q48ADegQIABBQ","GV73+HJJ, Tulshibaug Internal Rd, Tulshibaug, Budhwar Peth, Pune, Maharashtra 411002",18.514251680391,73.854747990511,4.5,
CRU Mall,18001231555,https://lh5.googleusercontent.com/p/AF1QipPX6XfpGqkNtjkA8wmv6G9PyYTRKvQ1skG76sNC=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KTkpD9qc6sI7MS5cVewkW6yo&daddr=Ganga+Dham+Road,+New+Era+Society,+Market+Yard,+Gultekdi,+Pune,+Maharashtra+411037&ved=2ahUKEwiqsOHJ_LuEAxXt44QAHYHVBu8Q48ADegQIABBY","Ganga Dham Road, New Era Society, Market Yard, Gultekdi, Pune, Maharashtra 411037",18.485864266193,73.870908078306,3.7,
Lifestyle Stores,02026731221,https://lh5.googleusercontent.com/p/AF1QipNMEw_JgB0VtD3xIV1S-M9ffUkMe5KGXwHfb5Mj=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Ka-7QTlBwcI7MeON3Zm8-RST&daddr=Phoenix+Marketcity,+Clover+Park,+Viman+Nagar,+Pune,+Maharashtra+411014&ved=2ahUKEwiqsOHJ_LuEAxXt44QAHYHVBu8Q48ADegQIABBh","Phoenix Marketcity, Clover Park, Viman Nagar, Pune, Maharashtra 411014",18.56153,73.91792,4.2,
Kumar Pacific mall,08308271037,https://lh5.googleusercontent.com/p/AF1QipOTCEthqqtwfZ7O0OpinR8SVvuF1jfWkZxqAOTp=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWWsoe3PwcI7MbesubTqQIN-&daddr=GV2C%2BHWW,+Shankar+Sheth+Rd,+Shanti+Nagar+Society,+Katad+Khana,+Pune,+Maharashtra+411042&ved=2ahUKEwiqsOHJ_LuEAxXt44QAHYHVBu8Q48ADegQIABBr","GV2C+HWW, Shankar Sheth Rd, Shanti Nagar Society, Katad Khana, Pune, Maharashtra 411042",18.500379989157,73.866030012195,4.3,
Mahakhadi Shivajinagar Pune 05,02026340160,https://lh5.googleusercontent.com/p/AF1QipN90nRmGnJ19KzP_2eUnfGzQb-WJzJvmbas2XZa=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KWHd1rm9wcI7MS6CRozNbTMK&daddr=KB+Joshi+Path,+near+bhujal+bhavan,+Narveer+Tanaji+Wadi,+Shivajinagar,+Pune,+Maharashtra+411005&ved=2ahUKEwiqsOHJ_LuEAxXt44QAHYHVBu8Q48ADegQIABB0","KB Joshi Path, near bhujal bhavan, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005",18.531945362806,73.845199868113,4.5,
Lifestyle Stores,08956901620,https://lh5.googleusercontent.com/p/AF1QipNIoOabXY9jpKU3GNykAgL3AhCb6_3EImIVPrOD=w114-h114-n-k-no,"https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=Kb9QEohQwMI7McpNJpfVi-JJ&daddr=GVFH%2B938,+CTS+No+8,+9,+Bund+Garden+Rd,+opposite+Poona+Club,+Sangamvadi,+Pune,+Maharashtra+411001&ved=2ahUKEwiqsOHJ_LuEAxXt44QAHYHVBu8Q48ADegQIABB9","GVFH+938, CTS No 8, 9, Bund Garden Rd, opposite Poona Club, Sangamvadi, Pune, Maharashtra 411001",18.532340018327,73.877280034999,4.2,
